,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-20 19:00:00,16008587748098.133,37,3.641287363309386e-13,3.2741317579664266e-13,3.30732710218966e-13,3.641287363309386e-13,2834.39938248291
1,2021-12-20 19:01:00,8104237407918.882,7,3.8649445046135736e-13,3.714308706920377e-13,3.714308706920377e-13,3.8649445046135736e-13,1563.2307001180563
2,2021-12-20 19:02:00,15564173807671.59,8,4.116203793424215e-13,3.8436895571112223e-13,3.867914278037827e-13,4.116203793424215e-13,3169.973288141026
3,2021-12-20 19:03:00,1492503708625.2961,3,4.1206112040127717e-13,4.0768374000519335e-13,4.1206112040127717e-13,4.0768374000519335e-13,312.7934160830575
4,2021-12-20 19:04:00,201444662094.4629,2,4.081898101912845e-13,4.0787629086183715e-13,4.0787629086183715e-13,4.0787629086183715e-13,42.2165334372201
5,2021-12-20 19:05:00,3925323058207.3105,4,4.058362434821006e-13,3.966553529890826e-13,4.058362434821006e-13,3.9914310834599e-13,808.3876149337037
6,2021-12-20 19:06:00,2864250620030.3896,6,4.037750063952916e-13,4.0025743528201893e-13,4.0025743528201893e-13,4.0280160081366504e-13,592.6172859568438
7,2021-12-20 19:07:00,1996642580648.0857,12,4.053583570698033e-13,4.015996646481632e-13,4.0235893285982343e-13,4.053583570698033e-13,414.56358122753755
8,2021-12-20 19:12:00,1188622116337.972,3,4.048541175539153e-13,4.026150359781502e-13,4.04093387087378e-13,4.026150359781502e-13,246.34281643111615
9,2021-12-20 19:13:00,420563000000.00006,1,4.0421923963614837e-13,4.0421923963614837e-13,4.0421923963614837e-13,4.0421923963614837e-13,87.3449081341589
10,2021-12-20 19:16:00,10773190350102.682,32,4.3582159074893185e-13,4.056032276940801e-13,4.056032276940801e-13,4.3582159074893185e-13,2318.5807832402393
11,2021-12-20 19:17:00,11610990316553.086,25,4.789116960872728e-13,4.3659507126421906e-13,4.3799924237765084e-13,4.789116960872728e-13,2726.9071361487677
12,2021-12-20 19:18:00,4777430493133.277,20,4.828954491902405e-13,4.663795457702448e-13,4.797894062855855e-13,4.68900735830206e-13,1166.0181451985436
13,2021-12-20 19:19:00,9505862850453.291,15,4.88494875212497e-13,4.642118555913995e-13,4.658006360602159e-13,4.88494875212497e-13,2337.2256409192314
14,2021-12-20 19:20:00,2345602258684.358,14,4.940495912841086e-13,4.887683513907493e-13,4.891194368794552e-13,4.917823923669353e-13,592.049992712655
15,2021-12-20 19:21:00,966735395319.3325,3,4.976502768585164e-13,4.955502584329561e-13,4.955502584329561e-13,4.976502768585164e-13,246.3839526076424
16,2021-12-20 19:22:00,910805345022.629,7,5.018512707417115e-13,4.981968830532773e-13,4.981968830532773e-13,5.018512707417115e-13,233.9697021925492
17,2021-12-20 19:23:00,3181873076722.4404,6,5.100532853292661e-13,5.026945653482722e-13,5.035733089937479e-13,5.067343932988385e-13,826.435841048185
18,2021-12-20 19:24:00,3935548839232.731,3,5.132649477259701e-13,5.046846915553589e-13,5.046846915553589e-13,5.047678596918179e-13,1037.6836868856867
19,2021-12-20 19:25:00,3031279234725.1025,6,5.22744131370841e-13,5.097057834729032e-13,5.22744131370841e-13,5.097057834729032e-13,803.786581999311
20,2021-12-20 19:26:00,1595223809043.7217,5,5.119599560572839e-13,5.056227480787297e-13,5.119599560572839e-13,5.056227480787297e-13,415.5335683781255
21,2021-12-20 19:27:00,5025115994100.522,7,5.09938835473399e-13,5.030246133304017e-13,5.064550778816429e-13,5.067488231086706e-13,1308.957878807755
22,2021-12-20 19:28:00,1680797861623.3894,6,5.071995009176728e-13,5.025470637977694e-13,5.025470637977694e-13,5.071995009176728e-13,436.72542419433586
23,2021-12-20 19:29:00,1347881510220.9507,3,5.150882877424234e-13,5.118761265153129e-13,5.118761265153129e-13,5.150882877424234e-13,354.7584117067893
24,2021-12-20 19:30:00,724690335142.773,3,5.137472487791022e-13,5.115947705413211e-13,5.115947705413211e-13,5.137472487791022e-13,190.74401266551925
25,2021-12-20 19:31:00,57697306601.13121,1,5.114817300591202e-13,5.114817300591202e-13,5.114817300591202e-13,5.114817300591202e-13,15.162653663984736
26,2021-12-20 19:32:00,264112175838.82477,1,5.107818242939138e-13,5.107818242939138e-13,5.107818242939138e-13,5.107818242939138e-13,69.31279431551276
27,2021-12-20 19:33:00,1686130725938.917,8,5.172254600982918e-13,5.131548646522108e-13,5.131937365458062e-13,5.172254600982918e-13,446.0984717453217
28,2021-12-20 19:34:00,2202172847383.3677,3,5.228830318038e-13,5.175254709728141e-13,5.175254709728141e-13,5.228830318038e-13,590.8899201661794
29,2021-12-20 19:35:00,189520890432.159,1,5.276463178912515e-13,5.276463178912515e-13,5.276463178912515e-13,5.276463178912515e-13,51.379461669921874
30,2021-12-20 19:36:00,113506570307.65105,2,5.28555950909584e-13,5.282959951153379e-13,5.282959951153379e-13,5.28555950909584e-13,30.81224773418438
31,2021-12-20 19:37:00,1316711553067.7322,1,5.316274459422107e-13,5.316274459422107e-13,5.316274459422107e-13,5.316274459422107e-13,359.65623168945314
32,2021-12-20 19:38:00,1843125358994.4172,3,5.431514313363587e-13,5.3469231531974e-13,5.3469231531974e-13,5.431514313363587e-13,510.4298760792383
33,2021-12-20 19:39:00,2327787032789.6997,3,5.493962602700624e-13,5.434326872621676e-13,5.434326872621676e-13,5.493962602700624e-13,656.5791460212171
34,2021-12-20 19:40:00,485741645520.2142,3,5.569625601933176e-13,5.553178196875143e-13,5.553178196875143e-13,5.569625601933176e-13,138.72438450705042
35,2021-12-20 19:41:00,16168500001.0,1,5.570915996369948e-13,5.570915996369948e-13,5.570915996369948e-13,5.570915996369948e-13,4.6279205057517006
36,2021-12-20 19:42:00,2439030796661.0273,4,5.521149471749607e-13,5.476634981212881e-13,5.476634981212881e-13,5.509599313437078e-13,689.0200994613722
37,2021-12-20 19:43:00,2956070146742.5957,3,5.546853771253793e-13,5.509850192767386e-13,5.546853771253793e-13,5.546853771253793e-13,840.1522855885364
38,2021-12-20 19:46:00,1581889471959.9263,1,5.546739916844992e-13,5.546739916844992e-13,5.546739916844992e-13,5.546739916844992e-13,450.8203251022316
39,2021-12-20 19:47:00,1168937967342.5232,2,5.550764618382715e-13,5.522114461925342e-13,5.522114461925342e-13,5.522114461925342e-13,332.0851381962242
40,2021-12-20 19:48:00,34880078730.42279,1,5.529158933833517e-13,5.529158933833517e-13,5.529158933833517e-13,5.529158933833517e-13,9.9089144737809
41,2021-12-20 19:50:00,1704644895636.9883,4,5.581297973040589e-13,5.492002872636732e-13,5.499949780667359e-13,5.581297973040589e-13,484.9983821977225
42,2021-12-20 19:51:00,3482334705495.869,3,5.549949877929955e-13,5.452464836838275e-13,5.478711180408359e-13,5.452464836838275e-13,980.1079031343327
43,2021-12-20 19:52:00,7126025953725.135,4,5.429758184307161e-13,5.174363723129902e-13,5.429758184307161e-13,5.245091966115781e-13,1930.758219866018
44,2021-12-20 19:53:00,7692307692307.499,6,5.106568203819737e-13,4.849411240884102e-13,5.040571498805087e-13,4.849411240884102e-13,1956.8023110585561
45,2021-12-20 19:54:00,2195668686822.3066,4,4.787889006761223e-13,4.71364178753098e-13,4.753459695943342e-13,4.71364178753098e-13,535.9667243344953
46,2021-12-20 19:55:00,47176378454.46708,1,4.707393537639442e-13,4.707393537639442e-13,4.707393537639442e-13,4.707393537639442e-13,11.410236737252184
47,2021-12-20 19:56:00,157665077900.6466,1,4.703458364179371e-13,4.703458364179371e-13,4.703458364179371e-13,4.703458364179371e-13,38.10152541805469
48,2021-12-20 19:57:00,1421386380000.0,2,4.696699173264378e-13,4.669618669335179e-13,4.696699173264378e-13,4.669618669335179e-13,341.29327217802376
49,2021-12-20 19:58:00,1487262007126.9387,3,4.726292676982707e-13,4.689974953349916e-13,4.689974953349916e-13,4.726292676982707e-13,359.00158013464363
50,2021-12-20 19:59:00,5946357934034.733,8,4.856065131905872e-13,4.767533663218904e-13,4.773737155294115e-13,4.856065131905872e-13,1466.2400675223298
51,2021-12-20 20:02:00,8221856566473.558,1,5.053754034352023e-13,5.053754034352023e-13,5.053754034352023e-13,5.053754034352023e-13,2133.4122431852734
52,2021-12-20 20:08:00,76412829277.96606,1,5.234723066527542e-13,5.234723066527542e-13,5.234723066527542e-13,5.234723066527542e-13,20.5376513671875
53,2021-12-20 20:09:00,1871098150485.3438,2,5.320849931914857e-13,5.277890908533316e-13,5.277890908533316e-13,5.320849931914857e-13,507.15010589234083
54,2021-12-20 20:12:00,1392265904837.612,2,5.265539364881024e-13,5.233922293525587e-13,5.265539364881024e-13,5.265539364881024e-13,376.2692444565362
55,2021-12-20 20:16:00,569127379623.7205,1,5.271227685414564e-13,5.271227685414564e-13,5.271227685414564e-13,5.271227685414564e-13,154.03238525390626
56,2021-12-20 20:19:00,240876290275.89755,1,5.252387177779067e-13,5.252387177779067e-13,5.252387177779067e-13,5.252387177779067e-13,64.9593353187903
57,2021-12-20 20:20:00,94779267981.97397,1,5.275415295411386e-13,5.275415295411386e-13,5.275415295411386e-13,5.275415295411386e-13,25.672064208984374
