,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2022-02-27 00:59:00,219788653358.10605,76,1.1406033325181223e-10,5.7571786609380595e-11,7.359964862737212e-11,1.1316999348173225e-10,6567.456368402137
1,2022-02-27 01:00:00,392936101518.30255,188,5.936212046505091e-10,1.1508730101884783e-10,1.1508730101884783e-10,5.918627535169426e-10,47220.31308937743
2,2022-02-27 01:01:00,215580388414.43533,188,2.505963640421618e-09,5.858303841425084e-10,6.466643034176231e-10,2.2562484585125983e-09,105448.12030115075
3,2022-02-27 01:02:00,160239330950.6265,310,4.568664678688994e-09,2.518950140216519e-09,2.518950140216519e-09,3.660540220576071e-09,210682.1076583762
4,2022-02-27 01:03:00,119922706105.18622,277,5.728973074901349e-09,3.484243020667893e-09,4.012179298992499e-09,5.387105198181189e-09,199709.90675469418
5,2022-02-27 01:04:00,72029736721.67883,159,6.630487458261604e-09,4.028874869787198e-09,4.993421645361919e-09,5.2387533497930474e-09,132326.97852055676
6,2022-02-27 01:05:00,33283490878.93584,108,6.240847305064548e-09,4.609312667313449e-09,5.246596414637101e-09,6.200247676998148e-09,65874.44096615336
7,2022-02-27 01:06:00,28627946468.202095,110,7.523980624190264e-09,6.246787902176719e-09,6.287738566704952e-09,6.974303021475357e-09,73057.07920750577
8,2022-02-27 01:07:00,21742641432.499928,83,8.266825842535139e-09,6.875299508089033e-09,7.142174214877122e-09,7.59672716582672e-09,60012.06456530165
9,2022-02-27 01:08:00,61555723602.10017,116,7.4875640436964e-09,3.2129519864798524e-09,7.224801328460325e-09,3.561665285936015e-09,109519.14899190994
10,2022-02-27 01:09:00,43644488861.25647,103,3.4927232090064435e-09,2.492651250941097e-09,3.2203467167115065e-09,2.6237451672482033e-09,47973.37496451302
11,2022-02-27 01:10:00,43265870828.608345,82,2.703407872383353e-09,2.1747828614449577e-09,2.633945363831924e-09,2.3551304801312975e-09,37395.3930429825
12,2022-02-27 01:11:00,12256244096.912476,38,2.4598522978638014e-09,2.2212931227466546e-09,2.2791390630245247e-09,2.451538361998021e-09,10522.64528490795
13,2022-02-27 01:12:00,14196175294.326094,40,3.0302961065814846e-09,2.4759142406234608e-09,2.4759142406234608e-09,3.0302961065814846e-09,14262.217677732851
14,2022-02-27 01:13:00,13933518805.12565,32,3.982669979091033e-09,3.0491977734818914e-09,3.0491977734818914e-09,3.982669979091033e-09,17876.180188682956
15,2022-02-27 01:14:00,19488708547.134136,46,4.0336926819743775e-09,3.4260425120134024e-09,3.998197127355981e-09,3.5565800154157657e-09,27143.36789328948
16,2022-02-27 01:15:00,15114834663.219177,38,3.532410223737288e-09,3.12056791280893e-09,3.4814350115288777e-09,3.1981857882253553e-09,18795.774855556734
17,2022-02-27 01:16:00,8149432715.211537,19,3.557613518827448e-09,3.218293991755135e-09,3.251732663043892e-09,3.497923144502298e-09,10304.445975311479
18,2022-02-27 01:17:00,15576503078.934494,26,4.319443851573754e-09,3.474439663282346e-09,3.474439663282346e-09,4.305512300803895e-09,22812.209097118724
19,2022-02-27 01:18:00,3930345378.84818,22,4.347334386833826e-09,4.24158221110275e-09,4.243233764506402e-09,4.331535999817443e-09,6193.652191718534
20,2022-02-27 01:19:00,15578092647.099031,26,4.380693680358051e-09,3.517088419332858e-09,4.35916379224439e-09,3.5176568089831954e-09,22006.32104949787
