,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-30 13:00:00,16460355.006826727,177,5.846294169676364e-06,4.574798390872682e-06,4.574798390872682e-06,5.7568913369959725e-06,45306.646736261944
1,2021-12-30 13:01:00,10888661.552056264,88,6.393867646729378e-06,5.779204325688989e-06,5.779204325688989e-06,6.208511484148093e-06,34820.70041937232
2,2021-12-30 13:02:00,8884554.245731633,94,6.250781740772082e-06,5.82033033624272e-06,6.189567690669273e-06,5.8902562140115314e-06,28121.160343879394
3,2021-12-30 13:03:00,4863834.434308643,57,5.877411467520952e-06,5.379053678921073e-06,5.855419087774105e-06,5.513206381433997e-06,14391.833513526904
4,2021-12-30 13:04:00,6552745.372046259,55,5.469020851037036e-06,4.82075703296171e-06,5.394711777701935e-06,4.82075703296171e-06,17700.768947433797
5,2021-12-30 13:05:00,9218385.768981293,57,4.891957998058791e-06,4.553330361889573e-06,4.8160790842978704e-06,4.592071198084078e-06,22956.245251309396
6,2021-12-30 13:06:00,2966289.9669006993,41,4.6592106184034515e-06,4.5088429865327285e-06,4.625490420397941e-06,4.561498866316366e-06,7154.5881038588495
7,2021-12-30 13:07:00,3715324.3929125043,42,4.8023867697427434e-06,4.509145689965984e-06,4.512048171793376e-06,4.752154284055119e-06,9120.271947228506
8,2021-12-30 13:08:00,3796140.355802841,51,5.139263185287764e-06,4.801662115551225e-06,4.808133004451715e-06,5.135431602866149e-06,9936.12444842213
9,2021-12-30 13:09:00,3884803.933211939,38,5.446191766296022e-06,5.088026490253726e-06,5.140842680089005e-06,5.393442310494247e-06,10867.143954334637
10,2021-12-30 13:10:00,2298639.7989081056,35,5.640030148666325e-06,5.446040084557297e-06,5.448912988390262e-06,5.640030148666325e-06,6725.722426018524
11,2021-12-30 13:11:00,1931388.8130126414,25,5.781242445041654e-06,5.600067176097433e-06,5.600067176097433e-06,5.713485523808001e-06,5821.45713259992
12,2021-12-30 13:12:00,5161520.458520043,44,5.700457594104244e-06,5.279027800330545e-06,5.700457594104244e-06,5.310982258741551e-06,14939.085177842811
13,2021-12-30 13:13:00,2178709.34220716,28,5.37877332212677e-06,5.263112524771781e-06,5.32069531584928e-06,5.324612001050498e-06,6118.002384274261
14,2021-12-30 13:14:00,1488638.911128892,14,5.443624446797649e-06,5.315839608893234e-06,5.376154444992334e-06,5.441077702192381e-06,4221.488151176362
15,2021-12-30 13:15:00,290613.8752000107,14,5.503209397676335e-06,5.3894189033100785e-06,5.44233018634856e-06,5.503209397676335e-06,834.3922794840861
16,2021-12-30 13:16:00,910759.7716402048,10,5.499627464034194e-06,5.415182417362369e-06,5.415182417362369e-06,5.499627464034194e-06,2623.9658477056855
17,2021-12-30 13:17:00,666256.8998100644,13,5.519912246048987e-06,5.4496191468152845e-06,5.500803555309859e-06,5.4496191468152845e-06,1926.987454056518
18,2021-12-30 13:18:00,357387.4029486064,7,5.496890455186967e-06,5.435866010974932e-06,5.4436602385181e-06,5.435866010974932e-06,1028.4323910869678
