,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-11-19 22:04:00,48515491591900.27,22,1.0421607459432941e-12,8.230787438251472e-13,9.87994589286112e-13,1.0410556124890757e-12,26723.53360544185
1,2021-11-19 22:05:00,38387217925192.99,47,1.2911429080462334e-12,1.077978934403328e-12,1.107734385887285e-12,1.2891476351654779e-12,26026.375449363055
2,2021-11-19 22:06:00,7419016718286.441,20,1.3145663027556935e-12,1.2726112814277363e-12,1.2846093771384684e-12,1.3145663027556935e-12,5582.210994680496
3,2021-11-19 22:07:00,7468454659445.595,17,1.3213873553455099e-12,1.2866549840398444e-12,1.3177147368274135e-12,1.296082131101741e-12,5641.485377273557
4,2021-11-19 22:08:00,3680291253117.77,13,1.3195764729602258e-12,1.3031249331419117e-12,1.3058606529642983e-12,1.3195764729602258e-12,2806.34989916865
5,2021-11-19 22:09:00,2400861063774.12,7,1.3286648206938783e-12,1.3177919310549622e-12,1.3252332763837097e-12,1.3177919310549622e-12,1851.5453720214596
6,2021-11-19 22:10:00,2560186533333.412,3,1.334532538076422e-12,1.3216264247725827e-12,1.334532538076422e-12,1.3216264247725827e-12,1976.4948940079244
7,2021-11-19 22:11:00,3773564705861.062,6,1.3368831533175977e-12,1.3238704776147894e-12,1.3238704776147894e-12,1.3368831533175977e-12,2920.9119475112047
8,2021-11-19 22:12:00,3546271410778.0947,9,1.3438090886481085e-12,1.3250501665888677e-12,1.3296943159812726e-12,1.3375424649456471e-12,2755.092489620958
9,2021-11-19 22:13:00,2561342445054.183,5,1.3410562834098227e-12,1.314166371061045e-12,1.3410562834098227e-12,1.3170618164350216e-12,1971.9174787574664
10,2021-11-19 22:14:00,717453788402.9913,2,1.317819456211515e-12,1.3084470668110764e-12,1.317819456211515e-12,1.3084470668110764e-12,546.9386763313437
11,2021-11-19 22:15:00,852309502043.7928,5,1.3110575551129882e-12,1.3016189351991245e-12,1.3036098361107474e-12,1.3110575551129882e-12,648.4481837583918
12,2021-11-19 22:16:00,1688307588521.787,3,1.312695053408801e-12,1.2981971818401114e-12,1.3124412439876118e-12,1.2981971818401114e-12,1276.429296855512
13,2021-11-19 22:17:00,3404417100325.9707,3,1.3004483511719126e-12,1.2802164438404868e-12,1.3004483511719126e-12,1.2802164438404868e-12,2553.756428797102
14,2021-11-19 22:18:00,1107051742430.0916,4,1.2791286132530145e-12,1.2645348212890257e-12,1.2791286132530145e-12,1.2645348212890257e-12,817.9198551619135
15,2021-11-19 22:19:00,110206000434.92761,1,1.2703482518872882e-12,1.2703482518872882e-12,1.2703482518872882e-12,1.2703482518872882e-12,81.50564331054687
16,2021-11-19 22:20:00,1159471508357.6692,3,1.263941520485025e-12,1.2557872673918735e-12,1.2610528015032464e-12,1.2557872673918735e-12,850.0111521292922
17,2021-11-19 22:21:00,1395500243462.5508,3,1.2609293233119513e-12,1.2497362715213583e-12,1.2609293233119513e-12,1.250430346423808e-12,1016.3717253291967
18,2021-11-19 22:22:00,716609095382.1686,3,1.2508728403597457e-12,1.2392486232361492e-12,1.2508728403597457e-12,1.2392486232361492e-12,518.6042744458703
19,2021-11-19 22:23:00,154359139142.08282,2,1.2445357414401285e-12,1.2386579464337307e-12,1.2386579464337307e-12,1.2445357414401285e-12,111.44983765496863
20,2021-11-19 22:24:00,88506666340.15105,3,1.2451600399203886e-12,1.2385035345540032e-12,1.2385035345540032e-12,1.2447554051240402e-12,64.15697268945702
21,2021-11-19 22:25:00,1684924042332.8745,2,1.2318764227117122e-12,1.2307982448004297e-12,1.2318764227117122e-12,1.2307982448004297e-12,1208.3644775921405
22,2021-11-19 22:26:00,834044097476.2144,2,1.230985209067897e-12,1.2211299957883857e-12,1.230985209067897e-12,1.2211299957883857e-12,592.9443980383458
23,2021-11-19 22:27:00,901800010000.6749,2,1.2235303733000002e-12,1.2134407239256573e-12,1.2134407239256573e-12,1.2134407239256573e-12,637.0718944149488
24,2021-11-19 22:28:00,2120749587640.4001,4,1.2075635838346308e-12,1.1974185377689423e-12,1.2075635838346308e-12,1.1976010749147916e-12,1482.0418385316093
25,2021-11-19 22:29:00,1062107446225.2098,3,1.188652e-12,1.183842991987253e-12,1.1883757958067872e-12,1.188652e-12,734.1224784789648
26,2021-11-19 22:30:00,2537045500688.3022,4,1.1888107420760626e-12,1.1633531770873383e-12,1.1887132465969959e-12,1.1633531770873383e-12,1731.7938522772447
27,2021-11-19 22:31:00,46635852904637.86,34,1.1680327687522453e-12,8.672849094660775e-13,1.1680327687522453e-12,8.735708872749001e-13,27098.943814895967
28,2021-11-19 22:32:00,33147447526945.805,37,8.608145394490636e-13,7.192298713468012e-13,8.608145394490636e-13,7.192298713468012e-13,15190.580590194544
29,2021-11-19 22:33:00,75801846075675.3,71,9.086094903814269e-13,6.98214375380751e-13,7.081747873224346e-13,8.979781602973738e-13,34891.161672148264
30,2021-11-19 22:34:00,37090241483924.055,38,1.0301964414569537e-12,8.974706478604133e-13,9.199847138252675e-13,1.0301964414569537e-12,20533.448458477596
31,2021-11-19 22:35:00,26834442615350.305,33,1.0776794804956497e-12,1.0235166888433613e-12,1.0318689992569329e-12,1.0676359373180703e-12,16387.628833101364
32,2021-11-19 22:36:00,13737449581982.867,16,1.1278338096094887e-12,1.066920215332729e-12,1.0729194732952732e-12,1.1111323279672322e-12,8753.177475940709
33,2021-11-19 22:37:00,43996238353951.375,8,1.5429694659730748e-12,1.1276869127160818e-12,1.1276869127160818e-12,1.5429694659730748e-12,33565.741296471875
34,2021-11-19 22:38:00,6065375842693.023,14,1.5563124733794208e-12,1.4975749808283171e-12,1.5563124733794208e-12,1.4975749808283171e-12,5381.6880053465065
35,2021-11-19 22:39:00,10040593729377.621,14,1.4913273365836248e-12,1.4107608347512568e-12,1.4913273365836248e-12,1.4107608347512568e-12,8438.904346720885
36,2021-11-19 22:40:00,4900765733092.238,14,1.4084955102401356e-12,1.374027116909472e-12,1.4084955102401356e-12,1.374027116909472e-12,3963.5043023979833
37,2021-11-19 22:41:00,14467823432021.8,15,1.4326274736573206e-12,1.363825168326727e-12,1.3678278955032443e-12,1.4178785323118079e-12,11866.318732268817
38,2021-11-19 22:42:00,5706606073058.701,8,1.416090958426848e-12,1.36683343076298e-12,1.415434389870022e-12,1.3755519018831894e-12,4602.016615160563
39,2021-11-19 22:43:00,5125317599381.566,10,1.3561308541224792e-12,1.319600851872258e-12,1.349500925254101e-12,1.319600851872258e-12,3999.487344389685
40,2021-11-19 22:44:00,2089192894343.8127,5,1.3204490000000001e-12,1.3076718469930744e-12,1.3166720552865219e-12,1.3128024420892368e-12,1596.1034434539688
41,2021-11-19 22:45:00,716501701025.3588,3,1.3092846561382863e-12,1.3034924967143586e-12,1.3034924967143586e-12,1.3092846561382863e-12,544.5729991129454
42,2021-11-19 22:46:00,1877607081361.84,7,1.303156712755799e-12,1.2900573281425629e-12,1.2987664691732635e-12,1.2926026732160928e-12,1416.5688916135873
43,2021-11-19 22:47:00,538707459987.93494,3,1.2876306986442698e-12,1.2847582716421707e-12,1.2861420605742793e-12,1.2847582716421707e-12,403.4004882011263
44,2021-11-19 22:48:00,2081454033643.929,3,1.2838903788197057e-12,1.2771405465677682e-12,1.2838903788197057e-12,1.2785291092713962e-12,1548.1201703991671
45,2021-11-19 22:49:00,2285875662147.4863,4,1.2701388632009272e-12,1.2589476970210963e-12,1.2701388632009272e-12,1.262873787147419e-12,1683.050244971576
46,2021-11-19 22:50:00,395850000000.325,1,1.2542047810109571e-12,1.2542047810109571e-12,1.2542047810109571e-12,1.2542047810109571e-12,289.04053016151505
47,2021-11-19 22:51:00,5008127464825.268,3,1.283344249173479e-12,1.2753304241224543e-12,1.2798950795337828e-12,1.2798950795337828e-12,3721.782681904183
48,2021-11-19 22:52:00,978031490600.0087,2,1.2779943054141045e-12,1.2741053956126903e-12,1.2741053956126903e-12,1.2741053956126903e-12,725.8171607596263
49,2021-11-19 22:53:00,2252111182151.2427,3,1.269268848357608e-12,1.2596077022750072e-12,1.269268848357608e-12,1.2596077022750072e-12,1654.6471507744666
50,2021-11-19 22:54:00,5982789110129.44,6,1.2500167862693299e-12,1.2131160188098287e-12,1.2500167862693299e-12,1.2173325505231506e-12,4287.083063575377
