,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-11-29 04:06:00,14702940490073.512,3,3.14560163654515e-15,3.084009891408863e-15,3.084009891408863e-15,3.14560163654515e-15,27.872222538913256
1,2021-11-29 04:07:00,54614227518787.81,14,3.525078909805762e-15,3.1765136252203834e-15,3.1765136252203834e-15,3.452000333783681e-15,111.25304623313816
2,2021-11-29 04:08:00,206713126698859.12,67,5.820294789016744e-15,3.554456797189192e-15,3.554456797189192e-15,5.777032523000916e-15,573.3196880721324
3,2021-11-29 04:09:00,165968891732401.06,70,9.852914369485066e-15,5.887636057447327e-15,5.985117835403102e-15,9.82605882339412e-15,768.2531484370444
4,2021-11-29 04:10:00,73398733424982.08,28,1.2959359872461608e-14,9.897762593546469e-15,9.984235480114216e-15,1.2959359872461608e-14,507.82791746180595
5,2021-11-29 04:11:00,88063289920348.9,31,1.9360416423022602e-14,1.3227276844408797e-14,1.3227276844408797e-14,1.9360416423022602e-14,857.7482650549662
6,2021-11-29 04:12:00,46903053267092.18,26,2.5070929793751503e-14,1.970235436244887e-14,1.970235436244887e-14,2.5070929793751503e-14,633.449626678971
7,2021-11-29 04:13:00,61197587008247.5,28,3.3767625966978764e-14,2.534289380362065e-14,2.5886268263501703e-14,3.308776745835625e-14,1113.6398424001113
8,2021-11-29 04:14:00,31905386025406.6,16,4.2848688142048686e-14,3.459543049519864e-14,3.459543049519864e-14,4.2848688142048686e-14,746.0659013511357
9,2021-11-29 04:15:00,18253261716371.363,10,4.549800895935437e-14,4.31321809519531e-14,4.31321809519531e-14,4.549800895935437e-14,495.61149084207864
10,2021-11-29 04:16:00,40834196699362.86,25,5.695209109109046e-14,4.349007257190092e-14,4.454415244047069e-14,5.695209109109046e-14,1219.819771397542
11,2021-11-29 04:17:00,25135133949264.613,14,5.988490425273661e-14,5.711554256671227e-14,5.750977112110718e-14,5.988490425273661e-14,895.535468767455
12,2021-11-29 04:18:00,13517937609072.006,8,6.832325890468579e-14,6.098181920589235e-14,6.098181920589235e-14,6.832325890468579e-14,529.5001391601563
13,2021-11-29 04:19:00,9249807577636.197,6,7.267671874286023e-14,6.911515468318038e-14,7.029302506729615e-14,7.222368142933116e-14,401.2556055981296
14,2021-11-29 04:20:00,20537215332794.9,13,7.5117101875695e-14,7.084372627234863e-14,7.383280178354796e-14,7.5117101875695e-14,911.8454680378
15,2021-11-29 04:21:00,8107937724540.397,8,8.240221154501484e-14,7.755485095605969e-14,7.755485095605969e-14,8.240221154501484e-14,390.9485962441913
16,2021-11-29 04:22:00,29707756461511.19,11,9.4746752014445e-14,8.448486996486428e-14,8.451599541610592e-14,9.4746752014445e-14,1582.5974776814314
17,2021-11-29 04:23:00,9004829654364.16,5,1.0489382877307295e-13,9.645304239508306e-14,9.645304239508306e-14,1.0489382877307295e-13,555.5782271731906
18,2021-11-29 04:24:00,36457433019608.28,13,1.3290218796075171e-13,1.0948875885576926e-13,1.0948875885576926e-13,1.3204624656510962e-13,2713.397161296682
19,2021-11-29 04:25:00,37747686000179.24,17,1.361361320281248e-13,1.1936357495058487e-13,1.3402371503418038e-13,1.2042647393411246e-13,2924.722277936652
20,2021-11-29 04:26:00,28414223257203.96,16,1.1832184192159107e-13,1.0073129179983537e-13,1.1832184192159107e-13,1.018111523292875e-13,1854.9745205475915
21,2021-11-29 04:27:00,50954530726494.45,17,1.1183450630399696e-13,9.508306297596839e-14,1.034348769772803e-13,9.858423959733518e-14,3191.4830211137155
22,2021-11-29 04:28:00,11432372409483.201,6,9.92846345595035e-14,9.147115619883795e-14,9.92846345595035e-14,9.147115619883795e-14,660.283888667642
23,2021-11-29 04:29:00,22575493918671.867,11,9.685957757889643e-14,8.698452898261623e-14,9.319254641020266e-14,8.809978001087444e-14,1259.645520226286
24,2021-11-29 04:30:00,11187548635008.062,5,9.790519100348435e-14,8.980019262658535e-14,8.980019262658535e-14,9.790519100348435e-14,636.5264754923421
25,2021-11-29 04:31:00,5401500329249.395,2,1.0209220745778998e-13,9.921286711153968e-14,9.921286711153968e-14,1.0209220745778998e-13,334.74146728515626
26,2021-11-29 04:32:00,8518318677195.414,8,1.0980181590532244e-13,1.0470090788003315e-13,1.049459447859603e-13,1.0980181590532244e-13,555.148526295404
27,2021-11-29 04:33:00,5367297727398.348,5,1.177761839628353e-13,1.1123860605913873e-13,1.1123860605913873e-13,1.177761839628353e-13,373.5392890344041
28,2021-11-29 04:34:00,3818686560846.351,3,1.2168155315101772e-13,1.189809744301079e-13,1.189809744301079e-13,1.2168155315101772e-13,279.9655908203125
