,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-11-12 05:56:00,4055953.8124747043,1,1.2327556553089283e-08,1.2327556553089283e-08,1.2327556553089283e-08,1.2327556553089283e-08,31.639550781249998
1,2021-11-12 06:15:00,7827528.995106663,2,1.350821560365471e-08,1.2901618848700213e-08,1.2901618848700213e-08,1.350821560365471e-08,65.08948332208737
2,2021-11-12 06:21:00,3538851.6192912944,1,1.412887721187169e-08,1.412887721187169e-08,1.412887721187169e-08,1.412887721187169e-08,31.479977416992185
3,2021-11-12 06:26:00,689778.6776174924,1,1.4497403768032052e-08,1.4497403768032052e-08,1.4497403768032052e-08,1.4497403768032052e-08,6.295995483398438
4,2021-11-12 06:37:00,4669784.656871883,1,1.498998458033618e-08,1.498998458033618e-08,1.498998458033618e-08,1.498998458033618e-08,44.07196838378906
5,2021-11-12 13:07:00,3880000.0,1,1.4989969875647445e-08,1.4989969875647445e-08,1.4989969875647445e-08,1.4989969875647445e-08,35.85682602308238
6,2021-11-12 14:36:00,1669784.6568718837,1,1.4481029887402662e-08,1.4481029887402662e-08,1.4481029887402662e-08,1.4481029887402662e-08,14.892138051461757
7,2021-11-12 23:47:00,3947528.9951066617,1,1.3995602259056484e-08,1.3995602259056484e-08,1.3995602259056484e-08,1.3995602259056484e-08,34.40217642429861
8,2021-11-13 04:03:00,3000000.0,1,1.3425192202694648e-08,1.3425192202694648e-08,1.3425192202694648e-08,1.3425192202694648e-08,25.227525801748573
9,2021-11-13 15:14:00,3538851.6192912944,1,1.2920834727701591e-08,1.2920834727701591e-08,1.2920834727701591e-08,1.2920834727701591e-08,29.433352832068618
10,2021-11-14 11:38:00,78572.70200652335,1,1.272706645517901e-08,1.272706645517901e-08,1.272706645517901e-08,1.272706645517901e-08,0.6441747436523438
11,2021-11-14 20:51:00,235292.22331825612,1,1.275010264976842e-08,1.275010264976842e-08,1.275010264976842e-08,1.275010264976842e-08,1.9401275024414062
