,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-14 18:58:00,12284521.591751209,70,1.4618884346535506e-06,1.2720076096064259e-06,1.2720076096064259e-06,1.4431664176233775e-06,8675.372316907333
1,2021-12-14 18:59:00,7892895.244225327,41,1.5786646930359717e-06,1.4415900358943777e-06,1.4630080874329287e-06,1.5685955411545947e-06,6164.557742590069
2,2021-12-14 19:00:00,9702216.29650998,45,1.6236390478914476e-06,1.5548092041560134e-06,1.5858112718639853e-06,1.5564457657647339e-06,7875.803581698007
3,2021-12-14 19:01:00,8255627.179839976,33,1.6132455507799195e-06,1.4965280798064934e-06,1.583758279440239e-06,1.504717472226797e-06,6609.823883468105
4,2021-12-14 19:02:00,12862535.078493465,28,1.5318402984206816e-06,1.31553693821066e-06,1.495345589433725e-06,1.31553693821066e-06,9197.514462470688
5,2021-12-14 19:03:00,8213728.994209974,19,1.3426419340262963e-06,1.2165224103985348e-06,1.3113908065277036e-06,1.2165224103985348e-06,5335.0421519924685
6,2021-12-14 19:04:00,2240903.135245656,14,1.2747866015159374e-06,1.2155529246975394e-06,1.2155529246975394e-06,1.2747866015159374e-06,1446.6447373839198
7,2021-12-14 19:05:00,2964863.987874681,16,1.319050245814467e-06,1.2765895652292094e-06,1.2765895652292094e-06,1.3141841100646195e-06,1974.227225635621
8,2021-12-14 19:06:00,3323589.78310474,17,1.3762912761642348e-06,1.324373840842253e-06,1.324373840842253e-06,1.3762912761642348e-06,2298.9094449023055
9,2021-12-14 19:07:00,2779325.807283196,19,1.422965714251504e-06,1.3765389338691479e-06,1.3765389338691479e-06,1.390294153314683e-06,1994.963835468502
10,2021-12-14 19:08:00,1618353.951863564,15,1.4359975496149751e-06,1.3989114538211078e-06,1.4250841814397253e-06,1.43396661348634e-06,1180.3201417355424
11,2021-12-14 19:09:00,1076882.29255808,9,1.4510567560112717e-06,1.4145686569824178e-06,1.4342146991314024e-06,1.4510567560112717e-06,796.1194705094426
12,2021-12-14 19:10:00,1745287.103372124,6,1.4838576594507292e-06,1.4516440739517026e-06,1.4516440739517026e-06,1.4838576594507292e-06,1313.7512578734925
13,2021-12-14 19:11:00,6428316.839534895,9,1.4775765679469998e-06,1.3867274861108971e-06,1.4479605823770922e-06,1.4213003304766176e-06,4681.582482415103
14,2021-12-14 19:12:00,8417367.86287851,11,1.392166316228365e-06,1.2755078017685726e-06,1.392166316228365e-06,1.2944624608320856e-06,5739.75112739504
15,2021-12-14 19:13:00,1371268.732958432,8,1.2873837895181408e-06,1.2482003351321801e-06,1.2646195582384662e-06,1.2482003351321801e-06,884.515455308672
16,2021-12-14 19:14:00,6189981.348083153,10,1.3598502722277906e-06,1.2775505763002672e-06,1.2775505763002672e-06,1.3598502722277906e-06,4191.249749989414
17,2021-12-14 19:15:00,1038918.327532736,5,1.3770355126200927e-06,1.3297996262283892e-06,1.3297996262283892e-06,1.3770355126200927e-06,729.3902260618581
18,2021-12-14 19:16:00,1589455.680881368,4,1.3784198905223637e-06,1.3353332534528126e-06,1.3779287722340504e-06,1.3353332534528126e-06,1089.9362034356109
19,2021-12-14 19:17:00,2296156.963780632,3,1.3532997734105234e-06,1.2993284509596547e-06,1.3532997734105234e-06,1.2993284509596547e-06,1538.0340165755329
20,2021-12-14 19:18:00,1507295.04603731,7,1.3182702048503282e-06,1.2704904660942001e-06,1.2874638918720659e-06,1.2704904660942001e-06,992.9974409390178
