,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-10 04:44:00,56047759.99598655,1,3.5683852488363774e-09,3.5683852488363774e-09,3.5683852488363774e-09,3.5683852488363774e-09,115.51665039062499
1,2021-12-10 04:45:00,82681778.77997635,1,3.6283689638357563e-09,3.6283689638357563e-09,3.6283689638357563e-09,3.6283689638357563e-09,173.27497558593748
2,2021-12-10 04:46:00,155288602.7880185,1,3.734981122804917e-09,3.734981122804917e-09,3.734981122804917e-09,3.734981122804917e-09,334.9982861328125
3,2021-12-10 04:49:00,52200435.15092192,1,3.831385685229633e-09,3.831385685229633e-09,3.831385685229633e-09,3.831385685229633e-09,115.51665039062499
4,2021-12-10 04:57:00,687761949.0779628,2,4.420488382197331e-09,4.0425288940850835e-09,4.0425288940850835e-09,4.420488382197331e-09,1674.9914306640626
5,2021-12-10 04:58:00,634201667.32648,2,5.26881040109926e-09,4.814664474467621e-09,4.814664474467621e-09,5.26881040109926e-09,1848.26640625
6,2021-12-10 04:59:00,310915071.76124334,1,5.789362316221997e-09,5.789362316221997e-09,5.789362316221997e-09,5.789362316221997e-09,1039.649853515625
7,2021-12-10 05:00:00,570350670.5506845,2,6.953481280343155e-09,6.33515960092893e-09,6.33515960092893e-09,6.953481280343155e-09,2194.5076538085937
8,2021-12-10 05:19:00,27220120.031284433,1,7.347506174481871e-09,7.347506174481871e-09,7.347506174481871e-09,7.347506174481871e-09,115.50040283203126
9,2021-12-10 05:48:00,66954137.8517834,1,7.467798347382976e-09,7.467798347382976e-09,7.467798347382976e-09,7.467798347382976e-09,288.7510070800781
10,2021-12-10 07:14:00,125592600.18848552,1,7.723384964912374e-09,7.723384964912374e-09,7.723384964912374e-09,7.723384964912374e-09,560.6914965820313
11,2021-12-10 07:27:00,311085484.31732655,1,8.357831307062333e-09,8.357831307062333e-09,8.357831307062333e-09,8.357831307062333e-09,1502.884423828125
12,2021-12-10 07:46:00,211626024.51890802,1,9.214367677288076e-09,9.214367677288076e-09,9.214367677288076e-09,9.214367677288076e-09,1127.1633178710938
13,2021-12-10 07:47:00,195413854.35010204,1,9.97882164744775e-09,9.97882164744775e-09,9.97882164744775e-09,9.97882164744775e-09,1127.1633178710938
14,2021-12-10 07:49:00,159443080.86761957,1,1.0724830395241532e-08,1.0724830395241532e-08,1.0724830395241532e-08,1.0724830395241532e-08,988.4355249023438
15,2021-12-10 07:53:00,234137078.00006613,1,1.1659836294699249e-08,1.1659836294699249e-08,1.1659836294699249e-08,1.1659836294699249e-08,1578.0286450195313
16,2021-12-10 07:56:00,220990818.59763432,2,1.332759973281321e-08,1.2674831033794749e-08,1.2674831033794749e-08,1.332759973281321e-08,1647.3925415039062
17,2021-12-10 07:59:00,111338818.65685531,1,1.3921469786535804e-08,1.3921469786535804e-08,1.3921469786535804e-08,1.3921469786535804e-08,895.9503295898437
18,2021-12-10 08:02:00,115656832.28632331,1,1.4698656070671487e-08,1.4698656070671487e-08,1.4698656070671487e-08,1.4698656070671487e-08,970.9675964355469
19,2021-12-10 08:03:00,84215406.38850485,1,1.5436605435385587e-08,1.5436605435385587e-08,1.5436605435385587e-08,1.5436605435385587e-08,742.5046325683594
20,2021-12-10 08:05:00,81406554.85620925,1,1.6092070255446762e-08,1.6092070255446762e-08,1.6092070255446762e-08,1.6092070255446762e-08,748.2162066650391
21,2021-12-10 08:06:00,109454293.71035457,1,1.6902032229960725e-08,1.6902032229960725e-08,1.6902032229960725e-08,1.6902032229960725e-08,1056.6412078857422
22,2021-12-10 08:07:00,87083889.79631205,1,1.7798929326944712e-08,1.7798929326944712e-08,1.7798929326944712e-08,1.7798929326944712e-08,885.2939849853516
23,2021-12-10 08:08:00,83173262.3564725,1,1.863579660199994e-08,1.863579660199994e-08,1.863579660199994e-08,1.863579660199994e-08,885.2939849853516
24,2021-12-10 09:07:00,148405367.788577,1,1.9877987191155133e-08,1.9877987191155133e-08,1.9877987191155133e-08,1.9877987191155133e-08,1700.309310913086
25,2021-12-10 09:54:00,347366587.6641625,2,2.4310070566881528e-08,2.1878759215906646e-08,2.1878759215906646e-08,2.4310070566881528e-08,4611.00830078125
26,2021-12-10 09:57:00,6239677.205903382,1,2.5642352115366386e-08,2.5642352115366386e-08,2.5642352115366386e-08,2.5642352115366386e-08,92.220166015625
27,2021-12-10 10:03:00,110743720.1396836,1,2.663807930850704e-08,2.663807930850704e-08,2.663807930850704e-08,2.663807930850704e-08,1704.3061431884764
28,2021-12-10 10:19:00,35776233.59650826,1,2.7951516956150454e-08,2.7951516956150454e-08,2.7951516956150454e-08,2.7951516956150454e-08,577.7308959960938
29,2021-12-10 10:30:00,70409306.16138954,1,2.8973442733890736e-08,2.8973442733890736e-08,2.8973442733890736e-08,2.8973442733890736e-08,1178.5710278320312
30,2021-12-10 21:30:00,8399689.649983456,1,2.9763004398679464e-08,2.9763004398679464e-08,2.9763004398679464e-08,2.9763004398679464e-08,142.5329132080078
31,2021-12-11 11:53:00,65488944.50476938,1,3.053950579176529e-08,3.053950579176529e-08,3.053950579176529e-08,3.053950579176529e-08,1109.37646484375
32,2021-12-11 15:18:00,7978170.245077388,1,3.133550580150286e-08,3.133550580150286e-08,3.133550580150286e-08,3.133550580150286e-08,138.78822326660156
33,2021-12-11 15:20:00,22101441.34265303,2,3.1850852394306626e-08,3.1601218824932934e-08,3.1601218824932934e-08,3.1850852394306626e-08,388.6070251464844
34,2021-12-11 20:16:00,1252479.1909598,1,3.1936658340285236e-08,3.1936658340285236e-08,3.1936658340285236e-08,3.1936658340285236e-08,22.3934619140625
35,2021-12-11 20:18:00,22046587.83723182,2,3.2384733391555994e-08,3.212944124987434e-08,3.212944124987434e-08,3.2384733391555994e-08,397.48394897460935
36,2021-12-12 16:25:00,10960000.0,2,3.2259476334066165e-08,3.2133019263842336e-08,3.2259476334066165e-08,3.2259476334066165e-08,198.69438207813886
37,2021-12-12 17:55:00,1241438.29256378,1,3.2220691305882985e-08,3.2220691305882985e-08,3.2220691305882985e-08,3.2220691305882985e-08,22.5535888671875
38,2021-12-13 11:37:00,12860000.0,2,3.203560718446872e-08,3.1888930638257404e-08,3.1888930638257404e-08,3.1888930638257404e-08,225.28918839343635
39,2021-12-13 16:53:00,14760000.0,2,3.1742938303863437e-08,3.1577067354866727e-08,3.1742938303863437e-08,3.1742938303863437e-08,246.15494802947057
40,2021-12-13 20:18:00,9212294.589197293,2,3.141204712079163e-08,3.130992498194622e-08,3.141204712079163e-08,3.141204712079163e-08,150.49951515031813
41,2021-12-14 09:37:00,15833461.783907209,1,3.15786911809892e-08,3.15786911809892e-08,3.15786911809892e-08,3.15786911809892e-08,267.515869140625
