,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-11-02 07:55:00,2001.909248716,1,9.248999600267189e-06,9.248999600267189e-06,9.248999600267189e-06,9.248999600267189e-06,10.035007384927418
1,2021-11-02 12:04:00,276.263483721,1,9.266516028536578e-06,9.266516028536578e-06,9.266516028536578e-06,9.266516028536578e-06,1.39580046875
2,2021-11-03 10:45:00,4990.906465307,1,9.372802658270826e-06,9.372802658270826e-06,9.372802658270826e-06,9.372802658270826e-06,25.910762441027728
3,2021-11-04 03:38:00,17515.475104576,1,9.095608217781222e-06,9.095608217781222e-06,9.095608217781222e-06,9.095608217781222e-06,89.296442103503
4,2021-11-04 13:08:00,38809.920023247,2,8.642328935337694e-06,8.536312393918248e-06,8.642328935337694e-06,8.642328935337694e-06,186.2672876113292
5,2021-11-04 23:55:00,4491.224298876,1,9.057135398862522e-06,9.057135398862522e-06,9.057135398862522e-06,9.057135398862522e-06,22.702507644327973
6,2021-11-06 20:50:00,10095.058910363,1,9.311072950749448e-06,9.311072950749448e-06,9.311072950749448e-06,9.311072950749448e-06,58.69160090992828
7,2021-11-07 00:18:00,8304.2135235,1,9.63366365443385e-06,9.63366365443385e-06,9.63366365443385e-06,9.63366365443385e-06,50.860048828125
8,2021-11-07 01:48:00,1199.866375734,1,9.81050243155248e-06,9.81050243155248e-06,9.81050243155248e-06,9.81050243155248e-06,7.463306627905489
9,2021-11-07 04:40:00,13537.676115548,1,1.0094139579820033e-05,1.0094139579820033e-05,1.0094139579820033e-05,1.0094139579820033e-05,88.37724863726083
10,2021-11-07 04:56:00,6815.231015384,1,1.0504642082926576e-05,1.0504642082926576e-05,1.0504642082926576e-05,1.0504642082926576e-05,46.300842426770515
11,2021-11-07 15:41:00,4165.710578564,1,1.1254782303185869e-05,1.1254782303185869e-05,1.1254782303185869e-05,1.1254782303185869e-05,31.04334704735122
12,2021-11-07 18:43:00,8881.444520779,1,1.1370863174837631e-05,1.1370863174837631e-05,1.1370863174837631e-05,1.1370863174837631e-05,66.41998371955229
13,2021-11-07 21:55:00,2999.917910001,1,1.1520312074857585e-05,1.1520312074857585e-05,1.1520312074857585e-05,1.1520312074857585e-05,22.694118151297957
14,2021-11-08 02:01:00,131696.05791641,6,1.233011243138786e-05,1.1614033817096802e-05,1.1614033817096802e-05,1.233011243138786e-05,1030.1807874798092
15,2021-11-08 02:02:00,40273.240529687,3,1.2155839436169584e-05,1.1848987796289528e-05,1.1848987796289528e-05,1.2155839436169584e-05,312.5900544329377
16,2021-11-08 02:03:00,11642.884306267,2,1.1927312682478733e-05,1.1799108218649231e-05,1.1799108218649231e-05,1.1927312682478733e-05,88.98505790717638
17,2021-11-08 02:09:00,6425.134296852,1,1.1894001667168716e-05,1.1894001667168716e-05,1.1894001667168716e-05,1.1894001667168716e-05,49.11709345309848
18,2021-11-08 02:11:00,17093.668539516,2,1.1749504268799867e-05,1.1528876017010878e-05,1.1749504268799867e-05,1.1528876017010878e-05,127.29563214486524
19,2021-11-08 02:13:00,68305.949283192,2,1.2268524343408053e-05,1.2025617796126774e-05,1.2268524343408053e-05,1.2268524343408053e-05,531.5363806021978
20,2021-11-08 02:15:00,23242.764528412,2,1.2177193888108484e-05,1.2126245144108618e-05,1.2126245144108618e-05,1.2126245144108618e-05,181.5468560719973
21,2021-11-08 02:18:00,33247.323817981,3,1.2249211489059009e-05,1.217311851505815e-05,1.2208999049855467e-05,1.2249211489059009e-05,260.9371717205494
22,2021-11-08 02:25:00,33894.391336919,2,1.2579990501212411e-05,1.2388035740966092e-05,1.2388035740966092e-05,1.2388035740966092e-05,271.3948903540238
23,2021-11-08 02:26:00,81164.127242119,2,1.2763914425496621e-05,1.2762346022213763e-05,1.2762346022213763e-05,1.2762346022213763e-05,665.80205374577
24,2021-11-08 02:28:00,500.986689729,1,1.2270545105074537e-05,1.2270545105074537e-05,1.2270545105074537e-05,1.2270545105074537e-05,3.9510497511365594
25,2021-11-08 02:29:00,20243.961076754,2,1.2424147152002426e-05,1.2363838926562657e-05,1.2363838926562657e-05,1.2363838926562657e-05,161.26959672760887
26,2021-11-08 02:34:00,1295.07566062,1,1.230904395126155e-05,1.230904395126155e-05,1.230904395126155e-05,1.230904395126155e-05,10.245706675213475
27,2021-11-08 02:42:00,6280.53567842,1,1.241641074336044e-05,1.241641074336044e-05,1.241641074336044e-05,1.241641074336044e-05,50.12047895223992
28,2021-11-08 02:45:00,18292.120347562,2,1.2593346424092228e-05,1.2435724290191529e-05,1.2593346424092228e-05,1.2593346424092228e-05,146.81126576253507
29,2021-11-08 02:47:00,1264.745156113,1,1.2345753470381264e-05,1.2345753470381264e-05,1.2345753470381264e-05,1.2345753470381264e-05,10.035593917740941
