,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2022-02-22 21:52:00,43299256.955394976,28,1.1993562420855058e-07,9.08922305764411e-08,1.1172013341055157e-07,1.1993562420855058e-07,1668.102905889569
1,2022-02-22 21:53:00,29952787.42136581,11,1.5170226499208122e-07,1.2151136273112032e-07,1.2778623900652607e-07,1.5170226499208122e-07,1493.6568884720944
2,2022-02-22 21:54:00,21328813.001455124,12,1.49919966871324e-07,1.2744544728899628e-07,1.4173987960640003e-07,1.2744544728899628e-07,1087.805978588496
3,2022-02-22 21:55:00,14729542.738532923,12,1.4310068852776716e-07,1.273248140904792e-07,1.273248140904792e-07,1.4310068852776716e-07,733.0913765159195
4,2022-02-22 21:56:00,14727588.794721702,5,1.5501352533211774e-07,1.4360596618783602e-07,1.4360596618783602e-07,1.5501352533211774e-07,821.7771999335667
5,2022-02-22 21:57:00,5590128.407700818,3,1.5933605189311177e-07,1.5348026716602802e-07,1.5348026716602802e-07,1.5933605189311177e-07,323.2267913032847
6,2022-02-22 21:58:00,168851.01315984805,1,1.599042818560977e-07,1.599042818560977e-07,1.599042818560977e-07,1.599042818560977e-07,9.930563415527343
7,2022-02-22 21:59:00,508835.82716963865,3,1.60024363714e-07,1.5868227016294197e-07,1.60024363714e-07,1.5868227016294197e-07,29.73187612304555
8,2022-02-22 22:00:00,419642.89140975446,3,1.5942367033727916e-07,1.5857374203473422e-07,1.5942367033727916e-07,1.592008776409443e-07,24.830206812290204
9,2022-02-22 22:01:00,5967.303786745413,1,1.5840610988549695e-07,1.5840610988549695e-07,1.5840610988549695e-07,1.5840610988549695e-07,0.35193595549752116
10,2022-02-22 22:03:00,50252148.40253294,18,2.6056574621610726e-07,1.6118808766449163e-07,1.7180689635977911e-07,2.6056574621610726e-07,3831.369647710145
11,2022-02-22 22:04:00,49581162.482474476,17,2.751314806299501e-07,2.0341895944525884e-07,2.664905230758693e-07,2.34002072355061e-07,4324.871421668891
12,2022-02-22 22:05:00,13966724.940772405,11,2.7360472445258855e-07,2.417138638717125e-07,2.417138638717125e-07,2.7360472445258855e-07,1322.7952724532847
13,2022-02-22 22:06:00,16741558.007511498,11,3.282952488062621e-07,2.766693542492881e-07,2.766693542492881e-07,3.282952488062621e-07,1899.5237860382724
14,2022-02-22 22:07:00,6384649.53482279,6,3.6051721793936183e-07,3.3767286083971265e-07,3.3767286083971265e-07,3.6051721793936183e-07,837.049480226518
15,2022-02-22 22:08:00,14635783.495304365,9,4.5009157009105605e-07,3.6765136940733034e-07,3.6765136940733034e-07,4.5009157009105605e-07,2219.5108754127023
16,2022-02-22 22:09:00,1194339.8983128713,5,4.5846410999186914e-07,4.532614526832181e-07,4.532614526832181e-07,4.5760785316657255e-07,202.6935505953419
17,2022-02-22 22:10:00,13234307.798247302,19,4.6108447941806216e-07,4.2686699452664317e-07,4.602429516717794e-07,4.3746014067738197e-07,2207.1648384580485
18,2022-02-22 22:11:00,21690006.982066713,11,4.4361410559826874e-07,3.74001692220433e-07,4.3681679414787865e-07,3.9944397830341966e-07,3259.6450505438766
19,2022-02-22 22:12:00,3636381.798827012,5,4.175804952602875e-07,3.9861943154298847e-07,4.0012763330229247e-07,4.175804952602875e-07,552.8438116742246
20,2022-02-22 22:13:00,14055240.320450712,8,4.206780956924231e-07,3.5819387272553006e-07,4.206780956924231e-07,3.5819387272553006e-07,2020.2295806876025
21,2022-02-22 22:14:00,4896003.946582433,5,3.533599709680933e-07,3.476484387346856e-07,3.533599709680933e-07,3.476484387346856e-07,639.5042945599832
22,2022-02-22 22:15:00,658538.7901258116,5,3.463445227768927e-07,3.427694055917941e-07,3.427694055917941e-07,3.463445227768927e-07,84.50076522885638
23,2022-02-22 22:16:00,1526.8311221368888,1,3.463705953331568e-07,3.463705953331568e-07,3.463705953331568e-07,3.463705953331568e-07,0.1968999392520505
24,2022-02-22 22:17:00,30000.0,1,3.4644177911567735e-07,3.4644177911567735e-07,3.4644177911567735e-07,3.4644177911567735e-07,3.869591115156109
25,2022-02-22 22:18:00,985360.0,1,3.4874952360063166e-07,3.4874952360063166e-07,3.4874952360063166e-07,3.4874952360063166e-07,127.94464502963238
26,2022-02-22 22:19:00,2138600.636848786,2,3.607487031574773e-07,3.556759682550044e-07,3.607487031574773e-07,3.607487031574773e-07,283.4647230429556
27,2022-02-22 22:20:00,1901127.213706793,2,3.6774524096629766e-07,3.630886432933879e-07,3.6774524096629766e-07,3.6774524096629766e-07,258.8586094521102
28,2022-02-22 22:21:00,6455528.100249202,4,3.978448092084386e-07,3.7714344414675185e-07,3.7714344414675185e-07,3.978448092084386e-07,930.7939910888672
29,2022-02-22 22:22:00,4017025.395175426,3,4.251990888257302e-07,4.112480951373271e-07,4.112480951373271e-07,4.251990888257302e-07,623.2340271040648
30,2022-02-22 22:23:00,7427790.606568016,9,4.292295930367985e-07,4.0484581996101314e-07,4.292295930367985e-07,4.078981526850742e-07,1138.6280956552953
31,2022-02-22 22:24:00,15480626.845801294,8,4.675088121050172e-07,4.136081342478336e-07,4.492735907205518e-07,4.5521092792141423e-07,2581.961608553561
32,2022-02-22 22:25:00,13485875.24674886,8,5.520279102487388e-07,4.5929767185396704e-07,4.5929767185396704e-07,5.520279102487388e-07,2540.6112643017896
33,2022-02-22 22:26:00,3711824.57029353,5,5.914157981578518e-07,5.726724006901509e-07,5.726724006901509e-07,5.914157981578518e-07,792.9026121464116
34,2022-02-22 22:27:00,1788158.2779931864,5,6.022674717528952e-07,5.92772072900751e-07,5.92772072900751e-07,6.022674717528952e-07,399.0363556155437
35,2022-02-22 22:28:00,223073.7416591035,1,6.037469076407247e-07,6.037469076407247e-07,6.037469076407247e-07,6.037469076407247e-07,50.143764307228906
36,2022-02-22 22:29:00,5192069.110368894,4,6.461847851707365e-07,6.007721283759734e-07,6.007721283759734e-07,6.461847851707365e-07,1213.182827084961
37,2022-02-22 22:30:00,2020090.5422233066,5,6.423093241840423e-07,6.26020601009045e-07,6.423093241840423e-07,6.269920032816645e-07,475.7530810960045
38,2022-02-22 22:31:00,6327651.02801232,8,6.698749126447424e-07,6.208336399400425e-07,6.208336399400425e-07,6.647478734503886e-07,1523.6264538237958
39,2022-02-22 22:32:00,8101820.995218602,4,6.68200430969723e-07,6.007628632547157e-07,6.68200430969723e-07,6.007628632547157e-07,1876.254480362558
40,2022-02-22 22:33:00,957480.5232610864,3,5.824396127977664e-07,5.734117254951172e-07,5.75049884539574e-07,5.734117254951172e-07,205.03264630458503
41,2022-02-22 22:34:00,2120063.1693748045,3,5.846444640636676e-07,5.697847385266726e-07,5.697847385266726e-07,5.846444640636676e-07,457.7292142090551
42,2022-02-22 22:35:00,99999.99999999999,1,5.869234191477456e-07,5.869234191477456e-07,5.869234191477456e-07,5.869234191477456e-07,21.852191670882164
43,2022-02-22 22:37:00,2924585.979638711,3,5.72726367817308e-07,5.575537981336484e-07,5.72726367817308e-07,5.59851361914732e-07,621.0661100329044
44,2022-02-22 22:41:00,7452222.087422102,6,5.595284325070413e-07,4.959465904856204e-07,5.595284325070413e-07,5.022772809402985e-07,1456.386145693135
45,2022-02-22 22:42:00,609971.984821542,2,4.992924287751051e-07,4.969174241818054e-07,4.969174241818054e-07,4.992924287751051e-07,113.3828939639101
46,2022-02-22 22:44:00,508766.7450890484,3,5.020708909902573e-07,4.975965136826563e-07,5.020708909902573e-07,4.975965136826563e-07,94.55772877624976
47,2022-02-22 22:45:00,1840.3700296048123,1,4.993560997063941e-07,4.993560997063941e-07,4.993560997063941e-07,4.993560997063941e-07,0.3421598711242676
48,2022-02-22 22:48:00,1273463.731066306,2,5.044616323260466e-07,4.994394612923396e-07,5.044616323260466e-07,5.044616323260466e-07,239.14541048606
49,2022-02-22 22:51:00,4079326.345300433,1,5.264252067723473e-07,5.264252067723473e-07,5.264252067723473e-07,5.264252067723473e-07,799.5372256215037
50,2022-02-22 22:52:00,1971203.2848712534,2,5.355763333366942e-07,5.35456102131427e-07,5.355763333366942e-07,5.35456102131427e-07,393.03705950765715
51,2022-02-22 22:53:00,462638.3347732115,1,5.403789120124507e-07,5.403789120124507e-07,5.403789120124507e-07,5.403789120124507e-07,93.07939910888672
52,2022-02-22 22:55:00,330951.0157361236,1,5.438871356826987e-07,5.438871356826987e-07,5.438871356826987e-07,5.438871356826987e-07,67.01716735839844
53,2022-02-22 22:56:00,321413.1821719213,1,5.467968575928387e-07,5.467968575928387e-07,5.467968575928387e-07,5.467968575928387e-07,65.43396794498635
54,2022-02-22 22:57:00,2345000.0,1,5.589757478276903e-07,5.589757478276903e-07,5.589757478276903e-07,5.589757478276903e-07,488.03320867339
55,2022-02-22 22:58:00,2128169.7602380337,1,5.802615106521757e-07,5.802615106521757e-07,5.802615106521757e-07,5.802615106521757e-07,459.77313825027466
56,2022-02-22 23:03:00,1968645.56062394,2,6.095111519457176e-07,5.99288443032851e-07,5.99288443032851e-07,6.095111519457176e-07,439.32926887044874
57,2022-02-22 23:07:00,1327860.8913488172,1,6.181938676606267e-07,6.181938676606267e-07,6.181938676606267e-07,6.181938676606267e-07,304.8853157347649
