,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2022-02-09 22:00:00,677269756207.4452,120,1.269127003848267e-10,7.493712189300109e-11,7.493712189300109e-11,1.269127003848267e-10,28886.579531325322
1,2022-02-09 22:01:00,1266789871413.3213,260,1.8256589493768247e-10,1.2820482234000327e-10,1.2820482234000327e-10,1.699919707391234e-10,88812.42868530286
2,2022-02-09 22:02:00,747826611906.2727,161,1.9058588136415402e-10,1.6595857459534076e-10,1.7088690479609564e-10,1.779455379547641e-10,56540.984022104
3,2022-02-09 22:03:00,445599850437.0831,87,1.8020430401753394e-10,1.5237266776512907e-10,1.7939893701830584e-10,1.5536948058025752e-10,30676.45062407475
4,2022-02-09 22:04:00,234134243411.2998,55,1.611148328138423e-10,1.4910363341201083e-10,1.5552217503320625e-10,1.562241974799706e-10,15336.394938232374
5,2022-02-09 22:05:00,235821763862.9183,59,1.6659290540768148e-10,1.5336585677446498e-10,1.533843524298551e-10,1.662302351676635e-10,15931.750853487554
6,2022-02-09 22:06:00,197247601870.4324,50,1.783545818635937e-10,1.6583093965684483e-10,1.6799931017880454e-10,1.710882134198572e-10,14366.811185117078
7,2022-02-09 22:07:00,83339285219.189,23,1.740935692826148e-10,1.65912212695208e-10,1.7179175044190444e-10,1.6670749793658133e-10,6031.302516535351
8,2022-02-09 22:08:00,146395630916.97348,25,1.6427130742873188e-10,1.4764588115166498e-10,1.6024199743685418e-10,1.487266159921919e-10,9743.994977139804
9,2022-02-09 22:09:00,182543314752.19904,35,1.4880993793720379e-10,1.2881609909373252e-10,1.4880993793720379e-10,1.296196578412854e-10,10686.610832512757
10,2022-02-09 22:10:00,159169500598.40472,44,1.302674342661861e-10,1.2286304922208422e-10,1.2819564671163402e-10,1.2772492731676021e-10,8585.029059207749
11,2022-02-09 22:11:00,186643126161.55902,59,1.4102369222216461e-10,1.2790262225025946e-10,1.2791825603120036e-10,1.3664515653803638e-10,10820.32609694129
12,2022-02-09 22:12:00,111192070561.1257,29,1.407643438182121e-10,1.362282706383139e-10,1.3886837304982085e-10,1.388174567009968e-10,6558.671592398066
13,2022-02-09 22:13:00,51789987025.46332,22,1.437674811302375e-10,1.3936218644368578e-10,1.3936218644368578e-10,1.427934669934697e-10,3130.6299855555812
14,2022-02-09 22:14:00,41172797458.314964,23,1.4723931635438994e-10,1.4353593632973426e-10,1.4354780909312684e-10,1.4723931635438994e-10,2554.152312996616
15,2022-02-09 22:15:00,36389181871.0001,20,1.4797197816677574e-10,1.4561825028566984e-10,1.4734315798250863e-10,1.4657521025732316e-10,2272.696629244981
16,2022-02-09 22:16:00,57295583553.766426,14,1.4408285220077638e-10,1.3822874131045636e-10,1.4408285220077638e-10,1.3822874131045636e-10,3447.421982125316
17,2022-02-09 22:17:00,64792415102.97509,18,1.3813678370419487e-10,1.2989173848662783e-10,1.3813678370419487e-10,1.3086750136797746e-10,3681.2842600143263
18,2022-02-09 22:18:00,46250301160.407234,16,1.3201296519364933e-10,1.2942938372093024e-10,1.304516188016837e-10,1.305309176452304e-10,2576.5403725360065
19,2022-02-09 22:19:00,58069720409.3702,30,1.342106240178406e-10,1.3189505774048639e-10,1.327916654259526e-10,1.3299625575855517e-10,3288.866095129734
20,2022-02-09 22:20:00,38979061086.94233,14,1.337507343042129e-10,1.3120114195643795e-10,1.3363844615382226e-10,1.3272841100693553e-10,2196.9626121669776
21,2022-02-09 22:21:00,11373135778.14061,10,1.329552057202091e-10,1.3215197450856534e-10,1.329552057202091e-10,1.3292116695495529e-10,642.4396759444212
22,2022-02-09 22:22:00,6781416648.627331,11,1.3385608087035753e-10,1.330773046292742e-10,1.331451776666599e-10,1.3385608087035753e-10,385.46554116392804
23,2022-02-09 22:23:00,21139526523.718216,8,1.3498623841122023e-10,1.3323963343332082e-10,1.3323963343332082e-10,1.3361493575654965e-10,1205.9987054278981
24,2022-02-09 22:24:00,43034589264.26082,14,1.3384671590023287e-10,1.2981004326684107e-10,1.3381426941016493e-10,1.2981004326684107e-10,2410.089203674815
25,2022-02-09 22:25:00,40565704203.50991,13,1.305615057322216e-10,1.2828338332114537e-10,1.305615057322216e-10,1.2828338332114537e-10,2241.607964041834
