,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-27 17:00:00,80901056.77912931,133,4.994320424347452e-07,3.881340436213294e-07,3.881340436213294e-07,4.859499327930727e-07,20787.791954709137
1,2021-12-27 17:01:00,89088030.513915,244,6.315615074638641e-07,4.865152011888538e-07,4.865152011888538e-07,6.298814180216066e-07,29004.02950169625
2,2021-12-27 17:02:00,35915802.91233123,83,6.573917836221786e-07,6.148875156076898e-07,6.286436561024123e-07,6.554937933653339e-07,12744.28473509546
3,2021-12-27 17:03:00,36253734.36011035,56,7.423646208585703e-07,6.484792727993769e-07,6.587216124218218e-07,7.064131261525489e-07,14273.365941136599
4,2021-12-27 17:04:00,45572842.78431851,157,7.138051323554303e-07,6.000814055116576e-07,7.062978891813501e-07,6.066152666021639e-07,16447.096571640748
5,2021-12-27 17:05:00,36946806.686201856,125,6.232509734328386e-07,5.6184298861118e-07,6.177445116742485e-07,5.698049513762691e-07,12275.859683739594
6,2021-12-27 17:06:00,12570781.152088774,64,5.732733912597095e-07,5.470181058341687e-07,5.732733912597095e-07,5.506489536965405e-07,3955.2352660652837
7,2021-12-27 17:07:00,13144651.971933825,45,5.505357257991618e-07,5.362407527458162e-07,5.479081369278342e-07,5.441818583278571e-07,4002.450033450141
8,2021-12-27 17:08:00,9999145.349523183,69,5.279776867730124e-07,5.060183799318903e-07,5.268354865480082e-07,5.071947857971005e-07,2902.8001913122816
9,2021-12-27 17:09:00,24953352.72774259,50,5.152414135068506e-07,4.594042147674859e-07,5.148584981927231e-07,4.719196577378965e-07,6802.620624897919
10,2021-12-27 17:10:00,38283385.634192415,85,4.7048773311656773e-07,4.1262844585147773e-07,4.701027112226223e-07,4.2255863553499847e-07,9423.624397134015
11,2021-12-27 17:11:00,21425369.76952614,66,4.243570081181445e-07,3.959205674108687e-07,4.243570081181445e-07,3.9596264091878e-07,4901.108073188485
12,2021-12-27 17:12:00,15545968.974799007,34,4.1613560377784164e-07,4.036119484538881e-07,4.042627494447346e-07,4.135193642429863e-07,3555.7215693426137
13,2021-12-27 17:13:00,24364216.561614953,45,4.622241348995166e-07,4.13600387129082e-07,4.15501126231638e-07,4.622241348995166e-07,6006.267311811845
14,2021-12-27 17:14:00,19403421.26529839,30,5.043945505030987e-07,4.644565310559958e-07,4.644565310559958e-07,4.938502357941617e-07,5312.499943589542
15,2021-12-27 17:15:00,12758333.49138511,24,5.430002064809095e-07,5.138927438009627e-07,5.138927438009627e-07,5.430002064809095e-07,3794.6599213512177
16,2021-12-27 17:16:00,7551997.693601684,26,5.599519541356174e-07,5.435167023073384e-07,5.435167023073384e-07,5.506928564446259e-07,2350.0860294926542
17,2021-12-27 17:17:00,14830617.393367136,9,6.052417001943741e-07,5.783485328742176e-07,5.783485328742176e-07,6.052417001943741e-07,4927.793318950587
18,2021-12-27 17:18:00,3197536.426189714,19,6.21925367374939e-07,6.155100624335312e-07,6.174698516810015e-07,6.195893060772647e-07,1110.1886765379115
19,2021-12-27 17:19:00,653685.9886993894,11,6.214881548764386e-07,6.172572874255172e-07,6.202156884693695e-07,6.214881548764386e-07,227.75472737612475
20,2021-12-27 17:20:00,993781.6902082121,19,6.224982909536783e-07,6.16559869180132e-07,6.21905705670645e-07,6.16559869180132e-07,345.6194011567034
21,2021-12-27 17:21:00,2661164.4292921494,28,6.201947773355999e-07,6.102029084392372e-07,6.164829709561295e-07,6.102477302246929e-07,918.9919686696296
22,2021-12-27 17:22:00,16112143.532510519,66,6.100465860213857e-07,5.584466342839168e-07,6.100465860213857e-07,5.598594188960193e-07,5250.5855618688065
23,2021-12-27 17:23:00,1794489.8458858875,29,5.674153412354994e-07,5.607907797946747e-07,5.646790197718156e-07,5.618287189763134e-07,567.4010809317534
24,2021-12-27 17:24:00,4263244.09829701,29,5.597427412026347e-07,5.455019961255843e-07,5.595957157421723e-07,5.455019961255843e-07,1322.5839539098108
25,2021-12-27 17:25:00,2793841.4428634527,5,5.449764189657347e-07,5.38007948909316e-07,5.400682418032967e-07,5.38007948909316e-07,847.6268009887087
26,2021-12-27 17:26:00,5129116.201754735,14,5.350578289539201e-07,5.270521672765276e-07,5.343479707828833e-07,5.339860800577111e-07,1533.9776778561493
27,2021-12-27 17:27:00,32168.491782509245,3,5.329619492438793e-07,5.328988869442887e-07,5.328988869442887e-07,5.328988869442887e-07,9.629807104185637
28,2021-12-27 17:28:00,189818.88122579528,2,5.328763413797586e-07,5.325514139935254e-07,5.328763413797586e-07,5.325514139935254e-07,56.78274911932211
29,2021-12-27 17:29:00,1039825.1725724861,10,5.349307200414414e-07,5.290135965322626e-07,5.349307200414414e-07,5.293691779820321e-07,309.9318187531942
30,2021-12-27 17:30:00,6670647.67205887,9,5.324303315547411e-07,5.181448765722042e-07,5.324303315547411e-07,5.181448765722042e-07,1954.1959063543604
31,2021-12-27 17:31:00,3936411.772379158,12,5.133776377192751e-07,5.0320478378052e-07,5.132104934822107e-07,5.038842151483785e-07,1117.50344181125
32,2021-12-27 17:32:00,1338406.6572144895,9,5.011698327871862e-07,4.981294976076646e-07,5.005669411555927e-07,4.984649905432134e-07,375.6413055755829
33,2021-12-27 17:33:00,23727.1428363972,3,4.978307909996344e-07,4.97788828897449e-07,4.978080547988874e-07,4.978080547988874e-07,6.634751506917574
34,2021-12-27 17:34:00,17511.12354850209,1,4.977477602515024e-07,4.977477602515024e-07,4.977477602515024e-07,4.977477602515024e-07,4.8959567830134
35,2021-12-27 17:35:00,2832196.6203848156,9,5.0034308045021e-07,4.929571415033178e-07,4.972452207329297e-07,4.964553929571468e-07,785.7900470891182
36,2021-12-27 17:36:00,241162.5088931184,3,4.924721920496716e-07,4.92012841037195e-07,4.92012841037195e-07,4.924721920496716e-07,66.69967510597453
37,2021-12-27 17:37:00,640865.5148223876,8,4.900576287651608e-07,4.886902582635571e-07,4.89509230032017e-07,4.890528318433179e-07,176.14620149164182
38,2021-12-27 17:38:00,348489.8509483204,7,4.883326089962874e-07,4.873286269189157e-07,4.883053900105063e-07,4.873576033551995e-07,95.4934266514862
39,2021-12-27 17:40:00,447179.304,1,4.866392498040505e-07,4.866392498040505e-07,4.866392498040505e-07,4.866392498040505e-07,122.23711142343699
40,2021-12-27 17:42:00,691888.9613931022,5,4.86349825282649e-07,4.848571773597736e-07,4.858747136843599e-07,4.86349825282649e-07,188.47167453866533
41,2021-12-27 17:43:00,521152.8480252884,2,4.87747746761699e-07,4.869664170137554e-07,4.869664170137554e-07,4.87747746761699e-07,142.60213674252137
42,2021-12-27 17:44:00,2087124.3403791415,9,4.87119903013475e-07,4.819744173405565e-07,4.851457511721818e-07,4.846758056067711e-07,565.53894521958
43,2021-12-27 17:45:00,3647074.6639642334,10,4.8172466215575e-07,4.712835723597507e-07,4.8172466215575e-07,4.7480168696675334e-07,973.4024743676521
44,2021-12-27 17:46:00,454781.37547941454,2,4.771840393508012e-07,4.7652434950152316e-07,4.7652434950152316e-07,4.771840393508012e-07,121.77005927109596
45,2021-12-27 17:47:00,275490.5776013423,3,4.780453284474334e-07,4.775684807878955e-07,4.775684807878955e-07,4.780453284474334e-07,73.92807593247825
46,2021-12-27 17:48:00,719059.1081303189,6,4.786159328031988e-07,4.7511809304754984e-07,4.7548021151016386e-07,4.786159328031988e-07,192.67534738634617
47,2021-12-27 17:49:00,4671750.921844523,6,4.762451786907559e-07,4.659120674319625e-07,4.7614577431506784e-07,4.6610803613491335e-07,1232.6029028767425
48,2021-12-27 17:50:00,970365.356484537,8,4.6342972987496543e-07,4.613142705292683e-07,4.6247951295151973e-07,4.613142705292683e-07,252.08278832201032
49,2021-12-27 17:51:00,2712348.514474956,12,4.611281605498451e-07,4.539170474746107e-07,4.611139918664989e-07,4.5409189791982263e-07,696.9284929134012
50,2021-12-27 17:52:00,48598.571838008815,4,4.537424089098607e-07,4.5366584581103333e-07,4.5372911330027624e-07,4.5372911330027624e-07,12.384953404248844
51,2021-12-27 17:55:00,944067.1605213139,4,4.5361918120288197e-07,4.5235203075591613e-07,4.5361262226417235e-07,4.5235203075591613e-07,239.8828343703114
52,2021-12-27 17:56:00,7258189.482773121,9,4.535019770176014e-07,4.3857054761678336e-07,4.535019770176014e-07,4.446624519566275e-07,1802.9049304510845
53,2021-12-27 17:57:00,1220387.344541047,8,4.3253817193947835e-07,4.3013212455798023e-07,4.3208516392679193e-07,4.305077071776404e-07,295.7024301512599
54,2021-12-27 17:58:00,924649.0197320291,4,4.29826651490194e-07,4.286653325749886e-07,4.286653325749886e-07,4.286653325749886e-07,222.66267034113218
55,2021-12-27 17:59:00,2444863.40471087,5,4.314637650158953e-07,4.294608617496781e-07,4.314637650158953e-07,4.3053419473384753e-07,591.5643641817132
56,2021-12-27 18:00:00,1832791.0145942222,2,4.331834379592981e-07,4.308943334360573e-07,4.308943334360573e-07,4.331834379592981e-07,449.31615936708107
57,2021-12-27 18:01:00,773295.3496606366,6,4.360658285438228e-07,4.332398856150947e-07,4.355460260164718e-07,4.3365485379578046e-07,190.3790335630411
58,2021-12-27 18:02:00,2397600.089208947,9,4.3859690062006486e-07,4.3291743713078544e-07,4.3291743713078544e-07,4.3859690062006486e-07,592.8603224702238
59,2021-12-27 18:03:00,3179113.0480511035,2,4.43607198293183e-07,4.3950155502419e-07,4.3950155502419e-07,4.43607198293183e-07,798.5012065448243
60,2021-12-27 18:04:00,2209115.694343756,9,4.4642443884836586e-07,4.436383510023894e-07,4.4463868040286313e-07,4.4518953431550716e-07,556.9648537734713
61,2021-12-27 18:05:00,428689.1554271981,3,4.4762703522685314e-07,4.449124907996861e-07,4.4495871119538447e-07,4.4762703522685314e-07,108.60295647501643
62,2021-12-27 18:06:00,848039.4795772971,4,4.503612059919641e-07,4.486628944002636e-07,4.486628944002636e-07,4.503612059919641e-07,215.7344999079764
63,2021-12-27 18:10:00,631415.0640248429,15,4.4805697088977277e-07,4.4648775070144234e-07,4.477507963218878e-07,4.4683474203492204e-07,159.92786430429754
64,2021-12-27 18:11:00,216782.02046647877,5,4.4638441229478697e-07,4.4608785101252146e-07,4.4638441229478697e-07,4.4626713291021585e-07,54.770889485252766
65,2021-12-27 18:12:00,3284368.2325011618,13,4.509677037044783e-07,4.449350912332497e-07,4.459021728312483e-07,4.4499068835030887e-07,837.4610690468278
66,2021-12-27 18:13:00,598904.7045558606,4,4.523777612209298e-07,4.513633106970622e-07,4.521229903510045e-07,4.521229903510045e-07,153.20699621121784
67,2021-12-27 18:14:00,165394.9733527224,1,4.5345997208787304e-07,4.5345997208787304e-07,4.5345997208787304e-07,4.5345997208787304e-07,42.46792602539063
68,2021-12-27 18:15:00,6288814.839711495,4,4.513815384863699e-07,4.431250400606491e-07,4.512970855911101e-07,4.512970855911101e-07,1578.2140344755
69,2021-12-27 18:16:00,2108098.0514803836,10,4.3733008014444266e-07,4.3164543778387684e-07,4.3733008014444266e-07,4.3280468156687955e-07,516.8840864433228
70,2021-12-27 18:17:00,1964197.0324000032,2,4.364819455761414e-07,4.340044425176448e-07,4.340044425176448e-07,4.364819455761414e-07,483.98751219402357
71,2021-12-27 18:18:00,4300900.05049939,13,4.4091894225968133e-07,4.361133085064483e-07,4.4054819156954973e-07,4.361133085064483e-07,1070.7166147982985
