,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-11-16 23:23:00,17054567.873075336,37,6.312199199096676e-07,4.2631030563857e-07,4.3108427541101434e-07,6.312199199096676e-07,5046.578954710506
1,2021-11-16 23:24:00,23645487.624238662,22,9.950989661543805e-07,4.333232130652371e-07,6.364247644857621e-07,4.565337943235309e-07,9949.066143359301
2,2021-11-16 23:25:00,2528958.4886654494,7,5.41305176043979e-07,4.72286303374365e-07,4.72286303374365e-07,5.41305176043979e-07,755.1560545505895
3,2021-11-16 23:26:00,16660579.933937931,80,1.921292737671358e-06,5.442602374825547e-07,5.442602374825547e-07,1.921292737671358e-06,10042.431585248796
4,2021-11-16 23:27:00,16583684.27578986,66,3.386611473093749e-06,1.384805934648869e-06,2.0547725312177313e-06,1.692293998619649e-06,21799.098214758706
5,2021-11-16 23:28:00,24008833.81754072,358,7.97250434012502e-06,1.92777765240063e-06,2.524586346695933e-06,6.395196521989973e-06,75107.63537704114
6,2021-11-16 23:29:00,8519195.080184449,156,7.705321309771306e-06,6.180182427572636e-06,6.363054136178359e-06,6.616066180975282e-06,34377.17718665114
7,2021-11-16 23:30:00,5614115.5745198745,98,6.554489750031399e-06,3.9703737333797524e-06,6.1005920509931845e-06,4.322467685335413e-06,16175.893039836383
8,2021-11-16 23:31:00,1902206.9525341017,42,5.545674733424014e-06,4.363934809056709e-06,4.363934809056709e-06,5.545674733424014e-06,5556.843750159503
9,2021-11-16 23:32:00,1733138.2281406033,37,6.916125623666988e-06,5.552758161370827e-06,5.552758161370827e-06,6.916125623666988e-06,6338.981532264586
10,2021-11-16 23:33:00,1211882.3326653487,24,8.162867683696725e-06,6.582999466195299e-06,6.582999466195299e-06,7.926565481371125e-06,5317.514029085214
11,2021-11-16 23:34:00,766104.074120977,27,8.600150771048697e-06,7.891677194810895e-06,7.935444419155335e-06,8.600150771048697e-06,3694.580319756484
12,2021-11-16 23:35:00,283204.1079794354,22,8.864819082021807e-06,8.686009200934805e-06,8.782019070113996e-06,8.825311815259747e-06,1468.1627964280144
13,2021-11-16 23:36:00,479585.8168561778,32,8.890179599709197e-06,8.282054941725636e-06,8.88543364794251e-06,8.313949479302896e-06,2411.6637682953988
14,2021-11-16 23:37:00,1148609.541790013,44,8.291492995123776e-06,6.59933535348968e-06,8.255299742494537e-06,6.59933535348968e-06,5034.125028379658
15,2021-11-16 23:38:00,489758.2312571939,30,7.012263186952707e-06,6.5682428075811536e-06,6.589517209831654e-06,7.012263186952707e-06,1950.174168253148
16,2021-11-16 23:39:00,1058238.6369455613,20,7.743942415852815e-06,6.9063054639240234e-06,6.9063054639240234e-06,7.690380951278522e-06,4643.565114873365
17,2021-11-16 23:40:00,234353.58809688876,13,7.940476399430506e-06,7.703526694309705e-06,7.703526694309705e-06,7.940476399430506e-06,1088.6821712659914
18,2021-11-16 23:41:00,305730.3275959808,15,7.979023338305014e-06,7.781338379380641e-06,7.979023338305014e-06,7.889895458512502e-06,1419.5361359897888
19,2021-11-16 23:42:00,39877.33114761002,10,7.952012619193189e-06,7.867771658912332e-06,7.876914479317e-06,7.952012619193189e-06,186.43348261599866
20,2021-11-16 23:43:00,157837.02536476287,3,8.173642428824566e-06,7.995692809707453e-06,7.995692809707453e-06,8.173642428824566e-06,754.36988997049
21,2021-11-16 23:44:00,905628.4112299486,12,8.239869960010995e-06,7.4770273939911085e-06,7.7504450640929e-06,8.162398084544174e-06,4182.993926038285
22,2021-11-16 23:45:00,260996.94767270796,12,8.442593190428248e-06,8.198605901801557e-06,8.198605901801557e-06,8.326306342385566e-06,1282.3261723963847
23,2021-11-16 23:46:00,86244.20740973027,16,8.315716010016e-06,8.252928774798452e-06,8.292671758590107e-06,8.315716010016e-06,421.93490572885895
24,2021-11-16 23:47:00,201698.01565119627,13,8.372109122123659e-06,8.08093940328513e-06,8.358794935287548e-06,8.108364852532776e-06,981.8684017182733
25,2021-11-16 23:48:00,158838.1415988262,8,8.12489766395189e-06,7.940552204358894e-06,8.10966271126807e-06,7.940552204358894e-06,748.277835987357
26,2021-11-16 23:49:00,149333.10614906813,12,7.835358771761488e-06,7.69072500655004e-06,7.835358771761488e-06,7.734793880913344e-06,683.3807859507252
27,2021-11-16 23:50:00,465721.44764958974,14,7.665864441679115e-06,7.0255722890403635e-06,7.654051869675467e-06,7.041924610665999e-06,2017.2183449988888
28,2021-11-16 23:51:00,155599.60266391383,11,7.01101717064886e-06,6.850912002007562e-06,7.005217319124495e-06,6.850912002007562e-06,637.6306016052489
29,2021-11-16 23:52:00,60988.2439614702,9,6.880727870208427e-06,6.7922632510683e-06,6.880727870208427e-06,6.835867302074972e-06,245.81532600820043
30,2021-11-16 23:53:00,41645.2538004812,3,6.901175269440723e-06,6.862638670149839e-06,6.862638670149839e-06,6.901175269440723e-06,169.13589923079883
31,2021-11-16 23:54:00,149685.58030610124,8,6.977960013350138e-06,6.828403375835348e-06,6.860289111396159e-06,6.977960013350138e-06,609.0052671703577
32,2021-11-16 23:55:00,97547.24671027416,12,6.989349284398181e-06,6.9174881203327115e-06,6.93604302154725e-06,6.97096934715039e-06,400.7907376650751
33,2021-11-16 23:56:00,60218.0557413149,6,7.023217362104539e-06,6.968950401392165e-06,6.987141463598121e-06,7.023217362104539e-06,249.2030907884263
34,2021-11-16 23:57:00,9404.760344410186,2,7.055143465859358e-06,7.048447871431055e-06,7.048447871431055e-06,7.055143465859358e-06,39.172955727944
35,2021-11-16 23:58:00,3824.6262411767025,1,7.0595133478175e-06,7.0595133478175e-06,7.0595133478175e-06,7.0595133478175e-06,15.951719970703124
36,2021-11-16 23:59:00,88171.45015066543,4,7.184385914952335e-06,7.10909419040868e-06,7.10909419040868e-06,7.184385914952335e-06,371.18953364972367
37,2021-11-17 00:00:00,201327.146511712,3,7.424112637726569e-06,7.241281810531734e-06,7.241281810531734e-06,7.424112637726569e-06,872.9443289733756
38,2021-11-17 00:01:00,117056.53648136211,2,7.677754384755247e-06,7.584161237326511e-06,7.584161237326511e-06,7.677754384755247e-06,524.5645362407228
39,2021-11-17 00:02:00,196945.10253643297,10,7.900916436263088e-06,7.68912381597565e-06,7.68912381597565e-06,7.900916436263088e-06,912.3702712346154
40,2021-11-17 00:03:00,1760.279687829587,2,8.010101465805995e-06,8.008587225174737e-06,8.008587225174737e-06,8.010101465805995e-06,8.3290517578125
41,2021-11-17 00:04:00,3368.889344867896,2,8.016340322927158e-06,8.013434981959641e-06,8.013434981959641e-06,8.016340322927158e-06,15.949248046875002
42,2021-11-17 00:05:00,8095.472827537068,3,8.030535500182765e-06,8.017428261780435e-06,8.017428261780435e-06,8.030535500182765e-06,38.37348224675797
43,2021-11-17 00:06:00,12.451110633152535,1,8.031412052009106e-06,8.031412052009106e-06,8.031412052009106e-06,8.031412052009106e-06,0.0590712890625
44,2021-11-17 00:07:00,142099.98484032805,5,8.282080512163508e-06,8.034003884008293e-06,8.034003884008293e-06,8.282080512163508e-06,684.6256023045563
45,2021-11-17 00:08:00,389397.55797451583,6,8.288450869805952e-06,7.931596655908107e-06,8.288450869805952e-06,8.078250762557554e-06,1843.314012033414
46,2021-11-17 00:09:00,223374.50950769725,6,8.406781459773226e-06,8.169518808776502e-06,8.169518808776502e-06,8.333313293647476e-06,1089.7346618153451
