,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-21 15:56:00,4251294214.936843,1,2.352224874219523e-12,2.352224874219523e-12,2.352224874219523e-12,2.352224874219523e-12,5.2942626953125
1,2021-12-21 15:58:00,55762122047.92457,2,2.351907543593004e-12,2.350807066650078e-12,2.350807066650078e-12,2.351907543593004e-12,69.41275311683552
2,2021-12-21 15:59:00,709663722782.6078,6,2.3800621095884893e-12,2.357364499205404e-12,2.357364499205404e-12,2.3800621095884893e-12,889.0689031654532
3,2021-12-21 16:00:00,305775394557.54736,5,2.392475814516118e-12,2.3853092917840682e-12,2.3853092917840682e-12,2.392475814516118e-12,384.83980215495615
4,2021-12-21 16:01:00,296663481424.09973,9,2.399881922048734e-12,2.3694535127480207e-12,2.3927330796965952e-12,2.3694535127480207e-12,374.4979067871087
5,2021-12-21 16:02:00,477906920566.91077,6,2.419383888815901e-12,2.401659783494665e-12,2.401659783494665e-12,2.419383888815901e-12,607.7319907031845
6,2021-12-21 16:03:00,15562432996.279583,3,2.421571136189631e-12,2.4211592993307347e-12,2.421460649753155e-12,2.421571136189631e-12,19.87314588727168
7,2021-12-21 16:05:00,319684249722.2746,4,2.4344843494755275e-12,2.4258711336377535e-12,2.4258711336377535e-12,2.4344843494755275e-12,409.4040904499014
8,2021-12-21 16:06:00,694310789462.1948,4,2.409729288155048e-12,2.3902088183050246e-12,2.401355963757481e-12,2.401355963757481e-12,876.9068775580727
9,2021-12-21 16:07:00,779600266139.8132,5,2.398300941206121e-12,2.3668733391819537e-12,2.3797854694896585e-12,2.3668733391819537e-12,976.4463790517675
10,2021-12-21 16:08:00,695027213206.7052,9,2.37807587103305e-12,2.3511974465090988e-12,2.374049533455077e-12,2.3554834791638696e-12,866.1086637902952
11,2021-12-21 16:09:00,908552910937.0718,10,2.362053458358196e-12,2.325922521711672e-12,2.3490250182747636e-12,2.325922521711672e-12,1121.0044024749823
12,2021-12-21 16:10:00,512135048175.7115,9,2.349470177991726e-12,2.325039719217783e-12,2.325180000845946e-12,2.349470177991726e-12,632.2225802663443
13,2021-12-21 16:12:00,1935409134309.894,5,2.3509714709909436e-12,2.2765481518027797e-12,2.305367771821181e-12,2.2765481518027797e-12,2352.4851638440923
14,2021-12-21 16:13:00,761506478907.8754,5,2.288479439526497e-12,2.26892869117136e-12,2.2771372163420158e-12,2.2824635113272485e-12,913.0998246484991
15,2021-12-21 16:14:00,826976921863.1825,4,2.284897660537147e-12,2.256391336778773e-12,2.284897660537147e-12,2.256391336778773e-12,986.1047961735751
16,2021-12-21 16:15:00,414213322048.3463,4,2.2537433639736376e-12,2.2335879955442867e-12,2.2437214297850408e-12,2.2335879955442867e-12,489.0857341335712
17,2021-12-21 16:16:00,607247042149.319,5,2.2244640621907406e-12,2.210117307362028e-12,2.2244640621907406e-12,2.210117307362028e-12,710.9160204554886
18,2021-12-21 16:17:00,1407584217697.6733,4,2.185502716272411e-12,2.1602282245501666e-12,2.185502716272411e-12,2.1602282245501666e-12,1620.8994335627742
19,2021-12-21 16:18:00,376792716593.07416,6,2.1686222122150562e-12,2.1544252601718495e-12,2.1579398957176794e-12,2.1561239083227595e-12,429.34073633406575
20,2021-12-21 16:19:00,35374596359.50057,1,2.1531216371948254e-12,2.1531216371948254e-12,2.1531216371948254e-12,2.1531216371948254e-12,40.16974251354249
21,2021-12-21 16:20:00,226669501298.77637,4,2.1603833679195965e-12,2.14842894595597e-12,2.1506438860273794e-12,2.14842894595597e-12,257.27679369778076
22,2021-12-21 16:21:00,1845756059386.7969,4,2.15936380843811e-12,2.115260301998735e-12,2.15936380843811e-12,2.1459159881648576e-12,2063.0301589611277
23,2021-12-21 16:22:00,1167817552530.1973,4,2.0759088382813867e-12,2.0537352589137126e-12,2.0759088382813867e-12,2.0537352589137126e-12,1273.8845642544568
24,2021-12-21 16:23:00,842551624535.1041,5,2.0388044165462423e-12,2.0232524515112498e-12,2.0388044165462423e-12,2.02541065123548e-12,904.4909612152344
25,2021-12-21 16:24:00,686960051734.4083,8,2.0322802981888134e-12,2.017561112962185e-12,2.021028171882639e-12,2.017561112962185e-12,733.1354944472212
26,2021-12-21 16:25:00,344125330578.00574,4,2.0139281376733014e-12,2.007833090596462e-12,2.013439630972032e-12,2.0139281376733014e-12,364.6001705303709
27,2021-12-21 16:26:00,392667684235.90326,6,2.00359468674302e-12,1.992504444052845e-12,2.00359468674302e-12,1.992504444052845e-12,413.7912429241666
28,2021-12-21 16:27:00,212711192774.4633,2,1.9886408230679734e-12,1.9853280511832173e-12,1.9886408230679734e-12,1.9853280511832173e-12,223.0928196426688
29,2021-12-21 16:29:00,1894158042021.0889,6,1.9953455265689454e-12,1.9281096946901134e-12,1.9848855769246347e-12,1.9281096946901134e-12,1954.5994261159158
30,2021-12-21 16:30:00,833962972503.0321,4,1.935957613190469e-12,1.914902730018047e-12,1.927759328090388e-12,1.914902730018047e-12,842.624735733968
31,2021-12-21 16:31:00,39098677740.38632,2,1.9126586908721796e-12,1.903200235111853e-12,1.903200235111853e-12,1.9126586908721796e-12,39.326753970643466
32,2021-12-21 16:32:00,919728478162.6802,5,1.9109996588461648e-12,1.8903417805917272e-12,1.902365512779373e-12,1.8903417805917272e-12,919.107272462055
33,2021-12-21 16:33:00,1554978006559.1416,5,1.8936220288916725e-12,1.868516259660409e-12,1.889010836517982e-12,1.868516259660409e-12,1536.0022617673067
34,2021-12-21 16:34:00,1095064755531.8931,5,1.8614025395247774e-12,1.8476090342556796e-12,1.8509633840784853e-12,1.8537798033970895e-12,1071.8117016833494
35,2021-12-21 16:35:00,25828008987.30609,1,1.858447549077088e-12,1.858447549077088e-12,1.858447549077088e-12,1.858447549077088e-12,25.3151337890625
36,2021-12-21 16:39:00,249263032839.225,3,1.854352800160753e-12,1.845718156179824e-12,1.846936641223501e-12,1.845718156179824e-12,243.00512236716182
37,2021-12-21 16:40:00,63714000000.0,1,1.8447049673833715e-12,1.8447049673833715e-12,1.8447049673833715e-12,1.8447049673833715e-12,61.98702280561745
38,2021-12-21 16:41:00,460068430372.98334,4,1.8615986523634025e-12,1.854581098615909e-12,1.854581098615909e-12,1.8615986523634025e-12,451.1958130076476
39,2021-12-21 16:42:00,164982360107.8408,5,1.8699404962547183e-12,1.8664578152873665e-12,1.8664578152873665e-12,1.8699404962547183e-12,162.56871806044987
40,2021-12-21 16:43:00,394711371683.0903,5,1.8810433841798697e-12,1.8710797749553028e-12,1.8718391312227603e-12,1.8810433841798697e-12,390.5939444044038
41,2021-12-21 16:44:00,26562637731.26131,1,1.882343180894098e-12,1.882343180894098e-12,1.882343180894098e-12,1.882343180894098e-12,26.369931030273438
42,2021-12-21 16:45:00,449927211297.27673,4,1.894929313123407e-12,1.8831048148532984e-12,1.8831048148532984e-12,1.894929313123407e-12,448.2887338607951
43,2021-12-21 16:46:00,18460288773.843914,1,1.8959616736651996e-12,1.8959616736651996e-12,1.8959616736651996e-12,1.8959616736651996e-12,18.458951721191408
44,2021-12-21 16:47:00,415034647251.2587,4,1.9044792726782155e-12,1.8976756289385195e-12,1.8976756289385195e-12,1.9044792726782155e-12,416.383361347068
45,2021-12-21 16:48:00,15718757802.342468,1,1.908547760404406e-12,1.908547760404406e-12,1.908547760404406e-12,1.908547760404406e-12,15.821958618164063
46,2021-12-21 16:49:00,1376485436757.0955,3,1.9458428838557033e-12,1.9225646845115876e-12,1.9225646845115876e-12,1.9458428838557033e-12,1400.4636534906133
47,2021-12-21 16:50:00,536302092013.4371,2,1.965643412985603e-12,1.9574638088113846e-12,1.9574638088113846e-12,1.965643412985603e-12,553.7685516357421
48,2021-12-21 16:51:00,1752576313332.2773,5,2.0203882035258955e-12,1.989548395796723e-12,1.989548395796723e-12,2.0193544879871828e-12,1842.3221166816713
49,2021-12-21 16:52:00,547110579022.6971,6,2.034376511739437e-12,2.021190006603169e-12,2.021190006603169e-12,2.0303179302713985e-12,585.61435681061
50,2021-12-21 16:53:00,839320698904.911,3,2.061737550847726e-12,2.0416858264803326e-12,2.0416858264803326e-12,2.061737550847726e-12,908.3249506738189
51,2021-12-21 16:54:00,71106284118.58017,1,2.0542546298351545e-12,2.0542546298351545e-12,2.0542546298351545e-12,2.0542546298351545e-12,77.03733451784474
52,2021-12-21 16:55:00,90391598462.05331,2,2.0613345758574017e-12,2.051917434159028e-12,2.051917434159028e-12,2.0613345758574017e-12,97.9110147108624
