,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-19 17:36:00,163455254567.57205,10,7.193292825109395e-13,7.155356077635572e-13,7.189516362334408e-13,7.155356077635572e-13,62.68375239367745
1,2021-12-19 17:39:00,1385116228862.6497,1,7.21961073852353e-13,7.21961073852353e-13,7.21961073852353e-13,7.21961073852353e-13,534.2459716796875
2,2021-12-19 17:40:00,2904513423440.402,2,7.338277344676763e-13,7.277059047206835e-13,7.277059047206835e-13,7.338277344676763e-13,1134.2041978759767
3,2021-12-19 17:41:00,2151808347853.0715,1,7.417017419754787e-13,7.417017419754787e-13,7.417017419754787e-13,7.417017419754787e-13,852.6565708007813
4,2021-12-19 17:47:00,147318857284.6165,2,7.467088285017668e-13,7.463885278658452e-13,7.463885278658452e-13,7.467088285017668e-13,58.76705688476562
5,2021-12-19 17:50:00,2989698939.2712345,1,7.495811414812646e-13,7.495811414812646e-13,7.495811414812646e-13,7.495811414812646e-13,1.1972569458056737
6,2021-12-19 17:54:00,125356492078.37454,1,7.498614426864303e-13,7.498614426864303e-13,7.498614426864303e-13,7.498614426864303e-13,50.21912133789063
7,2021-12-19 17:55:00,1327934174903.876,1,7.530493746592418e-13,7.530493746592418e-13,7.530493746592418e-13,7.530493746592418e-13,534.2459716796875
8,2021-12-19 17:57:00,2625252452854.639,1,7.618308249939899e-13,7.618308249939899e-13,7.618308249939899e-13,7.618308249939899e-13,1068.4910041419987
9,2021-12-19 17:59:00,2610851127257.8955,2,7.737534618688343e-13,7.677992500918161e-13,7.737534618688343e-13,7.737534618688343e-13,1079.1768627929687
10,2021-12-19 18:00:00,64114295309.014824,1,7.79857280798495e-13,7.79857280798495e-13,7.79857280798495e-13,7.79857280798495e-13,26.665216064453123
11,2021-12-19 18:01:00,6290416329595.601,1,7.94859948534033e-13,7.94859948534033e-13,7.94859948534033e-13,7.94859948534033e-13,2666.5216064453125
12,2021-12-19 18:02:00,4265014539291.579,1,8.206302622783912e-13,8.206302622783912e-13,8.206302622783912e-13,8.206302622783912e-13,1866.5651245117188
13,2021-12-19 18:03:00,9369286391221.846,2,8.813129683165363e-13,8.559268622742429e-13,8.559268622742429e-13,8.813129683165363e-13,4277.100656738281
14,2021-12-19 18:04:00,8823812879880.68,1,9.066375396786723e-13,9.066375396786723e-13,9.066375396786723e-13,9.066375396786723e-13,4266.4345703125
15,2021-12-19 18:05:00,12368753413543.021,2,9.717926625389916e-13,9.327500716815934e-13,9.327500716815934e-13,9.717926625389916e-13,6409.819711191887
16,2021-12-19 18:06:00,175524630136.52853,2,1.0134244123464664e-12,1.0128216440559749e-12,1.0128216440559749e-12,1.0134244123464664e-12,94.83490130225745
17,2021-12-19 18:07:00,7048846995884.631,3,1.0354185037789793e-12,1.0040103532769411e-12,1.0040103532769411e-12,1.0354185037789793e-12,3887.600593543034
18,2021-12-19 18:08:00,33570581275.82325,1,1.0598366139419355e-12,1.0598366139419355e-12,1.0598366139419355e-12,1.0598366139419355e-12,18.974611070831696
19,2021-12-19 18:12:00,14150782534.708323,1,1.0600120497370915e-12,1.0600120497370915e-12,1.0600120497370915e-12,1.0600120497370915e-12,7.999564819335937
20,2021-12-19 18:15:00,10612750201.904743,1,1.060103074992627e-12,1.060103074992627e-12,1.060103074992627e-12,1.060103074992627e-12,5.999998462519559
21,2021-12-19 18:19:00,18864162649.94228,1,1.0602113844719844e-12,1.0602113844719844e-12,1.0602113844719844e-12,1.0602113844719844e-12,10.66608642578125
22,2021-12-19 18:23:00,62092627389.70776,1,1.0605088502153332e-12,1.0605088502153332e-12,1.0605088502153332e-12,1.0605088502153332e-12,35.11797269919286
23,2021-12-19 18:24:00,65606091643.45141,1,1.0609786003671391e-12,1.0609786003671391e-12,1.0609786003671391e-12,1.0609786003671391e-12,37.121532188480444
24,2021-12-19 18:25:00,83300782481.68338,1,1.061526704442372e-12,1.061526704442372e-12,1.061526704442372e-12,1.061526704442372e-12,47.15797063695972
25,2021-12-19 18:26:00,9169853799203.256,2,1.132566036586823e-12,1.0964885186753403e-12,1.0964885186753403e-12,1.132566036586823e-12,5363.141413971842
26,2021-12-19 18:28:00,71389914456.32562,1,1.1330580618602187e-12,1.1330580618602187e-12,1.1330580618602187e-12,1.1330580618602187e-12,43.138409572594036
27,2021-12-19 18:29:00,68515086178.04873,2,1.1337161997562343e-12,1.133437883465323e-12,1.133437883465323e-12,1.1337161997562343e-12,41.422026304680095
28,2021-12-19 18:30:00,69639687772.31389,1,1.1341881301952302e-12,1.1341881301952302e-12,1.1341881301952302e-12,1.1341881301952302e-12,42.12277903763744
