,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-09 19:42:00,21668073.18782307,22,1.5596085708412204e-06,1.204192662897485e-06,1.204192662897485e-06,1.5464496301073336e-06,15864.888304713542
1,2021-12-09 19:43:00,376011.36852335953,6,1.5538896862055746e-06,1.5360663180299337e-06,1.5360663180299337e-06,1.5422251951985033e-06,333.52774895199065
2,2021-12-09 19:44:00,945447.9273965104,7,1.582110610894484e-06,1.562323101405192e-06,1.562323101405192e-06,1.5724175966160425e-06,850.2477894685195
3,2021-12-09 19:45:00,530855.6996570816,6,1.601688565585844e-06,1.5860280765380634e-06,1.5860280765380634e-06,1.601688565585844e-06,485.1158654223364
4,2021-12-09 19:46:00,955570.3262944496,10,1.6421607769686766e-06,1.604347372596417e-06,1.604347372596417e-06,1.6421607769686766e-06,889.8557541952723
5,2021-12-09 19:47:00,711989.7213098162,7,1.6733447338405797e-06,1.6443551634629388e-06,1.6443551634629388e-06,1.6733447338405797e-06,677.3103821171338
6,2021-12-09 19:48:00,2062387.8414877981,11,1.6924220539292713e-06,1.65792270759849e-06,1.6613263029500192e-06,1.6689782855670019e-06,1987.9816392048056
7,2021-12-09 19:49:00,1106131.4419587273,5,1.7154636150359853e-06,1.6748528313243295e-06,1.6748528313243295e-06,1.7154636150359853e-06,1076.5968256717608
8,2021-12-09 19:50:00,2377455.843420214,9,1.79548436591726e-06,1.7345645813818416e-06,1.7345645813818416e-06,1.7742256942153674e-06,2404.833785784492
9,2021-12-09 19:51:00,1266408.0743967723,6,1.839615079540583e-06,1.7921512866246816e-06,1.7921512866246816e-06,1.839615079540583e-06,1314.5671531338553
10,2021-12-09 19:52:00,3862046.0143438354,4,2.042196475692933e-06,1.8539652429862526e-06,1.8539652429862526e-06,2.042196475692933e-06,4302.798763928223
11,2021-12-09 19:53:00,1778981.727831274,9,2.0799071082537263e-06,2.0153154800173674e-06,2.052699023849633e-06,2.0199038935481607e-06,2084.298197055905
12,2021-12-09 19:54:00,3930297.953799546,16,2.0220331753377332e-06,1.887793429010147e-06,1.9961230533591584e-06,1.8895558769882576e-06,4444.763871811998
13,2021-12-09 19:55:00,2141192.242103698,9,1.8716858648491162e-06,1.8362843591126442e-06,1.8716858648491162e-06,1.8435262309338954e-06,2271.0346758692476
14,2021-12-09 19:56:00,766926.6283588364,4,1.8648566707411842e-06,1.8438249061440311e-06,1.8554352391721026e-06,1.8568590719982879e-06,818.6113300318458
15,2021-12-09 19:57:00,481506.1769494264,8,1.8829756345026934e-06,1.861195350504221e-06,1.861195350504221e-06,1.8829756345026934e-06,517.427494836566
16,2021-12-09 19:58:00,2334396.7799733365,7,2.0013463042667206e-06,1.9227090597388175e-06,1.9227090597388175e-06,2.0013463042667206e-06,2606.6913031583526
17,2021-12-09 19:59:00,1713437.163907086,8,2.0435092335994185e-06,1.977665795943209e-06,2.0133362077334573e-06,1.977665795943209e-06,1976.7442164515003
18,2021-12-09 20:00:00,314816.862319629,7,1.990493133342148e-06,1.975454049006028e-06,1.983572114165944e-06,1.975454049006028e-06,360.09933544321444
19,2021-12-09 20:01:00,1274195.613851359,7,1.995402584647226e-06,1.9190360007926783e-06,1.982702396036e-06,1.9190360007926783e-06,1430.4724997229393
20,2021-12-09 20:02:00,1210694.345012719,3,1.9268555698366955e-06,1.886253517112538e-06,1.9153550141299467e-06,1.886253517112538e-06,1316.339451879772
21,2021-12-09 20:03:00,367534.68311867607,6,1.8683893161671933e-06,1.8442311540169718e-06,1.8683893161671933e-06,1.8566271521871777e-06,391.8360370853634
22,2021-12-09 20:04:00,16752626.624538187,9,1.7934047750823457e-06,1.4640336164486893e-06,1.7934047750823457e-06,1.4640336164486893e-06,14659.786942463574
23,2021-12-09 20:05:00,1995077.1956070508,5,1.2451954139736277e-06,1.2027784249676018e-06,1.2369664863941591e-06,1.20557375676065e-06,1402.891916828521
24,2021-12-09 20:06:00,6834593.053912454,16,1.3066426247572982e-06,1.1855869991144427e-06,1.1915461942256369e-06,1.3066426247572982e-06,4894.240484352326
25,2021-12-09 20:07:00,5276419.381841626,10,1.468880528108191e-06,1.3353665194883117e-06,1.3353665194883117e-06,1.468880528108191e-06,4228.514720679035
26,2021-12-09 20:08:00,1953360.5794400242,14,1.5537864795075839e-06,1.4834693124601745e-06,1.4883361441689005e-06,1.5537864795075839e-06,1706.376961991355
27,2021-12-09 20:09:00,2948806.361786774,5,1.6320068143047787e-06,1.575536792042315e-06,1.575536792042315e-06,1.6320068143047787e-06,2729.6109853347575
28,2021-12-09 20:10:00,3508084.5338827316,10,1.684888619172372e-06,1.6328406407938927e-06,1.653231761992026e-06,1.6819964258786756e-06,3360.9971350303695
29,2021-12-09 20:11:00,3250246.497913795,7,1.822945114518828e-06,1.6755037222732124e-06,1.685879250107458e-06,1.822945114518828e-06,3287.5939507837093
30,2021-12-09 20:13:00,157712.82562788908,3,1.8363646597879589e-06,1.8260024261784507e-06,1.8260024261784507e-06,1.8362184891693097e-06,166.43362913490358
31,2021-12-09 20:14:00,956965.442168469,6,1.883083675637439e-06,1.8500536363874553e-06,1.8500536363874553e-06,1.883083675637439e-06,1024.9105005883619
32,2021-12-09 20:15:00,216859.31672626288,3,1.8921372855804047e-06,1.886381756539493e-06,1.886381756539493e-06,1.8921372855804047e-06,236.0761932373047
33,2021-12-09 20:16:00,1343285.4819093803,4,1.965802592275335e-06,1.91341946345869e-06,1.91341946345869e-06,1.965802592275335e-06,1494.2491218093844
34,2021-12-09 20:17:00,1312761.6143844393,4,1.9256988611753443e-06,1.8880257292622683e-06,1.9256988611753443e-06,1.8880257292622683e-06,1452.128019069994
35,2021-12-09 20:18:00,972523.5558340648,5,1.8836315569232525e-06,1.8441981481098148e-06,1.8808142844455872e-06,1.8441981481098148e-06,1044.8190627896954
36,2021-12-09 20:19:00,1236672.6391358331,4,1.814484789057947e-06,1.7823445562837928e-06,1.814484789057947e-06,1.7823445562837928e-06,1290.3562915636267
37,2021-12-09 20:20:00,167530.80001326103,1,1.7972309140337926e-06,1.7972309140337926e-06,1.7972309140337926e-06,1.7972309140337926e-06,173.36717777575663
38,2021-12-09 20:21:00,660311.9877208673,4,1.8200223856639524e-06,1.8022030614704636e-06,1.8022030614704636e-06,1.8200223856639524e-06,690.9547119140625
39,2021-12-09 20:22:00,2085636.6839626299,5,1.930080203075291e-06,1.8726835814809099e-06,1.8726835814809099e-06,1.930080203075291e-06,2264.521295573393
40,2021-12-09 20:23:00,757508.5965140575,3,1.975574142575353e-06,1.9409137873033713e-06,1.9409137873033713e-06,1.975574142575353e-06,853.234471352831
41,2021-12-09 20:24:00,228431.25395601345,2,1.9883221544947932e-06,1.981945830068509e-06,1.981945830068509e-06,1.9883221544947932e-06,260.8694101968853
42,2021-12-09 20:25:00,147169.7933473615,3,1.996587454353128e-06,1.9902675896880735e-06,1.9902675896880735e-06,1.996587454353128e-06,168.95905114530873
43,2021-12-09 20:26:00,1032781.93172051,2,2.032509384649285e-06,2.002929486127647e-06,2.002929486127647e-06,2.032509384649285e-06,1205.6987314749636
44,2021-12-09 20:27:00,77065.66475681319,3,2.0619209636836602e-06,2.0582139820795408e-06,2.0582139820795408e-06,2.0619209636836602e-06,91.40036265653828
45,2021-12-09 20:28:00,11394.592941250157,2,2.0626685459580903e-06,2.0623315141827413e-06,2.0623315141827413e-06,2.0626685459580903e-06,13.53119644165039
46,2021-12-09 20:29:00,26681.494049152985,1,2.0494499600053462e-06,2.0494499600053462e-06,2.0494499600053462e-06,2.0494499600053462e-06,31.485877412915514
47,2021-12-09 20:31:00,98496.20780287233,1,2.045792155913614e-06,2.045792155913614e-06,2.045792155913614e-06,2.045792155913614e-06,116.02440659893426
48,2021-12-09 20:32:00,548110.1821943369,6,2.0802962950867896e-06,2.0599889046733918e-06,2.061738076109073e-06,2.0632790518027515e-06,652.3182027389
