,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-02 13:04:00,220047422.1341682,3,1.1327922087157426e-09,1.1310391190805981e-09,1.1319144362652314e-09,1.1319144362652314e-09,155.3026159975901
1,2021-12-02 13:06:00,16503735.513310082,3,1.1302541081514211e-09,1.1301229364627942e-09,1.130188477433124e-09,1.130188477433124e-09,11.630052408541012
2,2021-12-02 13:10:00,3074193471.7172174,12,1.1815862823775597e-09,1.1360625157339169e-09,1.1383229464656969e-09,1.1743304519626003e-09,2221.10757288734
3,2021-12-02 13:11:00,7451912064.743967,34,1.2093962672635012e-09,1.1464926066735708e-09,1.1829049091902937e-09,1.2093962672635012e-09,5454.975153069608
4,2021-12-02 13:12:00,1234669715.4451547,20,1.2154772320753938e-09,1.20736714260597e-09,1.2140098740339515e-09,1.2078396715781494e-09,932.4571339044517
5,2021-12-02 13:13:00,1988612380.7081454,18,1.2205217990731435e-09,1.2040834063430915e-09,1.2154625650806011e-09,1.2111879897956167e-09,1500.8669724878196
6,2021-12-02 13:14:00,884994472.508711,5,1.2165911260827424e-09,1.2040858747674595e-09,1.2052022611506521e-09,1.2165911260827424e-09,669.9955529595209
7,2021-12-02 13:15:00,2859592295.4637527,18,1.2155493925938167e-09,1.173597601391108e-09,1.2148119777018054e-09,1.1746063603054698e-09,2129.8501746211564
8,2021-12-02 13:16:00,384386626.9250105,18,1.1790887226443593e-09,1.1684754047294892e-09,1.1787073945565634e-09,1.1686088253873153e-09,280.88970848508046
9,2021-12-02 13:17:00,4642433395.420059,25,1.1683662800635146e-09,1.1361631340858578e-09,1.1480352470760014e-09,1.1370265286651797e-09,3329.8524303256618
10,2021-12-02 13:18:00,8163442478.601677,19,1.1601865598579242e-09,1.1104107953497363e-09,1.1404680505955937e-09,1.1472577997475653e-09,5781.327376179877
11,2021-12-02 13:19:00,312607241.6514314,4,1.1478197605543014e-09,1.141800815519184e-09,1.1478197605543014e-09,1.142357627128558e-09,223.2572828820329
12,2021-12-02 13:20:00,398805139.8415775,10,1.1446775819775097e-09,1.1385344109006311e-09,1.1408698813973036e-09,1.1385344109006311e-09,283.6052963816515
13,2021-12-02 13:21:00,66802671.356438905,8,1.1437345567329095e-09,1.1374421249751192e-09,1.1437345567329095e-09,1.1374763411445594e-09,47.4567541131263
14,2021-12-02 13:22:00,4956319048.41294,14,1.1879580712793843e-09,1.1313425612794234e-09,1.1367906149663045e-09,1.1783809569441669e-09,3576.933380380466
15,2021-12-02 13:23:00,920579564.0683678,6,1.1810995423078819e-09,1.1693835078766043e-09,1.1745492031057987e-09,1.1693835078766043e-09,671.8789996039615
16,2021-12-02 13:24:00,191179327.09969094,12,1.169040731253109e-09,1.160705494462519e-09,1.169040731253109e-09,1.1607275397854554e-09,138.5912698526172
17,2021-12-02 13:25:00,374902324.1907464,6,1.1697185095972997e-09,1.1653965372198501e-09,1.1669129451893398e-09,1.165704955782564e-09,273.2039757661302
18,2021-12-02 13:27:00,331359266.6181989,5,1.175046178130593e-09,1.169445210551739e-09,1.1727498479424863e-09,1.1697192169070298e-09,242.3571107388484
19,2021-12-02 13:28:00,6340201.807231977,2,1.1692936547607554e-09,1.1692451547196587e-09,1.1692936547607554e-09,1.1692451547196587e-09,4.62243751356011
20,2021-12-02 13:29:00,148744528.30179387,6,1.1767801968476052e-09,1.1710946052804093e-09,1.1754250886893085e-09,1.1711594549148633e-09,109.03169694477471
21,2021-12-02 13:30:00,3277784055.722895,2,1.170990069890357e-09,1.1464349754757652e-09,1.170990069890357e-09,1.1464349754757652e-09,2343.1332202106432
22,2021-12-02 13:31:00,917770661.9286212,5,1.1299413076370998e-09,1.1180992696070788e-09,1.1299413076370998e-09,1.1227741894242938e-09,643.1832834582435
23,2021-12-02 13:32:00,57094551.126609184,4,1.116777849797016e-09,1.1162781998462234e-09,1.116777849797016e-09,1.1162781998462234e-09,39.7449292461077
24,2021-12-02 13:33:00,91556191.10751817,4,1.1160261356419097e-09,1.1153571520304491e-09,1.1160261356419097e-09,1.1160261356419097e-09,63.674101353271034
25,2021-12-02 13:34:00,34774536.0115404,4,1.1146986765578209e-09,1.1144052866238011e-09,1.1144052866238011e-09,1.1144052866238011e-09,24.164958272948237
26,2021-12-02 13:35:00,1080710976.4694407,8,1.1142324858995577e-09,1.1060752689409154e-09,1.1142203373867027e-09,1.1131716217809498e-09,745.6877286149794
27,2021-12-02 13:36:00,438832577.0755734,9,1.1034933056439194e-09,1.0975581864896679e-09,1.0975581864896679e-09,1.102444435071806e-09,300.9206135051498
