,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-02 21:01:00,3554293744.416407,49,7.184199010741754e-09,5.140082348728966e-09,5.140082348728966e-09,6.042259757026449e-09,13564.95246747569
1,2021-12-02 21:02:00,4372161977.018952,61,8.3042351742038e-09,5.528732585039477e-09,6.056278199632672e-09,8.185774918694388e-09,18615.11789836337
2,2021-12-02 21:03:00,2553623662.92984,42,8.31784526724027e-09,7.769429038612206e-09,8.143049867929695e-09,8.10559965857705e-09,12799.44659015631
3,2021-12-02 21:04:00,1372479002.929575,27,8.383621212743334e-09,7.55842653942746e-09,8.344639620772691e-09,7.771055726474187e-09,6743.8601892208735
4,2021-12-02 21:05:00,1451917389.7203948,18,7.784417531889093e-09,6.398070651104245e-09,7.780688439612088e-09,6.398070651104245e-09,6482.18051943741
5,2021-12-02 21:06:00,2618301614.787161,23,8.022523197098644e-09,6.377219799702361e-09,6.377219799702361e-09,7.947593097403878e-09,11744.352372532534
6,2021-12-02 21:07:00,1743846109.9706106,16,8.340722249663377e-09,7.59686738318304e-09,7.94108194281402e-09,7.936181791392495e-09,8670.013550838365
7,2021-12-02 21:08:00,545509443.6799778,9,7.922722351197714e-09,7.2996874744365e-09,7.821386207268835e-09,7.2996874744365e-09,2597.468522672046
8,2021-12-02 21:09:00,452699363.45072937,6,7.3153140227553214e-09,6.79685269007404e-09,7.283624728707268e-09,6.79685269007404e-09,1988.462489631962
9,2021-12-02 21:10:00,663854204.3526609,13,6.979198007171208e-09,6.749758949502736e-09,6.813835402864501e-09,6.9181288551156365e-09,2820.548645926091
10,2021-12-02 21:11:00,574599065.2322133,13,7.687608839424626e-09,6.969974054733907e-09,6.969974054733907e-09,7.3840714101224546e-09,2626.368212246182
11,2021-12-02 21:12:00,429034599.93419445,11,7.667591925979659e-09,7.423134844676624e-09,7.470048884339164e-09,7.667591925979659e-09,2015.7625970278411
12,2021-12-02 21:13:00,269810375.65981936,7,7.65852226110184e-09,7.468357689791631e-09,7.566786908090373e-09,7.65852226110184e-09,1271.3685379210826
13,2021-12-02 21:14:00,1665361824.864515,10,7.668929663025187e-09,5.629582276521783e-09,7.668929663025187e-09,6.944662563261754e-09,6765.285016393671
14,2021-12-02 21:15:00,344007589.1357619,9,5.903657266276964e-09,5.6128763136562116e-09,5.6128763136562116e-09,5.903657266276964e-09,1237.005863167691
15,2021-12-02 21:16:00,608227077.1469963,12,6.326733606982017e-09,5.99656939521676e-09,5.99656939521676e-09,6.260028517465339e-09,2348.5766551259835
16,2021-12-02 21:17:00,307829634.4329344,6,6.412325821965832e-09,6.324467625862891e-09,6.352260475688656e-09,6.404671690541132e-09,1220.9567436493528
17,2021-12-02 21:18:00,195982887.6668401,4,6.6771561798348605e-09,6.5456834904825496e-09,6.5456834904825496e-09,6.6771561798348605e-09,802.8665557411302
18,2021-12-02 21:19:00,90122895.15218486,4,6.811851210632624e-09,6.699377313200473e-09,6.699377313200473e-09,6.811851210632624e-09,379.41096792803535
19,2021-12-02 21:20:00,172312069.77088308,4,7.0446892776313965e-09,6.817340169264854e-09,6.817340169264854e-09,7.0446892776313965e-09,744.1245909252987
20,2021-12-02 21:21:00,301178550.73000824,4,6.964595508096722e-09,6.866033326670105e-09,6.964595508096722e-09,6.9276075593298e-09,1298.556063339848
21,2021-12-02 21:23:00,135429027.44339347,5,7.051405299885124e-09,6.975041280045444e-09,6.9767425005412714e-09,7.051405299885124e-09,593.2221594910413
22,2021-12-02 21:24:00,162231496.17729127,5,7.337076382193709e-09,7.209202452845552e-09,7.209202452845552e-09,7.337076382193709e-09,730.5862733925007
23,2021-12-02 21:25:00,13605261.478825528,1,7.350097618897986e-09,7.350097618897986e-09,7.350097618897986e-09,7.350097618897986e-09,62.32674560546875
24,2021-12-02 21:26:00,13187174.563032951,4,7.379247913355784e-09,7.362151780648147e-09,7.370678250984722e-09,7.379247913355784e-09,60.574178009072085
25,2021-12-02 21:27:00,3827352322.467858,22,9.091231942023379e-09,5.354442181979729e-09,7.520193475886447e-09,6.120781518418752e-09,17543.386751575876
26,2021-12-02 21:28:00,64731714.40926737,6,5.427063401420371e-09,5.381327551361954e-09,5.381327551361954e-09,5.427063401420371e-09,218.26133137264782
27,2021-12-02 21:29:00,1531325054.1288862,10,7.209947978081881e-09,5.49573757358959e-09,5.49573757358959e-09,7.209947978081881e-09,5977.920206674872
28,2021-12-02 21:30:00,1464240938.965354,10,8.941908907411215e-09,7.350167131562498e-09,8.22065789891388e-09,8.439699818019635e-09,7533.144973965118
29,2021-12-02 21:31:00,361152513.26830953,5,8.34556718221161e-09,7.848424037655615e-09,8.34556718221161e-09,7.848424037655615e-09,1826.830521766602
30,2021-12-02 21:32:00,1273023.872364957,1,7.855312234972095e-09,7.855312234972095e-09,7.855312234972095e-09,7.855312234972095e-09,6.232674560546875
31,2021-12-02 21:33:00,36127888.96525128,2,7.798239590535712e-09,7.769432214487746e-09,7.798239590535712e-09,7.769432214487746e-09,175.3709484127932
32,2021-12-02 21:34:00,510579665.39832944,13,7.757128221006817e-09,7.112091315466874e-09,7.288857635993924e-09,7.138471497158792e-09,2350.2591056947886
33,2021-12-02 21:35:00,5895925.540914857,3,7.1556570324100005e-09,7.116506630969993e-09,7.1556570324100005e-09,7.1494674106535976e-09,26.17145873777733
34,2021-12-02 21:36:00,13966584.248339005,1,7.159946785979016e-09,7.159946785979016e-09,7.159946785979016e-09,7.159946785979016e-09,62.32674560546875
35,2021-12-02 21:37:00,450398978.7339977,3,7.055680024371484e-09,6.751787087710253e-09,7.055680024371484e-09,6.751787087710253e-09,1918.1044161421337
36,2021-12-02 21:38:00,99841885.4304453,3,6.581145017318062e-09,6.439861099476441e-09,6.581145017318062e-09,6.439861099476441e-09,404.6079775695549
37,2021-12-02 21:39:00,109252000.0,2,6.389995371473825e-09,6.325698487663642e-09,6.389995371473825e-09,6.325698487663642e-09,434.1049861635342
38,2021-12-02 21:41:00,5833122.100942104,2,6.347288282110157e-09,6.3438733711030704e-09,6.3438733711030704e-09,6.347288282110157e-09,23.071809069838906
39,2021-12-02 21:42:00,51937261.2387509,1,6.380060709936548e-09,6.380060709936548e-09,6.380060709936548e-09,6.380060709936548e-09,206.52769913079763
40,2021-12-02 21:43:00,7793662.028027084,1,6.4154693673132225e-09,6.4154693673132225e-09,6.4154693673132225e-09,6.4154693673132225e-09,31.163372802734376
41,2021-12-02 21:45:00,30000000.0,1,6.438023256798065e-09,6.438023256798065e-09,6.438023256798065e-09,6.438023256798065e-09,120.37831131856332
42,2021-12-02 21:47:00,6588343.994273757,2,6.462085789517873e-09,6.458122324539658e-09,6.458122324539658e-09,6.462085789517873e-09,26.526635805605785
43,2021-12-02 21:48:00,197612674.5137626,2,6.473253865361455e-09,6.342846495855669e-09,6.473253865361455e-09,6.342846495855669e-09,782.47577806036
44,2021-12-02 21:50:00,2905784.459293779,1,6.269970554811951e-09,6.269970554811951e-09,6.269970554811951e-09,6.269970554811951e-09,11.355423838808928
45,2021-12-02 21:51:00,27118786.838142265,3,6.28822294483571e-09,6.272102360386842e-09,6.272102360386842e-09,6.273054020123197e-09,106.26905559185917
46,2021-12-02 21:52:00,282327321.0162788,7,6.2185828204712895e-09,5.985402341270543e-09,6.2185828204712895e-09,5.985402341270543e-09,1077.16548478085
47,2021-12-02 21:53:00,132860359.49213463,2,5.901382763334805e-09,5.863021901115288e-09,5.901382763334805e-09,5.863021901115288e-09,488.638199584241
48,2021-12-02 21:54:00,67099931.31486,2,5.802053335934469e-09,5.800342672100697e-09,5.802053335934469e-09,5.800342672100697e-09,242.64508472103603
