,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2022-01-17 13:10:00,395564525854.17065,6,6.6534193839555474e-12,6.527562738018044e-12,6.527562738018044e-12,6.6534193839555474e-12,1245.2502585650034
1,2022-01-17 13:11:00,90390044628.4995,5,6.683693966624836e-12,6.656010293693276e-12,6.656010293693276e-12,6.683693966624836e-12,288.0556887595907
2,2022-01-17 13:12:00,487657157158.6631,3,6.852127088426019e-12,6.754699738857067e-12,6.754699738857067e-12,6.852127088426019e-12,1577.1003585742874
3,2022-01-17 13:13:00,71777177453.27644,2,6.871876484723017e-12,6.859220270338764e-12,6.859220270338764e-12,6.871876484723017e-12,235.47018780473195
4,2022-01-17 13:14:00,2896031868586.8726,2,6.680768393336747e-12,6.219363542054456e-12,6.680768393336747e-12,6.219363542054456e-12,8816.647313967922
5,2022-01-17 13:15:00,16756500001.0,1,5.967817454793807e-12,5.967817454793807e-12,5.967817454793807e-12,5.967817454793807e-12,47.78764715431318
6,2022-01-17 13:16:00,1826493471.7138734,2,5.97070009512229e-12,5.97044008112535e-12,5.97044008112535e-12,5.97070009512229e-12,5.211261243535597
7,2022-01-17 13:17:00,54412531395.22831,3,5.9845568128415374e-12,5.9720372892487544e-12,5.9720372892487544e-12,5.9845568128415374e-12,155.45527841651938
8,2022-01-17 13:18:00,1336358194.6268482,1,5.986418934808002e-12,5.986418934808002e-12,5.986418934808002e-12,5.986418934808002e-12,3.82302197265625
9,2022-01-17 13:20:00,5010585201.145379,1,5.987324592972144e-12,5.987324592972144e-12,5.987324592972144e-12,5.987324592972144e-12,14.336332397460938
10,2022-01-17 13:22:00,1912679273821.2993,1,6.2739216993895e-12,6.2739216993895e-12,6.2739216993895e-12,6.2739216993895e-12,5734.532958984375
11,2022-01-17 13:23:00,1216840860.358358,1,6.574401189687213e-12,6.574401189687213e-12,6.574401189687213e-12,6.574401189687213e-12,3.82302197265625
12,2022-01-17 13:25:00,31810641326.655415,1,6.579826039615692e-12,6.579826039615692e-12,6.579826039615692e-12,6.579826039615692e-12,100.02386769612488
13,2022-01-17 13:26:00,46965213361.56476,2,6.595310327956978e-12,6.587566088918827e-12,6.587566088918827e-12,6.595310327956978e-12,147.96652834955387
