,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-28 22:00:00,17656327194.872757,429,2.7209961461870424e-08,8.085232182856164e-09,8.085232182856164e-09,2.6125055215532406e-08,167997.2697490474
1,2021-12-28 22:01:00,8870746756.059372,263,2.7575456280898817e-08,2.1030271936312825e-08,2.5158432710826924e-08,2.5371169191008802e-08,115754.11088524733
2,2021-12-28 22:02:00,2970640945.892967,122,2.6123849995237132e-08,2.2391282526250028e-08,2.5537914452527503e-08,2.408079040502957e-08,38225.24450515426
3,2021-12-28 22:03:00,2023072228.099708,74,2.4172554271324993e-08,2.1172731050743577e-08,2.3258874281743513e-08,2.1172731050743577e-08,24782.64447746452
4,2021-12-28 22:04:00,1772247016.6685605,60,2.1270081117339008e-08,1.779134007715617e-08,2.1176809677712736e-08,1.8410590998754793e-08,18280.40470774935
5,2021-12-28 22:05:00,2343891700.452225,92,1.8303303676541185e-08,1.7082629611708787e-08,1.816152518423752e-08,1.743283894504039e-08,22092.394008062252
6,2021-12-28 22:06:00,2410465582.236145,80,2.1529455533768853e-08,1.746701601056462e-08,1.7518197224323416e-08,2.1475678054417277e-08,25030.011123964978
7,2021-12-28 22:07:00,1397191520.911972,59,2.2955996275751403e-08,2.1554099171945916e-08,2.1710068704413456e-08,2.2570768382607945e-08,16673.61124879653
8,2021-12-28 22:08:00,607618218.233681,37,2.3498879362841123e-08,2.2635475243319137e-08,2.2635475243319137e-08,2.318116241438116e-08,7523.052933058312
9,2021-12-28 22:09:00,554785751.6192764,32,2.3781068142814574e-08,2.2944627601492375e-08,2.319735025545793e-08,2.353843063659575e-08,6943.539529408701
10,2021-12-28 22:10:00,651190076.6507452,30,2.3806450842809382e-08,2.2890364305695443e-08,2.339453214734386e-08,2.2919258301356205e-08,8163.561283231127
11,2021-12-28 22:11:00,1060594590.7487882,34,2.27898210330031e-08,2.0792329042210415e-08,2.2690235408866e-08,2.0792329042210415e-08,12403.934862101154
12,2021-12-28 22:12:00,553666601.8018297,21,2.0991141991518002e-08,1.962985954420798e-08,2.091550026769722e-08,1.9790075950257863e-08,6014.349652561264
13,2021-12-28 22:13:00,783312800.0457413,32,2.040509515380576e-08,1.959171552328146e-08,1.9798108950657503e-08,1.9739430659990854e-08,8353.933447591908
14,2021-12-28 22:14:00,830797170.3271011,22,2.228390050776621e-08,2.0133178204945894e-08,2.021990613172846e-08,2.228390050776621e-08,9367.345416792996
