,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-16 17:28:00,6958664.755856775,28,1.1567159500143203e-06,1.1144731255291302e-06,1.116415377067006e-06,1.1567159500143203e-06,4334.39988717341
1,2021-12-16 17:29:00,10350001.445253484,23,1.2449763841580458e-06,1.1773569704525097e-06,1.1844602936850458e-06,1.238827388019372e-06,6805.648748185592
2,2021-12-16 17:30:00,8418932.829337388,12,1.323897862253813e-06,1.2541473714047163e-06,1.2541473714047163e-06,1.312430074886754e-06,5880.625529540737
3,2021-12-16 17:31:00,5588877.700903612,26,1.3440126499485638e-06,1.3047336651680414e-06,1.3108029565451616e-06,1.343455473566348e-06,4024.0195923367396
4,2021-12-16 17:32:00,3330683.562625973,20,1.3719702024793777e-06,1.337223623597175e-06,1.337223623597175e-06,1.3663748406820745e-06,2460.957369401642
5,2021-12-16 17:33:00,1490485.1130031846,13,1.3836852240480953e-06,1.3642011531963033e-06,1.372743241636855e-06,1.3836852240480953e-06,1115.3437606429097
6,2021-12-16 17:34:00,4653384.201339202,17,1.3852728368004343e-06,1.3666462125192158e-06,1.3672551910162402e-06,1.3771798911062297e-06,3468.7927936254955
7,2021-12-16 17:35:00,2314753.9346374287,15,1.38195197684599e-06,1.3507236914609531e-06,1.3818037576123907e-06,1.3548288898934588e-06,1715.4592140958312
8,2021-12-16 17:36:00,932713.4298138096,4,1.3598201451859506e-06,1.3554080291034684e-06,1.3598201451859506e-06,1.3576460847897763e-06,688.1583386670233
9,2021-12-16 17:37:00,1809152.2963111578,6,1.3827565204542277e-06,1.3604103458697282e-06,1.3604103458697282e-06,1.3727219553261173e-06,1347.8303551489291
10,2021-12-16 17:38:00,1535166.081981265,13,1.3777120898011387e-06,1.3655690143273197e-06,1.369352905695416e-06,1.3699278430022632e-06,1144.2521299168293
11,2021-12-16 17:40:00,103691.69601412286,4,1.374542230298e-06,1.3683382247302102e-06,1.3683382247302102e-06,1.374542230298e-06,77.06096094214682
12,2021-12-16 17:42:00,189286.32321273308,4,1.3757146495723934e-06,1.369688698753592e-06,1.3757146495723934e-06,1.3699801843971025e-06,141.29838753859647
13,2021-12-16 17:43:00,476047.0514613046,5,1.3774454054765856e-06,1.3688891562296526e-06,1.3774454054765856e-06,1.3688891562296526e-06,354.6165697091101
14,2021-12-16 17:44:00,99850.3036710675,3,1.3665329753587488e-06,1.3657418963998595e-06,1.3665329753587488e-06,1.3665329753587488e-06,74.06506309073885
15,2021-12-16 17:45:00,1119097.271100003,2,1.3808296218525763e-06,1.3722102608985464e-06,1.3722102608985464e-06,1.3808296218525763e-06,839.0418411254884
16,2021-12-16 17:46:00,143844.33269430048,1,1.390391934488251e-06,1.390391934488251e-06,1.390391934488251e-06,1.390391934488251e-06,108.61383056640624
17,2021-12-16 17:47:00,392213.7057486288,4,1.3920798539441443e-06,1.382790015527098e-06,1.3920798539441443e-06,1.384962471778225e-06,294.96754842048614
18,2021-12-16 17:48:00,22100.000508710767,2,1.387860289780777e-06,1.3876881610027838e-06,1.3876881610027838e-06,1.387860289780777e-06,16.656389718734097
19,2021-12-16 17:49:00,1346421.0300518603,8,1.3976553641818201e-06,1.3810142725822853e-06,1.3810501437046843e-06,1.3976553641818201e-06,1020.9179838386897
20,2021-12-16 17:50:00,35963.46296222479,5,1.4011663506003945e-06,1.3942215955026355e-06,1.4009370822299608e-06,1.3942784535974689e-06,27.3376885253157
21,2021-12-16 17:51:00,356127.6569211669,1,1.4039909293275725e-06,1.4039909293275725e-06,1.4039909293275725e-06,1.4039909293275725e-06,271.5345764160156
22,2021-12-16 17:52:00,85479.46941737058,3,1.3997119297247736e-06,1.3990099724150034e-06,1.3990099724150034e-06,1.3990099724150034e-06,64.94902271602626
23,2021-12-16 17:53:00,225570.34267536533,6,1.4077712113764386e-06,1.4008466721256538e-06,1.4063690976734808e-06,1.4076535073870518e-06,172.2075626624483
24,2021-12-16 17:54:00,1059185.1792662488,1,1.416182957770544e-06,1.416182957770544e-06,1.416182957770544e-06,1.416182957770544e-06,814.603729248047
25,2021-12-16 17:55:00,255935.4209230671,3,1.4173564058215234e-06,1.4152169098074846e-06,1.4152169098074846e-06,1.4152169098074846e-06,196.74946212082335
26,2021-12-16 17:56:00,10066.1,1,1.4206795223124752e-06,1.4206795223124752e-06,1.4206795223124752e-06,1.4206795223124752e-06,7.766270195828422
27,2021-12-16 17:57:00,2416.1155951484593,3,1.413663530906127e-06,1.4136433852231727e-06,1.413663530906127e-06,1.413663530906127e-06,1.8548709471160272
28,2021-12-16 17:58:00,70358.64835026552,1,1.4212893843862852e-06,1.4212893843862852e-06,1.4212893843862852e-06,1.4212893843862852e-06,54.30691528320312
