,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-11-01 00:48:00,83429.74772964262,4,1.0764613748829917e-06,1.075525674536498e-06,1.0764613748829917e-06,1.0764613748829917e-06,47.11136386458234
1,2021-11-01 01:05:00,46148.736331842076,4,1.0747769182941872e-06,1.0741827267926355e-06,1.0747203021451122e-06,1.0747203021451122e-06,26.21353890851561
2,2021-11-01 02:30:00,162644.5671221703,1,1.0809207797486975e-06,1.0809207797486975e-06,1.0809207797486975e-06,1.0809207797486975e-06,92.64073468598409
3,2021-11-01 04:42:00,99474.07916224429,4,1.0770816961657992e-06,1.0757993672340744e-06,1.0766766619165809e-06,1.0766766619165809e-06,55.22407272540919
4,2021-11-01 06:21:00,121470.02370208329,4,1.0751305927463913e-06,1.0737970295505449e-06,1.0737970295505449e-06,1.0737970295505449e-06,67.53849625607234
5,2021-11-01 06:40:00,131625.22791374516,4,1.072675100152486e-06,1.0711646817219909e-06,1.0723926650981564e-06,1.0723926650981564e-06,73.01248515103698
6,2021-11-01 07:28:00,131584.58195649902,4,1.070048689934809e-06,1.0685445731286501e-06,1.0685445731286501e-06,1.0685445731286501e-06,72.9647377922141
7,2021-11-01 08:33:00,80113.1,1,1.0736467050114276e-06,1.0736467050114276e-06,1.0736467050114276e-06,1.0736467050114276e-06,45.37757804670394
8,2021-11-01 10:45:00,11167.344734217006,1,1.0745616156391876e-06,1.0745616156391876e-06,1.0745616156391876e-06,1.0745616156391876e-06,6.403924804687501
9,2021-11-01 11:38:00,2165363.499352623,4,1.0692146698221967e-06,1.047809361339546e-06,1.0687526323127408e-06,1.0687526323127408e-06,1218.7619088332835
10,2021-11-01 11:41:00,2631664.129431445,4,1.0264382119204934e-06,9.98821741875546e-07,1.0248549080089125e-06,1.0248549080089125e-06,1417.948355841874
11,2021-11-01 14:06:00,543536.8231979548,4,9.78937264036242e-07,9.708145344401671e-07,9.774633495316344e-07,9.774633495316344e-07,283.90159772208483
12,2021-11-01 15:12:00,2131989.544173838,4,9.704938158671396e-07,9.524815272635877e-07,9.704130086305032e-07,9.704130086305032e-07,1083.0914135351122
13,2021-11-01 15:37:00,2631665.495296278,4,9.339699675790153e-07,9.09998760199333e-07,9.325971406672257e-07,9.325971406672257e-07,1282.8419259777745
14,2021-11-01 16:20:00,199055.71149664334,1,8.995781679498451e-07,8.995781679498451e-07,8.995781679498451e-07,8.995781679498451e-07,96.08328605850457
15,2021-11-01 16:38:00,579374.114611172,4,8.956874170645014e-07,8.88105045079813e-07,8.911087916481502e-07,8.911087916481502e-07,277.3718999996008
16,2021-11-01 16:41:00,107221.06132258255,4,8.878247244971391e-07,8.869717218857841e-07,8.877540945605134e-07,8.877540945605134e-07,51.03348788619041
17,2021-11-01 19:13:00,970367.0820077171,1,8.98052189846848e-07,8.98052189846848e-07,8.98052189846848e-07,8.98052189846848e-07,468.1544850152457
18,2021-11-01 19:16:00,338962.389009469,4,9.006460474720032e-07,8.968751172987716e-07,8.989587833057517e-07,8.989587833057517e-07,163.59430360942315
19,2021-11-02 00:35:00,69043.22646063879,4,8.957456032300261e-07,8.950218315235949e-07,8.957456032300261e-07,8.957456032300261e-07,34.09583642800398
20,2021-11-02 02:55:00,19678.0,1,8.993936081427106e-07,8.993936081427106e-07,8.993936081427106e-07,8.993936081427106e-07,9.686118954907355
21,2021-11-02 03:25:00,610516.5608008779,4,8.950320932569876e-07,8.903512858472377e-07,8.950320932569876e-07,8.950320932569876e-07,297.298223379639
22,2021-11-02 04:55:00,585624.0391666987,4,8.85606651971326e-07,8.804234353415509e-07,8.85606651971326e-07,8.85606651971326e-07,283.92376794227954
23,2021-11-02 05:00:00,2229388.239387495,4,8.769727286354843e-07,8.602685533524488e-07,8.761070475128961e-07,8.761070475128961e-07,1047.0556061464715
24,2021-11-02 05:03:00,948247.9376661972,4,8.443955252043349e-07,8.351281657327155e-07,8.404830009318405e-07,8.404830009318405e-07,433.7651110262236
25,2021-11-02 05:17:00,184318.12576257705,4,8.319585457275395e-07,8.301503080615796e-07,8.311632621510774e-07,8.311632621510774e-07,83.53393553670736
26,2021-11-02 05:19:00,587192.4729911292,12,8.295855570865417e-07,8.217662087527321e-07,8.29542853541049e-07,8.222933107388649e-07,264.45052575587425
27,2021-11-02 05:20:00,9790.524642013765,4,8.21710575861181e-07,8.21635435449905e-07,8.216965543481819e-07,8.216965543481819e-07,4.387893024857695
28,2021-11-02 05:22:00,2641458.2436138387,8,8.215798159378857e-07,7.874638802945371e-07,8.215756076348714e-07,7.932037580614348e-07,1158.8905508449984
29,2021-11-02 05:23:00,9790.524649732797,4,7.874117191466119e-07,7.873412676122857e-07,7.874117191466119e-07,7.874117191466119e-07,4.204745762405475
30,2021-11-02 05:24:00,141086.21127696068,4,7.872891187384952e-07,7.863987353968743e-07,7.863987353968743e-07,7.863987353968743e-07,60.51989084923023
31,2021-11-02 05:26:00,2154517.051056994,4,7.854820695133169e-07,7.721235086358708e-07,7.852513411289879e-07,7.852513411289879e-07,907.6443257435129
32,2021-11-02 05:28:00,710350.4595070466,4,7.586504895920571e-07,7.521513889464686e-07,7.586504895920571e-07,7.586504895920571e-07,292.59013313979744
33,2021-11-02 05:30:00,2168501.428366459,4,7.509033628787268e-07,7.382719215684819e-07,7.382719215684819e-07,7.382719215684819e-07,873.5819213395604
34,2021-11-02 05:37:00,3842425.233691788,8,7.256861323465024e-07,6.891466890736894e-07,7.247504346146398e-07,6.974545005703199e-07,1478.9290809740742
35,2021-11-02 05:39:00,1637047.6059724744,4,6.853369258031661e-07,6.764734714486786e-07,6.843830209384392e-07,6.843830209384392e-07,604.8119990831518
36,2021-11-02 05:40:00,474281.14584639715,5,6.729222852033578e-07,6.661931183397787e-07,6.729222852033578e-07,6.695309234684586e-07,173.00650201898003
37,2021-11-02 06:19:00,16369.545546932348,4,6.660116481131803e-07,6.659000843605951e-07,6.659659222636727e-07,6.659659222636727e-07,5.92905824539306
38,2021-11-02 06:35:00,120240.64129946889,4,6.6585960012105e-07,6.65269302038599e-07,6.658493965349289e-07,6.658493965349289e-07,43.50788125975579
39,2021-11-02 06:55:00,21568.0,1,6.681355977078705e-07,6.681355977078705e-07,6.681355977078705e-07,6.681355977078705e-07,7.8376825156966
40,2021-11-02 06:57:00,32205.232042563664,3,6.648694170462274e-07,6.646960240930564e-07,6.646960240930564e-07,6.646960240930564e-07,11.643851771767846
41,2021-11-02 07:12:00,67033.66553939377,4,6.64576068222478e-07,6.641965092903077e-07,6.64497258632281e-07,6.64497258632281e-07,24.133174099618834
42,2021-11-02 08:00:00,153298.13672660838,4,6.639291326663781e-07,6.63141883601274e-07,6.639291326663781e-07,6.639291326663781e-07,55.097436324347214
43,2021-11-02 09:13:00,3797072.979735927,1,6.847379583894173e-07,6.847379583894173e-07,6.847379583894173e-07,6.847379583894173e-07,1409.71416015625
44,2021-11-02 11:20:00,70956.9300821869,1,7.046528075846399e-07,7.046528075846399e-07,7.046528075846399e-07,7.046528075846399e-07,27.300930786132813
45,2021-11-02 12:26:00,283074.05568306684,1,7.06528895830434e-07,7.06528895830434e-07,7.06528895830434e-07,7.06528895830434e-07,109.04691162109376
46,2021-11-02 12:38:00,281873.0468482888,1,7.095392845689324e-07,7.095392845689324e-07,7.095392845689324e-07,7.095392845689324e-07,109.04691162109376
47,2021-11-02 16:03:00,350664.23983443726,1,7.129326905932441e-07,7.129326905932441e-07,7.129326905932441e-07,7.129326905932441e-07,140.4869842529297
48,2021-11-02 18:55:00,1030704.5521891812,4,7.101920844414362e-07,7.010427204330475e-07,7.049074064375666e-07,7.049074064375666e-07,407.232217135608
49,2021-11-02 23:32:00,14983.517372842693,1,7.039236105328807e-07,7.039236105328807e-07,7.039236105328807e-07,7.039236105328807e-07,5.880003955587246
50,2021-11-02 23:44:00,93577.66919057103,4,7.004462715509745e-07,6.998133782181165e-07,7.002415489287111e-07,7.002415489287111e-07,36.518003640810164
51,2021-11-03 01:13:00,84755.2800585335,4,6.994914012476202e-07,6.989922175827549e-07,6.994102895989825e-07,6.994102895989825e-07,32.68040700925561
52,2021-11-03 02:26:00,55016.45307128268,4,6.985764080911735e-07,6.982438178884117e-07,6.985764080911735e-07,6.985764080911735e-07,21.275088239081025
53,2021-11-03 03:05:00,46619.19140190505,4,6.980074459379042e-07,6.977237959985129e-07,6.979606352486394e-07,6.979606352486394e-07,18.066180948219646
54,2021-11-03 07:03:00,28522.003456089085,1,7.012130136927759e-07,7.012130136927759e-07,7.012130136927759e-07,7.012130136927759e-07,11.012366943359375
55,2021-11-03 10:19:00,21947.031070490553,4,6.977650875000932e-07,6.976353731122838e-07,6.976618667766051e-07,6.976618667766051e-07,8.482123033584182
56,2021-11-03 10:21:00,81600.0,1,6.972077030635431e-07,6.972077030635431e-07,6.972077030635431e-07,6.972077030635431e-07,31.512555537040875
57,2021-11-03 10:27:00,121000.0,1,7.009132479871275e-07,7.009132479871275e-07,7.009132479871275e-07,7.009132479871275e-07,46.976529332992776
58,2021-11-03 10:33:00,67427.52663899546,1,7.019026713384431e-07,7.019026713384431e-07,7.019026713384431e-07,7.019026713384431e-07,26.21473145464974
59,2021-11-03 11:42:00,3758641.0,1,7.225711330509622e-07,7.225711330509622e-07,7.225711330509622e-07,7.225711330509622e-07,1502.4418082819961
60,2021-11-03 12:12:00,114211.0,1,7.441787967280217e-07,7.441787967280217e-07,7.441787967280217e-07,7.441787967280217e-07,46.97852215308152
61,2021-11-03 16:40:00,26846.027952277345,1,7.449891669468892e-07,7.449891669468892e-07,7.449891669468892e-07,7.449891669468892e-07,10.993201904296875
62,2021-11-03 17:21:00,1208365.461237082,4,7.362614204060665e-07,7.280234697586017e-07,7.362614204060665e-07,7.362614204060665e-07,486.7278390685053
63,2021-11-03 17:24:00,19529.54526773426,4,7.277905285091848e-07,7.276718850821036e-07,7.27748773500556e-07,7.27748773500556e-07,7.792810666572417
64,2021-11-03 21:03:00,680203.1793072155,1,7.350744824645604e-07,7.350744824645604e-07,7.350744824645604e-07,7.350744824645604e-07,283.1098327636719
65,2021-11-03 21:04:00,1339431.9625520203,2,7.504618566594176e-07,7.427482710498109e-07,7.427482710498109e-07,7.504618566594176e-07,566.2196655273438
66,2021-11-03 21:34:00,1312177.6958897943,2,7.660084168959697e-07,7.582152387787843e-07,7.582152387787843e-07,7.660084168959697e-07,566.2196655273438
67,2021-11-03 21:35:00,259237.12443039296,1,7.714944394613568e-07,7.714944394613568e-07,7.714944394613568e-07,7.714944394613568e-07,113.24393310546876
68,2021-11-03 21:55:00,113324.9705027,1,7.737535558500759e-07,7.737535558500759e-07,7.737535558500759e-07,7.737535558500759e-07,49.649310476798405
69,2021-11-03 21:56:00,386201.24765564076,1,7.767970761904355e-07,7.767970761904355e-07,7.767970761904355e-07,7.767970761904355e-07,169.86589965820315
70,2021-11-03 21:59:00,1509138.9349408774,1,7.885291224340587e-07,7.885291224340587e-07,7.885291224340587e-07,7.885291224340587e-07,673.8014019775391
71,2021-11-03 22:37:00,162689.94330210143,1,7.990659862644431e-07,7.990659862644431e-07,7.990659862644431e-07,7.990659862644431e-07,73.86891357421874
72,2021-11-03 22:48:00,87427.48472582467,1,8.006635467041308e-07,8.006635467041308e-07,8.006635467041308e-07,8.006635467041308e-07,39.775568847656245
73,2021-11-03 23:36:00,273979.68068376515,1,8.029792554358439e-07,8.029792554358439e-07,8.029792554358439e-07,8.029792554358439e-07,124.8650390625
74,2021-11-03 23:58:00,371681.5558098511,1,8.071425533783476e-07,8.071425533783476e-07,8.071425533783476e-07,8.071425533783476e-07,170.2705078125
75,2021-11-04 00:18:00,1239335.7904390767,4,7.996803731652929e-07,7.901759963255287e-07,7.901759963255287e-07,7.901759963255287e-07,561.6935214001642
76,2021-11-04 00:27:00,125863.57114904071,1,7.945110653310917e-07,7.945110653310917e-07,7.945110653310917e-07,7.945110653310917e-07,56.823236083984376
77,2021-11-04 00:44:00,35196.674898898396,1,7.955296936551343e-07,7.955296936551343e-07,7.955296936551343e-07,7.955296936551343e-07,15.910506103515626
78,2021-11-04 02:00:00,2512.9999999999995,1,7.957685904180896e-07,7.957685904180896e-07,7.957685904180896e-07,7.957685904180896e-07,1.1241970856572383
79,2021-11-04 02:07:00,38226.33484485257,1,7.96026273630928e-07,7.96026273630928e-07,7.96026273630928e-07,7.96026273630928e-07,17.10618778687659
80,2021-11-04 02:11:00,221894.7772852756,1,7.976753764350329e-07,7.976753764350329e-07,7.976753764350329e-07,7.976753764350329e-07,99.50306066894532
81,2021-11-04 03:56:00,125001.00000000001,1,7.998840833737495e-07,7.998840833737495e-07,7.998840833737495e-07,7.998840833737495e-07,56.04295550244951
82,2021-11-04 04:13:00,180427.52052327455,4,7.961190743739983e-07,7.948157358136535e-07,7.954719993378157e-07,7.954719993378157e-07,80.1703178571178
83,2021-11-04 04:32:00,94682.02158183062,4,7.943244370877494e-07,7.937057373448202e-07,7.942363980441463e-07,7.942363980441463e-07,41.978652378416385
84,2021-11-04 07:47:00,1567305.3662697303,4,7.931147234113852e-07,7.833508324265189e-07,7.929823521927634e-07,7.929823521927634e-07,688.3669087853323
85,2021-11-04 10:08:00,59120.59576630811,1,7.780706436354058e-07,7.780706436354058e-07,7.780706436354058e-07,7.780706436354058e-07,25.54728088378906
86,2021-11-04 10:40:00,625252.7337847936,4,7.727506777011237e-07,7.68468173108281e-07,7.707002357107543e-07,7.707002357107543e-07,267.6486912456014
87,2021-11-04 10:53:00,116531.0,1,7.715543680426921e-07,7.715543680426921e-07,7.715543680426921e-07,7.715543680426921e-07,49.933827759777195
88,2021-11-04 11:22:00,25892.78574638324,1,7.724159229484854e-07,7.724159229484854e-07,7.724159229484854e-07,7.724159229484854e-07,11.135850830078123
89,2021-11-04 11:25:00,144218.97170751033,4,7.683228516785812e-07,7.673458714646296e-07,7.677621221103194e-07,7.677621221103194e-07,61.65837840509694
90,2021-11-04 12:11:00,12971.639513285927,1,7.709125735230085e-07,7.709125735230085e-07,7.709125735230085e-07,7.709125735230085e-07,5.557611694335938
