,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-09 12:10:00,21122614.973955367,1,1.5990656251413443e-10,1.5990656251413443e-10,1.5990656251413443e-10,1.5990656251413443e-10,2.0043012812945373
1,2021-12-09 12:15:00,11016783184.549667,2,1.9114354172986327e-10,1.699997785248018e-10,1.699997785248018e-10,1.9114354172986327e-10,1176.4195414733886
2,2021-12-09 12:16:00,4633470536.977043,1,2.1360169901658404e-10,2.1360169901658404e-10,2.1360169901658404e-10,2.1360169901658404e-10,587.3001916551989
3,2021-12-09 12:17:00,20953972.016003307,1,2.242762560294166e-10,2.242762560294166e-10,2.242762560294166e-10,2.242762560294166e-10,2.7886800584603426
4,2021-12-09 12:18:00,2142043455.594862,1,2.31379526267529e-10,2.31379526267529e-10,2.31379526267529e-10,2.31379526267529e-10,294.10488536834714
5,2021-12-09 12:19:00,1636160331.7829359,1,2.4233566374753206e-10,2.4233566374753206e-10,2.4233566374753206e-10,2.4233566374753206e-10,235.28390829467773
6,2021-12-09 12:20:00,2334618485.468096,1,2.5475254466716495e-10,2.5475254466716495e-10,2.5475254466716495e-10,2.5475254466716495e-10,352.9258624420166
7,2021-12-09 12:21:00,3601596571.8668365,2,2.8193395606793294e-10,2.688282269452914e-10,2.688282269452914e-10,2.8193395606793294e-10,588.2097707366943
8,2021-12-09 12:22:00,1678087738.5626144,1,2.953510645543083e-10,2.953510645543083e-10,2.953510645543083e-10,2.953510645543083e-10,294.10488536834714
9,2021-12-09 12:23:00,970741588.4612103,1,3.063379621670374e-10,3.063379621670374e-10,3.063379621670374e-10,3.063379621670374e-10,176.4629312210083
10,2021-12-09 12:24:00,1865229185.5884993,2,3.23148360252553e-10,3.146871229260636e-10,3.146871229260636e-10,3.23148360252553e-10,352.9258624420166
11,2021-12-09 12:31:00,545672612.6288056,1,3.298681220830212e-10,3.298681220830212e-10,3.298681220830212e-10,3.298681220830212e-10,106.81236694335936
12,2021-12-09 12:33:00,2856356229.099414,1,3.470330450738398e-10,3.470330450738398e-10,3.470330450738398e-10,3.470330450738398e-10,588.2097707366943
13,2021-12-09 12:34:00,2628737583.2468867,1,3.770821425148329e-10,3.770821425148329e-10,3.770821425148329e-10,3.770821425148329e-10,588.2097707366943
14,2021-12-09 12:35:00,2427295866.2983975,1,4.0837625678967867e-10,4.0837625678967867e-10,4.0837625678967867e-10,4.0837625678967867e-10,588.2097707366943
15,2021-12-09 12:36:00,1302082531.2201715,1,4.339298673107389e-10,4.339298673107389e-10,4.339298673107389e-10,4.339298673107389e-10,335.27956931991577
16,2021-12-09 12:37:00,2567234599.5454717,1,4.633390342318543e-10,4.633390342318543e-10,4.633390342318543e-10,4.633390342318543e-10,705.8517248840332
17,2021-12-09 12:38:00,5039490258.704925,2,5.558470886136865e-10,5.067639853832812e-10,5.067639853832812e-10,5.558470886136865e-10,1588.1663809890747
18,2021-12-09 12:39:00,2433144224.043743,1,6.110920122642384e-10,6.110920122642384e-10,6.110920122642384e-10,6.110920122642384e-10,882.3146561050415
19,2021-12-09 12:41:00,3183401086.7891455,2,6.978409711628978e-10,6.530855781554285e-10,6.530855781554285e-10,6.978409711628978e-10,1294.0614956207276
20,2021-12-09 12:42:00,2315906496.979432,1,7.704326587999748e-10,7.704326587999748e-10,7.704326587999748e-10,7.704326587999748e-10,1058.7775873260498
21,2021-12-09 12:43:00,4794261396.413742,2,9.803484117181368e-10,8.737688975134722e-10,8.737688975134722e-10,9.803484117181368e-10,2588.122991241455
22,2021-12-09 12:44:00,1203250847.4993804,3,1.0818536606365654e-09,1.0509440406151396e-09,1.0509440406151396e-09,1.0749688427658234e-09,751.4419665798483
23,2021-12-09 12:45:00,1500363257.6137712,1,1.1231446727641678e-09,1.1231446727641678e-09,1.1231446727641678e-09,1.1231446727641678e-09,999.9566102523803
24,2021-12-09 12:46:00,1775325839.762486,2,1.2595423060907779e-09,1.1986958796099193e-09,1.1986958796099193e-09,1.2595423060907779e-09,1294.0614956207276
25,2021-12-09 12:47:00,795545414.4440821,1,1.3207605510921514e-09,1.3207605510921514e-09,1.3207605510921514e-09,1.3207605510921514e-09,623.502356980896
26,2021-12-09 12:48:00,2576190210.3070383,2,1.511026602768764e-09,1.397875997987607e-09,1.397875997987607e-09,1.511026602768764e-09,2233.7514248419902
27,2021-12-09 12:49:00,1031267372.6540593,1,1.6340330787962188e-09,1.6340330787962188e-09,1.6340330787962188e-09,1.6340330787962188e-09,999.9566102523803
28,2021-12-09 12:50:00,855773774.513888,2,1.757820006155073e-09,1.7077957007597624e-09,1.7077957007597624e-09,1.757820006155073e-09,882.3146561050414
29,2021-12-09 12:52:00,1475405797.3418188,2,1.9232734684874507e-09,1.8278344995321194e-09,1.8278344995321194e-09,1.9232734684874507e-09,1646.987358062744
30,2021-12-09 12:53:00,198994530.65911078,1,1.992517074146262e-09,1.992517074146262e-09,1.992517074146262e-09,1.992517074146262e-09,235.28390829467773
31,2021-12-09 12:54:00,293147733.925257,1,2.0288405168147798e-09,2.0288405168147798e-09,2.0288405168147798e-09,2.0288405168147798e-09,352.9258624420166
32,2021-12-09 12:55:00,334356542.54141474,1,2.0752547407205408e-09,2.0752547407205408e-09,2.0752547407205408e-09,2.0752547407205408e-09,411.746839515686
33,2021-12-09 12:56:00,418234998.1538656,1,2.133071129718785e-09,2.133071129718785e-09,2.133071129718785e-09,2.133071129718785e-09,529.3887936630249
34,2021-12-09 12:57:00,136657572.10088012,1,2.1760594413347167e-09,2.1760594413347167e-09,2.1760594413347167e-09,2.1760594413347167e-09,176.4629312210083
35,2021-12-09 12:58:00,532820047.84841275,2,2.2475066080877266e-09,2.2029662504743587e-09,2.2029662504743587e-09,2.2475066080877266e-09,705.8517248840332
