,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-23 15:26:00,9180002652480.182,5,1.0753569530383936e-14,9.938022864155373e-15,9.938022864155373e-15,1.0753569530383936e-14,50.4451449584961
1,2021-12-23 15:30:00,1294957092179.2346,2,1.5501678233887922e-14,1.5387795972395864e-14,1.5387795972395864e-14,1.5387795972395864e-14,10.620030517578126
2,2021-12-23 15:32:00,300587336293.85223,1,1.6634100629948136e-14,1.6634100629948136e-14,1.6634100629948136e-14,1.6634100629948136e-14,2.6550076293945315
3,2021-12-23 15:36:00,6309368627262.153,2,1.7495986215250232e-14,1.684148156211939e-14,1.684148156211939e-14,1.7495986215250232e-14,58.410167846679684
4,2021-12-23 15:37:00,518693026125.5008,1,1.817138692280284e-14,1.817138692280284e-14,1.817138692280284e-14,1.817138692280284e-14,5.004886739747262
5,2021-12-23 15:40:00,546700836691.8894,1,1.8291539593226958e-14,1.8291539593226958e-14,1.8291539593226958e-14,1.8291539593226958e-14,5.310015258789063
6,2021-12-23 15:58:00,2679008790314.7744,1,1.8663619238862284e-14,1.8663619238862284e-14,1.8663619238862284e-14,1.8663619238862284e-14,26.55007629394531
7,2021-12-23 15:59:00,2591377945202.199,1,1.9294754010148303e-14,1.9294754010148303e-14,1.9294754010148303e-14,1.9294754010148303e-14,26.55007629394531
8,2021-12-23 16:06:00,508128885339.972,1,1.9680046319959426e-14,1.9680046319959426e-14,1.9680046319959426e-14,1.9680046319959426e-14,5.31420166015625
9,2021-12-23 16:30:00,9510088098963.256,1,2.103029939562842e-14,2.103029939562842e-14,2.103029939562842e-14,2.103029939562842e-14,106.28403320312499
10,2021-12-23 16:31:00,45485352057044.58,4,3.617645687613519e-14,2.5215955176015828e-14,3.617645687613519e-14,3.617645687613519e-14,719.8152471890885
11,2021-12-23 16:34:00,15082308463830.473,1,3.315142381546375e-14,3.315142381546375e-14,3.315142381546375e-14,3.315142381546375e-14,265.7100830078125
12,2021-12-23 16:37:00,529702484179.0842,1,3.775704399611294e-14,3.775704399611294e-14,3.775704399611294e-14,3.775704399611294e-14,10.6284033203125
13,2021-12-23 16:38:00,1815520702322.3435,1,3.8556431722567926e-14,3.8556431722567926e-14,3.8556431722567926e-14,3.8556431722567926e-14,37.19941162109375
14,2021-12-23 16:40:00,203760506319.64505,1,3.9261779156801696e-14,3.9261779156801696e-14,3.9261779156801696e-14,3.9261779156801696e-14,4.251361328125
15,2021-12-23 16:46:00,1143468469437.5625,2,3.8847898222011895e-14,3.845200415309264e-14,3.8847898222011895e-14,3.8847898222011895e-14,23.435958283861076
16,2021-12-23 16:50:00,7701764730199.56,3,3.8061245232795814e-14,3.6224763869004733e-14,3.8061245232795814e-14,3.6224763869004733e-14,149.17032622903582
17,2021-12-23 16:51:00,6189734431664.788,5,3.9754182793179615e-14,3.797184620305972e-14,3.797184620305972e-14,3.9754182793179615e-14,127.578453821247
18,2021-12-23 16:52:00,4707040503504.399,2,4.3442198414083115e-14,4.157777311097429e-14,4.157777311097429e-14,4.3442198414083115e-14,106.28403320312499
19,2021-12-23 16:53:00,8393556161747.432,5,5.1825449703920456e-14,4.45863110797112e-14,4.45863110797112e-14,5.1825449703920456e-14,215.2251672363281
20,2021-12-23 16:54:00,568638275487.446,1,5.2757616385009454e-14,5.2757616385009454e-14,5.2757616385009454e-14,5.2757616385009454e-14,15.94260498046875
21,2021-12-23 16:57:00,4377996855672.3193,2,5.662312833527429e-14,5.4042263766894845e-14,5.4042263766894845e-14,5.662312833527429e-14,129.36563793728226
22,2021-12-23 16:58:00,4011082852465.3335,3,6.22387076319527e-14,5.935160332503493e-14,5.935160332503493e-14,6.22387076319527e-14,129.86977363787486
23,2021-12-23 16:59:00,5858476489657.942,2,6.949902056203166e-14,6.485635733592414e-14,6.485635733592414e-14,6.949902056203166e-14,212.56806640624998
24,2021-12-23 17:00:00,2900140965616.907,2,7.611162238766039e-14,7.341567386766884e-14,7.611162238766039e-14,7.611162238766039e-14,117.42026000976563
25,2021-12-23 17:01:00,3638574217191.3584,3,8.377776418792438e-14,7.928275025879341e-14,7.928275025879341e-14,8.377776418792438e-14,160.1185257518503
26,2021-12-23 17:02:00,322543252991.69336,1,8.68100626514147e-14,8.68100626514147e-14,8.68100626514147e-14,8.68100626514147e-14,14.944396728515626
27,2021-12-23 17:03:00,309611074482.25507,1,8.754540393657693e-14,8.754540393657693e-14,8.754540393657693e-14,8.754540393657693e-14,14.466723947512424
28,2021-12-23 17:04:00,1070342496297.1287,4,9.020738838495047e-14,8.857817815094032e-14,8.857817815094032e-14,9.020738838495047e-14,50.95039594487929
