,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2022-02-14 15:00:00,15121252230779.76,26,4.3551930348473844e-13,4.012208577528767e-13,4.012208577528767e-13,4.3393232263753893e-13,2546.024588757225
1,2022-02-14 15:01:00,18956585122080.56,22,4.841163843320092e-13,4.4248057568895974e-13,4.4944112743065907e-13,4.841163843320092e-13,3518.4673658505512
2,2022-02-14 15:02:00,26951420736218.867,26,5.765464120503794e-13,4.876393976994945e-13,4.876393976994945e-13,5.765464120503794e-13,5752.507776120783
3,2022-02-14 15:03:00,999344792673.826,6,5.792490233767885e-13,5.773284015179144e-13,5.773284015179144e-13,5.792490233767885e-13,232.85152297233986
4,2022-02-14 15:04:00,5158051039895.696,18,5.819743345243813e-13,5.658675384152248e-13,5.813116885027171e-13,5.684419181306268e-13,1190.3099980090258
5,2022-02-14 15:05:00,9195104206496.887,18,5.620743726146882e-13,5.516129940377387e-13,5.620743726146882e-13,5.516129940377387e-13,2065.1778974779595
6,2022-02-14 15:06:00,13581500835386.521,14,5.589054906854706e-13,5.197753794463699e-13,5.550641561477327e-13,5.197753794463699e-13,2961.0689994390696
7,2022-02-14 15:07:00,15950022236629.62,8,5.083241237125735e-13,4.76472670855876e-13,5.083241237125735e-13,4.76472670855876e-13,3184.944089004605
8,2022-02-14 15:08:00,12548558707109.982,12,4.7690429532903e-13,4.627843388963276e-13,4.7690429532903e-13,4.627843388963276e-13,2353.6550178789716
9,2022-02-14 15:09:00,5427067183337.784,10,4.719973243069498e-13,4.616531831834792e-13,4.622676361922619e-13,4.719973243069498e-13,1024.5440424575736
10,2022-02-14 15:10:00,1400665916665.2737,8,4.70497109291069e-13,4.680424220622038e-13,4.690905980442834e-13,4.70497109291069e-13,264.6588449108078
11,2022-02-14 15:11:00,877596808592.0522,2,4.720726427379586e-13,4.720726427379586e-13,4.720726427379586e-13,4.720726427379586e-13,166.78972161093102
12,2022-02-14 15:13:00,42203800000.0,2,4.733588925661673e-13,4.733588925661673e-13,4.733588925661673e-13,4.733588925661673e-13,8.042804493214861
13,2022-02-14 15:14:00,10809481010261.12,6,4.945047893366192e-13,4.74304635229823e-13,4.74304635229823e-13,4.945047893366192e-13,2128.2526378712764
14,2022-02-14 15:15:00,2846641843503.2354,6,5.010802118572918e-13,4.996523103245772e-13,4.996523103245772e-13,5.010802118572918e-13,572.8740044716236
15,2022-02-14 15:16:00,3619515191947.424,8,5.124438966974783e-13,5.02298532747367e-13,5.02298532747367e-13,5.124438966974783e-13,739.199653023431
16,2022-02-14 15:17:00,6370484273469.807,6,5.132448525062465e-13,5.036145688654185e-13,5.132448525062465e-13,5.036145688654185e-13,1293.8719216995078
17,2022-02-14 15:18:00,2166321212000.0,4,5.010929779208379e-13,4.977970122469744e-13,5.010929779208379e-13,5.010929779208379e-13,436.8046081475154
18,2022-02-14 15:19:00,910606552081.2338,4,5.019794482682892e-13,5.005899118962194e-13,5.005899118962194e-13,5.019794482682892e-13,183.8258667438981
19,2022-02-14 15:20:00,357191935809.337,2,5.033708266470332e-13,5.033708266470332e-13,5.033708266470332e-13,5.033708266470332e-13,72.3860873840332
20,2022-02-14 15:23:00,193635448799.9318,4,5.044014680157847e-13,5.041032533543754e-13,5.041032533543754e-13,5.044014680157847e-13,39.30689757619836
21,2022-02-14 15:25:00,833498629781.036,6,5.061603026963814e-13,5.033550647941485e-13,5.05275054772879e-13,5.033550647941485e-13,169.3766170372799
22,2022-02-14 15:26:00,8103393147133.568,2,5.18301398406873e-13,5.18301398406873e-13,5.18301398406873e-13,5.18301398406873e-13,1690.8874694824217
23,2022-02-14 15:27:00,2581599933536.085,4,5.255469234662962e-13,5.213356819738764e-13,5.213356819738764e-13,5.213356819738764e-13,545.2317552808913
24,2022-02-14 15:28:00,533636987006.998,4,5.247020263125158e-13,5.238303765773326e-13,5.247020263125158e-13,5.247020263125158e-13,112.54812483772037
25,2022-02-14 15:30:00,570690406818.213,2,5.256790659450521e-13,5.256790659450521e-13,5.256790659450521e-13,5.256790659450521e-13,120.77767639160157
26,2022-02-14 15:32:00,1341831943978.7473,6,5.307100163353032e-13,5.272395777015315e-13,5.272395777015315e-13,5.307100163353032e-13,285.6794638916016
27,2022-02-14 15:33:00,30125930257.1166,2,5.311039315116367e-13,5.311039315116367e-13,5.311039315116367e-13,5.311039315116367e-13,6.44147607421875
28,2022-02-14 15:35:00,826877010042.8888,2,5.325322685863044e-13,5.325322685863044e-13,5.325322685863044e-13,5.325322685863044e-13,177.2769460117392
29,2022-02-14 15:36:00,93619926476.4886,2,5.340743352597787e-13,5.340743352597787e-13,5.340743352597787e-13,5.340743352597787e-13,20.129612731933594
30,2022-02-14 15:37:00,7315460000002.0,2,5.467866979327745e-13,5.467866979327745e-13,5.467866979327745e-13,5.467866979327745e-13,1610.3674956530185
31,2022-02-14 15:38:00,1316616891491.8308,4,5.643102387781802e-13,5.619177595928274e-13,5.619177595928274e-13,5.643102387781802e-13,297.9182684326172
32,2022-02-14 15:39:00,106263680920.597,2,5.646331792781917e-13,5.646331792781917e-13,5.646331792781917e-13,5.646331792781917e-13,24.15553527832031
33,2022-02-14 15:40:00,6262400000002.0,2,5.764782143500592e-13,5.764782143500592e-13,5.764782143500592e-13,5.764782143500592e-13,1453.4132626427852
34,2022-02-14 15:41:00,1023239522004.888,6,5.915655201648661e-13,5.890641678344974e-13,5.890641678344974e-13,5.915655201648661e-13,243.21046395094316
35,2022-02-14 15:42:00,419815469286.258,2,5.932137604560906e-13,5.932137604560906e-13,5.932137604560906e-13,5.932137604560906e-13,100.26170120037018
36,2022-02-14 15:43:00,336302910255.0344,2,5.947019603497649e-13,5.947019603497649e-13,5.947019603497649e-13,5.947019603497649e-13,80.51845092773438
37,2022-02-14 15:44:00,3507662537395.148,6,5.896128476284409e-13,5.843397245589604e-13,5.885031779341379e-13,5.896128476284409e-13,831.412653865399
38,2022-02-14 15:45:00,3846607064850.083,8,6.076001974458064e-13,5.924430600064599e-13,5.924430600064599e-13,6.076001974458064e-13,928.999263067635
39,2022-02-14 15:46:00,492905716829.4628,2,6.08635667546528e-13,6.08635667546528e-13,6.08635667546528e-13,6.08635667546528e-13,120.77767639160157
40,2022-02-14 15:48:00,3280567113.0308,2,6.096506887652942e-13,6.096506887652942e-13,6.096506887652942e-13,6.096506887652942e-13,0.8051845092773438
41,2022-02-14 15:52:00,65596182723.7032,4,6.098923733046859e-13,6.097579915643651e-13,6.097579915643651e-13,6.098923733046859e-13,16.103690185546874
42,2022-02-14 15:53:00,484105692427.5774,6,6.08185525793024e-13,6.059583237201364e-13,6.059583237201364e-13,6.08185525793024e-13,118.12522953955492
43,2022-02-14 15:54:00,838000000000.0,2,6.034653035547688e-13,6.034653035547688e-13,6.034653035547688e-13,6.034653035547688e-13,203.59248309532427
44,2022-02-14 15:55:00,3990365531695.984,8,5.977941994564069e-13,5.898847141255553e-13,5.977941994564069e-13,5.902337401890629e-13,954.321165065397
45,2022-02-14 15:57:00,371633800000.0,4,5.917952605245997e-13,5.910679967014593e-13,5.910679967014593e-13,5.917952605245997e-13,88.44349444917243
46,2022-02-14 15:59:00,1173160673354.06,6,5.936327474502734e-13,5.918670569454474e-13,5.918670569454474e-13,5.918946512081739e-13,280.1826990635939
47,2022-02-14 16:00:00,201773740767.6928,4,5.950574857129908e-13,5.946592135127156e-13,5.946592135127156e-13,5.950574857129908e-13,48.186796875
48,2022-02-14 16:03:00,7005063430113.034,16,6.22750363564098e-13,5.961176153950552e-13,5.961176153950552e-13,6.22750363564098e-13,1713.8437421875
49,2022-02-14 16:04:00,11774093894151.227,10,6.764452754080032e-13,6.373345187014336e-13,6.373345187014336e-13,6.764452754080032e-13,3071.9083007812496
50,2022-02-14 16:05:00,7759884903814.97,6,7.104352435435897e-13,6.803314665753382e-13,6.803314665753382e-13,7.104352435435897e-13,2168.405859375
51,2022-02-14 16:06:00,1507152966766.186,4,7.217033153574618e-13,7.177475715447855e-13,7.177475715447855e-13,7.217033153574618e-13,435.4301042348395
52,2022-02-14 16:07:00,519435256935.3724,6,7.258287460585003e-13,7.239875661167002e-13,7.239875661167002e-13,7.258287460585003e-13,151.18401389019334
53,2022-02-14 16:08:00,2074031280684.9336,6,7.369873919875495e-13,7.264065119900377e-13,7.264065119900377e-13,7.369873919875495e-13,609.4308727843033
54,2022-02-14 16:09:00,2156944000000.0,4,7.456881246892285e-13,7.397526710258564e-13,7.397526710258564e-13,7.456881246892285e-13,643.7729545984766
55,2022-02-14 16:10:00,2918079257857.222,8,7.650247298536182e-13,7.495369862122907e-13,7.495369862122907e-13,7.63747346924298e-13,887.5682685997544
56,2022-02-14 16:11:00,1299486393012.183,2,7.695347988077199e-13,7.695347988077199e-13,7.695347988077199e-13,7.695347988077199e-13,401.556640625
57,2022-02-14 16:12:00,387370474733.4038,4,7.754375545856655e-13,7.743010782105659e-13,7.743010782105659e-13,7.754375545856655e-13,120.46699218750001
58,2022-02-14 16:14:00,2557491334536.0913,4,7.659388513255286e-13,7.586076324933996e-13,7.586076324933996e-13,7.586076324933996e-13,784.9608667617266
59,2022-02-14 16:15:00,2279736207670.7734,4,7.514106315057103e-13,7.450523388013667e-13,7.514106315057103e-13,7.514106315057103e-13,687.1595362496969
60,2022-02-14 16:16:00,8380000000000.0,2,7.218743192229165e-13,7.218743192229165e-13,7.218743192229165e-13,7.218743192229165e-13,2429.1393147455383
61,2022-02-14 16:17:00,3524183461869.56,8,7.057658562147082e-13,6.940956471937936e-13,7.057658562147082e-13,6.987589978557125e-13,991.5426832406285
62,2022-02-14 16:18:00,534028005069.6948,4,6.96420385176951e-13,6.950896493062744e-13,6.96420385176951e-13,6.950896493062744e-13,149.1172348564806
63,2022-02-14 16:19:00,214880651232.8236,2,6.98061920137587e-13,6.98061920137587e-13,6.98061920137587e-13,6.98061920137587e-13,60.23349609375
64,2022-02-14 16:20:00,11313118000002.0,6,7.332581057597767e-13,7.20129086400303e-13,7.20129086400303e-13,7.25267624760274e-13,3284.0128497228516
65,2022-02-14 16:21:00,816052175173.1794,2,7.284656647110769e-13,7.284656647110769e-13,7.284656647110769e-13,7.284656647110769e-13,238.71176600114748
66,2022-02-14 16:22:00,27370052010.8032,2,7.307256848509393e-13,7.307256848509393e-13,7.307256848509393e-13,7.307256848509393e-13,8.0311328125
67,2022-02-14 16:24:00,85028714618.9576,2,7.269235876990042e-13,7.269235876990042e-13,7.269235876990042e-13,7.269235876990042e-13,24.81996630454845
68,2022-02-14 16:25:00,120000000000.0,2,7.306656451328317e-13,7.306656451328317e-13,7.306656451328317e-13,7.306656451328317e-13,35.20843702555659
69,2022-02-14 16:26:00,3918654004412.302,4,7.341459105808342e-13,7.249000221544786e-13,7.249000221544786e-13,7.341459105808342e-13,1151.8130372889436
70,2022-02-14 16:27:00,1073436495655.523,2,7.452699840538387e-13,7.452699840538387e-13,7.452699840538387e-13,7.452699840538387e-13,321.2453125
71,2022-02-14 16:28:00,26726460841.4812,2,7.483220512668368e-13,7.483220512668368e-13,7.483220512668368e-13,7.483220512668368e-13,8.0311328125
72,2022-02-14 16:29:00,266973091811.6046,2,7.491391684564763e-13,7.491391684564763e-13,7.491391684564763e-13,7.491391684564763e-13,80.311328125
73,2022-02-14 16:30:00,2851343038569.7617,2,7.579171916639773e-13,7.579171916639773e-13,7.579171916639773e-13,7.579171916639773e-13,867.7967911977255
74,2022-02-14 16:31:00,365006896482.0986,4,7.674099679269101e-13,7.663568908438058e-13,7.663568908438058e-13,7.674099679269101e-13,112.435859375
75,2022-02-14 16:32:00,1396930000000.0,4,7.609018177724313e-13,7.569254047947885e-13,7.569254047947885e-13,7.569254047947885e-13,426.5107762409547
76,2022-02-14 16:33:00,1569333181773.2407,4,7.654091796560326e-13,7.609121006166921e-13,7.609121006166921e-13,7.654091796560326e-13,481.86796875000005
