,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-28 17:27:00,129860240.99965204,38,3.567759093939413e-08,2.5087656641604037e-08,2.5363914320213663e-08,3.567759093939413e-08,2109.6527142415184
1,2021-12-28 17:28:00,107923344.13597877,29,5.0754613549348564e-08,3.574772693350935e-08,3.6304666769736035e-08,5.06477896381779e-08,2495.917319500134
2,2021-12-28 17:29:00,70831894.06658016,57,6.649019964106888e-08,5.0968143645836834e-08,5.0968143645836834e-08,6.649019964106888e-08,2234.9074938467174
3,2021-12-28 17:30:00,194701384.62197205,250,1.8251262942123718e-07,6.655130262943314e-08,6.655130262943314e-08,1.8231100069966276e-07,11651.258187387499
4,2021-12-28 17:31:00,726923092.3435974,1092,7.206152148166499e-07,7.550579692399848e-08,1.8316047253690758e-07,1.8806728445404967e-07,87525.69384087312
5,2021-12-28 17:32:00,231987971.7795935,723,6.797962650163359e-07,2.0901672815134993e-07,2.0901672815134993e-07,5.791487832536649e-07,52500.97487574887
6,2021-12-28 17:33:00,268129324.56772432,511,6.471833497552004e-07,3.4725339863486594e-07,6.051347323850084e-07,3.638371481493217e-07,69822.13732602663
7,2021-12-28 17:34:00,142444312.12188482,243,4.747250872477218e-07,3.299764408778364e-07,3.433436757291873e-07,4.6565179546736005e-07,31156.143155202903
8,2021-12-28 17:35:00,92003617.11458012,168,6.375663457438203e-07,4.7530002162069764e-07,4.782797424970922e-07,6.336974326006626e-07,28248.683117555982
9,2021-12-28 17:36:00,71424796.43328674,114,7.728362627698852e-07,6.216645916925928e-07,6.256054405827775e-07,7.441644170738343e-07,27252.26863240246
10,2021-12-28 17:37:00,39743448.03312274,118,7.392484748275128e-07,6.13327597685407e-07,7.392484748275128e-07,6.291941535978007e-07,14636.287845070421
11,2021-12-28 17:38:00,43917580.830634266,65,6.791644878036167e-07,6.080128205272936e-07,6.509284656412794e-07,6.480683024963537e-07,15443.873175155088
12,2021-12-28 17:39:00,24601606.08069356,43,7.241237336145262e-07,6.53932856259412e-07,6.770086662324083e-07,6.577084316975149e-07,9138.501123679056
13,2021-12-28 17:40:00,26159461.907647256,58,7.257741304625512e-07,6.443688090487418e-07,6.704297643925677e-07,7.227846370076853e-07,9671.853686921553
