,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-15 19:01:00,39059153502.076065,142,3.721568610743401e-09,2.2336424563647943e-09,2.2407498446754555e-09,3.6996813958795162e-09,58128.87973481068
1,2021-12-15 19:02:00,85230187167.21417,296,4.8413602687060245e-09,3.573495058806622e-09,3.7324950373751854e-09,4.029642414969421e-09,181457.84246701823
2,2021-12-15 19:03:00,48353163813.242035,176,4.6558253492430075e-09,3.1944362220163728e-09,4.573019116325399e-09,3.2444269680587416e-09,98922.12384433256
3,2021-12-15 19:04:00,29225045465.61208,131,3.4927284686214946e-09,3.040884747830598e-09,3.148979958618298e-09,3.3761611073694112e-09,49500.86252562665
4,2021-12-15 19:05:00,13168895227.950272,82,3.686961549092873e-09,3.364705088949671e-09,3.4306529569127422e-09,3.686961549092873e-09,24275.25120115637
5,2021-12-15 19:06:00,6615448884.682212,58,3.847774253001438e-09,3.685953577084569e-09,3.6940923401013256e-09,3.847774253001438e-09,12952.199622215318
6,2021-12-15 19:07:00,11003147340.577063,44,3.928564106860218e-09,3.599842356378621e-09,3.850721446232508e-09,3.6518592368260387e-09,21727.604986843955
7,2021-12-15 19:08:00,7252126400.854172,45,3.6623433398616453e-09,3.4495671217241266e-09,3.6583064347581455e-09,3.4751060415747076e-09,13298.823858647793
8,2021-12-15 19:09:00,7977647577.059816,36,3.493053651441662e-09,3.3337235988164496e-09,3.4791494693079355e-09,3.365965294305367e-09,14113.679201369525
9,2021-12-15 19:10:00,6812487691.728239,27,3.550165359921525e-09,3.373352423726339e-09,3.373352423726339e-09,3.504599431353968e-09,12218.429907196121
10,2021-12-15 19:11:00,5445588442.597166,22,3.5248215385975732e-09,3.3926322749322332e-09,3.5248215385975732e-09,3.4850045498971732e-09,9784.242716785431
11,2021-12-15 19:12:00,12718743129.781832,27,3.5325312356790378e-09,3.314695813909371e-09,3.428216343447656e-09,3.3663463850742593e-09,22574.36114890191
12,2021-12-15 19:13:00,1772332508.8748457,15,3.3937343019324827e-09,3.322678078145849e-09,3.371368087318229e-09,3.3792723936806495e-09,3104.131418854556
13,2021-12-15 19:14:00,3983949600.647487,22,3.4432485099560844e-09,3.338860873507238e-09,3.3569945442319987e-09,3.4088850991866774e-09,7023.369744752318
14,2021-12-15 19:15:00,1940639443.0368145,14,3.5340381410854e-09,3.4098688726920523e-09,3.429217375202812e-09,3.5340381410854e-09,3510.5747327242357
15,2021-12-15 19:16:00,3788734889.0853825,22,3.6448562695323467e-09,3.5360003708540487e-09,3.5360003708540487e-09,3.6448562695323467e-09,7112.530287879646
16,2021-12-15 19:17:00,5547527396.667254,25,3.991334769838663e-09,3.6295125722578626e-09,3.6295125722578626e-09,3.988184856231512e-09,11045.632611354098
17,2021-12-15 19:18:00,2182206128.6255383,15,4.152436805222881e-09,4.00199690814076e-09,4.00199690814076e-09,4.152436805222881e-09,4641.079165385916
18,2021-12-15 19:19:00,5847969328.500658,25,4.110107891772775e-09,3.887958896899713e-09,4.110107891772775e-09,3.906979822927778e-09,12134.884888813554
19,2021-12-15 19:20:00,5460048142.486143,21,3.9406072139849425e-09,3.7008940913627414e-09,3.9406072139849425e-09,3.745046179562345e-09,10773.637332593824
20,2021-12-15 19:21:00,2873542777.15723,14,3.9579920508427446e-09,3.764334969033382e-09,3.7933343933840535e-09,3.9579920508427446e-09,5768.698065857287
21,2021-12-15 19:22:00,2418387339.0643344,13,3.932092697437289e-09,3.857110679747086e-09,3.878341911471931e-09,3.931399865598875e-09,4895.980471407313
