,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-14 18:06:00,270867189.72079146,368,6.779194412060465e-07,3.3433072477111226e-07,3.362800983339686e-07,4.6312356295533536e-07,74004.25355826023
1,2021-12-14 18:07:00,77028534.0226287,98,4.939316254973218e-07,4.372650005463638e-07,4.49960084298602e-07,4.622173019925614e-07,18344.184591476267
2,2021-12-14 18:08:00,71425547.13175724,67,4.939839378986594e-07,3.758613067534327e-07,4.666944798916375e-07,3.9216020804435133e-07,15877.489791518805
3,2021-12-14 18:09:00,24754469.093231216,39,4.4896421670646493e-07,3.9365794036384447e-07,3.9365794036384447e-07,4.4896421670646493e-07,5423.979687405442
4,2021-12-14 18:10:00,24172771.88058723,33,4.842531348720834e-07,4.415391877581517e-07,4.539935696495351e-07,4.798882756574315e-07,5760.724688040883
5,2021-12-14 18:11:00,15268455.384543564,22,4.848706791525565e-07,4.567589443215819e-07,4.807707599545361e-07,4.586257717034445e-07,3711.770726383373
6,2021-12-14 18:12:00,10133182.625039913,16,4.600843584479117e-07,4.312866983971144e-07,4.5630242237137474e-07,4.312866983971144e-07,2330.0495790946065
7,2021-12-14 18:13:00,24394665.537677184,21,4.277388081605178e-07,3.789714707881064e-07,4.1504689284687487e-07,3.8905885269736655e-07,5029.626475878592
8,2021-12-14 18:14:00,6534294.962420058,22,3.956114260395873e-07,3.8874597538299293e-07,3.887969583695833e-07,3.956114260395873e-07,1324.3300498806118
9,2021-12-14 18:15:00,15568480.735989632,14,4.1404941503189e-07,3.891944437948266e-07,3.938167419447635e-07,4.1099038718723296e-07,3220.408381691045
10,2021-12-14 18:16:00,17748509.184461586,11,4.600718344864659e-07,4.0727803449101965e-07,4.0961034696689855e-07,4.600718344864659e-07,3970.5372444871546
11,2021-12-14 18:17:00,12474446.011861987,16,4.645139718197231e-07,4.569908854923446e-07,4.6194325845045326e-07,4.644122569852e-07,2972.6941561898266
12,2021-12-14 18:18:00,22810196.88890479,17,4.642133893727583e-07,4.029752962512656e-07,4.642133893727583e-07,4.029752962512656e-07,5099.870441076442
13,2021-12-14 18:19:00,12185221.8496046,19,4.0756756548485997e-07,3.9686098625999576e-07,3.973480455482868e-07,4.014642833336478e-07,2537.2234681812597
14,2021-12-14 18:20:00,17663314.489522964,18,4.009370789272166e-07,3.8013574876649626e-07,4.009370789272166e-07,3.816002379970672e-07,3540.9747220239874
15,2021-12-14 18:21:00,6283364.665495454,12,3.826477288707521e-07,3.6711116411476e-07,3.8248696122981017e-07,3.695987046385194e-07,1213.9206774288589
16,2021-12-14 18:22:00,16101931.67038108,13,3.63838031368401e-07,3.4074251380016596e-07,3.63838031368401e-07,3.4074251380016596e-07,2947.294502717488
17,2021-12-14 18:23:00,10976437.511077475,15,3.369801159552717e-07,3.235046395468065e-07,3.369801159552717e-07,3.235046395468065e-07,1866.0139753709157
18,2021-12-14 18:24:00,26037054.568325646,25,3.450620929828683e-07,3.2286216445267636e-07,3.2286216445267636e-07,3.450620929828683e-07,4525.6602683021165
19,2021-12-14 18:25:00,17328346.328010548,17,3.909190461034166e-07,3.4831453307739605e-07,3.4831453307739605e-07,3.909190461034166e-07,3306.7024928064056
20,2021-12-14 18:26:00,15482059.067754228,10,4.060902197855892e-07,3.9153853804348134e-07,3.978073614134234e-07,3.938246810458153e-07,3200.6183967369925
21,2021-12-14 18:27:00,5673897.027562276,10,3.939576149514824e-07,3.83899573013089e-07,3.931843567359617e-07,3.83899573013089e-07,1136.620840812239
22,2021-12-14 18:28:00,4927035.887730212,5,3.800387968594441e-07,3.693540869037694e-07,3.740718622996273e-07,3.693540869037694e-07,955.6063516916337
23,2021-12-14 18:29:00,4413029.400429737,3,3.7141416153150785e-07,3.6299114079708437e-07,3.7141416153150785e-07,3.6299114079708437e-07,834.0316080419877
24,2021-12-14 18:30:00,5030381.91371543,7,3.6481667524798167e-07,3.598392077400009e-07,3.6368072569748597e-07,3.600072715336689e-07,939.61837641447
25,2021-12-14 18:31:00,1525021.823517251,6,3.564635658798734e-07,3.5441531117851077e-07,3.5441531117851077e-07,3.545515324582922e-07,280.4680462634128
26,2021-12-14 18:32:00,290330.370322234,1,3.565327836418158e-07,3.565327836418158e-07,3.565327836418158e-07,3.565327836418158e-07,53.5313101269397
27,2021-12-14 18:33:00,8208108.121203668,3,3.7647215243063913e-07,3.660226736102102e-07,3.660226736102102e-07,3.7647215243063913e-07,1556.6193688964845
28,2021-12-14 18:34:00,1124459.113480075,3,3.796069407708043e-07,3.778499480949787e-07,3.778499480949787e-07,3.796069407708043e-07,219.96999853939434
29,2021-12-14 18:35:00,9186523.561272608,8,3.934833983095582e-07,3.778941731484876e-07,3.797116933333086e-07,3.934833983095582e-07,1826.9649775193463
30,2021-12-14 18:36:00,5432124.788942069,4,4.0937451900860824e-07,3.9815957319458464e-07,3.9815957319458464e-07,4.0937451900860824e-07,1129.971282695806
31,2021-12-14 18:37:00,8754577.095735913,7,4.1128673771542573e-07,4.014397105794106e-07,4.1025469665682164e-07,4.0791615195166034e-07,1828.6058688556293
32,2021-12-14 18:38:00,2135470.375892373,6,4.08601090091301e-07,4.032908959397983e-07,4.032908959397983e-07,4.08601090091301e-07,448.289058910164
33,2021-12-14 18:39:00,4829632.19418571,3,4.107557375986368e-07,4.0428707425959395e-07,4.09247656526873e-07,4.0428707425959395e-07,1012.9608539952848
34,2021-12-14 18:40:00,5837410.433805381,5,3.9770986401503136e-07,3.88202047887042e-07,3.9770986401503136e-07,3.88202047887042e-07,1183.4488335051542
35,2021-12-14 18:41:00,4651832.829054664,5,3.8576386491928435e-07,3.7710805564095794e-07,3.8576386491928435e-07,3.7710805564095794e-07,916.5404238461929
36,2021-12-14 18:42:00,8558782.615243573,6,3.821852484293255e-07,3.717162967397859e-07,3.812216234681087e-07,3.717162967397859e-07,1674.2631316625525
37,2021-12-14 18:43:00,1122580.446647433,2,3.742506859524434e-07,3.728487278147244e-07,3.728487278147244e-07,3.742506859524434e-07,216.62642283897912
