,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-20 14:00:00,18043320.552130383,397,8.101651811566483e-05,1.4141179915233755e-05,2.715100374190206e-05,5.053498860997758e-05,327835.7493077947
1,2021-12-20 14:01:00,4516414.85013051,332,8.519204998902966e-05,5.7873944981794204e-05,5.8350080882958184e-05,8.214134783474791e-05,157436.01046328293
2,2021-12-20 14:02:00,3090998.008521773,307,8.905965329356961e-05,6.108150316778075e-05,8.242602504911709e-05,8.221099238719115e-05,119815.03806408022
3,2021-12-20 14:03:00,4967420.652994462,351,8.817717866859342e-05,4.6836836000408965e-05,8.568072213362305e-05,5.170659235627363e-05,177631.39652879458
4,2021-12-20 14:04:00,1322322.900504081,174,6.975683568748003e-05,5.203908823644247e-05,5.203908823644247e-05,6.843972765476222e-05,41245.288720557175
5,2021-12-20 14:05:00,1228777.532566358,104,7.707008013493301e-05,6.384026299974546e-05,6.862433497652734e-05,6.389882547723896e-05,44971.87086071055
6,2021-12-20 14:06:00,532715.20588838,80,7.276753698504333e-05,6.417842300946339e-05,6.426572758951362e-05,7.200089019451529e-05,18817.326885673407
7,2021-12-20 14:07:00,538462.331604664,57,7.681511590887083e-05,7.092386369018529e-05,7.305795910482528e-05,7.681511590887083e-05,20340.64639374656
8,2021-12-20 14:08:00,256584.728438761,60,7.928098975822723e-05,7.64654832621781e-05,7.64654832621781e-05,7.899444250478672e-05,10244.72266610829
9,2021-12-20 14:09:00,275644.281069111,54,8.240032491368362e-05,7.911468785376417e-05,7.957667042330328e-05,8.220611901072817e-05,11378.063216510409
10,2021-12-20 14:10:00,803055.124274434,56,8.405186164688852e-05,7.748713954406803e-05,8.242767509309947e-05,8.330065284451755e-05,33163.60007881799
11,2021-12-20 14:11:00,294785.795130634,51,8.379558104784156e-05,7.839808996577024e-05,8.370907929108362e-05,7.983127574884513e-05,12151.342078820939
12,2021-12-20 14:12:00,156652.252618965,40,8.147802444201332e-05,8.004171228698817e-05,8.018758830960376e-05,8.1440929352793e-05,6467.477533778494
13,2021-12-20 14:13:00,248529.952286702,34,8.605090453138015e-05,8.146405477116702e-05,8.146405477116702e-05,8.288997255394566e-05,10652.835472330516
14,2021-12-20 14:14:00,222929.893565683,40,8.784162297777654e-05,8.31117889692925e-05,8.348884864498118e-05,8.768812448688044e-05,9700.1606225129
15,2021-12-20 14:15:00,154539.29293153,29,8.890843909734649e-05,8.705270702373739e-05,8.775043819243453e-05,8.811708559157855e-05,6958.08657668497
16,2021-12-20 14:16:00,510050.220476605,49,9.681821194824241e-05,8.815772619578224e-05,8.841283977321095e-05,9.480415276911719e-05,24128.142197747762
17,2021-12-20 14:17:00,564149.415056714,50,9.073299731909825e-05,8.371259634881317e-05,9.073299731909825e-05,8.416847397226108e-05,25125.86123723753
18,2021-12-20 14:18:00,280777.172348418,31,8.960690740565071e-05,8.460686066703701e-05,8.460686066703701e-05,8.871718850207507e-05,12555.694967590694
19,2021-12-20 14:19:00,102629.545160451,28,8.89625548759299e-05,8.718722598400393e-05,8.852908390569036e-05,8.878371089617245e-05,4626.148802377188
20,2021-12-20 14:20:00,79615.655863261,33,8.92416299864066e-05,8.789605482994226e-05,8.827309766868525e-05,8.883756553909964e-05,3603.4218108347272
21,2021-12-20 14:21:00,162211.232137404,30,8.955993393145661e-05,8.787837269609235e-05,8.886344259636438e-05,8.936375879324755e-05,7363.689088077435
22,2021-12-20 14:22:00,314428.787846942,29,8.962570340293984e-05,7.997529264874514e-05,8.897895368991602e-05,8.048450905182285e-05,13479.165435226005
23,2021-12-20 14:23:00,160369.429606311,40,8.036031978436363e-05,7.74509576369434e-05,8.036031978436363e-05,7.782913399607352e-05,6494.083152907477
24,2021-12-20 14:24:00,305958.702866654,30,7.742984024603727e-05,6.923563559330062e-05,7.738189313630311e-05,6.923563559330062e-05,11453.12546048031
25,2021-12-20 14:25:00,361177.300735809,41,6.90601381736582e-05,6.36829449671867e-05,6.90601381736582e-05,6.413248121439471e-05,12160.002585644372
26,2021-12-20 14:26:00,140876.82452653,40,6.47037166372422e-05,6.355879865679531e-05,6.376807102515877e-05,6.445971929212325e-05,4625.4989047043855
27,2021-12-20 14:27:00,267633.778083593,52,6.942136379644696e-05,6.504609012883763e-05,6.509367379559722e-05,6.892166942317557e-05,9206.712872353706
28,2021-12-20 14:28:00,255161.499106453,37,7.14912522230866e-05,6.929918155828084e-05,6.933223666441228e-05,7.086876821910474e-05,9164.558024488408
29,2021-12-20 14:29:00,129486.357969611,28,7.434421121802932e-05,7.123694853872511e-05,7.128798862311161e-05,7.434421121802932e-05,4836.529344841565
30,2021-12-20 14:30:00,38847.423344204,24,7.572103836726701e-05,7.426800279524856e-05,7.426800279524856e-05,7.572103836726701e-05,1494.046890770484
31,2021-12-20 14:31:00,55749.469467282,13,7.752606465149115e-05,7.587125130059746e-05,7.587125130059746e-05,7.715731625406056e-05,2186.2972882331887
32,2021-12-20 14:32:00,122938.560291055,19,8.152734130062522e-05,7.718539006262963e-05,7.754452603564e-05,8.140344722674538e-05,5002.598210922475
33,2021-12-20 14:33:00,184449.832814346,24,8.245411634286155e-05,7.803205533338733e-05,8.11720112009527e-05,7.848000728169026e-05,7566.369514800897
34,2021-12-20 14:34:00,71644.665258605,25,7.888284782557325e-05,7.744727938962334e-05,7.85788500587625e-05,7.790804402599232e-05,2868.0440582922456
35,2021-12-20 14:35:00,66316.177750875,21,7.787647391347797e-05,7.687092084547916e-05,7.749326445488076e-05,7.70203263743229e-05,2619.2086399475124
36,2021-12-20 14:36:00,177126.840618015,23,7.661659956648388e-05,7.420742549217234e-05,7.661659956648388e-05,7.468623482443288e-05,6821.148996249244
37,2021-12-20 14:37:00,88868.702220371,15,7.410320202648402e-05,7.165491685601163e-05,7.410320202648402e-05,7.165491685601163e-05,3311.4017373169104
38,2021-12-20 14:38:00,68456.226241141,16,7.200776642499585e-05,7.081484732972222e-05,7.162424971267503e-05,7.115153306484935e-05,2496.3367471497213
39,2021-12-20 14:39:00,98782.539331602,16,7.243613146073333e-05,7.05292571287147e-05,7.119801525398113e-05,7.243613146073333e-05,3605.624707247198
40,2021-12-20 14:40:00,269844.354354644,19,7.401616580738654e-05,6.811485702744278e-05,7.323986695935917e-05,6.811485702744278e-05,9822.076404010326
41,2021-12-20 14:41:00,85361.712814887,13,6.93882605000743e-05,6.798269541971734e-05,6.805235004809769e-05,6.885611627410048e-05,3008.577359749185
42,2021-12-20 14:42:00,76040.759645937,13,6.946874492786137e-05,6.80110983154707e-05,6.876668049165261e-05,6.80110983154707e-05,2681.5214016061946
43,2021-12-20 14:43:00,62283.445752995,11,6.850057091168567e-05,6.670257211892973e-05,6.837601726903275e-05,6.702199218603303e-05,2151.2545524687284
44,2021-12-20 14:44:00,70117.240237293,13,6.722527907915853e-05,6.603710335332364e-05,6.668625455542236e-05,6.603710335332364e-05,2393.9603154169254
45,2021-12-20 14:45:00,57155.820265028,12,6.691055932218278e-05,6.588163291164105e-05,6.588163291164105e-05,6.657545854388632e-05,1944.388155428214
46,2021-12-20 14:46:00,69436.178299783,13,6.730580243294547e-05,6.607307922188853e-05,6.649791605289701e-05,6.607307922188853e-05,2369.6187609778867
47,2021-12-20 14:47:00,46300.806601283,12,6.62969174456964e-05,6.568725320827727e-05,6.610321010553509e-05,6.616269443402796e-05,1560.2722461240908
48,2021-12-20 14:48:00,69806.166998637,18,6.598098411056129e-05,6.50810001831441e-05,6.535651296462742e-05,6.566580233899075e-05,2339.4916502215165
49,2021-12-20 14:49:00,38294.13678364,12,6.672081332607287e-05,6.561881600954757e-05,6.564239568176588e-05,6.635899256511512e-05,1298.9859348947198
50,2021-12-20 14:50:00,8352.505967106,8,6.676460970995131e-05,6.635960790026621e-05,6.667664194257453e-05,6.676460970995131e-05,284.7217060195147
51,2021-12-20 14:51:00,21649.216574224,6,6.714092736742651e-05,6.672806390788115e-05,6.676671340412743e-05,6.714092736742651e-05,741.9614936639537
52,2021-12-20 14:52:00,58739.70969127,11,6.865368603360348e-05,6.725047677678713e-05,6.725047677678713e-05,6.865368603360348e-05,2043.1767067810642
53,2021-12-20 14:53:00,47078.482555978,7,6.94926497771478e-05,6.868173906449244e-05,6.868173906449244e-05,6.94926497771478e-05,1665.019023732877
54,2021-12-20 14:54:00,36033.06044543,14,7.042821139507714e-05,6.959830488162493e-05,6.959830488162493e-05,7.042821139507714e-05,1290.1696637239124
55,2021-12-20 14:55:00,61738.112290784,9,7.218668885577444e-05,7.045597833183849e-05,7.045597833183849e-05,7.218668885577444e-05,2252.877667016885
56,2021-12-20 14:56:00,43928.612828357,8,7.32570773831812e-05,7.203293016948076e-05,7.222154315012538e-05,7.32570773831812e-05,1634.3177779458497
57,2021-12-20 14:57:00,71220.978392916,8,7.517358980490592e-05,7.33069527857469e-05,7.33069527857469e-05,7.468522723199415e-05,2706.221613744082
58,2021-12-20 14:58:00,61224.596802748,14,7.661328208595398e-05,7.495659167316443e-05,7.495659167316443e-05,7.652921053768135e-05,2375.382074736726
59,2021-12-20 14:59:00,19833.461281998,12,7.707962318091925e-05,7.637442954820939e-05,7.654117012831017e-05,7.669657175989209e-05,779.3073788614377
60,2021-12-20 15:00:00,531.845102566,2,7.709446479068512e-05,7.708597236172431e-05,7.708597236172431e-05,7.709446479068512e-05,21.00642156982422
61,2021-12-20 15:01:00,93436.630844701,5,7.837396022589598e-05,7.675415550453723e-05,7.712254515298853e-05,7.83209360772037e-05,3743.8213789298084
62,2021-12-20 15:02:00,34862.407456717,9,7.869526201006175e-05,7.787972486774163e-05,7.787972486774163e-05,7.83371477316125e-05,1397.5733839025143
63,2021-12-20 15:03:00,93159.315443795,12,8.078193214640687e-05,7.8549860447614e-05,7.887488252316885e-05,8.015237735193379e-05,3790.416352967463
64,2021-12-20 15:04:00,7774.161969639,8,8.069878158402204e-05,8.026546314923928e-05,8.03199612981815e-05,8.02884569355799e-05,320.39635003138136
65,2021-12-20 15:05:00,51276.711998725,6,8.225035199237837e-05,8.071367770876091e-05,8.071367770876091e-05,8.225035199237837e-05,2142.2984713258156
66,2021-12-20 15:06:00,64277.402859722,8,8.431626717198802e-05,8.22803940013491e-05,8.263872069897458e-05,8.431626717198802e-05,2746.2283688083126
67,2021-12-20 15:07:00,29578.970667466,10,8.531256270976687e-05,8.461178648338447e-05,8.465836558553671e-05,8.531256270976687e-05,1288.1384815438482
68,2021-12-20 15:08:00,152318.857053962,11,9.027066991953829e-05,8.506132337821466e-05,8.506132337821466e-05,9.003209585749772e-05,6887.122225917562
69,2021-12-20 15:09:00,98446.13172056,19,8.993983771580517e-05,8.718006689994782e-05,8.958989321355741e-05,8.718006689994782e-05,4463.072985511684
70,2021-12-20 15:10:00,60136.02641111,21,8.706485078154852e-05,8.578293515820944e-05,8.688191741816694e-05,8.608861480157332e-05,2663.307521431558
71,2021-12-20 15:11:00,350654.57264082,15,8.665546277045769e-05,7.715406909108024e-05,8.656801482356249e-05,7.947835810706351e-05,14552.667698305288
72,2021-12-20 15:12:00,39417.424212239,13,7.955021348076697e-05,7.895277564372722e-05,7.943024867126377e-05,7.93562826269933e-05,1601.395193231019
73,2021-12-20 15:13:00,28583.30162737,8,8.033405450516608e-05,7.926761645656132e-05,7.929933657272347e-05,7.998891293515492e-05,1169.978015861553
74,2021-12-20 15:14:00,65330.941340026,6,8.243781131337333e-05,8.122301087852194e-05,8.122301087852194e-05,8.183353908298923e-05,2728.0232067152747
75,2021-12-20 15:15:00,265587.982050811,10,9.266973332818139e-05,8.280412943990212e-05,8.280412943990212e-05,9.266973332818139e-05,11914.34904493533
76,2021-12-20 15:16:00,41852.897948097,16,9.25285731042522e-05,9.127270661244411e-05,9.218476023186015e-05,9.142842591578005e-05,1967.9465924641765
77,2021-12-20 15:17:00,25622.21064269,11,9.146623956337804e-05,9.056510595494054e-05,9.116708927683593e-05,9.056510595494054e-05,1193.401971136462
78,2021-12-20 15:18:00,7916.155722821,6,9.097708537848355e-05,9.042342350774779e-05,9.056380486483958e-05,9.042342350774779e-05,367.72454891553446
