,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2022-01-14 18:20:00,13962214538.199629,1,1.432437522377372e-12,1.432437522377372e-12,1.432437522377372e-12,1.432437522377372e-12,9.625100708007814
1,2022-01-14 18:21:00,46764541370.702934,4,1.4333977957916191e-12,1.4252857107194598e-12,1.4252857107194598e-12,1.433011211244479e-12,32.19603158832655
2,2022-01-14 18:22:00,13956624932.91401,1,1.4260558126506223e-12,1.4260558126506223e-12,1.4260558126506223e-12,1.4260558126506223e-12,9.5783834099121
3,2022-01-14 18:23:00,6978026274.26198,1,1.433069983826857e-12,1.433069983826857e-12,1.433069983826857e-12,1.433069983826857e-12,4.812550354003907
4,2022-01-14 18:25:00,6955705252.015919,1,1.4333557329949355e-12,1.4333557329949355e-12,1.4333557329949355e-12,1.4333557329949355e-12,4.798112702941895
5,2022-01-14 18:31:00,4421486561.147783,1,1.4335891792091266e-12,1.4335891792091266e-12,1.4335891792091266e-12,1.4335891792091266e-12,3.050480900716216
6,2022-01-14 18:40:00,6955705252.015919,1,1.4263791100951064e-12,1.4263791100951064e-12,1.4263791100951064e-12,1.4263791100951064e-12,4.774758679799739
7,2022-01-14 18:42:00,7650227867.528337,1,1.4335520705925402e-12,1.4335520705925402e-12,1.4335520705925402e-12,1.4335520705925402e-12,5.277923973236084
8,2022-01-14 18:58:00,1952409026573.1199,3,1.5011803094047455e-12,1.4363589132587184e-12,1.4363589132587184e-12,1.5011803094047455e-12,1384.9842344011074
9,2022-01-14 18:59:00,1865910776944.2195,3,1.5748706232384707e-12,1.5086450580666415e-12,1.5748706232384707e-12,1.5748706232384707e-12,1389.4000159741995
10,2022-01-14 19:00:00,3549092671893.786,6,1.7282270796443006e-12,1.5827035262905463e-12,1.6503243018226208e-12,1.7282270796443006e-12,2859.109910759593
11,2022-01-14 19:01:00,2988758849835.2812,6,1.893385668608415e-12,1.7360736657951456e-12,1.8064568150770662e-12,1.883930582106307e-12,2625.5618484478478
12,2022-01-14 19:02:00,2964931147675.104,6,2.0542724806185505e-12,1.896880160825762e-12,1.9699963126930184e-12,2.0542724806185505e-12,2849.307406042713
13,2022-01-14 19:03:00,2541647189656.22,5,2.1908740489067377e-12,2.0645016659187444e-12,2.140309779200445e-12,2.1908740489067377e-12,2645.700451691247
14,2022-01-14 19:04:00,2352422110621.516,4,2.370895958597783e-12,2.2396993660346545e-12,2.3181714257729765e-12,2.370895958597783e-12,2652.1972234854798
15,2022-01-14 19:05:00,1328810156551.267,4,2.516460262227054e-12,2.4218360130112027e-12,2.4218360130112027e-12,2.516460262227054e-12,1595.1796829728537
16,2022-01-14 19:06:00,2033548639889.382,3,2.653990391595738e-12,2.5695303954108307e-12,2.5988339439525625e-12,2.653990391595738e-12,2574.5450779792554
17,2022-01-14 19:07:00,2531392453911.37,4,2.965956899179442e-12,2.7521517922772503e-12,2.7521517922772503e-12,2.965956899179442e-12,3491.542941568692
18,2022-01-14 19:08:00,1275758645898.5378,2,3.0993399412172854e-12,3.0178434903205764e-12,3.0178434903205764e-12,3.0993399412172854e-12,1891.5183288574217
19,2022-01-14 19:09:00,581995958211.7291,1,3.1787162331580545e-12,3.1787162331580545e-12,3.1787162331580545e-12,3.1787162331580545e-12,897.2586944580078
20,2022-01-14 19:11:00,1421901402856.8145,2,3.370335069145576e-12,3.2676400155652733e-12,3.2676400155652733e-12,3.370335069145576e-12,2289.222182617187
