,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2022-02-08 14:13:00,113483.69104530726,2,6.320857377055958e-07,6.319375838195909e-07,6.319375838195909e-07,6.320857377055958e-07,30.15519236787407
1,2022-02-08 14:14:00,15316475.600675242,1,6.52891713519208e-07,6.52891713519208e-07,6.52891713519208e-07,6.52891713519208e-07,4203.909606933594
2,2022-02-08 14:15:00,27895110.66266803,2,7.396841849106291e-07,6.956121343326772e-07,6.956121343326772e-07,7.396841849106291e-07,8407.819213867188
3,2022-02-08 14:20:00,6232.200136943938,1,7.624351767440562e-07,7.624351767440562e-07,7.624351767440562e-07,7.624351767440562e-07,1.997550125260682
4,2022-02-08 14:21:00,105813.83776434904,1,7.5845692430171e-07,7.5845692430171e-07,7.5845692430171e-07,7.5845692430171e-07,33.73857657797996
5,2022-02-08 14:32:00,148682.15120359385,1,7.58019965598726e-07,7.58019965598726e-07,7.58019965598726e-07,7.58019965598726e-07,47.379759288293734
6,2022-02-08 18:15:00,74304.5692871054,1,7.576371517227459e-07,7.576371517227459e-07,7.576371517227459e-07,7.576371517227459e-07,23.443446468485224
7,2022-02-08 19:48:00,130919.38586945197,1,7.615373333588442e-07,7.615373333588442e-07,7.615373333588442e-07,7.615373333588442e-07,41.142387963867186
8,2022-02-09 05:40:00,119117.42335363015,1,7.577557522547874e-07,7.577557522547874e-07,7.577557522547874e-07,7.577557522547874e-07,37.16256595911404
9,2022-02-10 06:35:00,229209.29290342383,5,7.619185424428982e-07,7.614636629472537e-07,7.61598801665221e-07,7.619185424428982e-07,72.96037822265625
10,2022-02-10 06:36:00,652073.3272703331,8,7.643624038066956e-07,7.621696422864317e-07,7.621696422864317e-07,7.643624038066956e-07,207.9795381924397
11,2022-02-10 06:37:00,421666.0997587703,3,7.656166101392145e-07,7.648621982883057e-07,7.648621982883057e-07,7.656166101392145e-07,134.81962133853744
12,2022-02-10 06:38:00,1094198.242133611,4,7.689716606837045e-07,7.670127919315456e-07,7.670127919315456e-07,7.689716606837045e-07,351.05868747474807
13,2022-02-10 06:40:00,285637.52013585827,1,7.702069388340895e-07,7.702069388340895e-07,7.702069388340895e-07,7.702069388340895e-07,91.931748046875
14,2022-02-10 06:41:00,1044786.918026688,3,7.732546500667384e-07,7.707262408943646e-07,7.707262408943646e-07,7.732546500667384e-07,337.28590149056106
15,2022-02-10 06:42:00,1413932.90766923,6,7.760210389344024e-07,7.71177013231298e-07,7.744691235621055e-07,7.745340160716149e-07,456.91573684937197
16,2022-02-10 06:43:00,83846.31717938805,2,7.753194881779406e-07,7.751705833132124e-07,7.751705833132124e-07,7.753194881779406e-07,27.16165283203125
17,2022-02-10 06:44:00,96965.57412579712,3,7.757190391055968e-07,7.754436167350304e-07,7.754436167350304e-07,7.757190391055968e-07,31.424590208417033
18,2022-02-10 06:45:00,19335.98543227467,1,7.7575565272007e-07,7.7575565272007e-07,7.7575565272007e-07,7.7575565272007e-07,6.268073730468751
19,2022-02-10 06:46:00,0.969,1,7.719159568245614e-07,7.719159568245614e-07,7.719159568245614e-07,7.719159568245614e-07,0.00031256232806916873
20,2022-02-10 06:47:00,593571.1745001674,3,7.778328137794994e-07,7.76316318267069e-07,7.76316318267069e-07,7.778328137794994e-07,192.6861494114318
