,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-22 13:59:00,2330123486.5994716,78,0.02,6.909953786701744e-08,7.037861392786612e-08,7.456975227594692e-08,89330.97807077918
1,2021-12-22 14:00:00,960695202.4379033,64,7.877876925096983e-08,7.497621238052275e-08,7.497621238052275e-08,7.756959576820057e-08,39355.89103154951
2,2021-12-22 14:01:00,1459466753.3907924,57,8.12131109328716e-08,7.692466485300716e-08,7.955015750925273e-08,7.974124484233905e-08,61176.299310209644
3,2021-12-22 14:02:00,755363376.1260443,66,8.053603664938779e-08,7.73529563567723e-08,7.957443554668415e-08,7.73529563567723e-08,31700.82521838537
4,2021-12-22 14:03:00,1114064458.6922147,58,7.720880216700378e-08,6.971405665505782e-08,7.589693802498553e-08,6.971405665505782e-08,43213.17945806143
5,2021-12-22 14:04:00,1197752828.85513,56,6.980296087165367e-08,6.542835433477644e-08,6.9418650563691e-08,6.592962626308619e-08,42633.17526997506
6,2021-12-22 14:05:00,1515443825.104789,70,6.864537685073145e-08,6.520657192394103e-08,6.555108961028842e-08,6.864537685073145e-08,53596.97496168522
7,2021-12-22 14:06:00,858924392.2534647,56,1.0,6.877644785349615e-08,6.878826086557111e-08,7.265436437077157e-08,32516.139194035408
8,2021-12-22 14:07:00,990378762.2088073,57,7.493918877267557e-08,7.253087105850549e-08,7.267481149406088e-08,7.493918877267557e-08,38508.536971051464
9,2021-12-22 14:08:00,2459594064.339126,49,8.39062598747169e-08,7.395383069305363e-08,7.481464675527531e-08,7.730719208069273e-08,102232.29528608825
10,2021-12-22 14:09:00,2206947057.217892,40,8.510974319812718e-08,7.671673855968757e-08,7.700038850770095e-08,7.841503244571762e-08,93875.29579156997
11,2021-12-22 14:10:00,292326441.3911073,32,7.939868884314175e-08,7.832458805720875e-08,7.87361773349588e-08,7.938424300222677e-08,12225.278618780862
12,2021-12-22 14:11:00,354910304.92021185,35,8.026011523378723e-08,7.887892209083802e-08,7.887892209083802e-08,7.939314914474373e-08,14993.961653228635
