,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-03 23:25:00,13493931.911213996,6,2.9700999275294367e-09,2.8444442076852046e-09,2.8444442076852046e-09,2.9700999275294367e-09,23.309593355195354
1,2021-12-03 23:49:00,6425982.311938997,2,3.02256526702073e-09,2.9894086040306008e-09,3.02256526702073e-09,3.02256526702073e-09,11.481988128632787
2,2021-12-04 00:53:00,15994661.757449443,1,3.1260429734759923e-09,3.1260429734759923e-09,3.1260429734759923e-09,3.1260429734759923e-09,29.917718505859376
3,2021-12-04 03:17:00,3093452.0770201264,1,3.2326345296523368e-09,3.2326345296523368e-09,3.2326345296523368e-09,3.2326345296523368e-09,5.866923828125
4,2021-12-04 03:23:00,745389.4387754127,1,3.2548299683619993e-09,3.2548299683619993e-09,3.2548299683619993e-09,3.2548299683619993e-09,1.4233837086268906
5,2021-12-04 03:54:00,10536951.362517936,1,3.3216438793199777e-09,3.3216438793199777e-09,3.3216438793199777e-09,3.3216438793199777e-09,20.5342333984375
6,2021-12-04 04:23:00,10147441.799808959,1,3.4491451826468157e-09,3.4491451826468157e-09,3.4491451826468157e-09,3.4491451826468157e-09,20.28793670654297
7,2021-12-04 04:28:00,11147305.430239812,1,3.5883111170068193e-09,3.5883111170068193e-09,3.5883111170068193e-09,3.5883111170068193e-09,23.186213378906253
8,2021-12-04 04:48:00,4947653.276936591,1,3.698833872381887e-09,3.698833872381887e-09,3.698833872381887e-09,3.698833872381887e-09,10.60800999926495
9,2021-12-04 06:00:00,3590738.524553119,1,3.759672253406456e-09,3.759672253406456e-09,3.759672253406456e-09,3.759672253406456e-09,7.2517131958007806
10,2021-12-04 07:59:00,264017.39229960844,1,3.7876292591557535e-09,3.7876292591557535e-09,3.7876292591557535e-09,3.7876292591557535e-09,0.5421495361328125
11,2021-12-04 16:00:00,791247.0864328104,3,3.791483155438764e-09,3.791483155438764e-09,3.791483155438764e-09,3.791483155438764e-09,1.6889091796875
12,2021-12-04 16:58:00,38563504.86259112,3,3.889687945493484e-09,3.889687945493484e-09,3.889687945493484e-09,3.889687945493484e-09,84.44545898437501
13,2021-12-04 17:03:00,22233825.61861703,3,4.047886384637306e-09,4.047886384637306e-09,4.047886384637306e-09,4.047886384637306e-09,50.31908569335937
14,2021-12-04 18:56:00,35643570.97929174,3,4.20833255139187e-09,4.20833255139187e-09,4.20833255139187e-09,4.20833255139187e-09,84.37608947753905
15,2021-12-04 19:41:00,59439133.543175355,3,4.493975791210383e-09,4.493975791210383e-09,4.493975791210383e-09,4.493975791210383e-09,151.34375271591804
16,2021-12-04 19:52:00,1176457.1400000001,3,4.614129083697064e-09,4.614129083697064e-09,4.614129083697064e-09,4.614129083697064e-09,3.0755808623037706
17,2021-12-05 02:06:00,30820042.69413254,3,4.866962758249414e-09,4.866962758249414e-09,4.866962758249414e-09,4.866962758249414e-09,84.3989501953125
18,2021-12-05 15:27:00,36936334.35442371,2,5.097368388160905e-09,5.097368388160905e-09,5.097368388160905e-09,5.097368388160905e-09,106.78681470000998
19,2021-12-05 15:53:00,38304391.313003875,2,5.5544278732095915e-09,5.5544278732095915e-09,5.5544278732095915e-09,5.5544278732095915e-09,120.67177896215192
20,2021-12-05 16:01:00,32839927.10370228,2,6.0445691421044995e-09,6.0445691421044995e-09,6.0445691421044995e-09,6.0445691421044995e-09,108.88850937375976
21,2021-12-05 16:06:00,19842503.323643938,2,6.4495861260833476e-09,6.4495861260833476e-09,6.4495861260833476e-09,6.4495861260833476e-09,70.20092372581189
22,2021-12-05 16:07:00,39094272.59301685,4,7.138277405996821e-09,6.7834689202257216e-09,6.7834689202257216e-09,7.138277405996821e-09,149.21821689918812
23,2021-12-05 16:15:00,6807443.17380529,4,7.2298968087095164e-09,7.164889563247917e-09,7.164889563247917e-09,7.164889563247917e-09,26.760154873723877
24,2021-12-05 16:30:00,14965310.76404007,2,7.336967586656258e-09,7.336967586656258e-09,7.336967586656258e-09,7.336967586656258e-09,60.2305541015625
25,2021-12-05 16:35:00,5389278.608169287,2,7.540554305028072e-09,7.540554305028072e-09,7.540554305028072e-09,7.540554305028072e-09,22.291968782269272
26,2021-12-05 16:38:00,9986830.390747843,2,7.700635769707842e-09,7.700635769707842e-09,7.700635769707842e-09,7.700635769707842e-09,42.186041439851955
27,2021-12-05 17:12:00,34174525.07738256,2,8.193237488040766e-09,8.193237488040766e-09,8.193237488040766e-09,8.193237488040766e-09,155.37363037109375
28,2021-12-05 17:13:00,26259486.428800203,2,8.939458526736116e-09,8.939458526736116e-09,8.939458526736116e-09,8.939458526736116e-09,130.26169468113932
29,2021-12-05 17:14:00,39750103.81312464,2,9.884942764991803e-09,9.884942764991803e-09,9.884942764991803e-09,9.884942764991803e-09,218.0377582778792
30,2021-12-05 17:16:00,49136965.7102203,4,1.1587306879143908e-08,1.0675540619207688e-08,1.0675540619207688e-08,1.1587306879143908e-08,311.20472366016645
31,2021-12-05 17:33:00,11081962.52872344,2,1.2633141434753342e-08,1.2633141434753342e-08,1.2633141434753342e-08,1.2633141434753342e-08,77.68681518554688
32,2021-12-05 17:50:00,465390.7295680384,2,1.2892392604315557e-08,1.2892392604315557e-08,1.2892392604315557e-08,1.2892392604315557e-08,3.3294349365234375
33,2021-12-05 18:04:00,15085651.102696065,2,1.3257631284091979e-08,1.3257631284091979e-08,1.3257631284091979e-08,1.3257631284091979e-08,112.2080810546875
34,2021-12-05 18:09:00,25036576.06995255,2,1.4273846674654119e-08,1.4273846674654119e-08,1.4273846674654119e-08,1.4273846674654119e-08,200.49802673511996
35,2021-12-05 18:10:00,22871342.233745873,2,1.564040384031036e-08,1.564040384031036e-08,1.564040384031036e-08,1.564040384031036e-08,200.69370687048152
36,2021-12-05 18:11:00,19903768.23788488,2,1.703271140299173e-08,1.703271140299173e-08,1.703271140299173e-08,1.703271140299173e-08,190.20119166730709
37,2021-12-05 18:18:00,31602140.19501789,2,1.8986055890435885e-08,1.8986055890435885e-08,1.8986055890435885e-08,1.8986055890435885e-08,336.6242431640625
38,2021-12-05 18:19:00,6975264.0565247405,2,2.0644379744348286e-08,2.0644379744348286e-08,2.0644379744348286e-08,2.0644379744348286e-08,80.789818359375
39,2021-12-05 18:23:00,25586222.91079358,2,2.2257286164828503e-08,2.2257286164828503e-08,2.2257286164828503e-08,2.2257286164828503e-08,319.50122558915086
40,2021-12-05 18:25:00,5842509.66494364,4,2.4059663372146506e-08,2.3722322582383855e-08,2.3722322582383855e-08,2.4059663372146506e-08,78.54565673828125
41,2021-12-05 18:26:00,37403199.599231936,2,2.6735680656061702e-08,2.6735680656061702e-08,2.6735680656061702e-08,2.6735680656061702e-08,561.0404052734375
42,2021-12-05 18:28:00,28335348.811836176,8,3.414712815689068e-08,3.048823621792026e-08,3.048823621792026e-08,3.41414209298879e-08,506.0452819688885
43,2021-12-05 18:29:00,19202817.04234086,4,3.7066324380886576e-08,3.500491214289651e-08,3.500491214289651e-08,3.7066324380886576e-08,392.7282836914062
44,2021-12-05 18:31:00,10426028.497899497,2,3.987641343375855e-08,3.987641343375855e-08,3.987641343375855e-08,3.987641343375855e-08,233.25402001972105
45,2021-12-05 18:33:00,9022227.175169772,4,4.0836699888137104e-08,3.9705793728560985e-08,4.0836699888137104e-08,4.0836699888137104e-08,201.101711549719
46,2021-12-05 18:36:00,18830774.188711297,4,4.153838600153817e-08,3.9131273857570976e-08,3.9131273857570976e-08,4.153838600153817e-08,436.7750838711149
47,2021-12-05 18:37:00,16373563.000399275,4,4.650901269335678e-08,4.4021570963828114e-08,4.650901269335678e-08,4.650901269335678e-08,425.974442295183
48,2021-12-05 18:40:00,18262620.78161899,2,5.229227857056665e-08,5.229227857056665e-08,5.229227857056665e-08,5.229227857056665e-08,535.7902507201799
49,2021-12-05 18:41:00,1302311.320708724,2,5.608693499785449e-08,5.608693499785449e-08,5.608693499785449e-08,5.608693499785449e-08,40.97987817792696
50,2021-12-05 18:44:00,3502751.618662896,2,5.709795855857739e-08,5.709795855857739e-08,5.709795855857739e-08,5.709795855857739e-08,112.20806240761415
