,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-29 15:35:00,84647628.0465718,1,1.1813680112215497e-08,1.1813680112215497e-08,1.1813680112215497e-08,1.1813680112215497e-08,527.8773193359375
1,2021-12-29 15:36:00,106375674.9909244,1,1.2220839022745674e-08,1.2220839022745674e-08,1.2220839022745674e-08,1.2220839022745674e-08,686.2405151367187
2,2021-12-29 15:37:00,1605223.9588979103,1,1.2459320638181409e-08,1.2459320638181409e-08,1.2459320638181409e-08,1.2459320638181409e-08,10.557546386718752
3,2021-12-29 15:38:00,155963835.84866735,1,1.2823485579955932e-08,1.2823485579955932e-08,1.2823485579955932e-08,1.2823485579955932e-08,1055.754638671875
4,2021-12-29 15:39:00,75466141.78188974,9,1.3036272894579051e-08,1.2770170521477208e-08,1.2897570562951642e-08,1.2770584654079246e-08,515.8314194764675
5,2021-12-29 15:40:00,20671226.985013865,13,1.2846168659097124e-08,1.2724266303245197e-08,1.2846168659097124e-08,1.2743740587622877e-08,139.44728764171828
6,2021-12-29 15:41:00,14387353.549973577,13,1.2795432170754935e-08,1.271203152351787e-08,1.2717731339885106e-08,1.273477074812193e-08,96.98825903302755
7,2021-12-29 15:42:00,98225274.76875937,29,1.2733758087434199e-08,1.2299167157338369e-08,1.2732338917370568e-08,1.242004485378162e-08,648.72352572139
8,2021-12-29 15:43:00,18639844.52960079,24,1.2291446310939572e-08,1.221112276886846e-08,1.2290563051809502e-08,1.2212451792557966e-08,120.54909652658597
9,2021-12-29 15:44:00,5672204.279006337,3,1.2202754488245791e-08,1.218842926617245e-08,1.218842926617245e-08,1.218842926617245e-08,36.52556100666945
10,2021-12-29 15:45:00,1838259.8639718294,9,1.2185624445445209e-08,1.2178629368891183e-08,1.2184678548363874e-08,1.2178629368891183e-08,11.821514430847687
11,2021-12-29 15:46:00,5829871.766972205,9,1.2175422420157062e-08,1.215406870316405e-08,1.2171644317084303e-08,1.2164114779339542e-08,37.43994935766151
12,2021-12-29 15:47:00,33161347.936666556,9,1.2152449994462363e-08,1.2023026289806119e-08,1.2151369336581713e-08,1.2045291131963784e-08,211.5044130669348
13,2021-12-29 15:48:00,22859162.11680814,6,1.1982492688191515e-08,1.1916594945522284e-08,1.1931145712113262e-08,1.1916594945522284e-08,144.3656641041084
14,2021-12-29 15:54:00,6420831.171190199,2,1.1977195817457935e-08,1.1906917971759067e-08,1.1977195817457935e-08,1.1906917971759067e-08,40.383184936722074
15,2021-12-29 16:00:00,937772.3437198631,3,1.189356460286083e-08,1.1891258952172364e-08,1.189356460286083e-08,1.189356460286083e-08,5.897519112704076
16,2021-12-29 16:02:00,83869917.27871053,2,1.2306890452985293e-08,1.2125789756889464e-08,1.2125789756889464e-08,1.2306890452985293e-08,537.9029733137155
17,2021-12-29 16:03:00,9229386.426818455,3,1.223394332498962e-08,1.2210299001920213e-08,1.2210299001920213e-08,1.2210299001920213e-08,59.67942562554842
18,2021-12-29 16:04:00,119656969.68316741,2,1.2717276523350878e-08,1.244704164744905e-08,1.244704164744905e-08,1.2717276523350878e-08,793.1779174804688
19,2021-12-29 16:05:00,3901029.6800972936,1,1.2817128835265098e-08,1.2817128835265098e-08,1.2817128835265098e-08,1.2817128835265098e-08,26.439263916015623
20,2021-12-29 16:07:00,143731863.87738407,4,1.3275837315871383e-08,1.3104701649624485e-08,1.3104701649624485e-08,1.3199330344119216e-08,998.1503903317042
21,2021-12-29 16:08:00,900979.4799749511,1,1.3261874748360305e-08,1.3261874748360305e-08,1.3261874748360305e-08,1.3261874748360305e-08,6.318284500550602
22,2021-12-29 16:09:00,1926335.5924659038,1,1.3268788028735002e-08,1.3268788028735002e-08,1.3268788028735002e-08,1.3268788028735002e-08,13.51582502922568
23,2021-12-29 16:11:00,8036145.436149515,4,1.329090299228028e-08,1.3205781185298758e-08,1.3205987702024945e-08,1.329090299228028e-08,56.46441014007437
24,2021-12-29 16:13:00,5776455.265349006,5,1.3290148222348529e-08,1.3230118874031775e-08,1.3240033274012019e-08,1.3290148222348529e-08,40.45345045800128
25,2021-12-29 16:14:00,646581.0346734307,3,1.3225481769214974e-08,1.3223620096993069e-08,1.3223620096993069e-08,1.3223620096993069e-08,4.521678625640367
26,2021-12-29 16:17:00,16659010.683628622,4,1.332670846422987e-08,1.3289299864863717e-08,1.332670846422987e-08,1.329409134132959e-08,117.36605055996648
27,2021-12-29 16:18:00,857989.8405346719,4,1.3357287176568088e-08,1.3291380810664335e-08,1.3357287176568088e-08,1.3291380810664335e-08,6.053720212251443
28,2021-12-29 16:19:00,37173500.32965137,1,1.3450441727737325e-08,1.3450441727737325e-08,1.3450441727737325e-08,1.3450441727737325e-08,264.39263916015625
29,2021-12-29 16:20:00,2214137.9052188974,1,1.3549291545611336e-08,1.3549291545611336e-08,1.3549291545611336e-08,1.3549291545611336e-08,15.863558349609375
30,2021-12-29 16:23:00,4155330.324906534,3,1.3480269846962397e-08,1.3467547310432524e-08,1.3480269846962397e-08,1.3480269846962397e-08,29.612259697746193
31,2021-12-29 16:25:00,990400.7899408999,1,1.353646464410106e-08,1.353646464410106e-08,1.353646464410106e-08,1.353646464410106e-08,7.089173199655446
32,2021-12-29 16:29:00,36607750.4151851,1,1.3631786147476571e-08,1.3631786147476571e-08,1.3631786147476571e-08,1.3631786147476571e-08,263.8792018745392
33,2021-12-29 16:30:00,29977413.867767423,8,1.3785032646519456e-08,1.3640620830015381e-08,1.3651183764856113e-08,1.3756385599004036e-08,218.05967944872165
34,2021-12-29 16:31:00,34777173.600413226,1,1.3913807535884464e-08,1.3913807535884464e-08,1.3913807535884464e-08,1.3913807535884464e-08,255.87015401343803
35,2021-12-29 16:32:00,11522608.54995282,4,1.4025976426900201e-08,1.3957258301407461e-08,1.4025976426900201e-08,1.39696072442066e-08,85.33924970039288
36,2021-12-29 16:33:00,1425520.894187656,1,1.4029959211083435e-08,1.4029959211083435e-08,1.4029959211083435e-08,1.4029959211083435e-08,10.575705566406251
37,2021-12-29 16:34:00,4983268.639635413,1,1.4047005100877194e-08,1.4047005100877194e-08,1.4047005100877194e-08,1.4047005100877194e-08,37.014969482421876
38,2021-12-29 16:35:00,577108.3926860048,3,1.3989071100450884e-08,1.3987203234977417e-08,1.3989071100450884e-08,1.3989071100450884e-08,4.268839123486591
39,2021-12-29 16:37:00,6970477.277087776,4,1.4074281078270974e-08,1.401813821688002e-08,1.4074281078270974e-08,1.4020008096998038e-08,51.859511099037235
40,2021-12-29 16:38:00,77600000.0,2,1.4089924225499106e-08,1.3819830753857673e-08,1.4089924225499106e-08,1.3819830753857673e-08,567.1650016687604
41,2021-12-29 16:39:00,18779977.933681957,2,1.3750655131714339e-08,1.3702346845049132e-08,1.3702346845049132e-08,1.3750655131714339e-08,136.4214258241758
42,2021-12-29 16:40:00,5500000.0,1,1.3800249899137186e-08,1.3800249899137186e-08,1.3800249899137186e-08,1.3800249899137186e-08,40.13552941092817
43,2021-12-29 16:41:00,2348276.621957905,1,1.3820634343683748e-08,1.3820634343683748e-08,1.3820634343683748e-08,1.3820634343683748e-08,17.161553046518346
44,2021-12-29 16:42:00,11046459.42203173,3,1.3738747146789659e-08,1.3704009498360063e-08,1.3713475984590742e-08,1.3713475984590742e-08,80.1954246390492
45,2021-12-29 16:43:00,7115993.174960926,4,1.3786474158332558e-08,1.3731616095897227e-08,1.3786474158332558e-08,1.3731616095897227e-08,51.85955746419433
46,2021-12-29 16:45:00,6622000.0,1,1.3714451765015587e-08,1.3714451765015587e-08,1.3714451765015587e-08,1.3714451765015587e-08,48.022745281848806
47,2021-12-29 16:46:00,739223.5986595307,3,1.369617412302898e-08,1.3693857666970866e-08,1.369617412302898e-08,1.369617412302898e-08,5.353457863727206
48,2021-12-29 16:48:00,9715925.103619229,1,1.3787467895125764e-08,1.3787467895125764e-08,1.3787467895125764e-08,1.3787467895125764e-08,70.83502118855344
49,2021-12-29 16:49:00,10649834.296923714,4,1.3835959207191117e-08,1.3781911226807579e-08,1.3835959207191117e-08,1.3783364283376403e-08,77.87222654602009
50,2021-12-29 16:50:00,77549872.88697824,2,1.4246617382243111e-08,1.4038519258265717e-08,1.4038519258265717e-08,1.4246617382243111e-08,576.3759533691406
51,2021-12-29 16:56:00,20502499.904875398,5,1.4280435646794341e-08,1.415701700690702e-08,1.4163295973715187e-08,1.4280435646794341e-08,154.29945856198165
52,2021-12-29 16:57:00,999533.7739895629,1,1.4302301249543673e-08,1.4302301249543673e-08,1.4302301249543673e-08,1.4302301249543673e-08,7.559320351181058
53,2021-12-29 16:59:00,1307431.135267721,3,1.4231240626437318e-08,1.4226903443670563e-08,1.4228087300661011e-08,1.4228087300661011e-08,9.8379541909826
