,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-23 18:00:00,1602251766077.1064,9,2.143332522404958e-12,2.095645556114607e-12,2.1299374820671127e-12,2.143332522404958e-12,1853.2993427235617
1,2021-12-23 18:01:00,13448993375508.084,24,2.3630335032867164e-12,2.1489526643692597e-12,2.1489526643692597e-12,2.3630335032867164e-12,16435.20940430791
2,2021-12-23 18:02:00,4047148315167.6523,18,2.4295874932429237e-12,2.3659818190412383e-12,2.3659818190412383e-12,2.4295874932429237e-12,5261.924987078004
3,2021-12-23 18:03:00,1651045192908.921,7,2.466168304429753e-12,2.4379180797725242e-12,2.4379180797725242e-12,2.466168304429753e-12,2193.7829574763673
4,2021-12-23 18:04:00,9658070035028.568,27,2.6617707738803657e-12,2.4778667632239155e-12,2.4778667632239155e-12,2.6617707738803657e-12,13414.453637542389
5,2021-12-23 18:05:00,60083713011423.24,61,4.604776238119752e-12,2.6640399135062785e-12,2.6893740039189254e-12,4.588925798997171e-12,114173.51176503855
6,2021-12-23 18:06:00,52231861149420.92,102,8.068009537832665e-12,4.621510168599883e-12,4.621510168599883e-12,8.068009537832665e-12,173889.85197145893
7,2021-12-23 18:07:00,41991558202542.16,87,1.1980143777354932e-11,7.74424666099211e-12,8.100298845928557e-12,1.1980143777354932e-11,217822.1591150303
8,2021-12-23 18:08:00,27822578906869.023,111,1.4438421046665282e-11,1.1345049689186171e-11,1.1890694693022676e-11,1.418310295567349e-11,193366.52608983836
9,2021-12-23 18:09:00,51119409069613.53,139,1.646055796542499e-11,1.26621631433404e-11,1.4400479287174118e-11,1.304507574373659e-11,401880.84505581984
10,2021-12-23 18:10:00,31279115530205.438,112,1.5150517886251075e-11,1.1778733207602558e-11,1.3317777376012008e-11,1.2928679098992057e-11,222630.32140447537
11,2021-12-23 18:11:00,33767108402125.625,59,1.1118407143539465e-11,9.672953386019771e-12,1.1118407143539465e-11,9.946053445533813e-12,194837.3220307136
12,2021-12-23 18:12:00,8512044210746.902,44,9.694785616598693e-12,9.009864068716949e-12,9.402059096646535e-12,9.149254829752656e-12,43308.4349740776
13,2021-12-23 18:13:00,30766363750071.125,37,9.171501114507622e-12,6.6966340630299e-12,9.164009856759329e-12,7.077963951684894e-12,126504.56356851972
