,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-26 00:03:00,299.0,1,5.012956179198801e-05,5.012956179198801e-05,5.012956179198801e-05,5.012956179198801e-05,8.242687587341392
1,2021-12-26 00:04:00,426009.5593755554,18,4.9256708760924575e-05,3.99363178193143e-05,4.9256708760924575e-05,3.99363178193143e-05,10460.660693542432
2,2021-12-26 00:05:00,162499.99999999997,8,3.960315733145746e-05,3.6790143677378926e-05,3.960315733145746e-05,3.6790143677378926e-05,3420.819880545422
3,2021-12-26 00:06:00,114399.62005940474,7,3.676776392113254e-05,3.49204171647736e-05,3.676776392113254e-05,3.49204171647736e-05,2251.054035005035
4,2021-12-26 00:07:00,138013.5993254709,10,3.479687193656348e-05,3.303548944166517e-05,3.479687193656348e-05,3.303548944166517e-05,2568.652056813212
5,2021-12-26 00:08:00,116351.98727927565,7,3.278925358280792e-05,3.1703689193285494e-05,3.2735767466644514e-05,3.1703689193285494e-05,2053.4586154969084
6,2021-12-26 00:09:00,118632.60115449446,9,3.1820406567917296e-05,3.063207745169213e-05,3.1820406567917296e-05,3.063207745169213e-05,2016.7824491548795
7,2021-12-26 00:10:00,174824.534226456,10,3.0500447269503033e-05,2.8436252517297362e-05,3.0387449431480972e-05,2.8436252517297362e-05,2831.6582412120797
8,2021-12-26 00:11:00,142484.5747147683,8,2.841021363689692e-05,2.7268106767743227e-05,2.836625056999956e-05,2.7268106767743227e-05,2169.75836257511
9,2021-12-26 00:12:00,19194.444074447005,5,2.7190753312664074e-05,2.7036649835894764e-05,2.715062312993831e-05,2.7136855986677633e-05,286.0833006944211
10,2021-12-26 00:13:00,227682.7724032859,14,2.958941191428605e-05,2.7150115757235776e-05,2.7150115757235776e-05,2.958941191428605e-05,3548.091503659887
11,2021-12-26 00:14:00,835655.5987309961,25,3.656826011138072e-05,2.969255439789507e-05,2.969255439789507e-05,3.502103117339378e-05,15264.800896102495
12,2021-12-26 00:15:00,544924.4044998165,16,3.8625652167976026e-05,3.345853830273961e-05,3.3498624104764725e-05,3.5657145598104775e-05,10931.846201965873
13,2021-12-26 00:16:00,1656440.5829253986,12,5.5020780863612484e-05,3.5737205430278827e-05,3.5737205430278827e-05,3.7336614852806516e-05,40565.84851812334
14,2021-12-26 00:17:00,529123.1957366975,11,4.303787519575145e-05,3.793615081721733e-05,3.793615081721733e-05,3.9475103648272904e-05,11835.653971784366
15,2021-12-26 00:18:00,127057.26737088704,12,4.178915333079723e-05,3.949432464138993e-05,3.949432464138993e-05,4.178915333079723e-05,2846.5579603768524
16,2021-12-26 00:19:00,615526.498917273,14,4.880321554663491e-05,4.1999427156012434e-05,4.1999427156012434e-05,4.674200030493627e-05,15369.7392863283
17,2021-12-26 00:20:00,718483.410927,14,1.0,4.460437173412217e-05,4.460437173412217e-05,5.536869634887996e-05,20647.74859856723
18,2021-12-26 00:21:00,663555.6395916982,17,5.73838829488727e-05,5.1409307121337803e-05,5.1409307121337803e-05,5.413333490009476e-05,20180.633651260185
19,2021-12-26 00:22:00,121395.15570467288,13,5.790814048117025e-05,5.4665604392200884e-05,5.4665604392200884e-05,5.790814048117025e-05,3768.988163458461
20,2021-12-26 00:23:00,1001737.9824903233,17,6.70766435953362e-05,5.741436907248118e-05,5.78894601970035e-05,6.305100900876853e-05,34244.961735415476
21,2021-12-26 00:24:00,96807.05207984085,11,5.8084981877375326e-05,5.7501956853445406e-05,5.8084981877375326e-05,5.758787587834782e-05,3082.765637990739
22,2021-12-26 00:25:00,251332.47565667264,14,5.7138973928971244e-05,5.123257156744954e-05,5.687634349984121e-05,5.123257156744954e-05,7533.167248382284
