,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-13 15:59:00,3148638.134687424,112,2.9713480569749693e-05,2.137127929607229e-05,2.137127929607229e-05,2.590572473453883e-05,44906.663499717324
1,2021-12-13 16:00:00,3580168.512597493,142,2.64628038931998e-05,2.0536071359909502e-05,2.3129687458351995e-05,2.2075850401536507e-05,42823.77557707549
2,2021-12-13 16:01:00,1060241.483259993,51,2.2120583294144757e-05,1.9749079623851075e-05,2.1550906363405636e-05,1.9749079623851075e-05,11692.379566023339
3,2021-12-13 16:02:00,847204.915556933,46,1.963564680469208e-05,1.827714717459828e-05,1.963564680469208e-05,1.829036658633678e-05,8485.021382022393
4,2021-12-13 16:03:00,713585.895335462,36,1.88035169940706e-05,1.696654856367028e-05,1.8345201168778082e-05,1.696654856367028e-05,6670.953343466348
5,2021-12-13 16:04:00,674347.490339375,44,1.7349003092564036e-05,1.6051492703741426e-05,1.691811576431394e-05,1.6218277713930163e-05,5924.1581423451
6,2021-12-13 16:05:00,789808.264327121,31,1.636180217128229e-05,1.485835767631998e-05,1.5994506733693665e-05,1.485835767631998e-05,6434.411355172734
7,2021-12-13 16:06:00,776283.386638266,37,1.5098267639941935e-05,1.372591454679387e-05,1.4792085124599144e-05,1.372591454679387e-05,5844.600933157384
8,2021-12-13 16:07:00,359296.138008802,20,1.3886351655939672e-05,1.3313553085555412e-05,1.3687884938747125e-05,1.3313553085555412e-05,2569.162580576439
9,2021-12-13 16:08:00,923174.234152586,29,1.4022868576570294e-05,1.2925681715193164e-05,1.3209920352797086e-05,1.3992011595087824e-05,6536.149193647811
10,2021-12-13 16:09:00,1946337.958103188,84,1.710437554148498e-05,1.3572871190667285e-05,1.3630071214930193e-05,1.7069682338826238e-05,15751.387203477294
11,2021-12-13 16:10:00,1541705.00157091,65,2.0183155161505944e-05,1.716434652464264e-05,1.716434652464264e-05,2.0121973063280104e-05,15155.5045956804
12,2021-12-13 16:11:00,667176.842329431,34,2.1561880366998468e-05,1.977642577383391e-05,2.0210127059967678e-05,2.1561880366998468e-05,7283.4103741411545
13,2021-12-13 16:12:00,639897.910828076,28,2.1806593602386654e-05,2.081709590770676e-05,2.1576816659385138e-05,2.081709590770676e-05,7156.074623993608
14,2021-12-13 16:13:00,613554.431215538,39,2.1112806318548843e-05,1.926204259590081e-05,2.1083198651797382e-05,1.926204259590081e-05,6477.4894228367675
15,2021-12-13 16:14:00,705160.221073239,34,1.944167436536077e-05,1.756960913818299e-05,1.9181881463780196e-05,1.756960913818299e-05,6854.857702415801
16,2021-12-13 16:15:00,660432.436123347,25,1.7916534247616475e-05,1.665571351180391e-05,1.751724148056869e-05,1.665571351180391e-05,5981.555579807276
17,2021-12-13 16:16:00,193950.513672852,21,1.6797712504920148e-05,1.6310051202120873e-05,1.6524758789874483e-05,1.6310051202120873e-05,1686.7160886698061
18,2021-12-13 16:17:00,468299.11422827,15,1.7719904816375807e-05,1.6289385064264894e-05,1.671621862018118e-05,1.7719904816375807e-05,4239.136216525822
19,2021-12-13 16:18:00,633942.350046109,29,1.936915371636663e-05,1.7724277691611634e-05,1.7741411818943406e-05,1.936915371636663e-05,6197.043488286164
20,2021-12-13 16:19:00,513069.147962136,15,1.997560506579643e-05,1.9197081916347525e-05,1.9448535529153328e-05,1.997560506579643e-05,5338.274620039316
21,2021-12-13 16:20:00,353767.716050771,16,2.0408096264364537e-05,1.9783404827683346e-05,2.0273864283870686e-05,1.982012167941575e-05,3746.67849569014
22,2021-12-13 16:21:00,596261.228740684,17,2.0239193232976492e-05,1.816246649267061e-05,2.0239193232976492e-05,1.816246649267061e-05,5952.738850140473
23,2021-12-13 16:22:00,257728.059234974,10,1.8065462855884897e-05,1.7598287397605754e-05,1.8065462855884897e-05,1.7598287397605754e-05,2427.3943433561444
24,2021-12-13 16:23:00,121180.847146773,7,1.8328826660566885e-05,1.8042702906992683e-05,1.8042702906992683e-05,1.8328826660566885e-05,1162.2934597280498
25,2021-12-13 16:24:00,243736.507484123,9,1.863883514502318e-05,1.7797276280509463e-05,1.787506896031146e-05,1.863883514502318e-05,2346.4230652888205
26,2021-12-13 16:25:00,146500.547161884,7,1.865368715014948e-05,1.8033432759668163e-05,1.865368715014948e-05,1.8033432759668163e-05,1410.5225256880344
27,2021-12-13 16:26:00,30786.268307566,7,1.8501147002774307e-05,1.801212477264184e-05,1.8501147002774307e-05,1.801212477264184e-05,295.12193234187976
28,2021-12-13 16:27:00,66934.479639014,4,1.8319121246971053e-05,1.786037695936225e-05,1.7931449226311062e-05,1.786037695936225e-05,633.6101869764967
29,2021-12-13 16:28:00,183926.014431377,8,1.8298474639045105e-05,1.7708367768869493e-05,1.78272992506152e-05,1.7708367768869493e-05,1756.1720451730832
30,2021-12-13 16:29:00,23410.393276429,3,1.839601735633116e-05,1.7942062450214994e-05,1.796467526847076e-05,1.839601735633116e-05,222.92155317611093
31,2021-12-13 16:30:00,159331.536907624,4,1.8397890602039694e-05,1.7894045888732327e-05,1.7894045888732327e-05,1.7933184892895888e-05,1526.2428361853604
32,2021-12-13 16:31:00,44419.19285343,3,1.8298186057639707e-05,1.7881377806212547e-05,1.7881377806212547e-05,1.8298186057639707e-05,419.9624586035045
33,2021-12-13 16:32:00,15249.613167222,5,1.8312761774319345e-05,1.7839641654074983e-05,1.830552463451534e-05,1.7839641654074983e-05,144.94606495395558
34,2021-12-13 16:33:00,156298.30936001,6,1.8107518486897576e-05,1.7533949844678537e-05,1.7810472805331396e-05,1.7533949844678537e-05,1460.189231422716
35,2021-12-13 16:34:00,220651.102402092,12,1.7967131899286682e-05,1.708155019748509e-05,1.743782865489239e-05,1.7110732916331497e-05,2016.37123766844
36,2021-12-13 16:35:00,111733.518190416,7,1.7630304143079637e-05,1.7058528948797128e-05,1.7058528948797128e-05,1.7187678132011052e-05,1027.464260050939
37,2021-12-13 16:36:00,40399.579961853,6,1.7597979350732707e-05,1.7142632623415455e-05,1.7158413137477432e-05,1.718701065940405e-05,371.4084722411867
38,2021-12-13 16:37:00,182914.128231521,6,1.7588022117726096e-05,1.6958939837631323e-05,1.7167664785759427e-05,1.6958939837631323e-05,1664.9295752857975
39,2021-12-13 16:38:00,20443.934166084,4,1.75878297201248e-05,1.7133057761561176e-05,1.714026120654455e-05,1.75878297201248e-05,188.12642522815588
40,2021-12-13 16:39:00,234930.710865092,11,1.751280290303499e-05,1.6769867372807006e-05,1.706255544822631e-05,1.6769867372807006e-05,2104.3158236699924
41,2021-12-13 16:40:00,115245.307131912,5,1.6684889110622306e-05,1.649612543475607e-05,1.6684889110622306e-05,1.649612543475607e-05,1007.6944912857821
42,2021-12-13 16:41:00,62818.852765242,6,1.6449338016945422e-05,1.6322503846973106e-05,1.6449338016945422e-05,1.6322503846973106e-05,542.8612036334663
43,2021-12-13 16:42:00,583181.099124719,7,1.588777886676223e-05,1.519514420725773e-05,1.588777886676223e-05,1.519514420725773e-05,4837.538454266588
44,2021-12-13 16:43:00,87457.73640003,4,1.5504012161170717e-05,1.5087906755718606e-05,1.5146187375793684e-05,1.5504012161170717e-05,702.8099999283883
45,2021-12-13 16:44:00,74572.742540969,5,1.551235800766077e-05,1.5059340049549226e-05,1.5091773870650804e-05,1.5059340049549226e-05,597.5411000741417
46,2021-12-13 16:45:00,128415.649249923,16,1.5456863632250647e-05,1.496029484565221e-05,1.5446264993840826e-05,1.5310179304860192e-05,1022.235373254284
47,2021-12-13 16:46:00,70294.518727895,6,1.5262545892534722e-05,1.4853458894423498e-05,1.491624614909826e-05,1.4853458894423498e-05,553.7837573139874
48,2021-12-13 16:47:00,49406.848711882,2,1.4841581533249245e-05,1.4795900888947477e-05,1.4841581533249245e-05,1.4795900888947477e-05,385.82600772741273
49,2021-12-13 16:48:00,33314.883839221,3,1.5170649262543379e-05,1.513611629861e-05,1.513611629861e-05,1.5170649262543379e-05,266.54507436753863
50,2021-12-13 16:49:00,669564.712904055,14,1.610730758279752e-05,1.4745599316826008e-05,1.481761685715703e-05,1.610730758279752e-05,5492.959253970899
