,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-21 21:21:00,1468768109.2018883,4,1.6064785507444613e-12,1.597069647223473e-12,1.597069647223473e-12,1.6064785507444613e-12,1.2411372097482898
1,2021-12-21 21:22:00,27403438190.419746,3,1.7693015516748433e-12,1.6113195401278276e-12,1.6113195401278276e-12,1.6621856946784922e-12,24.80251446533203
2,2021-12-21 21:23:00,6172977766.75134,2,1.8829452264723454e-12,1.854289028214424e-12,1.854289028214424e-12,1.8829452264723454e-12,6.056497082783318
3,2021-12-21 21:37:00,5227575478.859225,1,1.912932685609396e-12,1.912932685609396e-12,1.912932685609396e-12,1.912932685609396e-12,5.277130737304687
4,2021-12-21 22:22:00,5090408071.947924,1,1.964479047388699e-12,1.964479047388699e-12,1.964479047388699e-12,1.964479047388699e-12,5.294652709960937
5,2021-12-21 22:30:00,25126645632.687473,2,1.925233665176443e-12,1.815536746286019e-12,1.925233665176443e-12,1.815536746286019e-12,24.824516712693686
6,2021-12-22 02:36:00,4426092301.928072,1,1.7916481309134864e-12,1.7916481309134864e-12,1.7916481309134864e-12,1.7916481309134864e-12,4.207348524780274
7,2021-12-22 10:32:00,4910219374.870173,1,1.7813515524926203e-12,1.7813515524926203e-12,1.7813515524926203e-12,1.7813515524926203e-12,4.665608402549945
8,2021-12-22 14:01:00,999987646.2635133,1,1.7789804931455554e-12,1.7789804931455554e-12,1.7789804931455554e-12,1.7789804931455554e-12,0.944154110450564
9,2021-12-22 14:12:00,560699447.2103741,1,1.7834866878775441e-12,1.7834866878775441e-12,1.7834866878775441e-12,1.7834866878775441e-12,0.5307341918945313
10,2021-12-22 19:11:00,9921298632.28322,1,1.8142786208883225e-12,1.8142786208883225e-12,1.8142786208883225e-12,1.8142786208883225e-12,9.674452880859375
11,2021-12-22 20:41:00,993332348.9249231,1,1.8317770785561262e-12,1.8317770785561262e-12,1.8317770785561262e-12,1.8317770785561262e-12,0.981967095893255
12,2021-12-23 14:52:00,27923112249.0207,1,1.9264308045732344e-12,1.9264308045732344e-12,1.9264308045732344e-12,1.9264308045732344e-12,28.59298220026297
13,2021-12-23 14:53:00,50565005903.819214,2,2.1055299450852218e-12,2.0844163643661785e-12,2.1055299450852218e-12,2.0844163643661785e-12,56.290850130672005
14,2021-12-26 01:14:00,997151073.0690446,1,2.007722183847574e-12,2.007722183847574e-12,2.007722183847574e-12,2.007722183847574e-12,1.0906441674271579
15,2021-12-26 01:16:00,99998835.50215806,1,2.0058067449686287e-12,2.0058067449686287e-12,2.0058067449686287e-12,2.0058067449686287e-12,0.10927039992651656
16,2021-12-26 16:50:00,4500981717.344122,1,2.021781151639426e-12,2.021781151639426e-12,2.021781151639426e-12,2.021781151639426e-12,4.950404443359376
17,2021-12-27 18:05:00,1051341622.6534714,1,2.042903833250821e-12,2.042903833250821e-12,2.042903833250821e-12,2.042903833250821e-12,1.216162395465719
