,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2022-01-13 17:48:00,0.9739179035953782,3,0.02041211623285207,0.005928693554297492,0.02041211623285207,0.005928693554297492,3.321293588340556
1,2022-01-14 00:25:00,5000.0,1,1.473599885888868e-06,1.473599885888868e-06,1.473599885888868e-06,1.473599885888868e-06,3.5071456927726814
2,2022-01-14 04:41:00,-47234.925382588044,1,-4.192856340003997e-13,-4.192856340003997e-13,-4.192856340003997e-13,-4.192856340003997e-13,9.516072151824356e-06
3,2022-01-14 05:12:00,5000.0,1,1.16546384746e-10,1.16546384746e-10,1.16546384746e-10,1.16546384746e-10,0.00028214107436718545
4,2022-01-14 05:13:00,7000.0,1,1.5133924880114285e-10,1.5133924880114285e-10,1.5133924880114285e-10,1.5133924880114285e-10,0.0005129170302556279
5,2022-01-14 05:14:00,6000.0,1,2.0887850928516666e-10,2.0887850928516666e-10,2.0887850928516666e-10,2.0887850928516666e-10,0.0006067957284170227
6,2022-01-14 05:15:00,5000.0,1,2.875690917612e-10,2.875690917612e-10,2.875690917612e-10,2.875690917612e-10,0.0006961610407832523
7,2022-01-14 05:16:00,4300.0,1,3.949525542711628e-10,3.949525542711628e-10,3.949525542711628e-10,3.949525542711628e-10,0.0008222632634802586
8,2022-01-14 05:19:00,6500.0,2,7.29057304314e-10,5.388463878517142e-10,5.388463878517142e-10,7.29057304314e-10,0.001972087734172963
9,2022-01-14 05:20:00,2700.0,1,9.934455590348148e-10,9.934455590348148e-10,9.934455590348148e-10,9.934455590348148e-10,0.0012986895380720622
10,2022-01-14 05:21:00,2300.0,1,1.363568947176087e-09,1.363568947176087e-09,1.363568947176087e-09,1.363568947176087e-09,0.0015184568096340773
11,2022-01-14 05:22:00,1500.0,1,1.7982438837526667e-09,1.7982438837526667e-09,1.7982438837526667e-09,1.7982438837526667e-09,0.0013059824955752922
12,2022-01-14 05:42:00,1500.0,1,2.315696196622667e-09,2.315696196622667e-09,2.315696196622667e-09,2.315696196622667e-09,0.0016817845038617934
13,2022-01-14 05:44:00,1500.0,1,3.093868704568e-09,3.093868704568e-09,3.093868704568e-09,3.093868704568e-09,0.0022469356955865257
14,2022-01-14 05:45:00,1200.0,1,4.174819627520833e-09,4.174819627520833e-09,4.174819627520833e-09,4.174819627520833e-09,0.0024255848297277034
15,2022-01-14 05:47:00,1100.0,1,5.623107082406363e-09,5.623107082406363e-09,5.623107082406363e-09,5.623107082406363e-09,0.002994791172058116
16,2022-01-14 05:48:00,900.0,1,7.585547818585556e-09,7.585547818585556e-09,7.585547818585556e-09,7.585547818585556e-09,0.0033054223934570535
17,2022-01-14 07:14:00,200.0,1,9.095166002875e-09,9.095166002875e-09,9.095166002875e-09,9.095166002875e-09,0.0008864470536781325
18,2022-01-14 07:20:00,800.0,1,1.10154952323725e-08,1.10154952323725e-08,1.10154952323725e-08,1.10154952323725e-08,0.004294436534948562
19,2022-01-14 08:42:00,141.51993834993362,1,1.3276350423557694e-08,1.3276350423557694e-08,1.3276350423557694e-08,1.3276350423557694e-08,0.00091077005222686
20,2022-01-14 08:44:00,92.0,1,1.3351212228695653e-08,1.3351212228695653e-08,1.3351212228695653e-08,1.3351212228695653e-08,0.0005954165897147403
21,2022-01-14 08:48:00,296.9393474391458,2,1.452029974123925e-08,1.3599682175242662e-08,1.3599682175242662e-08,1.452029974123925e-08,0.0020216154124349187
22,2022-01-14 08:56:00,460.0,1,1.3509949969782608e-08,1.3509949969782608e-08,1.3509949969782608e-08,1.3509949969782608e-08,0.003012478642551915
23,2022-01-14 09:00:00,276.0,1,1.1572545107369565e-08,1.1572545107369565e-08,1.1572545107369565e-08,1.1572545107369565e-08,0.0015302734279822616
24,2022-01-14 09:16:00,510.1481471954639,1,1.2220334846676148e-08,1.2220334846676148e-08,1.2220334846676148e-08,1.2220334846676148e-08,0.0029868299160791807
25,2022-01-14 09:19:00,287.2688739989972,1,1.4474061045233583e-08,1.4474061045233583e-08,1.4474061045233583e-08,1.4474061045233583e-08,0.0019920949974514624
26,2022-01-14 09:20:00,369.5641392583774,1,1.687674029574182e-08,1.687674029574182e-08,1.687674029574182e-08,1.687674029574182e-08,0.0029881986343460237
27,2022-01-14 09:22:00,492.97755863859504,1,2.107848293360321e-08,2.107848293360321e-08,2.107848293360321e-08,2.107848293360321e-08,0.004978489242677004
28,2022-01-14 09:47:00,184.0,1,2.275752201023913e-08,2.275752201023913e-08,2.275752201023913e-08,2.275752201023913e-08,0.0020061983424783077
29,2022-01-14 09:48:00,166.52,1,2.0670869565421572e-08,2.0670869565421572e-08,2.0670869565421572e-08,2.0670869565421572e-08,0.001649135048102935
30,2022-01-14 09:49:00,460.0,1,1.7648847046056522e-08,1.7648847046056522e-08,1.7648847046056522e-08,1.7648847046056522e-08,0.003889602707461
31,2022-01-14 09:50:00,460.0,1,1.4225866393332608e-08,1.4225866393332608e-08,1.4225866393332608e-08,1.4225866393332608e-08,0.003135217178498276
32,2022-01-14 09:51:00,736.0,1,1.112184602416712e-08,1.112184602416712e-08,1.112184602416712e-08,1.112184602416712e-08,0.003921802918427422
33,2022-01-14 10:13:00,478.49,1,1.1126040994062572e-08,1.1126040994062572e-08,1.1126040994062572e-08,1.1126040994062572e-08,0.0025635051847925287
34,2022-01-14 10:14:00,495.0,1,1.3098481391735353e-08,1.3098481391735353e-08,1.3098481391735353e-08,1.3098481391735353e-08,0.003122100112419009
35,2022-01-14 10:16:00,594.0,1,1.6779170852491584e-08,1.6779170852491584e-08,1.6779170852491584e-08,1.6779170852491584e-08,0.004799296923496686
36,2022-01-14 10:17:00,149.8,2,2.309620451181212e-08,-3.179650820919467e-08,-3.179650820919467e-08,2.309620451181212e-08,0.010790431481387457
37,2022-01-14 10:18:00,489.89620501552935,1,3.047414191101104e-08,3.047414191101104e-08,3.047414191101104e-08,3.047414191101104e-08,0.007188797320273996
