,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-06 18:30:00,2255033.835484665,11,7.136255235835485e-07,7.018324161704048e-07,7.018324161704048e-07,7.136255235835485e-07,907.0509028821083
1,2021-12-06 18:31:00,1276233.8856573808,10,7.215071812724008e-07,7.149392146151585e-07,7.149392146151585e-07,7.215071812724008e-07,520.5266088558417
2,2021-12-06 18:32:00,1680018.730273844,8,7.31162555817859e-07,7.216315938831974e-07,7.216315938831974e-07,7.31162555817859e-07,693.2888762807203
3,2021-12-06 18:33:00,1163009.3755711105,8,7.380005404070978e-07,7.314520026394337e-07,7.314520026394337e-07,7.380005404070978e-07,485.4041873542345
4,2021-12-06 18:34:00,1358776.9461634944,13,7.457495537888443e-07,7.381548904845339e-07,7.381548904845339e-07,7.457495537888443e-07,572.8722386851994
5,2021-12-06 18:35:00,140287.33400813074,3,7.469817462065044e-07,7.461568732467543e-07,7.461568732467543e-07,7.469817462065044e-07,59.503740992518026
6,2021-12-06 18:36:00,2519820.6325197644,12,7.5145106243664e-07,7.432555000083101e-07,7.47854625297871e-07,7.446984558963965e-07,1066.8947850582285
7,2021-12-06 18:37:00,370505.7634801117,5,7.472466463564977e-07,7.452499880725811e-07,7.452499880725811e-07,7.472466463564977e-07,157.0986330284771
8,2021-12-06 18:38:00,646145.7084277685,10,7.508181376889216e-07,7.441630874923866e-07,7.474748194419287e-07,7.508181376889216e-07,274.8685849646877
9,2021-12-06 18:39:00,319204.59569303476,7,7.5237051224284e-07,7.476227746858398e-07,7.509474101694212e-07,7.523528485712179e-07,136.22265412334986
10,2021-12-06 18:40:00,60477.34698199049,2,7.526648324619129e-07,7.524806876019345e-07,7.524806876019345e-07,7.526648324619129e-07,25.857423226902135
11,2021-12-06 18:41:00,244272.80100344183,5,7.539479057910159e-07,7.527773039092989e-07,7.527773039092989e-07,7.539479057910159e-07,104.56903481787768
12,2021-12-06 18:42:00,363608.9834896754,9,7.564538110795408e-07,7.542392767418494e-07,7.542392767418494e-07,7.564538110795408e-07,156.038573144305
13,2021-12-06 18:43:00,4049698.93625524,6,7.695010833501434e-07,7.528020757085715e-07,7.565189503982889e-07,7.695010833501434e-07,1769.3668956195713
14,2021-12-06 18:44:00,75899.99741556897,4,7.823435766182197e-07,7.820310480249019e-07,7.820310480249019e-07,7.823435766182197e-07,33.72669090641796
15,2021-12-06 18:45:00,2921753.9971505664,10,7.998515957160502e-07,7.781326496002651e-07,7.781326496002651e-07,7.998515957160502e-07,1312.02382449466
16,2021-12-06 18:46:00,348778.87146421947,4,8.024111761274284e-07,8.004986850418431e-07,8.004986850418431e-07,8.024111761274284e-07,158.77032996959784
17,2021-12-06 18:47:00,10914785.974071292,7,8.035808553637982e-07,7.710798386195798e-07,7.81591879182112e-07,8.035808553637982e-07,4865.713504833942
18,2021-12-06 18:48:00,268877.5612077401,4,8.081279601206523e-07,8.068717079742527e-07,8.068717079742527e-07,8.081279601206523e-07,123.31770262203135
19,2021-12-06 18:49:00,346615.25915003795,5,8.104584924653471e-07,8.08194057626934e-07,8.08194057626934e-07,8.104584924653471e-07,159.38185985168968
20,2021-12-06 18:50:00,82346.68871341423,3,8.110760697413931e-07,8.107583005962236e-07,8.107583005962236e-07,8.110760697413931e-07,37.933182053722334
21,2021-12-06 18:51:00,520625.2066430233,3,8.138039750468341e-07,8.118687373337121e-07,8.118687373337121e-07,8.138039750468341e-07,240.43547833058824
22,2021-12-06 18:52:00,343950.1488382741,4,8.170928146389781e-07,8.150660255789781e-07,8.150660255789781e-07,8.170928146389781e-07,159.4221255378246
23,2021-12-06 18:53:00,114846.3960865582,5,8.17752410814369e-07,8.172262441017813e-07,8.172262441017813e-07,8.17752410814369e-07,53.34006567488423
