,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-20 15:21:00,78183.25413989287,12,1.981255245123348e-06,1.9717290576645087e-06,1.9726177532597794e-06,1.981255245123348e-06,79.18369607897841
1,2021-12-20 15:22:00,1571622.810360045,36,2.1242841615082212e-06,1.982249400200912e-06,1.982249400200912e-06,2.1242841615082212e-06,1662.3431337226248
2,2021-12-20 15:23:00,23526.604715911988,1,2.125253541841632e-06,2.125253541841632e-06,2.125253541841632e-06,2.125253541841632e-06,25.617587280273437
3,2021-12-20 15:24:00,42706.61653956496,4,2.1282354303245193e-06,2.1174447918348867e-06,2.1263245888234017e-06,2.1282354303245193e-06,46.52462124900986
4,2021-12-20 15:25:00,24601.182197938084,2,2.1289418558786797e-06,2.1180955967155804e-06,2.1289418558786797e-06,2.1180955967155804e-06,26.74965362646808
5,2021-12-20 15:27:00,18789.394883402787,1,2.128860468802705e-06,2.128860468802705e-06,2.128860468802705e-06,2.128860468802705e-06,20.49406982421875
6,2021-12-20 15:28:00,15650.056029049925,1,2.130156092005929e-06,2.130156092005929e-06,2.130156092005929e-06,2.130156092005929e-06,17.080302006668337
7,2021-12-20 15:30:00,24539.18040912986,1,2.119190039115638e-06,2.119190039115638e-06,2.119190039115638e-06,2.119190039115638e-06,26.643923478226846
8,2021-12-20 15:33:00,15650.056029049925,1,2.1176895566766195e-06,2.1176895566766195e-06,2.1176895566766195e-06,2.1176895566766195e-06,16.98034116849291
9,2021-12-20 15:34:00,15135.835070034735,1,2.116541566324327e-06,2.116541566324327e-06,2.116541566324327e-06,2.116541566324327e-06,16.413507912164025
10,2021-12-20 15:47:00,22769.361622842196,2,2.1156000341018443e-06,2.1147522893672033e-06,2.1156000341018443e-06,2.1156000341018443e-06,24.67493374111576
11,2021-12-20 16:07:00,4386122.731613831,3,2.4654351154907202e-06,2.129774321243753e-06,2.4654351154907202e-06,2.4654351154907202e-06,5181.760438005851
12,2021-12-20 16:25:00,15739.240631859911,1,2.4724230038613236e-06,2.4724230038613236e-06,2.4724230038613236e-06,2.4724230038613236e-06,19.96921429724491
13,2021-12-20 16:27:00,8237961.427450484,4,2.4529287340862895e-06,2.135774284510361e-06,2.2844562441130264e-06,2.4529287340862895e-06,9689.30088658446
14,2021-12-20 16:31:00,3484649.3956762017,1,2.295783331868768e-06,2.295783331868768e-06,2.295783331868768e-06,2.295783331868768e-06,4105.29541015625
15,2021-12-20 16:37:00,923769.5740176918,16,2.1528232063759556e-06,2.084826004054388e-06,2.127209920030794e-06,2.084826004054388e-06,1004.4014775976138
16,2021-12-20 16:38:00,4713.609180141441,1,2.0835246250362665e-06,2.0835246250362665e-06,2.0835246250362665e-06,2.0835246250362665e-06,5.0397226352743765
17,2021-12-20 16:40:00,11868.27451199068,1,2.0956194843474574e-06,2.0956194843474574e-06,2.0956194843474574e-06,2.0956194843474574e-06,12.763049022489492
18,2021-12-20 16:41:00,18902.76627533651,1,2.0835715658375296e-06,2.0835715658375296e-06,2.0835715658375296e-06,2.0835715658375296e-06,20.21101913498322
19,2021-12-20 16:43:00,2931802.9549203087,1,2.387609299681012e-06,2.387609299681012e-06,2.387609299681012e-06,2.387609299681012e-06,3592.133483886719
20,2021-12-20 16:46:00,11868.27451199068,1,2.713639985480041e-06,2.713639985480041e-06,2.713639985480041e-06,2.713639985480041e-06,16.52700808651529
21,2021-12-20 16:51:00,36644.97786782296,1,2.7288868985184324e-06,2.7288868985184324e-06,2.7288868985184324e-06,2.7288868985184324e-06,51.316192626953125
22,2021-12-20 16:57:00,35909.62497195156,13,2.7367905881878964e-06,2.7321162575456337e-06,2.7321822952078455e-06,2.7367905881878964e-06,50.38890902618409
23,2021-12-20 17:40:00,9394.338292881834,1,2.7225229098765476e-06,2.7225229098765476e-06,2.7225229098765476e-06,2.7225229098765476e-06,13.19827684341281
24,2021-12-20 17:55:00,14145.314505628068,1,2.736497677500172e-06,2.736497677500172e-06,2.736497677500172e-06,2.736497677500172e-06,19.975018371033823
25,2021-12-20 18:24:00,700.0,1,2.73747169954299e-06,2.73747169954299e-06,2.73747169954299e-06,2.73747169954299e-06,0.9870565565787495
26,2021-12-20 18:26:00,20500.0,1,2.7388606374966705e-06,2.7388606374966705e-06,2.7388606374966705e-06,2.7388606374966705e-06,28.921322954462607
27,2021-12-20 19:18:00,10945.207774305767,1,2.740925583014146e-06,2.740925583014146e-06,2.740925583014146e-06,2.740925583014146e-06,15.413838500976562
28,2021-12-20 19:59:00,36644.97786782296,1,2.7255695664812775e-06,2.7255695664812775e-06,2.7255695664812775e-06,2.7255695664812775e-06,51.31700296767887
29,2021-12-20 20:35:00,6442411.974777913,3,3.7658234670379154e-06,2.7452962862408806e-06,3.7658234670379154e-06,3.7658234670379154e-06,10698.988333346793
30,2021-12-20 20:36:00,5188851.975068776,1,3.276254570699075e-06,3.276254570699075e-06,3.276254570699075e-06,3.276254570699075e-06,8728.501831054688
31,2021-12-20 20:38:00,3606829.659541462,3,3.119191564441814e-06,2.872510492572701e-06,2.872510492572701e-06,2.872510492572701e-06,5727.416194370305
32,2021-12-20 21:05:00,5428751.145466989,4,4.524579934509868e-06,3.402490966481526e-06,4.524579934509868e-06,4.49884481707179e-06,11220.491437154713
33,2021-12-20 21:06:00,4851125.644237689,1,3.916616759363626e-06,3.916616759363626e-06,3.916616759363626e-06,3.916616759363626e-06,9930.734313964844
34,2021-12-20 21:07:00,10031332.099758474,4,4.507375862942577e-06,3.444878796223209e-06,4.507375862942577e-06,3.902456336514537e-06,20647.516514351457
35,2021-12-20 21:09:00,533816.4778650458,4,3.444796757926795e-06,3.4124624615137475e-06,3.444796757926795e-06,3.4368911905526887e-06,956.6167848010455
36,2021-12-20 21:10:00,5390615.678162843,3,4.554970253213938e-06,3.4296641121804974e-06,4.554970253213938e-06,4.554970253213938e-06,11223.498394614822
