,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-10 04:16:00,39189249520.06786,1,1.377928913192071e-11,1.377928913192071e-11,1.377928913192071e-11,1.377928913192071e-11,311.8949560546875
1,2021-12-10 05:01:00,95382618590.71721,1,1.4677726620269684e-11,1.4677726620269684e-11,1.4677726620269684e-11,1.4677726620269684e-11,808.5028198242188
2,2021-12-10 05:02:00,189265223511.18353,2,1.7761415131847557e-11,1.613190879468529e-11,1.613190879468529e-11,1.7761415131847557e-11,1848.0064453125
3,2021-12-10 05:03:00,243102606377.66235,3,2.3474846306679028e-11,1.9522461579524653e-11,1.9522461579524653e-11,2.3474846306679028e-11,3003.010473632812
4,2021-12-10 05:04:00,62598814535.32014,1,2.5559589456717777e-11,2.5559589456717777e-11,2.5559589456717777e-11,2.5559589456717777e-11,924.00322265625
5,2021-12-10 07:16:00,35663594413.293755,1,2.7198604514143657e-11,2.7198604514143657e-11,2.7198604514143657e-11,2.7198604514143657e-11,560.6914965820313
6,2021-12-10 07:30:00,84857739008.34885,1,2.946107248690699e-11,2.946107248690699e-11,2.946107248690699e-11,2.946107248690699e-11,1445.0811767578125
7,2021-12-10 07:47:00,59936401021.85853,1,3.25344860010671e-11,3.25344860010671e-11,3.25344860010671e-11,3.25344860010671e-11,1127.1633178710938
8,2021-12-10 07:48:00,55172414111.70848,1,3.5343749795899876e-11,3.5343749795899876e-11,3.5343749795899876e-11,3.5343749795899876e-11,1127.1633178710938
9,2021-12-10 08:13:00,33117216812.68893,1,3.774471771193829e-11,3.774471771193829e-11,3.774471771193829e-11,3.774471771193829e-11,713.9467620849609
10,2021-12-10 08:15:00,47302499554.78355,1,4.0167010578362967e-11,4.0167010578362967e-11,4.0167010578362967e-11,4.0167010578362967e-11,1085.1990783691406
11,2021-12-10 08:18:00,61805634802.836914,2,4.511507726049302e-11,4.288921263978924e-11,4.288921263978924e-11,4.511507726049302e-11,1547.8365802001954
12,2021-12-10 08:21:00,38804385488.49999,1,4.7675023755968595e-11,4.7675023755968595e-11,4.7675023755968595e-11,4.7675023755968595e-11,1056.6412078857422
13,2021-12-10 08:22:00,24818422121.37109,1,5.0365812696997676e-11,5.0365812696997676e-11,5.0365812696997676e-11,5.0365812696997676e-11,713.9467620849609
14,2021-12-10 08:24:00,23771955253.02827,1,5.2582969583066355e-11,5.2582969583066355e-11,5.2582969583066355e-11,5.2582969583066355e-11,713.9467620849609
15,2021-12-10 08:25:00,22790333484.540894,1,5.484781523043084e-11,5.484781523043084e-11,5.484781523043084e-11,5.484781523043084e-11,713.9467620849609
16,2021-12-10 08:26:00,32894251115.97978,1,5.7760852901040646e-11,5.7760852901040646e-11,5.7760852901040646e-11,5.7760852901040646e-11,1085.1990783691406
17,2021-12-10 08:27:00,24588170364.0519,1,6.100494578453922e-11,6.100494578453922e-11,6.100494578453922e-11,6.100494578453922e-11,856.7361145019531
18,2021-12-10 08:28:00,23461100883.191505,1,6.393561868508318e-11,6.393561868508318e-11,6.393561868508318e-11,6.393561868508318e-11,856.7361145019531
19,2021-12-10 08:30:00,27495216680.285492,1,6.728443065249526e-11,6.728443065249526e-11,6.728443065249526e-11,6.728443065249526e-11,1056.6412078857422
20,2021-12-10 09:09:00,41114125194.096924,1,7.22379470797162e-11,7.22379470797162e-11,7.22379470797162e-11,7.22379470797162e-11,1711.836831665039
21,2021-12-10 09:55:00,44202229194.03637,1,7.9181526900734e-11,7.9181526900734e-11,7.9181526900734e-11,7.9181526900734e-11,2017.3161315917969
22,2021-12-10 09:56:00,45645938901.418465,1,8.763101595168851e-11,8.763101595168851e-11,8.763101595168851e-11,8.763101595168851e-11,2305.504150390625
23,2021-12-10 10:03:00,30765354752.664642,1,9.588707894696047e-11,9.588707894696047e-11,9.588707894696047e-11,9.588707894696047e-11,1704.3061431884764
24,2021-12-10 10:22:00,9924653107.280338,1,1.0075918918177997e-10,1.0075918918177997e-10,1.0075918918177997e-10,1.0075918918177997e-10,577.7308959960938
25,2021-12-10 10:28:00,9684756031.717882,1,1.0325505327392539e-10,1.0325505327392539e-10,1.0325505327392539e-10,1.0325505327392539e-10,577.7308959960938
26,2021-12-10 10:30:00,27699651969.618355,1,1.0830460986623487e-10,1.0830460986623487e-10,1.0830460986623487e-10,1.0830460986623487e-10,1733.1926879882812
27,2021-12-11 11:28:00,6624461518.204212,1,1.1321674945789605e-10,1.1321674945789605e-10,1.1321674945789605e-10,1.1321674945789605e-10,416.01617431640625
28,2021-12-11 11:53:00,1747152204.8870704,1,1.144719958802486e-10,1.144719958802486e-10,1.144719958802486e-10,1.144719958802486e-10,110.937646484375
29,2021-12-11 15:14:00,2605670073.919283,1,1.1513353244632355e-10,1.1513353244632355e-10,1.1513353244632355e-10,1.1513353244632355e-10,166.54586791992188
30,2021-12-11 15:19:00,1727150205.2537577,1,1.1579768765427988e-10,1.1579768765427988e-10,1.1579768765427988e-10,1.1579768765427988e-10,111.03057861328125
31,2021-12-11 15:22:00,16845942788.85323,1,1.187229486095238e-10,1.187229486095238e-10,1.187229486095238e-10,1.187229486095238e-10,1110.3057861328125
32,2021-12-14 07:16:00,2660000000.0,2,1.2071191519605382e-10,1.202776191413528e-10,1.2071191519605382e-10,1.2071191519605382e-10,166.60835213672635
33,2021-12-14 09:04:00,800000000.0,1,1.1984492429820553e-10,1.1984492429820553e-10,1.1984492429820553e-10,1.1984492429820553e-10,51.296670537162974
