,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2022-01-31 21:35:00,31516551.4851594,41,4.105138400452376e-07,3.3347393499314715e-07,3.3629460556152284e-07,4.105138400452376e-07,4560.472552692512
1,2022-01-31 21:36:00,3648429.005795113,10,4.2619753890349215e-07,4.178554571462739e-07,4.1809277230480306e-07,4.178554571462739e-07,589.8813083123595
2,2022-01-31 21:37:00,5386429.446333102,4,4.263109088060708e-07,4.17923316348464e-07,4.209652780148001e-07,4.263109088060708e-07,876.2833100031862
3,2022-01-31 21:38:00,3869193.336529641,6,4.3338839258455743e-07,4.2496445021350917e-07,4.253849760372941e-07,4.3338839258455743e-07,641.0472316689893
4,2022-01-31 21:39:00,437534.9335692501,3,4.4085859737384057e-07,4.384597147692446e-07,4.400688780835268e-07,4.384597147692446e-07,73.86416545094019
5,2022-01-31 21:40:00,38644069.55526285,37,6.861612322465942e-07,4.4028000064876707e-07,4.4634605733846485e-07,6.861612322465942e-07,7983.3671054393835
6,2022-01-31 21:41:00,46736215.372761436,78,7.925339428598272e-07,6.869954391844845e-07,6.869954391844845e-07,7.077002408834935e-07,12976.915800924366
7,2022-01-31 21:42:00,12810828.271089837,21,7.418034537986682e-07,7.088091892487683e-07,7.088091892487683e-07,7.154974942828062e-07,3553.9550866207214
8,2022-01-31 21:43:00,8441382.640405394,14,7.010687137734257e-07,6.296889212869532e-07,6.954743541571034e-07,6.296889212869532e-07,2157.868922256505
9,2022-01-31 21:44:00,8347609.956874062,14,6.25910412373724e-07,5.620770808081596e-07,6.22274256668881e-07,5.653667033241742e-07,1902.2561133694983
10,2022-01-31 21:45:00,8298417.281910825,16,5.566044301654188e-07,5.150743962675894e-07,5.566044301654188e-07,5.150743962675894e-07,1705.7165828242069
11,2022-01-31 21:46:00,24520540.79709841,32,5.189652149628632e-07,4.769248138841582e-07,5.082319440777948e-07,5.06052315993447e-07,4703.747146247371
12,2022-01-31 21:47:00,9267181.625906935,22,5.657086277754734e-07,5.256922904880252e-07,5.256922904880252e-07,5.623508434294757e-07,1952.9286559044526
13,2022-01-31 21:48:00,6368513.339329018,19,5.712259498882515e-07,5.565193863899493e-07,5.640165111964506e-07,5.712259498882515e-07,1371.9278127509122
14,2022-01-31 21:49:00,5330420.8751772195,11,5.881824495579406e-07,5.64432469997963e-07,5.682197460120675e-07,5.881824495579406e-07,1190.1029197426121
15,2022-01-31 21:50:00,2156369.7931096847,8,6.09319042612745e-07,6.006807039016657e-07,6.033967073146568e-07,6.028400178311764e-07,500.98284323632095
16,2022-01-31 21:51:00,3470391.558214739,5,6.302508948055708e-07,5.984877938644882e-07,5.984877938644882e-07,6.302508948055708e-07,820.4253417323602
17,2022-01-31 21:52:00,5583697.692875043,8,6.673446220432698e-07,6.309784617315389e-07,6.309784617315389e-07,6.611166239917096e-07,1403.610093706424
18,2022-01-31 21:53:00,1021224.3068622069,3,6.739689112548718e-07,6.680769871649675e-07,6.680769871649675e-07,6.739689112548718e-07,262.49163773525066
19,2022-01-31 21:55:00,2746394.258723969,18,6.688999230326219e-07,6.500630674912746e-07,6.626833219857405e-07,6.519470437845105e-07,696.4327553878563
20,2022-01-31 21:56:00,4571999.001066204,12,6.489537350922184e-07,6.132245701530314e-07,6.488221134277782e-07,6.18264548312913e-07,1103.1174189601218
