,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2022-02-06 03:34:00,1351922115458.7607,2,1.8513315693973526e-14,1.8486915530829405e-14,1.8513315693973526e-14,1.8513315693973526e-14,10.435691833496092
1,2022-02-06 03:38:00,9091977599535.922,1,1.8697802336059125e-14,1.8697802336059125e-14,1.8697802336059125e-14,1.8697802336059125e-14,70.96270446777343
2,2022-02-06 03:39:00,4218426521574.6016,3,1.9039384043483503e-14,1.8921778767892132e-14,1.8921778767892132e-14,1.9039384043483503e-14,33.394213867187496
3,2022-02-06 03:40:00,943922627973.8295,2,1.9080077035490677e-14,1.9060794264394197e-14,1.9060794264394197e-14,1.9080077035490677e-14,7.513698120117187
4,2022-02-06 03:41:00,13027786023275.031,20,1.9611237746160473e-14,1.9096259323051686e-14,1.9478299629319205e-14,1.9611237746160473e-14,105.27651149932859
5,2022-02-06 03:46:00,7076057577557.924,2,1.9894604658906126e-14,1.9741535103299102e-14,1.9741535103299102e-14,1.9894604658906126e-14,58.43987426757813
6,2022-02-06 03:51:00,501268091751.1621,1,1.9949404649047893e-14,1.9949404649047893e-14,1.9949404649047893e-14,1.9949404649047893e-14,4.174276733398437
7,2022-02-06 03:52:00,250427629922.31366,1,1.9965848023842553e-14,1.9965848023842553e-14,1.9965848023842553e-14,1.9965848023842553e-14,2.0871383666992185
8,2022-02-06 03:53:00,1253053593507.7998,1,1.999876663682703e-14,1.999876663682703e-14,1.999876663682703e-14,1.999876663682703e-14,10.460539800150391
9,2022-02-06 03:58:00,595030441559.2433,1,2.003937689827175e-14,2.003937689827175e-14,2.003937689827175e-14,2.003937689827175e-14,4.977423975279423
10,2022-02-06 03:59:00,1193894284953.0266,1,2.0078783609340393e-14,2.0078783609340393e-14,2.0078783609340393e-14,2.0078783609340393e-14,10.006553226780701
11,2022-02-06 04:00:00,378432314756.99274,1,1.9450287378715353e-14,1.9450287378715353e-14,1.9450287378715353e-14,1.9450287378715353e-14,3.078599290494729
12,2022-02-06 04:02:00,497519582716.1243,1,2.009971134283134e-14,2.009971134283134e-14,2.009971134283134e-14,2.009971134283134e-14,4.182528686523438
13,2022-02-06 04:04:00,480950020777.21704,1,1.9453537123023438e-14,1.9453537123023438e-14,1.9453537123023438e-14,1.9453537123023438e-14,3.9132487413024797
14,2022-02-06 04:06:00,34456638929008.44,2,2.088310059847847e-14,2.0093110159796696e-14,2.0093110159796696e-14,2.088310059847847e-14,300.90931088229587
15,2022-02-06 04:08:00,2297821628540.0127,1,2.1759739476283433e-14,2.1759739476283433e-14,2.1759739476283433e-14,2.1759739476283433e-14,20.91264343261719
16,2022-02-06 04:10:00,455364541690.6266,1,2.1127905099883866e-14,2.1127905099883866e-14,2.1127905099883866e-14,2.1127905099883866e-14,4.023968531604747
17,2022-02-06 04:13:00,2098798679271.9949,1,2.1066474536570808e-14,2.1066474536570808e-14,2.1066474536570808e-14,2.1066474536570808e-14,18.49275318218281
18,2022-02-06 04:15:00,480958045183.08514,1,2.100454462735885e-14,2.100454462735885e-14,2.100454462735885e-14,2.100454462735885e-14,4.225317930786098
19,2022-02-06 04:20:00,4590823380363.158,1,2.1782584890488532e-14,2.1782584890488532e-14,2.1782584890488532e-14,2.1782584890488532e-14,41.82528686523438
20,2022-02-06 04:24:00,4112130534288.3345,1,2.2001173524448113e-14,2.2001173524448113e-14,2.2001173524448113e-14,2.2001173524448113e-14,37.84004698615165
21,2022-02-06 04:30:00,4192700263658.404,1,2.1319515433801692e-14,2.1319515433801692e-14,2.1319515433801692e-14,2.1319515433801692e-14,37.386092278617596
22,2022-02-06 05:07:00,10178338699644.883,2,2.214891156816851e-14,2.169870169031127e-14,2.169870169031127e-14,2.169870169031127e-14,93.52845645754377
23,2022-02-06 05:17:00,40437737186964.18,1,2.349290702414104e-14,2.349290702414104e-14,2.349290702414104e-14,2.349290702414104e-14,394.32210235595704
24,2022-02-06 05:28:00,17872650997399.043,2,2.518583729431086e-14,2.4974444513632726e-14,2.4974444513632726e-14,2.4974444513632726e-14,186.80598310799704
25,2022-02-06 05:35:00,11348159654083.19,1,2.6075832471525675e-14,2.6075832471525675e-14,2.6075832471525675e-14,2.6075832471525675e-14,122.82623360110382
26,2022-02-06 06:06:00,14814989981920.879,1,2.6952272202234296e-14,2.6952272202234296e-14,2.6952272202234296e-14,2.6952272202234296e-14,165.7119580447893
27,2022-02-06 06:07:00,131105343257070.23,3,3.335929310419767e-14,2.883195970999549e-14,2.883195970999549e-14,3.335929310419767e-14,1735.744807874203
28,2022-02-06 06:08:00,132396359957660.05,4,3.7871400161439495e-14,3.120957787378537e-14,3.120957787378537e-14,3.7871400161439495e-14,1967.6434389422539
29,2022-02-06 06:09:00,102495016898896.27,3,4.368319527081991e-14,3.887174325108243e-14,4.36360841254004e-14,4.36360841254004e-14,1794.3769328273415
30,2022-02-06 06:15:00,5252354661478.063,1,4.3042599856800286e-14,4.3042599856800286e-14,4.3042599856800286e-14,4.3042599856800286e-14,93.82307059173584
31,2022-02-06 06:20:00,17907903422932.887,1,4.467301286511959e-14,4.467301286511959e-14,4.467301286511959e-14,4.467301286511959e-14,332.00688476562505
32,2022-02-06 06:26:00,548904544005.2167,1,4.4902628349757515e-14,4.4902628349757515e-14,4.4902628349757515e-14,4.4902628349757515e-14,10.228823659900568
33,2022-02-06 06:28:00,98210508848367.02,3,5.54024817452787e-14,4.820517243240559e-14,5.54024817452787e-14,5.54024817452787e-14,2161.2955989492257
34,2022-02-06 06:29:00,87362287160822.72,3,6.448162243030451e-14,5.668787263699099e-14,6.448162243030451e-14,6.448162243030451e-14,2245.7304600553534
35,2022-02-06 06:30:00,81349647881511.81,3,6.81917115574653e-14,6.498052349369194e-14,6.59375527234176e-14,6.498052349369194e-14,2250.4023647561144
36,2022-02-06 06:31:00,4575845639181.801,1,7.392089773824253e-14,7.392089773824253e-14,7.392089773824253e-14,7.392089773824253e-14,140.37691725765598
37,2022-02-06 06:32:00,13030659299896.592,1,7.67420877935114e-14,7.67420877935114e-14,7.67420877935114e-14,7.67420877935114e-14,415.00860595703125
38,2022-02-06 06:38:00,1303861637750.0432,2,7.730262112424924e-14,7.708511684007637e-14,7.730262112424924e-14,7.708511684007637e-14,41.781917743660244
39,2022-02-06 06:41:00,153325907546.51462,1,7.849959319410003e-14,7.849959319410003e-14,7.849959319410003e-14,7.849959319410003e-14,4.995052449417523
40,2022-02-06 07:03:00,13551101633588.12,2,8.079466182623176e-14,8.056038460972443e-14,8.056038460972443e-14,8.079466182623176e-14,451.7882677580371
41,2022-02-06 07:06:00,146329426419.314,1,8.200674528452962e-14,8.200674528452962e-14,8.200674528452962e-14,8.200674528452962e-14,4.964168334960938
42,2022-02-06 07:38:00,175658596714.08502,1,8.206514942960257e-14,8.206514942960257e-14,8.206514942960257e-14,8.206514942960257e-14,5.963392950012917
43,2022-02-06 07:40:00,121774244091.88397,1,8.211917121369741e-14,8.211917121369741e-14,8.211917121369741e-14,8.211917121369741e-14,4.136806945800782
44,2022-02-06 07:44:00,6006275137669.2,1,8.324626969953134e-14,8.324626969953134e-14,8.324626969953134e-14,8.324626969953134e-14,206.84034729003906
45,2022-02-06 07:45:00,24940376111296.86,3,9.228249789201744e-14,8.488128994880408e-14,8.488128994880408e-14,9.228249789201744e-14,922.0013928654942
46,2022-02-06 07:46:00,14288153970640.375,2,1.0044309181736124e-13,9.703274395273064e-14,9.703274395273064e-14,1.0044309181736124e-13,579.1529724121094
47,2022-02-06 07:52:00,37321920180907.266,1,9.133896014189967e-14,9.133896014189967e-14,9.133896014189967e-14,9.133896014189967e-14,1410.2148925107474
48,2022-02-06 07:59:00,1165019245420.298,1,8.5452118460642e-14,8.5452118460642e-14,8.5452118460642e-14,8.5452118460642e-14,41.18330417515379
49,2022-02-06 08:06:00,116686460867.0774,1,8.569974550339165e-14,8.569974550339165e-14,8.569974550339165e-14,8.569974550339165e-14,4.166239013671875
50,2022-02-06 08:24:00,25134413305890.6,1,9.087460694635327e-14,9.087460694635327e-14,9.087460694635327e-14,9.087460694635327e-14,951.6022914710926
51,2022-02-06 08:28:00,48024234311.01778,1,9.63614530536786e-14,9.63614530536786e-14,9.63614530536786e-14,9.63614530536786e-14,1.928004178998413
52,2022-02-06 08:36:00,25698730714360.14,1,8.921871467904093e-14,8.921871467904093e-14,8.921871467904093e-14,8.921871467904093e-14,955.2384987319031
53,2022-02-06 08:39:00,41463352874848.66,1,7.688782036064795e-14,7.688782036064795e-14,7.688782036064795e-14,7.688782036064795e-14,1328.208174491112
54,2022-02-06 08:57:00,173847175322.25476,1,7.029347236145931e-14,7.029347236145931e-14,7.029347236145931e-14,7.029347236145931e-14,5.091278066633414
55,2022-02-06 09:01:00,37877900215363.26,1,6.519435547811321e-14,6.519435547811321e-14,6.519435547811321e-14,6.519435547811321e-14,1029.3663074751605
56,2022-02-06 09:11:00,186642372195.1048,1,6.045434044593043e-14,6.045434044593043e-14,6.045434044593043e-14,6.045434044593043e-14,4.70339865185815
57,2022-02-06 09:12:00,209398246.86048153,1,6.043276412671443e-14,6.043276412671443e-14,6.043276412671443e-14,6.043276412671443e-14,0.005274964697561399
58,2022-02-06 09:17:00,38681783334664.055,1,5.628451596890361e-14,5.628451596890361e-14,5.628451596890361e-14,5.628451596890361e-14,907.5477427943283
59,2022-02-06 09:22:00,256406053787.7852,1,5.360319712804943e-14,5.360319712804943e-14,5.360319712804943e-14,5.360319712804943e-14,5.7291873683397165
60,2022-02-06 09:23:00,427683996291.52795,1,5.366856183310192e-14,5.366856183310192e-14,5.366856183310192e-14,5.366856183310192e-14,9.567908521258545
61,2022-02-06 10:33:00,18510918998961.445,1,5.556828378200513e-14,5.556828378200513e-14,5.556828378200513e-14,5.556828378200513e-14,430.2295125604248
62,2022-02-06 10:57:00,4798778527381.311,1,5.57303607065318e-14,5.57303607065318e-14,5.57303607065318e-14,5.57303607065318e-14,111.858191910371
63,2022-02-06 11:01:00,106273565020.58139,1,5.6458066489422976e-14,5.6458066489422976e-14,5.6458066489422976e-14,5.6458066489422976e-14,2.504405456542969
64,2022-02-06 11:20:00,524818062073.4034,1,5.652320931890764e-14,5.652320931890764e-14,5.652320931890764e-14,5.652320931890764e-14,12.381948028759036
65,2022-02-06 11:24:00,234802033802.0474,1,5.534721295004545e-14,5.534721295004545e-14,5.534721295004545e-14,5.534721295004545e-14,5.424391189008739
66,2022-02-06 11:55:00,159162616258.00317,1,5.654594157594751e-14,5.654594157594751e-14,5.654594157594751e-14,5.654594157594751e-14,3.7566081848144535
67,2022-02-06 13:30:00,4847430899230.285,1,5.487115868335456e-14,5.487115868335456e-14,5.487115868335456e-14,5.487115868335456e-14,110.48524433993018
68,2022-02-06 14:26:00,76606289453135.22,3,6.58649659805053e-14,5.767044306711486e-14,6.58649659805053e-14,6.58649659805053e-14,2014.4299994181495
69,2022-02-06 14:27:00,44477356299318.62,2,7.569635581780766e-14,6.910061361064654e-14,6.910061361064654e-14,7.569635581780766e-14,1317.9985660083034
70,2022-02-06 14:28:00,2555176371879.721,1,7.827248334050208e-14,7.827248334050208e-14,7.827248334050208e-14,7.827248334050208e-14,83.4031982421875
71,2022-02-06 14:30:00,12367297448561.21,1,8.085840937838349e-14,8.085840937838349e-14,8.085840937838349e-14,8.085840937838349e-14,417.0159912109375
72,2022-02-06 14:32:00,5939406203063.753,1,8.41834996471672e-14,8.41834996471672e-14,8.41834996471672e-14,8.41834996471672e-14,208.50799560546875
73,2022-02-06 14:33:00,11866552299828.898,3,8.918711887782342e-14,8.546454584817364e-14,8.546454584817364e-14,8.918711887782342e-14,433.69661493461
74,2022-02-06 14:34:00,16163897442607.27,1,9.352430100520934e-14,9.352430100520934e-14,9.352430100520934e-14,9.352430100520934e-14,630.4102506919502
75,2022-02-06 14:35:00,15057357765841.934,2,1.0206995789181832e-13,9.838921826181939e-14,9.838921826181939e-14,1.0206995789181832e-13,632.8395355025482
76,2022-02-06 14:36:00,11066581100844.36,1,1.0751196717065542e-13,1.0751196717065542e-13,1.0751196717065542e-13,1.0751196717065542e-13,496.16141615156744
