,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-23 12:00:00,1105889.049881911,36,1.7885023715238455e-06,1.7680366135804056e-06,1.7728300975830236e-06,1.7795435554714532e-06,1037.420539385099
1,2021-12-23 12:01:00,935019.501113123,16,1.7894463331937414e-06,1.7690597315123203e-06,1.779809494276842e-06,1.7694830851194855e-06,875.860250533258
2,2021-12-23 12:02:00,342229.718195645,26,1.780373690767172e-06,1.768023918052612e-06,1.7690269013436438e-06,1.7715932840368763e-06,320.25321150696186
3,2021-12-23 12:03:00,231454.965968953,9,1.783117753288009e-06,1.7727147697936441e-06,1.7805305763249338e-06,1.7749250647635e-06,217.27146961295304
4,2021-12-23 12:04:00,1231330.761522532,14,1.803897398111022e-06,1.7751264874740625e-06,1.7758639121834813e-06,1.7948716399426305e-06,1163.3970980483982
5,2021-12-23 12:05:00,9234367.749000356,28,1.9322864069843397e-06,1.7758125484924302e-06,1.7946852058322532e-06,1.9317658809293825e-06,9011.782849588979
6,2021-12-23 12:06:00,2399125.46806216,18,1.9480264865839436e-06,1.911046651944572e-06,1.931661800968948e-06,1.932965497601236e-06,2443.296444916403
7,2021-12-23 12:07:00,2883564.929708394,23,1.9275785036520367e-06,1.8964948372621075e-06,1.9206479294277622e-06,1.9139972112234498e-06,2905.7641976228147
8,2021-12-23 12:08:00,2121036.006723323,21,1.9086544782777936e-06,1.887765780896895e-06,1.897902342179497e-06,1.9086544782777936e-06,2125.97150179223
9,2021-12-23 12:09:00,2440158.074959878,17,1.9394924092833703e-06,1.9020752318972817e-06,1.908055510089069e-06,1.9394924092833703e-06,2480.3169623655344
10,2021-12-23 12:10:00,2059831.734107259,20,1.9546333575495296e-06,1.9078750366705863e-06,1.9448724072202664e-06,1.913956728549121e-06,2090.3381034716444
11,2021-12-23 12:11:00,600209.57974195,14,1.920961455848241e-06,1.9073589799428494e-06,1.9077728896528485e-06,1.908859142353618e-06,605.6301781582304
12,2021-12-23 12:12:00,63438.026244734,7,1.918423681521036e-06,1.9085524900532467e-06,1.908756916705472e-06,1.908931151445072e-06,63.97795408754199
13,2021-12-23 12:13:00,507895.526160011,6,1.9216523605093346e-06,1.9076477212266274e-06,1.9082388325241436e-06,1.9163830582520437e-06,513.8234310455416
14,2021-12-23 12:14:00,535227.567471696,12,1.9308141258574956e-06,1.9139203388763465e-06,1.91628022801589e-06,1.9308141258574956e-06,542.8326639644641
15,2021-12-23 12:15:00,262626.735644486,13,1.935363492604127e-06,1.922186598969719e-06,1.922186598969719e-06,1.935363492604127e-06,267.4433952689598
16,2021-12-23 12:16:00,69476.742446932,6,1.93647904175954e-06,1.9266129552687123e-06,1.936170633703621e-06,1.9269016232833577e-06,70.78885769706848
17,2021-12-23 12:17:00,1020884.154351665,12,1.9267979458878747e-06,1.9069699199111505e-06,1.9267979458878747e-06,1.9170252301196975e-06,1031.1782753009822
18,2021-12-23 12:18:00,167445.746960559,7,1.914654842350279e-06,1.90504757911406e-06,1.9079358245245234e-06,1.90504757911406e-06,168.25509856764384
19,2021-12-23 12:19:00,25000.0,5,1.9049456612892244e-06,1.9045380718003249e-06,1.9049456612892244e-06,1.9045380718003249e-06,25.092218711612183
20,2021-12-23 12:20:00,679923.743741561,10,1.914907003072567e-06,1.894558709424283e-06,1.904436194876332e-06,1.894558709424283e-06,681.6065268248882
21,2021-12-23 12:21:00,139096.89480718,8,1.8944576326183701e-06,1.8917498310345537e-06,1.8944576326183701e-06,1.8917498310345537e-06,138.7569618168624
22,2021-12-23 12:22:00,862729.515175568,16,1.8970916584569303e-06,1.8811904584009473e-06,1.8916489790210953e-06,1.8816441036965464e-06,858.4792382221107
23,2021-12-23 12:23:00,1828017.249588892,14,1.8807360487305057e-06,1.8499077439133197e-06,1.8796903037594483e-06,1.8499077439133197e-06,1794.2581923074486
