,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-06 14:26:00,70581991.86272775,1,7.083959899749375e-09,7.083959899749375e-09,7.083959899749375e-09,7.083959899749375e-09,277.2568359375
1,2021-12-06 14:32:00,389277140.5602045,2,8.981538895655872e-09,7.786690337910054e-09,7.786690337910054e-09,8.981538895655872e-09,1806.2384923931177
2,2021-12-06 14:33:00,164701157.47184336,1,1.0321724668453682e-08,1.0321724668453682e-08,1.0321724668453682e-08,1.0321724668453682e-08,942.6732421874999
3,2021-12-06 14:34:00,152582073.74800822,1,1.1796929716479862e-08,1.1796929716479862e-08,1.1796929716479862e-08,1.1796929716479862e-08,998.124609375
4,2021-12-06 14:35:00,256109351.29431686,2,1.5142655913388497e-08,1.3396002558598787e-08,1.3396002558598787e-08,1.5142655913388497e-08,2023.97490234375
5,2021-12-06 14:42:00,58418466.6271157,1,1.660433859367616e-08,1.660433859367616e-08,1.660433859367616e-08,1.660433859367616e-08,537.87826171875
6,2021-12-06 14:56:00,155633137.18765268,1,1.8633563856669945e-08,1.8633563856669945e-08,1.8633563856669945e-08,1.8633563856669945e-08,1608.0896484375
7,2021-12-06 21:45:00,14660271.149186516,1,2.0463468713990785e-08,2.0463468713990785e-08,2.0463468713990785e-08,2.0463468713990785e-08,172.0575439453125
8,2021-12-07 02:30:00,87437940.29576074,1,2.1729697584060292e-08,2.1729697584060292e-08,2.1729697584060292e-08,2.1729697584060292e-08,1122.001025390625
9,2021-12-07 02:35:00,50824437.57420623,1,2.361068921319473e-08,2.361068921319473e-08,2.361068921319473e-08,2.361068921319473e-08,708.6322265624999
10,2021-12-07 03:08:00,51637935.69634066,1,2.517528988077122e-08,2.517528988077122e-08,2.517528988077122e-08,2.517528988077122e-08,762.4854675292969
11,2021-12-07 03:11:00,66225647.092262074,1,2.717980237312495e-08,2.717980237312495e-08,2.717980237312495e-08,2.717980237312495e-08,1055.749108886719
12,2021-12-07 03:14:00,107753456.58103466,2,3.230221078838904e-08,2.9949545497444984e-08,2.9949545497444984e-08,3.230221078838904e-08,1935.5400329589843
