,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2022-02-09 10:11:00,42304790159094.0,2,9.156051926034704e-15,8.617413324979114e-15,8.617413324979114e-15,9.156051926034704e-15,155.8457699279785
1,2022-02-09 10:12:00,94737914765324.38,4,1.226886438407151e-14,9.858151621449748e-15,9.858151621449748e-15,1.226886438407151e-14,431.1567375824258
2,2022-02-09 10:13:00,47260702797285.125,3,1.4578527690078852e-14,1.3075444485835229e-14,1.3075444485835229e-14,1.4578527690078852e-14,272.1801755493164
3,2022-02-09 10:14:00,50584652029714.46,3,1.782290120715892e-14,1.5597204609536406e-14,1.5597204609536406e-14,1.782290120715892e-14,350.1598913023236
4,2022-02-09 10:15:00,46583617815505.89,3,2.19078022740818e-14,1.8998029170870092e-14,1.8998029170870092e-14,2.19078022740818e-14,394.01107471011136
5,2022-02-09 10:16:00,34868589209976.613,3,2.589881703200954e-14,2.3186401000100306e-14,2.3186401000100306e-14,2.589881703200954e-14,354.51776236555605
6,2022-02-09 10:17:00,46073356657807.65,4,3.284864040001982e-14,2.758318545747595e-14,2.758318545747595e-14,3.284864040001982e-14,574.6164273376465
7,2022-02-09 10:18:00,21370575797421.51,3,3.757894232397141e-14,3.452086549434334e-14,3.452086549434334e-14,3.757894232397141e-14,320.06980429693175
8,2022-02-09 10:19:00,17972374845369.73,3,4.193568299132403e-14,3.8947171079665515e-14,3.8947171079665515e-14,4.193568299132403e-14,302.4957823822305
9,2022-02-09 10:20:00,22738887908195.258,3,4.807625440825947e-14,4.372747354365625e-14,4.372747354365625e-14,4.807625440825947e-14,435.51460864565826
10,2022-02-09 10:21:00,24847024947356.91,4,5.819017662861747e-14,5.0684346360747485e-14,5.0684346360747485e-14,5.819017662861747e-14,559.6751551208496
11,2022-02-09 10:22:00,19268543510307.53,3,6.675586729730482e-14,6.103593381888343e-14,6.103593381888343e-14,6.675586729730482e-14,510.2859497375488
12,2022-02-09 10:23:00,16951606924776.945,3,7.735144876453046e-14,7.025732091555628e-14,7.025732091555628e-14,7.735144876453046e-14,518.3791388549805
13,2022-02-09 10:24:00,23338119328958.746,4,9.515569942872911e-14,8.067779409072636e-14,8.067779409072636e-14,9.515569942872911e-14,850.0699326538654
14,2022-02-09 10:25:00,14697377368531.078,3,1.1021043550155228e-13,9.975339406971112e-14,9.975339406971112e-14,1.1021043550155228e-13,639.1544226074218
15,2022-02-09 10:26:00,19324193257021.234,4,1.35311618222816e-13,1.1612275446382975e-13,1.1612275446382975e-13,1.35311618222816e-13,1002.037846865873
16,2022-02-09 10:27:00,12393137379430.951,3,1.560986422276051e-13,1.4191015555628444e-13,1.4191015555628444e-13,1.560986422276051e-13,766.5702717895508
