,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-12 22:57:00,822797.9182103036,1,6.076826264796189e-08,6.076826264796189e-08,6.076826264796189e-08,6.076826264796189e-08,28.466683959960935
1,2021-12-12 22:58:00,106564137.01009397,29,6.297873308133845e-08,6.119095345447578e-08,6.119095345447578e-08,6.290829050219084e-08,3762.7695897570056
2,2021-12-12 22:59:00,80399033.83101475,20,6.464126254567868e-08,6.295589610370884e-08,6.295678406138938e-08,6.447743492143966e-08,2922.843710003767
3,2021-12-12 23:00:00,60765144.840342686,15,6.55935504405051e-08,6.463882622261609e-08,6.463882622261609e-08,6.537040890922763e-08,2257.0737354570892
4,2021-12-12 23:01:00,79360322.6853188,24,6.573806774048297e-08,6.413269261668736e-08,6.560085478646355e-08,6.413269261668736e-08,2924.120296735189
5,2021-12-12 23:02:00,150387007.3528108,25,6.386793713819792e-08,6.094179084001283e-08,6.386793713819792e-08,6.147621131414013e-08,5321.815115626789
6,2021-12-12 23:03:00,155232492.5827732,28,6.177305837660703e-08,6.026049466744864e-08,6.177305837660703e-08,6.035179765829298e-08,5409.670198658595
7,2021-12-12 23:04:00,142678611.17356414,21,6.054086434357256e-08,5.70273855156874e-08,6.025302168918754e-08,5.70273855156874e-08,4774.748587682226
8,2021-12-12 23:05:00,78870660.8596429,23,5.6997532496268e-08,5.5763483423696607e-08,5.697215382673538e-08,5.5763483423696607e-08,2536.579840816583
9,2021-12-12 23:06:00,71114850.89281006,19,5.603595510639144e-08,5.521658742347954e-08,5.603595510639144e-08,5.525895384006992e-08,2253.33211195521
10,2021-12-12 23:07:00,114659736.0944117,21,5.69619242566337e-08,5.54299152797785e-08,5.566140361162577e-08,5.69619242566337e-08,3685.991144549784
11,2021-12-12 23:08:00,29389225.132626586,10,5.79697292373672e-08,5.720667342268101e-08,5.737775142145691e-08,5.79697292373672e-08,966.3139083504472
