,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-04 15:34:00,362796.16715901,18,8.986529845813911e-07,1.1779127907184153e-07,1.1779127907184153e-07,8.986529845813911e-07,52.01851668290131
1,2021-12-04 15:35:00,220800.005235504,3,3.645796592425143e-07,3.645796592425143e-07,3.645796592425143e-07,3.645796592425143e-07,45.3160622803215
2,2021-12-04 15:37:00,124436.874038181,3,1.922896899562594e-07,1.922896899562594e-07,1.922896899562594e-07,1.922896899562594e-07,13.469942532376127
3,2021-12-04 15:38:00,220800.006777312,3,1.4813671909305227e-07,1.4813671909305227e-07,1.4813671909305227e-07,1.4813671909305227e-07,18.412911047331292
4,2021-12-05 15:27:00,93731.90849029,2,1.066872547573907e-07,1.066872547573907e-07,1.066872547573907e-07,1.066872547573907e-07,5.671759643554688
5,2021-12-05 15:52:00,8887.999840222,2,1.677265215652858e-07,1.677265215652858e-07,1.677265215652858e-07,1.677265215652858e-07,0.8455194387701811
6,2021-12-05 16:00:00,8887.980864604,2,1.8519672265159024e-07,1.8519672265159024e-07,1.8519672265159024e-07,1.8519672265159024e-07,0.9029234373870938
7,2021-12-05 16:06:00,92000.002628802,2,1.2613831771194345e-07,1.2613831771194345e-07,1.2613831771194345e-07,1.2613831771194345e-07,6.365747274509147
8,2021-12-05 16:11:00,22218.935293232,2,9.001331403171286e-08,9.001331403171286e-08,9.001331403171286e-08,9.001331403171286e-08,1.097095703125
9,2021-12-05 17:05:00,35997.999263254,2,1.1564230373091718e-07,1.1564230373091718e-07,1.1564230373091718e-07,1.1564230373091718e-07,2.310012768637804
10,2021-12-05 19:56:00,197280.234799954,4,2.0443856244528844e-07,1.5743543690162467e-07,2.0443856244528844e-07,1.5743543690162467e-07,19.042714254458957
11,2021-12-06 12:07:00,9999.9661204,1,8.79559235018584e-08,8.79559235018584e-08,8.79559235018584e-08,8.79559235018584e-08,0.4861182982804497
12,2021-12-06 14:14:00,56563.382753636,1,1.7679282095901843e-07,1.7679282095901843e-07,1.7679282095901843e-07,1.7679282095901843e-07,5.54513671875
13,2021-12-06 14:18:00,46000.001119281,1,1.9293233124599524e-07,1.9293233124599524e-07,1.9293233124599524e-07,1.9293233124599524e-07,4.921246429185276
14,2021-12-06 14:22:00,32999.999479074,1,1.619638795374679e-07,1.619638795374679e-07,1.619638795374679e-07,1.619638795374679e-07,2.9637690764785876
15,2021-12-06 14:24:00,46000.001249282,1,1.4462512346784984e-07,1.4462512346784984e-07,1.4462512346784984e-07,1.4462512346784984e-07,3.6890440801266813
16,2021-12-06 14:26:00,40766.099313809,1,1.3631183175999214e-07,1.3631183175999214e-07,1.3631183175999214e-07,1.3631183175999214e-07,3.081377949931608
17,2021-12-06 14:27:00,46000.001301621,1,1.3039897846779793e-07,1.3039897846779793e-07,1.3039897846779793e-07,1.3039897846779793e-07,3.326168846628306
18,2021-12-06 14:28:00,46999.999218277,1,1.3262930674077194e-07,1.3262930674077194e-07,1.3262930674077194e-07,1.3262930674077194e-07,3.4566038448242398
19,2021-12-06 14:30:00,46000.001291621,1,1.3322767357526162e-07,1.3322767357526162e-07,1.3322767357526162e-07,1.3322767357526162e-07,3.398322153021307
20,2021-12-06 17:26:00,64186.769703928,1,1.7137488069175788e-07,1.7137488069175788e-07,1.7137488069175788e-07,1.7137488069175788e-07,6.304368957519531
21,2021-12-06 17:28:00,22810.999807638,1,5.25626382233845e-07,5.25626382233845e-07,5.25626382233845e-07,5.25626382233845e-07,6.871798444781242
22,2021-12-06 17:30:00,46000.000881643,1,3.862844973407127e-07,3.862844973407127e-07,3.862844973407127e-07,3.862844973407127e-07,10.183898351101409
23,2021-12-06 17:52:00,17312.99975467,1,2.310353817239338e-07,2.310353817239338e-07,2.310353817239338e-07,2.310353817239338e-07,2.292449377791233
24,2021-12-06 17:53:00,46000.001168513,1,1.7370199594547547e-07,1.7370199594547547e-07,1.7370199594547547e-07,1.7370199594547547e-07,4.579431722737957
25,2021-12-06 20:44:00,16264.602339468,1,1.2296642477060513e-07,1.2296642477060513e-07,1.2296642477060513e-07,1.2296642477060513e-07,1.14294873046875
26,2021-12-06 20:52:00,59160.778895218,1,8.961183815483056e-08,8.961183815483056e-08,8.961183815483056e-08,8.961183815483056e-08,3.029674858126795
27,2021-12-06 22:03:00,83817.354016843,1,1.1930703512771964e-07,1.1930703512771964e-07,1.1930703512771964e-07,1.1930703512771964e-07,5.867920532226562
28,2021-12-06 22:05:00,46.00000076,1,2.499310105895094e-07,2.499310105895094e-07,2.499310105895094e-07,2.499310105895094e-07,0.00674624653137998
29,2021-12-06 22:06:00,46000.001219761,1,1.5572883959583112e-07,1.5572883959583112e-07,1.5572883959583112e-07,1.5572883959583112e-07,4.2035006059535975
30,2021-12-06 23:34:00,9999.999776048,1,1.061927646477063e-07,1.061927646477063e-07,1.061927646477063e-07,1.061927646477063e-07,0.6270631408228344
31,2021-12-06 23:36:00,11999.999760057,1,1.2958737490091005e-07,1.2958737490091005e-07,1.2958737490091005e-07,1.2958737490091005e-07,0.9182486220896174
32,2021-12-06 23:39:00,61000.001054833,2,1.7080785680992696e-07,1.298920456700853e-07,1.7080785680992696e-07,1.298920456700853e-07,5.041147138731729
33,2021-12-07 04:18:00,18791.80279429,1,9.888299448846665e-08,9.888299448846665e-08,9.888299448846665e-08,9.888299448846665e-08,1.093656030794544
34,2021-12-07 11:46:00,9999.937679155,1,1.267909409435517e-07,1.267909409435517e-07,1.267909409435517e-07,1.267909409435517e-07,0.7492181222450593
35,2021-12-07 15:07:00,2000.915090621,1,1.4201605134808098e-07,1.4201605134808098e-07,1.4201605134808098e-07,1.4201605134808098e-07,0.16675517355194022
36,2021-12-07 15:17:00,9999.999819633,1,1.609155171104967e-07,1.609155171104967e-07,1.609155171104967e-07,1.609155171104967e-07,0.944302503828383
37,2021-12-07 15:22:00,46000.178542591,1,1.1791535103343375e-07,1.1791535103343375e-07,1.1791535103343375e-07,1.1791535103343375e-07,3.183047278986727
38,2021-12-07 15:40:00,19999.999535265,1,9.198700336860175e-08,9.198700336860175e-08,9.198700336860175e-08,9.198700336860175e-08,1.0796169158664621
39,2021-12-07 17:04:00,21153.232080918,2,1.5075204391652488e-07,1.2326642979019368e-07,1.2326642979019368e-07,1.5075204391652488e-07,1.6274209134129238
40,2021-12-07 17:05:00,10967.339166975,2,1.9427128931071423e-07,1.7182431230866022e-07,1.7182431230866022e-07,1.9427128931071423e-07,1.1666907958984374
41,2021-12-07 17:07:00,68985.206868791,2,2.1809276395112044e-07,1.269474339331184e-07,2.1809276395112044e-07,1.269474339331184e-07,5.3524361151086834
42,2021-12-07 17:08:00,12915.255603535,1,7.742781333156835e-08,7.742781333156835e-08,7.742781333156835e-08,7.742781333156835e-08,0.5833453979492187
43,2021-12-07 17:09:00,10785.335858814,1,9.271848490307137e-08,9.271848490307137e-08,9.271848490307137e-08,9.271848490307137e-08,0.5833453979492187
44,2021-12-07 17:10:00,9142.320418934,1,1.0938142114653651e-07,1.0938142114653651e-07,1.0938142114653651e-07,1.0938142114653651e-07,0.5833453979492187
45,2021-12-07 17:11:00,14659.210112116,2,1.468229765779079e-07,1.274163388825021e-07,1.274163388825021e-07,1.468229765779079e-07,1.1666907958984374
46,2021-12-07 17:12:00,11236.627821004,2,1.897504561301854e-07,1.6760109127492305e-07,1.6760109127492305e-07,1.897504561301854e-07,1.1666907958984374
47,2021-12-07 17:16:00,46000.001311391,1,1.3029670577899834e-07,1.3029670577899834e-07,1.3029670577899834e-07,1.3029670577899834e-07,3.4963673491457996
48,2021-12-07 17:33:00,19946.591803677,1,1.0026775599986538e-07,1.0026775599986538e-07,1.0026775599986538e-07,1.0026775599986538e-07,1.1666907958984374
