,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-06 13:53:00,49481621.11215834,1,1.0104761904761905e-08,1.0104761904761905e-08,1.0104761904761905e-08,1.0104761904761905e-08,279.4591064453125
1,2021-12-06 13:55:00,179767757.5245907,1,1.1125465587044537e-08,1.1125465587044537e-08,1.1125465587044537e-08,1.1125465587044537e-08,1117.83642578125
2,2021-12-06 13:56:00,155168607.28274313,1,1.288920507197481e-08,1.288920507197481e-08,1.288920507197481e-08,1.288920507197481e-08,1117.83642578125
3,2021-12-06 13:57:00,223167328.01267555,2,1.6238072484564847e-08,1.4523439261164312e-08,1.4523439261164312e-08,1.6238072484564847e-08,1929.5778974687996
4,2021-12-06 13:58:00,206052570.6977284,2,2.0600078470250128e-08,1.835442285999454e-08,1.835442285999454e-08,2.0600078470250128e-08,2235.6728515625
5,2021-12-06 14:01:00,43372816.06012407,1,2.2364238435783626e-08,2.2364238435783626e-08,2.2364238435783626e-08,2.2364238435783626e-08,537.87826171875
6,2021-12-06 14:06:00,113542745.58102776,1,2.466031612739037e-08,2.466031612739037e-08,2.466031612739037e-08,2.466031612739037e-08,1552.63828125
7,2021-12-06 21:43:00,11239414.695647644,1,2.669178138930777e-08,2.669178138930777e-08,2.669178138930777e-08,2.669178138930777e-08,172.0575439453125
8,2021-12-07 02:25:00,67516295.85755627,1,2.8141354259252602e-08,2.8141354259252602e-08,2.8141354259252602e-08,2.8141354259252602e-08,1122.001025390625
9,2021-12-07 02:27:00,61760341.879480526,1,3.0764078406620074e-08,3.0764078406620074e-08,3.0764078406620074e-08,3.0764078406620074e-08,1122.001025390625
10,2021-12-07 02:45:00,37838153.22694061,1,3.303543892596759e-08,3.303543892596759e-08,3.303543892596759e-08,3.303543892596759e-08,738.1585693359376
11,2021-12-07 02:48:00,55075081.782051206,1,3.540621160975741e-08,3.540621160975741e-08,3.540621160975741e-08,3.540621160975741e-08,1151.5273681640626
12,2021-12-07 02:50:00,58213723.34502376,1,3.865068012682503e-08,3.865068012682503e-08,3.865068012682503e-08,3.865068012682503e-08,1328.6854248046875
13,2021-12-07 02:54:00,38309053.65831107,1,4.176558403845832e-08,4.176558403845832e-08,4.176558403845832e-08,4.176558403845832e-08,944.8429687500001
14,2021-12-07 02:55:00,28758014.883085564,1,4.416160173652906e-08,4.416160173652906e-08,4.416160173652906e-08,4.416160173652906e-08,749.9691064453125
15,2021-12-07 02:58:00,28041705.412564356,1,4.63595198963014e-08,4.63595198963014e-08,4.63595198963014e-08,4.63595198963014e-08,767.6849121093751
16,2021-12-07 03:01:00,20671767.47168752,1,4.8375157149461004e-08,4.8375157149461004e-08,4.8375157149461004e-08,4.8375157149461004e-08,586.5272827148438
17,2021-12-07 03:02:00,35382307.448052175,1,5.0872883365301594e-08,5.0872883365301594e-08,5.0872883365301594e-08,5.0872883365301594e-08,1055.749108886719
18,2021-12-07 03:03:00,42085900.7436557,1,5.4650131263894056e-08,5.4650131263894056e-08,5.4650131263894056e-08,5.4650131263894056e-08,1349.0127502441405
19,2021-12-07 03:04:00,30726808.333614413,1,5.8580767011549396e-08,5.8580767011549396e-08,5.8580767011549396e-08,5.8580767011549396e-08,1055.749108886719
20,2021-12-07 03:05:00,28968660.178604368,1,6.21361149912429e-08,6.21361149912429e-08,6.21361149912429e-08,6.21361149912429e-08,1055.749108886719
21,2021-12-07 03:43:00,44053705.85386683,1,6.696371946064245e-08,6.696371946064245e-08,6.696371946064245e-08,6.696371946064245e-08,1730.2554840087892
22,2021-12-07 04:22:00,2844150.273970501,1,7.031977242214959e-08,7.031977242214959e-08,7.031977242214959e-08,7.031977242214959e-08,117.7119873046875
23,2021-12-07 05:14:00,13966543.436718939,1,7.159967708051055e-08,7.159967708051055e-08,7.159967708051055e-08,7.159967708051055e-08,588.193359375
24,2021-12-07 06:02:00,41272.347618618,1,7.268789330139042e-08,7.268789330139042e-08,7.268789330139042e-08,7.268789330139042e-08,1.7661461791992188
25,2021-12-07 07:16:00,1373638.093096856,1,7.279937889211475e-08,7.279937889211475e-08,7.279937889211475e-08,7.279937889211475e-08,58.912365722656254
26,2021-12-07 07:19:00,25344321.211906996,1,7.496748419947277e-08,7.496748419947277e-08,7.496748419947277e-08,7.496748419947277e-08,1119.3349487304688
27,2021-12-07 07:25:00,12786915.835371004,1,7.820494111909401e-08,7.820494111909401e-08,7.820494111909401e-08,7.820494111909401e-08,589.1236572265625
28,2021-12-07 09:10:00,1750000.0,1,7.949571543682189e-08,7.949571543682189e-08,7.949571543682189e-08,7.949571543682189e-08,81.8762964893812
29,2021-12-07 09:29:00,12256225.596122991,1,8.077527557204613e-08,8.077527557204613e-08,8.077527557204613e-08,8.077527557204613e-08,582.6551824951172
30,2021-12-07 12:09:00,9657805.681761509,1,8.283455128019167e-08,8.283455128019167e-08,8.283455128019167e-08,8.283455128019167e-08,471.072802734375
31,2021-12-07 13:33:00,11774680.326752773,1,8.492799568646808e-08,8.492799568646808e-08,8.492799568646808e-08,8.492799568646808e-08,579.7705688476562
32,2021-12-07 16:14:00,44043085.02017846,1,9.082015935458177e-08,9.082015935458177e-08,9.082015935458177e-08,9.082015935458177e-08,2354.07958984375
33,2021-12-07 16:16:00,39693995.338307545,1,1.0077090919945047e-07,1.0077090919945047e-07,1.0077090919945047e-07,1.0077090919945047e-07,2354.07958984375
34,2021-12-07 16:36:00,9318133.868195985,1,1.0731762541136392e-07,1.0731762541136392e-07,1.0731762541136392e-07,1.0731762541136392e-07,588.5198974609375
35,2021-12-07 17:12:00,1836406.69954503,1,1.0890833716167014e-07,1.0890833716167014e-07,1.0890833716167014e-07,1.0890833716167014e-07,116.66907958984375
36,2021-12-07 17:45:00,24203343.587851983,1,1.127943331503267e-07,1.127943331503267e-07,1.127943331503267e-07,1.127943331503267e-07,1592.5329364013671
37,2021-12-07 18:43:00,1712066.79068683,1,1.1681787246148615e-07,1.1681787246148615e-07,1.1681787246148615e-07,1.1681787246148615e-07,116.49520263671876
38,2021-12-07 22:44:00,24351129.593111087,1,1.2114427746442418e-07,1.2114427746442418e-07,1.2114427746442418e-07,1.2114427746442418e-07,1704.979183959961
39,2021-12-08 03:54:00,7107619.009633302,1,1.266246824400951e-07,1.266246824400951e-07,1.266246824400951e-07,1.266246824400951e-07,518.6158813476562
40,2021-12-09 11:49:00,3886898.548890806,1,1.286372653442894e-07,1.286372653442894e-07,1.286372653442894e-07,1.286372653442894e-07,296.4721984863281
41,2021-12-09 12:04:00,3843718.334702262,1,1.3008237244801408e-07,1.3008237244801408e-07,1.3008237244801408e-07,1.3008237244801408e-07,296.7010192871094
42,2021-12-09 12:30:00,12641281.049687104,1,1.3325467959660094e-07,1.3325467959660094e-07,1.3325467959660094e-07,1.3325467959660094e-07,999.5915825289668
43,2021-12-10 06:06:00,24108363.002897833,2,1.348746090311034e-07,1.3024338718864883e-07,1.348746090311034e-07,1.348746090311034e-07,1817.9072074325068
44,2021-12-10 07:43:00,12059403.506012382,2,1.2576765434489245e-07,1.2364389428419875e-07,1.2364389428419875e-07,1.2364389428419875e-07,863.115410286443
45,2021-12-10 08:05:00,95244314.47366767,2,1.2155463873837799e-07,1.0725364811469421e-07,1.2155463873837799e-07,1.2155463873837799e-07,5842.712511966717
46,2021-12-10 08:21:00,786916.765657693,1,9.530868228143056e-08,9.530868228143056e-08,9.530868228143056e-08,9.530868228143056e-08,42.836805725097655
47,2021-12-10 08:37:00,5207170.785978936,1,9.602143285684478e-08,9.602143285684478e-08,9.602143285684478e-08,9.602143285684478e-08,285.5787048339844
48,2021-12-10 08:51:00,10720969.770265648,2,9.604448314976642e-08,9.478002498048859e-08,9.478002498048859e-08,9.478002498048859e-08,581.0945438218557
49,2021-12-10 10:04:00,2647639.050771576,1,9.442374704631468e-08,9.442374704631468e-08,9.442374704631468e-08,9.442374704631468e-08,144.43272399902344
50,2021-12-10 10:36:00,3154453.151145945,1,9.510364732822755e-08,9.510364732822755e-08,9.510364732822755e-08,9.510364732822755e-08,173.31926879882812
51,2021-12-10 10:40:00,5203115.988079911,1,9.609626253680987e-08,9.609626253680987e-08,9.609626253680987e-08,9.609626253680987e-08,288.8654479980469
52,2021-12-10 17:55:00,1032562.726176628,1,9.684641665333e-08,9.684641665333e-08,9.684641665333e-08,9.684641665333e-08,56.32814331054688
53,2021-12-10 22:20:00,5413755.996018814,1,9.763195942141994e-08,9.763195942141994e-08,9.763195942141994e-08,9.763195942141994e-08,299.3956515439019
54,2021-12-11 20:57:00,16926095.714269474,1,1.0043662925566598e-07,1.0043662925566598e-07,1.0043662925566598e-07,1.0043662925566598e-07,951.7221313476563
55,2021-12-11 23:40:00,25831216.159730878,1,1.0615063507054667e-07,1.0615063507054667e-07,1.0615063507054667e-07,1.0615063507054667e-07,1542.4168395996094
56,2021-12-12 01:56:00,2000000.0,2,1.0911156944603115e-07,1.0882262558246193e-07,1.0911156944603115e-07,1.0882262558246193e-07,122.45641810666291
57,2021-12-12 09:09:00,1000000.0,1,1.0853482842777187e-07,1.0853482842777187e-07,1.0853482842777187e-07,1.0853482842777187e-07,61.45683968231365
58,2021-12-12 09:16:00,190000.0,1,1.0896253610323786e-07,1.0896253610323786e-07,1.0896253610323786e-07,1.0896253610323786e-07,11.722814785255474
59,2021-12-12 09:31:00,323873.300428118,1,1.0903678844627108e-07,1.0903678844627108e-07,1.0903678844627108e-07,1.0903678844627108e-07,19.996284075920265
60,2021-12-12 15:24:00,1132047.293342563,1,1.0924754413256444e-07,1.0924754413256444e-07,1.0924754413256444e-07,1.0924754413256444e-07,70.10120663379388
61,2021-12-13 06:36:00,6793035.150630686,1,1.1040720140103614e-07,1.1040720140103614e-07,1.1040720140103614e-07,1.1040720140103614e-07,421.1820831298828
62,2021-12-13 16:59:00,3790000.0,2,1.1070968220035495e-07,1.1015173988028428e-07,1.1015173988028428e-07,1.1015173988028428e-07,220.5169683546809
63,2021-12-14 01:41:00,30446507.953381613,1,1.1495571201002922e-07,1.1495571201002922e-07,1.1495571201002922e-07,1.1495571201002922e-07,1844.7623291015625
64,2021-12-14 06:05:00,6614938.014629484,1,1.2093839703875285e-07,1.2093839703875285e-07,1.2093839703875285e-07,1.2093839703875285e-07,421.289990234375
65,2021-12-14 06:20:00,1634753.986081446,1,1.2234256756847308e-07,1.2234256756847308e-07,1.2234256756847308e-07,1.2234256756847308e-07,105.32249755859375
66,2021-12-14 08:01:00,163062.604145467,1,1.2265227888889928e-07,1.2265227888889928e-07,1.2265227888889928e-07,1.2265227888889928e-07,10.56161865234375
67,2021-12-14 08:52:00,93953582.08959702,2,1.2189698685410403e-07,1.0771435255043781e-07,1.2189698685410403e-07,1.2189698685410403e-07,5351.7474406121455
68,2021-12-14 08:53:00,88325579.24364793,1,1.0755661136163121e-07,1.0755661136163121e-07,1.0755661136163121e-07,1.0755661136163121e-07,5016.768859863281
69,2021-12-14 08:57:00,2474230.58172598,1,1.2124981487809647e-07,1.2124981487809647e-07,1.2124981487809647e-07,1.2124981487809647e-07,158.42427978515624
70,2021-12-14 08:58:00,3139962.030134801,2,1.2089421312553336e-07,1.203664793735684e-07,1.2089421312553336e-07,1.2089421312553336e-07,199.8648546701611
71,2021-12-14 09:00:00,2314049.622109193,1,1.2099999815249757e-07,1.2099999815249757e-07,1.2099999815249757e-07,1.2099999815249757e-07,149.80888671875
72,2021-12-14 09:08:00,95000937.6918223,2,1.2061786876701896e-07,1.0651558342658695e-07,1.0651558342658695e-07,1.0651558342658695e-07,5421.5742952658675
73,2021-12-14 09:09:00,50544291.134451486,3,1.063397844922782e-07,9.846441875957774e-08,9.846441875957774e-08,1.063397844922782e-07,2729.5753228196663
74,2021-12-14 09:10:00,82772978.45506065,1,1.2081237363506535e-07,1.2081237363506535e-07,1.2081237363506535e-07,1.2081237363506535e-07,5350.317382812501
75,2021-12-14 09:23:00,690385.541611795,1,1.3574877843078846e-07,1.3574877843078846e-07,1.3574877843078846e-07,1.3574877843078846e-07,50.142636227029996
76,2021-12-14 09:27:00,1468610.702840973,1,1.361831284581458e-07,1.361831284581458e-07,1.361831284581458e-07,1.361831284581458e-07,107.00634765625
77,2021-12-14 09:46:00,7248432.51526379,1,1.379608622821823e-07,1.379608622821823e-07,1.379608622821823e-07,1.379608622821823e-07,535.03173828125
78,2021-12-14 09:51:00,9889997.919693377,1,1.415571581883007e-07,1.415571581883007e-07,1.415571581883007e-07,1.415571581883007e-07,749.04443359375
79,2021-12-14 09:52:00,486800.785871013,1,1.437959880749819e-07,1.437959880749819e-07,1.437959880749819e-07,1.437959880749819e-07,37.4522216796875
80,2021-12-14 09:59:00,10933778.209261188,1,1.463355090415827e-07,1.463355090415827e-07,1.463355090415827e-07,1.463355090415827e-07,856.05078125
81,2021-12-14 10:13:00,36779233.09404513,2,1.4784448065963305e-07,1.3990747648645096e-07,1.3990747648645096e-07,1.3990747648645096e-07,2724.206000688989
82,2021-12-14 10:14:00,8888561.99800989,1,1.3500496483780782e-07,1.3500496483780782e-07,1.3500496483780782e-07,1.3500496483780782e-07,634.3197509765625
83,2021-12-14 10:15:00,16405433.971762637,1,1.401974494523465e-07,1.401974494523465e-07,1.401974494523465e-07,1.401974494523465e-07,1215.779522705078
84,2021-12-14 10:26:00,14692404.071709193,1,1.469812593774882e-07,1.469812593774882e-07,1.469812593774882e-07,1.469812593774882e-07,1141.5155090683202
85,2021-12-14 10:54:00,5720577.815810149,2,1.4936307347487778e-07,1.4804972441804439e-07,1.4804972441804439e-07,1.4804972441804439e-07,448.3812419732021
86,2021-12-14 11:36:00,14950000.0,2,1.4674782649313995e-07,1.434523325954848e-07,1.4674782649313995e-07,1.4674782649313995e-07,1123.2217008789346
87,2021-12-14 11:40:00,4223935.12370834,1,1.4204763625091835e-07,1.4204763625091835e-07,1.4204763625091835e-07,1.4204763625091835e-07,313.7625366210938
88,2021-12-14 11:48:00,23606821.10695108,1,1.4826223251928731e-07,1.4826223251928731e-07,1.4826223251928731e-07,1.4826223251928731e-07,1830.2814636230469
89,2021-12-14 11:49:00,21973915.183988847,3,1.617232592841783e-07,1.5456164554211066e-07,1.5456164554211066e-07,1.617232592841783e-07,1830.2814636230469
