,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-11-05 17:58:00,662.304,2,7.397722210747284e-05,6.936029825994453e-05,6.936029825994453e-05,6.936029825994453e-05,28.56838303350409
1,2021-11-05 23:17:00,201.0792,1,7.498658537436654e-05,7.498658537436654e-05,7.498658537436654e-05,7.498658537436654e-05,9.158633517771907
2,2021-11-06 09:55:00,237.4597,1,7.405847258147032e-05,7.405847258147032e-05,7.405847258147032e-05,7.405847258147032e-05,10.85158819319841
3,2021-11-06 10:32:00,273.2681,1,6.654600285326904e-05,6.654600285326904e-05,6.654600285326904e-05,6.654600285326904e-05,11.235597589920667
4,2021-11-06 18:25:00,196.0,1,6.0574751939568526e-05,6.0574751939568526e-05,6.0574751939568526e-05,6.0574751939568526e-05,7.330361486794564
5,2021-11-07 06:23:00,100.8379,1,5.720113470672598e-05,5.720113470672598e-05,5.720113470672598e-05,5.720113470672598e-05,3.79007800792842
6,2021-11-07 14:41:00,104.3,1,5.752636625119846e-05,5.752636625119846e-05,5.752636625119846e-05,5.752636625119846e-05,3.9700638427734374
7,2021-11-07 15:11:00,155.6777,1,6.048171711478766e-05,6.048171711478766e-05,6.048171711478766e-05,6.048171711478766e-05,6.234374216759915
8,2021-11-07 18:38:00,1550.1534,2,9.249741435837607e-05,8.011198587465465e-05,8.011198587465465e-05,8.011198587465465e-05,85.15191109629959
9,2021-11-09 09:03:00,1283.7084,1,6.454507208150109e-05,6.454507208150109e-05,6.454507208150109e-05,6.454507208150109e-05,53.669987371551976
10,2021-11-09 09:06:00,458.7854,1,5.4566025987812683e-05,5.4566025987812683e-05,5.4566025987812683e-05,5.4566025987812683e-05,16.21563403165029
11,2021-11-09 12:45:00,200.0,1,6.17769312842623e-05,6.17769312842623e-05,6.17769312842623e-05,6.17769312842623e-05,7.949623986487595
12,2021-11-09 17:08:00,1442.8776,2,5.329156227658759e-05,4.818356368701131e-05,4.818356368701131e-05,4.818356368701131e-05,47.95012436716572
13,2021-11-11 18:23:00,200.0,1,5.3982457543593825e-05,5.3982457543593825e-05,5.3982457543593825e-05,5.3982457543593825e-05,6.779872456426661
14,2021-11-11 18:25:00,199.0,1,5.8168461460067704e-05,5.8168461460067704e-05,5.8168461460067704e-05,5.8168461460067704e-05,7.269081360745989
15,2021-11-11 21:01:00,166.5248,1,6.684513573945563e-05,6.684513573945563e-05,6.684513573945563e-05,6.684513573945563e-05,6.994823172391182
16,2021-11-11 21:08:00,190.0553,1,8.418602375203427e-05,8.418602375203427e-05,8.418602375203427e-05,8.418602375203427e-05,10.0542109375
17,2021-11-11 21:54:00,177.9415,1,0.00011007503904998583,0.00011007503904998583,0.00011007503904998583,0.00011007503904998583,12.308187548428354
18,2021-11-11 22:08:00,557.0504,2,9.492963557927309e-05,8.032358859310356e-05,8.032358859310356e-05,8.032358859310356e-05,31.92205315558072
19,2021-11-12 14:14:00,1442.1345,2,5.248406835393951e-05,3.789378659802617e-05,3.789378659802617e-05,3.789378659802617e-05,42.642535921651614
20,2021-11-12 15:42:00,238.0269,1,5.270471435652143e-05,5.270471435652143e-05,5.270471435652143e-05,5.270471435652143e-05,7.74215981091885
21,2021-11-13 04:53:00,1194.3153,2,0.00016540637695281496,0.00011729145871868466,0.00011729145871868466,0.00016540637695281496,98.04343769395174
22,2021-11-13 04:58:00,1217.4356,2,7.072379390318907e-05,5.092735561596348e-05,5.092735561596348e-05,5.092735561596348e-05,49.406557502772685
23,2021-11-13 07:20:00,20.0,1,6.07481941517881e-05,6.07481941517881e-05,6.07481941517881e-05,6.07481941517881e-05,0.7599882362438569
24,2021-11-13 07:29:00,1065.5971,2,0.00014176010799745486,0.00010633470389905433,0.00010633470389905433,0.00010633470389905433,77.8195803516279
25,2021-11-13 08:58:00,20.0,1,0.0001059925916203915,0.0001059925916203915,0.0001059925916203915,0.0001059925916203915,1.3288039686060165
26,2021-11-13 09:47:00,340.4699,2,8.780727509829638e-05,7.873699852824642e-05,8.780727509829638e-05,7.873699852824642e-05,18.260331712199257
27,2021-11-13 13:07:00,20.0,1,8.203842442496215e-05,8.203842442496215e-05,8.203842442496215e-05,8.203842442496215e-05,1.0319448370179352
28,2021-11-13 23:46:00,238.0269,1,6.988434918610428e-05,6.988434918610428e-05,6.988434918610428e-05,6.988434918610428e-05,10.831715496687133
29,2021-11-14 00:10:00,118.1138,1,6.50366155828629e-05,6.50366155828629e-05,6.50366155828629e-05,6.50366155828629e-05,4.992365723529533
30,2021-11-14 12:49:00,66.6704,1,3.1883796105908125e-05,3.1883796105908125e-05,3.1883796105908125e-05,3.1883796105908125e-05,1.3694714579511447
31,2021-11-14 20:50:00,59.9191,1,2.8621274351584053e-05,2.8621274351584053e-05,2.8621274351584053e-05,2.8621274351584053e-05,1.1090810005714722
32,2021-11-14 21:53:00,29.0463,1,0.00010328337860588095,0.00010328337860588095,0.00010328337860588095,0.00010328337860588095,1.9441287231445312
33,2021-11-16 00:18:00,19.9286,1,0.000459193240500601,0.000459193240500601,0.000459193240500601,0.000459193240500601,5.800166747549201
34,2021-11-16 00:52:00,36.4888,1,0.0003087321383763455,0.0003087321383763455,0.0003087321383763455,0.0003087321383763455,7.140187632933093
35,2021-11-18 10:42:00,17.7575,1,0.00013397300318520024,0.00013397300318520024,0.00013397300318520024,0.00013397300318520024,1.3489398980391776
36,2021-11-19 20:46:00,24.1247,1,0.00011866584707403326,0.00011866584707403326,0.00011866584707403326,0.00011866584707403326,1.6708226850737367
37,2021-11-20 06:22:00,6.4414,1,7.762287701431365e-05,7.762287701431365e-05,7.762287701431365e-05,7.762287701431365e-05,0.29112973022460936
38,2021-11-23 22:13:00,17.5983,1,0.00013412128422754687,0.00013412128422754687,0.00013412128422754687,0.00013412128422754687,1.4034550997054953
39,2021-11-24 04:54:00,30.2072,1,0.00010707174841763248,0.00010707174841763248,0.00010707174841763248,0.00010707174841763248,1.8810923175578655
40,2021-11-24 15:26:00,15.142,1,7.391596515983365e-05,7.391596515983365e-05,7.391596515983365e-05,7.391596515983365e-05,0.6472881263638923
41,2021-11-24 15:29:00,20.393,1,0.00016876620895328633,0.00016876620895328633,0.00016876620895328633,0.00016876620895328633,1.990410988568969
42,2021-11-24 15:49:00,23.1469,1,0.000159181619908691,0.000159181619908691,0.000159181619908691,0.000159181619908691,2.1308942719865653
43,2021-12-04 17:15:00,183.4557,3,3.944681243065063e-05,3.944681243065063e-05,3.944681243065063e-05,3.944681243065063e-05,4.046069670975514
44,2021-12-05 11:08:00,100.3671,3,2.5669020317890224e-05,2.5669020317890224e-05,2.5669020317890224e-05,2.5669020317890224e-05,1.485790005896979
45,2021-12-06 11:25:00,27.7142,1,5.6589562624820386e-05,5.6589562624820386e-05,5.6589562624820386e-05,5.6589562624820386e-05,0.8620223410722455
46,2021-12-07 20:22:00,17.6845,1,0.0001341691508408213,0.0001341691508408213,0.0001341691508408213,0.0001341691508408213,1.3794353559044639
47,2021-12-08 06:54:00,19.7507,1,0.0001285177387476221,0.0001285177387476221,0.0001285177387476221,0.0001285177387476221,1.4559108223391366
48,2021-12-08 21:27:00,20.0107,1,0.00013018389824360227,0.00013018389824360227,0.00013018389824360227,0.00013018389824360227,1.5624102129252633
49,2021-12-09 13:19:00,22.1534,1,0.00012473596525927928,0.00012473596525927928,0.00012473596525927928,0.00012473596525927928,1.6397759412345911
50,2021-12-10 05:22:00,210.8044,1,6.250498220571168e-05,6.250498220571168e-05,6.250498220571168e-05,6.250498220571168e-05,7.609354383165874
51,2021-12-10 10:24:00,215.8103,1,4.495428578680252e-05,4.495428578680252e-05,4.495428578680252e-05,4.495428578680252e-05,5.60491284847907
52,2021-12-10 10:34:00,220.6984,1,4.5350156593794976e-05,4.5350156593794976e-05,4.5350156593794976e-05,4.5350156593794976e-05,5.782339262872375
53,2021-12-10 11:29:00,63.767,1,5.582905074906536e-05,5.582905074906536e-05,5.582905074906536e-05,5.582905074906536e-05,2.0545255986518027
54,2021-12-10 12:31:00,155.4778,1,6.719167275359663e-05,6.719167275359663e-05,6.719167275359663e-05,6.719167275359663e-05,6.070766106641306
55,2021-12-10 12:41:00,101.0812,1,8.486409662156411e-05,8.486409662156411e-05,8.486409662156411e-05,8.486409662156411e-05,4.984872360291108
56,2021-12-10 12:47:00,145.1134,1,8.117188915794207e-05,8.117188915794207e-05,8.117188915794207e-05,8.117188915794207e-05,6.8449902254092105
57,2021-12-10 17:02:00,122.5452,1,6.660145915954728e-05,6.660145915954728e-05,6.660145915954728e-05,6.660145915954728e-05,4.597327951396757
58,2021-12-10 19:38:00,311.0347,1,5.4748250155113324e-05,5.4748250155113324e-05,5.4748250155113324e-05,5.4748250155113324e-05,9.671251228998138
59,2021-12-10 21:57:00,472.8506,1,5.956619187014848e-05,5.956619187014848e-05,5.956619187014848e-05,5.956619187014848e-05,16.05827657410449
60,2021-12-11 04:03:00,271.6863,1,6.46628967403077e-05,6.46628967403077e-05,6.46628967403077e-05,6.46628967403077e-05,9.951589220336631
61,2021-12-11 08:47:00,80.0,1,5.9197331052538345e-05,5.9197331052538345e-05,5.9197331052538345e-05,5.9197331052538345e-05,2.5918479027827526
62,2021-12-11 09:55:00,75.0,1,5.9044267266661126e-05,5.9044267266661126e-05,5.9044267266661126e-05,5.9044267266661126e-05,2.450365381208652
63,2021-12-11 10:01:00,125.0,1,5.402953764098011e-05,5.402953764098011e-05,5.402953764098011e-05,5.402953764098011e-05,3.739967531579205
64,2021-12-11 13:07:00,30.0,1,5.2078586376586066e-05,5.2078586376586066e-05,5.2078586376586066e-05,5.2078586376586066e-05,0.8680324893578822
65,2021-12-11 13:46:00,175.2513,1,5.7060917665090075e-05,5.7060917665090075e-05,5.7060917665090075e-05,5.7060917665090075e-05,5.5559143066406245
66,2021-12-11 14:17:00,177.941,1,6.73127971211719e-05,6.73127971211719e-05,6.73127971211719e-05,6.73127971211719e-05,6.631046602414187
67,2021-12-11 14:21:00,168.2881,1,6.730647887161122e-05,6.730647887161122e-05,6.730647887161122e-05,6.730647887161122e-05,6.270738550487585
68,2021-12-11 15:52:00,108.9899,1,6.56660033807473e-05,6.56660033807473e-05,6.56660033807473e-05,6.56660033807473e-05,3.973191028884696
69,2021-12-12 09:04:00,260.7868,1,6.1029070190289935e-05,6.1029070190289935e-05,6.1029070190289935e-05,6.1029070190289935e-05,9.012047211507694
70,2021-12-12 20:38:00,175.4464,1,5.885803277623046e-05,5.885803277623046e-05,5.885803277623046e-05,5.885803277623046e-05,5.894488707085802
