,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-09 17:38:00,84343.53997530892,1,8.89220443224885e-06,8.89220443224885e-06,8.89220443224885e-06,8.89220443224885e-06,435.9217071533203
1,2021-12-09 18:28:00,2500.0,1,9.023706413154182e-06,9.023706413154182e-06,9.023706413154182e-06,9.023706413154182e-06,13.077288728821781
2,2021-12-09 18:31:00,2272.889584608603,1,8.979008761908047e-06,8.979008761908047e-06,8.979008761908047e-06,8.979008761908047e-06,11.830401408575794
3,2021-12-09 21:54:00,1917.6983994114535,1,9.023528262467972e-06,9.023528262467972e-06,9.023528262467972e-06,9.023528262467972e-06,9.869602225778692
4,2021-12-10 07:05:00,11405.80152085678,1,8.964075105518495e-06,8.964075105518495e-06,8.964075105518495e-06,8.964075105518495e-06,59.09946261519643
5,2021-12-10 15:38:00,4255973.716052809,4,2.296591281159062e-05,1.4077732171435103e-05,1.4077732171435103e-05,1.4796056956214634e-05,36097.93013088431
6,2021-12-10 15:39:00,2021022.467828695,1,1.4843971542894717e-05,1.4843971542894717e-05,1.4843971542894717e-05,1.4843971542894717e-05,17409.649658203125
7,2021-12-10 15:40:00,2031165.6010489329,1,1.4769844460002388e-05,1.4769844460002388e-05,1.4769844460002388e-05,1.4769844460002388e-05,17409.649658203125
8,2021-12-10 15:43:00,79675.72689219053,2,9.442698625687302e-06,9.313203529621637e-06,9.313203529621637e-06,9.313203529621637e-06,434.61140183670636
9,2021-12-10 15:44:00,2088267.346670868,3,2.2414518966037484e-05,9.336642597172544e-06,2.2414518966037484e-05,2.2414518966037484e-05,17633.27672061652
10,2021-12-10 15:48:00,1175834.5849025254,1,1.7009195219120013e-05,1.7009195219120013e-05,1.7009195219120013e-05,1.7009195219120013e-05,11606.43310546875
11,2021-12-10 16:38:00,419206.25576942187,1,1.1927302923528354e-05,1.1927302923528354e-05,1.1927302923528354e-05,1.1927302923528354e-05,2846.250915527344
12,2021-12-10 17:11:00,437911.82751987956,3,1.2957267472356939e-05,1.1068600967947144e-05,1.2957267472356939e-05,1.2957267472356939e-05,2967.386923223466
13,2021-12-10 20:56:00,668059.9107715478,3,1.729722533651035e-05,1.2996558979617012e-05,1.729722533651035e-05,1.729722533651035e-05,5718.577379452568
14,2021-12-11 02:43:00,820.4250059308243,1,1.7381532038217527e-05,1.7381532038217527e-05,1.7381532038217527e-05,1.7381532038217527e-05,7.979208552865116
15,2021-12-11 18:59:00,203794.94943149318,1,1.825953003438342e-05,1.825953003438342e-05,1.825953003438342e-05,1.825953003438342e-05,2085.2009026611327
16,2021-12-11 19:37:00,338391.68482956174,3,2.2691386791326466e-05,1.918973590772939e-05,2.2691386791326466e-05,2.2691386791326466e-05,3979.3912856624797
17,2021-12-11 19:38:00,2310930.2000753065,4,2.2655660136217394e-05,1.3280119173638553e-05,1.73111837377259e-05,2.2655660136217394e-05,22536.295515652542
18,2021-12-11 19:40:00,2903115.945268079,6,2.0094360243964512e-05,1.127578053487598e-05,1.5937461130369664e-05,1.9994014158188045e-05,25347.546741805643
19,2021-12-12 06:26:00,1000.0,1,2.0099406810504776e-05,2.0099406810504776e-05,2.0099406810504776e-05,2.0099406810504776e-05,11.303584240311599
20,2021-12-12 21:29:00,5719.281021463499,1,1.9975333211029682e-05,1.9975333211029682e-05,1.9975333211029682e-05,1.9975333211029682e-05,65.44244616858299
21,2021-12-13 15:25:00,208873.21004364098,3,2.2053111318717516e-05,2.0096839073245386e-05,2.2053111318717516e-05,2.2053111318717516e-05,2381.1947306018833
22,2021-12-13 18:48:00,230.18347661469525,1,2.199394276302846e-05,2.199394276302846e-05,2.199394276302846e-05,2.199394276302846e-05,2.7030572750299626
23,2021-12-13 18:49:00,210690.62914084367,3,2.59266844928384e-05,2.2113317861781658e-05,2.59266844928384e-05,2.59266844928384e-05,2701.3511902002047
24,2021-12-14 15:43:00,194173.08438423768,6,3.0252259680273962e-05,2.607208519003202e-05,3.0252259680273962e-05,3.0252259680273962e-05,2849.801795090116
25,2021-12-14 16:43:00,138288.74463548302,6,3.416353610209707e-05,3.0319350401302743e-05,3.0319350401302743e-05,3.407083275989259e-05,2318.8864449015496
26,2021-12-14 18:28:00,93527.98342476132,3,3.717068668610967e-05,3.4268815489355756e-05,3.717068668610967e-05,3.717068668610967e-05,1734.1508124520374
27,2021-12-15 13:53:00,48601.653359565105,3,3.87519359124117e-05,3.73521218902507e-05,3.87519359124117e-05,3.87519359124117e-05,965.343450925751
28,2021-12-15 17:56:00,83054.53440789189,3,4.202219809348202e-05,3.894533444613404e-05,4.202219809348202e-05,4.202219809348202e-05,1715.8387681816546
29,2021-12-15 17:57:00,101533.1921716716,6,4.662687268364161e-05,4.2160006973445235e-05,4.2160006973445235e-05,4.2160006973445235e-05,2297.1723025496162
30,2021-12-15 18:56:00,283704.2253044905,3,5.408586617638872e-05,4.6717707584161484e-05,5.408586617638872e-05,5.408586617638872e-05,7323.913398603905
31,2021-12-15 19:01:00,37482.84221244331,3,5.5161121525297e-05,5.4347394294924286e-05,5.5161121525297e-05,5.5161121525297e-05,1072.4050898666471
32,2021-12-15 19:06:00,60200.512780358906,4,5.6711311882429936e-05,5.5577432872274924e-05,5.5577432872274924e-05,5.6711311882429936e-05,1766.9017644986554
33,2021-12-15 19:08:00,154836.49344074784,6,6.088696233284714e-05,5.701328788113657e-05,5.738756918899335e-05,6.088696233284714e-05,4761.022291968867
34,2021-12-15 19:09:00,36356.27102833593,3,6.170242847601675e-05,6.118533975539148e-05,6.161258904018065e-05,6.161258904018065e-05,1166.5198069515818
35,2021-12-15 19:10:00,125653.8513266363,3,6.585037138424568e-05,6.192387757085937e-05,6.585037138424568e-05,6.585037138424568e-05,4200.137656529365
36,2021-12-15 19:11:00,40714.712641309176,3,6.687425876615271e-05,6.617200223353045e-05,6.687425876615271e-05,6.687425876615271e-05,1415.826030068596
37,2021-12-15 19:12:00,123617.28571648135,5,7.178681376726041e-05,6.721206270196354e-05,7.161201890465344e-05,7.142832852653767e-05,4489.3542497524495
38,2021-12-15 19:13:00,37683.35349109529,4,7.283004357344011e-05,7.184198513671545e-05,7.184198513671545e-05,7.283004357344011e-05,1425.5319553227496
39,2021-12-15 19:14:00,196597.3275764403,6,8.279882999962144e-05,7.279934705704655e-05,7.279934705704655e-05,7.279934705704655e-05,7990.424417646008
