,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-11-28 16:55:00,462630.917680647,3,4.5520738221104603e-07,4.5146539818935124e-07,4.5146539818935124e-07,4.5520738221104603e-07,124.7265020072138
1,2021-11-28 16:56:00,7605074.244314913,56,5.650431443560128e-07,4.583423770634981e-07,4.6150806507426645e-07,5.6124105329802e-07,2303.4921257531214
2,2021-11-28 16:57:00,15822920.85884422,91,9.84938181133479e-07,5.695866628001308e-07,5.804041137350922e-07,9.7991683804323e-07,7059.343338097933
3,2021-11-28 16:58:00,15064518.381806288,62,2.0298468816696297e-06,9.940191514622316e-07,9.940191514622316e-07,1.9822437253414804e-06,12740.616829398254
4,2021-11-28 16:59:00,17111809.086956,80,2.9464796809062148e-06,1.6994359502686392e-06,2.0494888211924294e-06,2.927618998333691e-06,21959.135012603667
5,2021-11-28 17:00:00,12365231.071009837,92,3.8814892223271725e-06,2.802958850576884e-06,3.023139408166926e-06,3.8383979469338465e-06,24072.192689602925
6,2021-11-28 17:01:00,4527140.342100255,43,5.754764805230987e-06,3.902988806216141e-06,3.9068957747562055e-06,5.754764805230987e-06,12620.571914572572
7,2021-11-28 17:02:00,7258087.407770504,47,8.557203760167403e-06,5.283501750849233e-06,5.797318786371502e-06,8.557203760167403e-06,28147.63953595712
8,2021-11-28 17:03:00,2203618.730944855,44,1.1988451060330257e-05,9.15843560618992e-06,9.242880279941102e-06,1.1988451060330257e-05,13531.28225940912
9,2021-11-28 17:04:00,4699027.317468102,42,1.5752304717508866e-05,1.1249218016576768e-05,1.20990812069469e-05,1.5752304717508866e-05,35742.93817615047
10,2021-11-28 17:05:00,2650834.355842727,47,2.068518421333136e-05,1.5800831071893454e-05,1.5800831071893454e-05,2.068518421333136e-05,27522.848758032113
11,2021-11-28 17:06:00,2127341.198760532,48,2.6724797816652742e-05,2.0223503124794884e-05,2.0718747817396356e-05,2.6724797816652742e-05,28861.670620849916
12,2021-11-28 17:07:00,1110968.421059385,46,3.2091636162102585e-05,2.714922359791126e-05,2.7359456522904922e-05,3.15759650936137e-05,18955.493813402514
13,2021-11-28 17:08:00,1256899.053020363,42,3.7447873173736206e-05,3.227694186503264e-05,3.227694186503264e-05,3.679303431719767e-05,26030.319584300745
14,2021-11-28 17:09:00,881324.603173869,33,4.232804702473106e-05,3.81330303117276e-05,3.8348873425722765e-05,4.232804702473106e-05,20719.386008791473
15,2021-11-28 17:10:00,686666.732202537,50,4.69485282778749e-05,4.25798085450523e-05,4.3444552698105835e-05,4.69485282778749e-05,18261.859203830354
16,2021-11-28 17:11:00,929207.893336176,42,4.763323754691327e-05,4.444311760909518e-05,4.72898086058548e-05,4.524035452332052e-05,24983.062863573254
17,2021-11-28 17:12:00,1023035.743756479,26,4.8244125365881536e-05,4.3662266752957596e-05,4.5845456893510986e-05,4.4274383351847e-05,27756.49525137384
18,2021-11-28 17:13:00,1734081.390026508,46,4.640941690919546e-05,3.902187788547691e-05,4.444131638191714e-05,4.200591545639224e-05,42843.471488882846
19,2021-11-28 17:14:00,1509240.338205218,44,4.278511172912125e-05,3.429557068029787e-05,4.098309125714603e-05,3.477840516354764e-05,34740.62537404438
20,2021-11-28 17:15:00,968215.691881078,22,3.485648631229324e-05,3.194222511739581e-05,3.4681042013899164e-05,3.221278214571239e-05,18869.207509666114
21,2021-11-28 17:16:00,161862.897923351,11,3.277879078144963e-05,3.227477333016654e-05,3.227477333016654e-05,3.248750110787102e-05,3092.514367462867
22,2021-11-28 17:17:00,308662.248147736,10,3.251180310777e-05,3.12696394604515e-05,3.251180310777e-05,3.22371480383223e-05,5776.246367007022
23,2021-11-28 17:18:00,578370.647319017,19,3.328272537192617e-05,3.199423986722235e-05,3.232262864704255e-05,3.26973619074354e-05,11069.759601496817
24,2021-11-28 17:19:00,484767.017239132,21,3.286815643525132e-05,3.169594402723785e-05,3.169594402723785e-05,3.272936541681158e-05,9238.231995483848
25,2021-11-28 17:20:00,366797.360677669,16,3.2929322285966214e-05,3.1497605905239745e-05,3.275463841323183e-05,3.1846952454395294e-05,6939.510347959795
26,2021-11-28 17:21:00,642476.826597111,16,3.296968139181307e-05,3.156236635688315e-05,3.156236635688315e-05,3.225033502587488e-05,12127.017121808167
27,2021-11-28 17:22:00,776216.190121772,26,3.2247027941065726e-05,3.0111825621339765e-05,3.213236247555155e-05,3.0344803595834542e-05,14183.131847174585
28,2021-11-28 17:23:00,476340.401085697,17,3.1452077964290504e-05,3.00626754152037e-05,3.00626754152037e-05,3.108865617480212e-05,8608.8315215247
29,2021-11-28 17:24:00,585782.735499173,16,3.127171316373213e-05,2.9272293358817775e-05,3.124854745149177e-05,2.9727696752807964e-05,10377.441049898796
30,2021-11-28 17:25:00,317963.502748842,15,2.981156541213429e-05,2.8873242252916477e-05,2.975935544066324e-05,2.9680118231163633e-05,5479.099493747487
31,2021-11-28 17:26:00,176889.353621197,12,3.071653938390382e-05,2.962570531946973e-05,2.9681271426714603e-05,3.071653938390382e-05,3142.707095231938
32,2021-11-28 17:27:00,174135.51698361,10,3.09281160204828e-05,3.005970988079954e-05,3.075702195786826e-05,3.0313484205162266e-05,3123.778200170209
33,2021-11-28 17:28:00,263684.198083424,16,3.1899594756434106e-05,3.0361627590198214e-05,3.0361627590198214e-05,3.1899594756434106e-05,4829.558772850499
34,2021-11-28 17:29:00,358525.796866243,14,3.4376237193420786e-05,3.200914476010726e-05,3.200914476010726e-05,3.4322476584257506e-05,6994.49608049162
35,2021-11-28 17:30:00,94519.233381922,17,3.5051066632936216e-05,3.435177714288735e-05,3.4459745819804525e-05,3.5051066632936216e-05,1932.6537260324753
36,2021-11-28 17:31:00,210773.445144019,20,3.5497720486566894e-05,3.449471277543019e-05,3.518930553841343e-05,3.481495531133203e-05,4344.194584575313
37,2021-11-28 17:32:00,198462.191267935,19,3.624703430966151e-05,3.490624648775576e-05,3.490624648775576e-05,3.624703430966151e-05,4154.7465797382865
38,2021-11-28 17:33:00,270133.105521253,15,3.658237085406446e-05,3.477991471257237e-05,3.6342431186155295e-05,3.504489144922909e-05,5668.884909094287
39,2021-11-28 17:34:00,85808.699194116,13,3.552791244890799e-05,3.490563031507192e-05,3.50770345056389e-05,3.533899785172741e-05,1780.9870244195997
40,2021-11-28 17:35:00,77078.193874549,7,3.579983666234192e-05,3.5428668080826406e-05,3.555202480980816e-05,3.5428668080826406e-05,1612.7609315254206
41,2021-11-28 17:36:00,451082.491580693,11,3.5545169945691925e-05,3.3736334292376336e-05,3.5545169945691925e-05,3.508258198231077e-05,9185.340569003405
42,2021-11-28 17:37:00,464680.745618943,12,3.465781745350752e-05,3.3147708534944156e-05,3.465781745350752e-05,3.3147708534944156e-05,9334.222991212268
43,2021-11-28 17:38:00,108257.985029625,8,3.309021132336166e-05,3.277731149840694e-05,3.301856448463578e-05,3.309021132336166e-05,2101.1200361379647
