,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-12-12 17:59:00,275814982.71719134,9,4.070081412300584e-09,4.012940514551685e-09,4.049232191897662e-09,4.070081412300584e-09,628.6812896728516
1,2021-12-12 18:00:00,1387470274.2698023,25,4.232434443885551e-09,4.0035089161579505e-09,4.080969288898698e-09,4.2222588357565184e-09,3237.055446629153
2,2021-12-12 18:01:00,2276841665.228095,28,4.668434930097238e-09,4.241763490223793e-09,4.253018707442826e-09,4.662002667927741e-09,5798.7465001805385
3,2021-12-12 18:02:00,489338822.79607284,5,4.829319290190417e-09,4.6604593602473476e-09,4.6604593602473476e-09,4.829319290190417e-09,1322.849802079659
4,2021-12-12 18:03:00,184618582.905104,5,4.851468215278006e-09,4.8047513768000215e-09,4.8047513768000215e-09,4.851468215278006e-09,508.07328185911166
5,2021-12-12 18:04:00,672277175.2040851,8,4.987897131911323e-09,4.842614727004133e-09,4.842614727004133e-09,4.987897131911323e-09,1889.272215172908
6,2021-12-12 18:05:00,393829016.08984613,3,5.1191440693452554e-09,5.020692049320988e-09,5.020692049320988e-09,5.1191440693452554e-09,1138.6553760986328
7,2021-12-12 18:06:00,1938087928.7220128,8,5.813898327027515e-09,5.153125627772765e-09,5.484439237934504e-09,5.784861361937793e-09,6061.038769857006
8,2021-12-12 18:07:00,171218663.49769968,3,5.848683386515722e-09,5.784504209011162e-09,5.784504209011162e-09,5.848683386515722e-09,569.267058081975
9,2021-12-12 18:08:00,225625831.17293414,3,5.943387899535046e-09,5.8929009302288374e-09,5.8929009302288374e-09,5.943387899535046e-09,760.7698318189177
10,2021-12-12 18:09:00,207385507.06039506,6,6.0156992725054164e-09,5.979419667646122e-09,5.979419667646122e-09,6.002256803013711e-09,708.251688516228
11,2021-12-12 18:10:00,226199511.43190464,4,6.10828862314226e-09,6.017366633560339e-09,6.017366633560339e-09,6.10828862314226e-09,780.0217180673125
12,2021-12-12 18:11:00,42449888.11173071,3,6.130644774796274e-09,6.120903758713198e-09,6.120903758713198e-09,6.130644774796274e-09,147.80349365234375
13,2021-12-12 18:12:00,122842583.25975084,3,6.181506095253795e-09,6.1522818727206306e-09,6.1522818727206306e-09,6.181506095253795e-09,430.2797372017021
14,2021-12-12 18:13:00,94752935.71057458,4,6.2221831260980825e-09,6.189559291595326e-09,6.189559291595326e-09,6.2221831260980825e-09,334.5178954168575
15,2021-12-12 18:14:00,196051061.8153344,5,6.216015168624102e-09,6.171852429392263e-09,6.185588429078069e-09,6.171852429392263e-09,689.6005009405411
16,2021-12-12 18:15:00,310236490.63611454,7,6.188196570661643e-09,6.027751984393873e-09,6.188196570661643e-09,6.027751984393873e-09,1074.5134389484017
17,2021-12-12 18:16:00,746506868.4580727,9,6.023461494799179e-09,5.801022002018402e-09,5.999378498861315e-09,5.801022002018402e-09,2494.93888154771
18,2021-12-12 18:17:00,233057814.84482348,4,5.77780553977277e-09,5.7090986018053e-09,5.759332128259814e-09,5.7090986018053e-09,762.1240441410287
19,2021-12-12 18:18:00,211731282.41171038,10,5.707990107048325e-09,5.6442817370130506e-09,5.707990107048325e-09,5.6569606130648575e-09,682.2092845590973
20,2021-12-12 18:19:00,1767304.947993868,1,5.658333051888619e-09,5.658333051888619e-09,5.658333051888619e-09,5.658333051888619e-09,5.684749755859375
21,2021-12-12 18:20:00,311120112.14861554,4,5.6606701545772065e-09,5.595586652607284e-09,5.624346000681374e-09,5.6606701545772065e-09,993.567377061455
22,2021-12-12 18:21:00,35266722.77973891,1,5.6710684814439875e-09,5.6710684814439875e-09,5.6710684814439875e-09,5.6710684814439875e-09,113.6949951171875
23,2021-12-12 18:22:00,306513378.88756835,4,5.797317018435076e-09,5.681488937884797e-09,5.681488937884797e-09,5.797317018435076e-09,1000.0008139323811
24,2021-12-12 18:23:00,75674882.06742077,3,5.828241147292161e-09,5.811345584190685e-09,5.811345584190685e-09,5.828241147292161e-09,250.21158999627832
25,2021-12-12 18:24:00,381035206.98398674,5,5.93053530111103e-09,5.849335553792392e-09,5.849335553792392e-09,5.873841106373641e-09,1273.423194536981
26,2021-12-12 18:27:00,173404029.57533932,2,5.9146394693363944e-09,5.9096343330291834e-09,5.9096343330291834e-09,5.9146394693363944e-09,582.559154743294
27,2021-12-12 18:28:00,30252984.537540615,1,5.949826199019798e-09,5.949826199019798e-09,5.949826199019798e-09,5.949826199019798e-09,102.32549560546876
28,2021-12-12 18:29:00,5000.0,1,5.9562357600196e-09,5.9562357600196e-09,5.9562357600196e-09,5.9562357600196e-09,0.01692985489130615
29,2021-12-12 18:30:00,50277389.66598918,2,5.970457597100764e-09,5.959788199887324e-09,5.959788199887324e-09,5.970457597100764e-09,170.54249267578126
30,2021-12-12 18:33:00,25071325.98422928,2,5.9847124062978286e-09,5.979369760470741e-09,5.979369760470741e-09,5.9847124062978286e-09,85.27124633789063
31,2021-12-12 18:34:00,8514050.468057008,2,5.990134011505204e-09,5.988317848238889e-09,5.988317848238889e-09,5.990134011505204e-09,28.992223754882815
32,2021-12-12 18:36:00,361515517.38506293,2,6.049917167897636e-09,5.955451941935041e-09,5.955451941935041e-09,6.049917167897636e-09,1241.6726440591965
33,2021-12-12 18:37:00,42370796.459306344,1,6.082280048007338e-09,6.082280048007338e-09,6.082280048007338e-09,6.082280048007338e-09,146.50228281298712
34,2021-12-12 18:38:00,13101071.86180504,1,6.1063705965336e-09,6.1063705965336e-09,6.1063705965336e-09,6.1063705965336e-09,45.477998046875
35,2021-12-12 18:39:00,173092568.31597605,3,6.1272388462022054e-09,6.0799459934783185e-09,6.1272388462022054e-09,6.0799459934783185e-09,601.2132676194907
36,2021-12-12 18:40:00,24557879.730821863,3,6.112211812834981e-09,6.105731788738552e-09,6.105731788738552e-09,6.112211812834981e-09,85.30464262361242
37,2021-12-12 18:42:00,50595874.99236934,2,6.1360129081400274e-09,6.1248181602314485e-09,6.1360129081400274e-09,6.1360129081400274e-09,176.22724243164063
38,2021-12-12 18:44:00,45681950.813117445,2,6.151927431668498e-09,6.141786641965923e-09,6.141786641965923e-09,6.151927431668498e-09,159.66582398445894
39,2021-12-12 18:46:00,29197197.64657824,1,6.164975220527545e-09,6.164975220527545e-09,6.164975220527545e-09,6.164975220527545e-09,102.32549560546876
40,2021-12-12 18:47:00,59370152.42431864,4,6.1703591772682756e-09,6.129416939323361e-09,6.135383992071848e-09,6.1703591772682756e-09,207.6398482540313
41,2021-12-12 18:48:00,16187517.279082948,1,6.1775995834282244e-09,6.1775995834282244e-09,6.1775995834282244e-09,6.1775995834282244e-09,56.84749755859375
42,2021-12-12 18:49:00,80654067.21352288,1,6.1993153882283996e-09,6.1993153882283996e-09,6.1993153882283996e-09,6.1993153882283996e-09,284.23748779296875
