,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-11-01 20:22:00,10197418606083.309,20,4.729948338968124e-13,4.1323123742404863e-13,4.256194173928571e-13,4.1387086845125863e-13,2464.302386860929
1,2021-11-01 20:23:00,7974442184167.385,15,4.4606773380442904e-13,4.1305021795403856e-13,4.3179413385743155e-13,4.1305021795403856e-13,1877.8939984060366
2,2021-11-01 20:24:00,2417914986596.2754,4,4.449391940591243e-13,4.159810164823261e-13,4.159810164823261e-13,4.449391940591243e-13,566.1160405763451
3,2021-11-01 20:25:00,5367081648008.164,10,4.686324521542298e-13,4.426755913808376e-13,4.595501000193264e-13,4.4342733083650353e-13,1330.3615568632517
4,2021-11-01 20:26:00,2025963678646.7522,5,4.3848527581945723e-13,4.24148398803667e-13,4.3848527581945723e-13,4.2734047528052287e-13,474.5331216259377
5,2021-11-01 20:27:00,4992860535364.517,8,4.532562466588117e-13,4.2389373821645575e-13,4.4420795102583493e-13,4.2389373821645575e-13,1198.3061819835887
6,2021-11-01 20:28:00,5784887347359.858,5,4.756650306973271e-13,4.5198966361313836e-13,4.5198966361313836e-13,4.680291017120856e-13,1437.908510505049
7,2021-11-01 20:29:00,783333333333.3334,2,4.626818058698021e-13,4.574263031812589e-13,4.574263031812589e-13,4.574263031812589e-13,196.12537751059818
8,2021-11-01 20:30:00,2466572170910.686,8,4.522604969881264e-13,4.29117194414008e-13,4.522604969881264e-13,4.29117194414008e-13,592.045077279646
9,2021-11-01 20:31:00,3083555420413.7075,4,4.5342361268262937e-13,4.244257243833405e-13,4.244257243833405e-13,4.4813091133400446e-13,735.5037328516905
10,2021-11-01 20:32:00,807698204963.2029,4,4.4559981829154573e-13,4.381836533769779e-13,4.431035511917524e-13,4.387209733455691e-13,193.6747721830613
11,2021-11-01 20:34:00,1224925425559.5073,4,4.336229734031875e-13,4.241773914750619e-13,4.336229734031875e-13,4.2490551942935574e-13,285.80286707361887
12,2021-11-01 20:35:00,459224749386.7519,2,4.2560409458663146e-13,4.209490530172107e-13,4.2560409458663146e-13,4.209490530172107e-13,105.37536710717791
13,2021-11-01 20:36:00,391666666666.6667,1,4.163953467949349e-13,4.163953467949349e-13,4.163953467949349e-13,4.163953467949349e-13,88.75662955306161
14,2021-11-01 20:39:00,14189317243039.883,27,6.411515379775178e-13,4.172583257618869e-13,4.1892183256618707e-13,6.317427016687259e-13,4005.4890304083247
15,2021-11-01 20:40:00,20227768737731.89,34,1.0350739803999393e-12,6.54060942635983e-13,6.54060942635983e-13,9.1320363523531e-13,9749.466316096516
16,2021-11-01 20:41:00,10722209125746.691,28,9.555849409428926e-13,8.274753178816232e-13,9.110807512105189e-13,9.463241649180765e-13,5170.686470855983
17,2021-11-01 20:42:00,18229519270694.598,40,1.6650748598393633e-12,9.671288601706817e-13,1.0300021928676167e-12,1.6650748598393633e-12,12381.427212927829
18,2021-11-01 20:43:00,11492158749283.908,33,2.221922252457335e-12,1.6664609603904674e-12,1.6708011303043415e-12,2.221922252457335e-12,12030.527944585036
19,2021-11-01 20:44:00,10902801220246.879,28,2.3719845197302726e-12,2.0789926073216827e-12,2.256492726592425e-12,2.3332035325312034e-12,13097.944408866613
20,2021-11-01 20:45:00,4610103332906.037,16,2.451887023921558e-12,2.3140853698451454e-12,2.3348011678769534e-12,2.3698491282623094e-12,5959.866968633277
21,2021-11-01 20:46:00,4190121649384.633,15,2.5211872916451916e-12,2.2449827423285824e-12,2.3949281621443704e-12,2.2940968326887354e-12,5426.6248950733125
