,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2022-01-18 16:19:00,22636742.340571202,10,1.4016744728650373e-07,1.1940989104894202e-07,1.2084885875525324e-07,1.4016744728650373e-07,1354.0774817876868
1,2022-01-18 16:20:00,120135207.20603493,76,3.864979704866384e-07,1.4093287882043412e-07,1.4093287882043412e-07,3.81743505863456e-07,13050.940377973411
2,2022-01-18 16:21:00,91210139.69177105,74,5.364486891942185e-07,3.938911576857636e-07,4.19893182658167e-07,4.87051268654346e-07,19615.014867835816
3,2022-01-18 16:22:00,60211987.88537616,42,5.522150344533201e-07,4.344756530440977e-07,5.103737935524584e-07,4.388688917367065e-07,13814.269918200158
4,2022-01-18 16:23:00,35038264.81408268,22,6.333508315851182e-07,4.350665658493887e-07,4.350665658493887e-07,6.308192499350913e-07,8359.443322084959
5,2022-01-18 16:24:00,33913239.828241296,32,7.046594186291226e-07,6.033615978724844e-07,6.262894309578113e-07,6.516351551788874e-07,10337.255406755661
6,2022-01-18 16:25:00,25878279.386425935,38,7.087403890295455e-07,6.500472701018916e-07,6.5744343669178e-07,6.572734363183246e-07,8068.9220088047205
7,2022-01-18 16:26:00,11041063.360320069,15,7.236274261681979e-07,6.502321136746807e-07,6.631768767032425e-07,7.236274261681979e-07,3460.883665299733
8,2022-01-18 16:27:00,15326287.315025616,18,7.151795246165156e-07,6.352281827195304e-07,7.081281881021321e-07,6.569073380941885e-07,4777.634222587557
9,2022-01-18 16:28:00,12649190.648728808,19,6.67479608638508e-07,6.130106684548914e-07,6.508798846331056e-07,6.130106684548914e-07,3783.4701879032436
10,2022-01-18 16:29:00,29552739.099660564,31,6.234387641132836e-07,5.09790944516871e-07,6.234387641132836e-07,5.359609870726232e-07,7614.667525725362
11,2022-01-18 16:30:00,49012043.00156507,30,5.594461071682964e-07,4.7597901862199195e-07,4.777711440576368e-07,4.903698580412006e-07,11625.860364768896
12,2022-01-18 16:31:00,17197085.241426013,15,4.901458939399207e-07,4.4164155802691105e-07,4.644922752038812e-07,4.864598122507146e-07,3694.889567995906
13,2022-01-18 16:32:00,19564023.297246344,23,5.302821599931349e-07,4.768816241783764e-07,5.207778053361892e-07,5.302821599931349e-07,4536.137272354765
14,2022-01-18 16:33:00,19568672.109191705,23,6.680315414188735e-07,5.324386151351659e-07,5.360423048717695e-07,6.680315414188735e-07,5490.900643877354
15,2022-01-18 16:34:00,11857164.00019782,16,7.563502768820908e-07,6.602819146662801e-07,6.788035331624968e-07,7.563502768820908e-07,3814.4555426202787
16,2022-01-18 16:35:00,5349693.504493414,9,7.645962756856524e-07,7.307687048585628e-07,7.593526480504828e-07,7.555549137950702e-07,1830.5569342045887
17,2022-01-18 16:36:00,19336549.265854657,18,7.430616928023483e-07,5.828132478326862e-07,7.430616928023483e-07,5.828132478326862e-07,5915.964547301715
18,2022-01-18 16:37:00,8063938.220813995,9,5.955236559694585e-07,5.686732990408374e-07,5.686732990408374e-07,5.955236559694585e-07,2153.8394966644014
19,2022-01-18 16:38:00,7068512.404884933,16,6.625330747794758e-07,5.989337169039833e-07,5.989337169039833e-07,6.625330747794758e-07,2062.1995219187193
20,2022-01-18 16:39:00,6481911.034584454,8,7.369295602396118e-07,6.70069840011474e-07,6.70069840011474e-07,7.369295602396118e-07,2107.461819844396
21,2022-01-18 16:40:00,3571265.825097993,4,7.42190057224015e-07,7.018146429944518e-07,7.42190057224015e-07,7.127439140512003e-07,1187.4542374611299
22,2022-01-18 16:41:00,7101184.076094493,6,6.931567545738176e-07,6.632026510244098e-07,6.832102509237162e-07,6.756429665161881e-07,2222.312738391324
23,2022-01-18 16:42:00,4569993.792174451,10,6.993841325239934e-07,6.78674020672278e-07,6.927661820457407e-07,6.993841325239934e-07,1455.3684658098234
24,2022-01-18 16:43:00,5561492.865039938,3,7.552729919663573e-07,7.043985038980181e-07,7.043985038980181e-07,7.552729919663573e-07,1896.1562835693362
25,2022-01-18 16:44:00,2626757.556791648,7,7.802616367239757e-07,7.647313933184229e-07,7.733542997782279e-07,7.753365485594685e-07,940.3886888841063
26,2022-01-18 16:45:00,7380695.290354184,10,8.439830224597244e-07,8.012706277216877e-07,8.012706277216877e-07,8.381331421766254e-07,2798.9236364591798
27,2022-01-18 16:46:00,2980033.860277088,6,8.803236893573962e-07,8.428933309746343e-07,8.516779026836528e-07,8.803236893573962e-07,1193.1910272216799
28,2022-01-18 16:47:00,2352986.234226105,5,9.266017940553147e-07,9.010097667050227e-07,9.010097667050227e-07,9.266017940553147e-07,989.4627050705673
29,2022-01-18 16:48:00,4382573.480782987,8,9.296200570664293e-07,8.597965312632274e-07,9.296200570664293e-07,8.686077969347125e-07,1804.3224952754508
30,2022-01-18 16:49:00,3538720.375310192,4,8.703486520238746e-07,8.448816574628364e-07,8.448816574628364e-07,8.703486520238746e-07,1415.3562899057754
31,2022-01-18 16:50:00,1592661.002416521,4,8.782736354767936e-07,8.674915717225352e-07,8.674915717225352e-07,8.721457977831316e-07,643.9696654873994
32,2022-01-18 16:51:00,4565692.381240324,6,9.150312312586488e-07,8.713081219195986e-07,8.725282746279746e-07,9.150312312586488e-07,1875.9383138076753
33,2022-01-18 16:52:00,4459870.115926623,6,9.159676538095043e-07,8.468807602197089e-07,9.159676538095043e-07,8.660155538250452e-07,1805.8112745014562
34,2022-01-18 16:53:00,13177801.968688063,16,8.531472882997967e-07,6.908941795904762e-07,8.476879172554891e-07,6.908941795904762e-07,4710.053567481509
35,2022-01-18 16:54:00,15392692.438154368,32,6.995097460554294e-07,6.046046619035394e-07,6.995097460554294e-07,6.379340274505328e-07,4626.293711161822
36,2022-01-18 16:55:00,16301872.412162775,18,7.627675693565283e-07,6.385504911930731e-07,6.385504911930731e-07,7.627675693565283e-07,5385.363747420383
37,2022-01-18 16:56:00,36078822.57326353,73,8.627689753386036e-07,5.345226071428572e-07,8.251579244946058e-07,5.396335272074705e-07,11618.53816385909
38,2022-01-18 16:57:00,53737107.16108512,83,5.457034774257732e-07,4.4985164285714286e-07,5.457034774257732e-07,5.101659333175789e-07,12240.628290550223
39,2022-01-18 16:58:00,12984329.587554952,43,6.087635599871725e-07,5.24037088907077e-07,5.24037088907077e-07,6.087635599871725e-07,3378.6772921067054
40,2022-01-18 16:59:00,13107624.691849204,19,7.491953999383523e-07,6.124637934733155e-07,6.124637934733155e-07,7.491953999383523e-07,4106.324632179119
41,2022-01-18 17:00:00,7503210.693289192,10,8.406888906647368e-07,7.545094400336083e-07,7.545094400336083e-07,8.397534617158349e-07,2773.1792319136835
42,2022-01-18 17:01:00,3855008.325051862,9,8.845250313154535e-07,8.485695230089627e-07,8.485695230089627e-07,8.845250313154535e-07,1546.3453015549912
43,2022-01-18 17:02:00,19211145.329561584,14,1.0762417939895404e-06,8.938144000742582e-07,8.938144000742582e-07,1.0762417939895404e-06,8708.34335959982
44,2022-01-18 17:03:00,12242030.414184637,19,1.062547510778281e-06,9.83303853928999e-07,1.062547510778281e-06,9.869165514458987e-07,5745.124080796832
45,2022-01-18 17:04:00,1094337.903608623,7,9.840944942927373e-07,9.754025511841827e-07,9.754025511841827e-07,9.840944942927373e-07,496.24629547478213
