,timeInterval_minute,baseAmount,trades,maximum_price,minimum_price,open_price,close_price,tradeAmount
0,2021-11-13 20:12:00,5120447.4309494,6,2.495936860907289e-07,2.3455276439559953e-07,2.3455276439559953e-07,2.4879596739735834e-07,794.6495785437448
1,2021-11-13 20:13:00,8042491.8956465,6,2.8302098325423717e-07,2.5039268000405675e-07,2.5039268000405675e-07,2.8302098325423717e-07,1387.8125981904236
2,2021-11-13 20:14:00,3534331.2468221,3,3.0125056605505287e-07,2.89596263832308e-07,2.89596263832308e-07,3.0125056605505287e-07,671.9556362094766
3,2021-11-13 20:15:00,1591696.9884741,1,3.078467491464231e-07,3.078467491464231e-07,3.078467491464231e-07,3.078467491464231e-07,316.59451654629163
4,2021-11-13 20:16:00,4615366.3661707,2,3.3961276949077353e-07,3.256024494457819e-07,3.256024494457819e-07,3.3961276949077353e-07,971.0392114978841
5,2021-11-13 20:17:00,19989.2489539,1,3.397028987975436e-07,3.397028987975436e-07,3.397028987975436e-07,3.397028987975436e-07,4.387368895056721
6,2021-11-13 20:20:00,293516.4910579,1,3.406963596477231e-07,3.406963596477231e-07,3.406963596477231e-07,3.406963596477231e-07,64.61129150390624
7,2021-11-13 20:23:00,379181.3326863,1,3.428438817887433e-07,3.428438817887433e-07,3.428438817887433e-07,3.428438817887433e-07,83.99467895507813
8,2021-11-13 20:27:00,290009.7990775,1,3.448159349032091e-07,3.448159349032091e-07,3.448159349032091e-07,3.448159349032091e-07,64.61129150390624
9,2021-11-13 20:43:00,1426132.8867105,2,3.5158800571467283e-07,3.4669537976519407e-07,3.4669537976519407e-07,3.5158800571467283e-07,323.05645751953125
10,2021-11-13 20:44:00,559745.5276505,1,3.573052219630742e-07,3.573052219630742e-07,3.573052219630742e-07,3.573052219630742e-07,129.2225830078125
11,2021-11-13 20:47:00,2711596.1760798,1,3.687864766964366e-07,3.687864766964366e-07,3.687864766964366e-07,3.687864766964366e-07,646.1129150390625
12,2021-11-13 20:49:00,79171.5530689,1,3.7892398010548233e-07,3.7892398010548233e-07,3.7892398010548233e-07,3.7892398010548233e-07,19.383387451171878
13,2021-11-13 20:50:00,26363.1211179,1,3.793177581394265e-07,3.793177581394265e-07,3.793177581394265e-07,3.793177581394265e-07,6.461129150390625
14,2021-11-13 20:52:00,18292.2308544,1,3.772618688372557e-07,3.772618688372557e-07,3.772618688372557e-07,3.772618688372557e-07,4.458800155780577
15,2021-11-13 20:53:00,953946.9944789,2,3.8591692007217213e-07,3.8229170620442824e-07,3.8229170620442824e-07,3.8591692007217213e-07,235.98504084199817
16,2021-11-13 20:56:00,2164681.6678424,3,3.8729850854711147e-07,3.744622380168843e-07,3.8729850854711147e-07,3.792772259877738e-07,531.7284639791834
17,2021-11-13 21:38:00,7995.9040239,1,3.7458308236593525e-07,3.7458308236593525e-07,3.7458308236593525e-07,3.7458308236593525e-07,1.9532237096689282
18,2021-11-13 21:41:00,291330.4761512,1,3.7568123363099715e-07,3.7568123363099715e-07,3.7568123363099715e-07,3.7568123363099715e-07,71.37426940649536
19,2021-11-13 21:52:00,1323014.583018,3,3.864263251382143e-07,3.8042837875832225e-07,3.8042837875832225e-07,3.864263251382143e-07,329.32722442626954
20,2021-11-13 21:53:00,39684.1676969,1,3.868770677518505e-07,3.868770677518505e-07,3.868770677518505e-07,3.868770677518505e-07,10.012130913080265
21,2021-11-13 22:05:00,178331.7261987,1,3.877161482918681e-07,3.877161482918681e-07,3.877161482918681e-07,3.877161482918681e-07,44.99448937388733
22,2021-11-13 22:08:00,766501.8667262,1,3.913884793018543e-07,3.913884793018543e-07,3.913884793018543e-07,3.913884793018543e-07,195.22619018554687
23,2021-11-13 22:10:00,77728.0316668,1,3.947094256869299e-07,3.947094256869299e-07,3.947094256869299e-07,3.947094256869299e-07,19.965123086646003
24,2021-11-13 22:11:00,45491.7383064,1,3.951981319973155e-07,3.951981319973155e-07,3.951981319973155e-07,3.951981319973155e-07,11.699417512344361
25,2021-11-13 22:14:00,2945379.4424916,1,4.074177957135729e-07,4.074177957135729e-07,4.074177957135729e-07,4.074177957135729e-07,780.9047607421875
26,2021-11-13 22:18:00,795097.6586316,2,4.241343248228564e-07,4.206461257659397e-07,4.206461257659397e-07,4.241343248228564e-07,219.03927063356502
27,2021-11-13 22:21:00,69278.993308,1,4.2715970201052126e-07,4.2715970201052126e-07,4.2715970201052126e-07,4.2715970201052126e-07,19.257888489314816
28,2021-11-13 22:24:00,53709.6573402,1,4.2770878752352513e-07,4.2770878752352513e-07,4.2770878752352513e-07,4.2770878752352513e-07,14.949180278688338
29,2021-11-13 22:25:00,167119.021469,1,4.286968815547555e-07,4.286968815547555e-07,4.286968815547555e-07,4.286968815547555e-07,46.622228961282495
30,2021-11-13 22:27:00,1150510.9949028,2,4.399809013618314e-07,4.346753715184373e-07,4.346753715184373e-07,4.399809013618314e-07,325.4420590393067
31,2021-11-13 22:28:00,226736.0781324,1,4.4104020250237553e-07,4.4104020250237553e-07,4.4104020250237553e-07,4.4104020250237553e-07,65.07521830095872
32,2021-11-13 22:32:00,296776.2781802,1,4.43499860578208e-07,4.43499860578208e-07,4.43499860578208e-07,4.43499860578208e-07,85.65239205080816
33,2021-11-13 22:34:00,966679.2697902,2,4.388107222062554e-07,4.343447824203823e-07,4.388107222062554e-07,4.388107222062554e-07,275.51924953718964
34,2021-11-13 22:35:00,456610.72257,1,4.380098629184936e-07,4.380098629184936e-07,4.380098629184936e-07,4.380098629184936e-07,130.15079345703126
35,2021-11-13 22:40:00,104932.1182548,1,4.372427776785771e-07,4.372427776785771e-07,4.372427776785771e-07,4.372427776785771e-07,29.857119685126616
36,2021-11-13 22:42:00,208560.3664519,2,4.381780402892258e-07,4.3611339848942654e-07,4.3611339848942654e-07,4.381780402892258e-07,59.28194667205649
