,Sum,Avg,Min,Max,Count
count,58.0,54.0,54.0,54.0,58.0
mean,1.1391441046775002,0.0377327945127409,-0.18395642545114835,0.5491758977206087,26.93103448275862
std,1.7841086090747613,0.09278028539946068,0.09719928944399538,0.38374115657853974,35.77849107316398
min,-0.6181989587871335,-0.25,-0.25,-0.25,0.0
25%,0.0,0.00021531700919760264,-0.25,0.25244279148732107,4.0
50%,0.35835380678152357,0.04137643658325131,-0.25,0.515761101067652,8.0
75%,1.1157364229981517,0.0733968035094048,-0.12141883760044049,0.9003811999629026,37.25
max,6.678041422218389,0.38019444439904726,0.0,1.1183678559155286,140.0
count,58.0,53.0,53.0,53.0,58.0
mean,1.333730521222901,0.04690732057666065,-0.18449952564208344,0.5674075116250661,25.982758620689655
std,1.9786539099626166,0.10283012666575005,0.10383737892809047,0.3887811102358675,34.613399382578805
min,-0.5931989587871334,-0.25,-0.25,-0.25,0.0
25%,0.009774036433286809,0.015910221681120412,-0.25,0.2525980962430142,4.0
50%,0.5066112326986546,0.05531489206483285,-0.25,0.5356797092063412,8.0
75%,1.5789098205533376,0.08947893796281271,-0.12108517360018878,0.9170499325672343,33.0
max,7.874146540727519,0.39269444439904727,0.025000000000000022,1.1507533182504073,128.0
count,58.0,53.0,53.0,53.0,58.0
mean,1.4965962966108106,0.05250113677796523,-0.19319639689464144,0.5680459114276873,25.17241379310345
std,2.2656924266215226,0.11010119197523062,0.10821356199866758,0.39791277378614853,33.45651166841448
min,-0.8441843833212681,-0.25,-0.25,-0.25,0.0
25%,0.003197321080506521,0.01885946045128543,-0.25,0.2641875272963803,4.0
50%,0.5558742431941925,0.05448776167179164,-0.25,0.5356797092063412,8.0
75%,1.627094653152725,0.10117284514890967,-0.25,0.9170499325672343,31.75
max,9.014218800378524,0.4051944443990473,0.050000000000000044,1.2434084936814085,129.0
count,58.0,54.0,54.0,54.0,58.0
mean,1.6098860285089132,0.05286430047339891,-0.2019212951680015,0.5568013189944936,24.32758620689655
std,2.4149831138537117,0.12163310936150419,0.10849814528208106,0.41061659229879055,32.19588506508272
min,-1.446966549329317,-0.25,-0.25,-0.25,0.0
25%,0.023797638168526217,0.025576036218404107,-0.25,0.2553401492506626,4.0
50%,0.6672164049134973,0.06315544342187188,-0.25,0.5290414006459516,8.0
75%,2.3244810860352327,0.10687279580836676,-0.25,0.9139082917470212,31.0
max,8.97634013468163,0.41769444439904724,0.07499999999999996,1.2615912382856331,127.0
count,58.0,54.0,54.0,54.0,58.0
mean,1.736121055994671,0.05501183284843795,-0.1909462017412286,0.5557826887133456,23.724137931034484
std,2.479931101908823,0.1368881185628602,0.12429587919199019,0.43969740589555373,31.47585713808494
min,-0.75,-0.25,-0.25,-0.25,0.0
25%,0.09541717786728507,0.027819160475096447,-0.25,0.2553401492506626,4.0
50%,0.7731231724267703,0.07729209831730185,-0.25,0.5290414006459516,7.5
75%,2.4689671229399477,0.12313267745408646,-0.25,0.9222390934278528,29.5
max,10.866810225176811,0.43019444439904725,0.09999999999999998,1.306339419505012,127.0
count,58.0,53.0,53.0,53.0,58.0
mean,1.8126089476069018,0.0679262544399434,-0.18833493256730774,0.5790140038418145,23.017241379310345
std,2.5137308795048687,0.13235598571187304,0.13392360815119156,0.4438268052411911,30.54102296067657
min,-0.5,-0.25,-0.25,-0.25,0.0
25%,0.1391671778672851,0.03140516823907533,-0.25,0.25266060985367,4.0
50%,0.8465776593908503,0.08665092678981579,-0.25,0.522403092085562,7.0
75%,2.652539809893195,0.13615160065902124,-0.25,0.9280619617478452,29.75
max,11.463328336014301,0.44269444439904726,0.125,1.3612090932149745,119.0
count,58.0,54.0,54.0,54.0,58.0
mean,1.966772447460627,0.06493659219634161,-0.19387478939525096,0.5867570202801821,22.43103448275862
std,2.8145930539465405,0.14490595622852545,0.1165813415689445,0.4679843356956957,29.930980294123533
min,-0.6930536692875345,-0.25,-0.25,-0.25,0.0
25%,0.016046881824095083,0.025948580483368955,-0.25,0.2538367133963548,4.0
50%,0.7847804811946641,0.08469047290347295,-0.25,0.515761101067652,6.5
75%,2.884000643434405,0.14301837493140734,-0.25,0.9573332049718439,28.75
max,11.116607724327153,0.45519444439904727,0.15000000000000002,1.473145721340416,113.0
count,58.0,54.0,54.0,54.0,58.0
mean,2.010985464879668,0.07007611320792116,-0.19278791712687013,0.5908056917398173,21.603448275862068
std,2.874254447657794,0.15761235694657047,0.11970359301545108,0.4930632177075727,29.510592600286508
min,-0.75,-0.25,-0.25,-0.25,0.0
25%,0.0,0.033461326886161664,-0.25,0.2538367133963548,3.25
50%,0.8472804811946643,0.09637459838350129,-0.25,0.5356710002221431,6.5
75%,3.1271532474501114,0.1580404808294267,-0.25,0.9776329164227968,26.25
max,11.57022979459592,0.4676944443990473,0.17500000000000004,1.5,116.0
count,58.0,54.0,54.0,54.0,58.0
mean,2.122261437310613,0.08532221920797073,-0.18053543375215195,0.5910386673149478,21.120689655172413
std,2.9227374911199435,0.1654552174167354,0.1397012725012394,0.4924941683153058,28.879712776313188
min,-0.75,-0.25,-0.25,-0.25,0.0
25%,0.1678420409067271,0.037927258068114963,-0.25,0.253400129789107,3.0
50%,0.909780481194664,0.10887459838350125,-0.25,0.5356710002221431,6.0
75%,3.4955962687651665,0.17828917371597047,-0.25,0.9776329164227968,26.25
max,11.653576550904182,0.48019444439904724,0.19999999999999996,1.5,109.0
count,58.0,54.0,54.0,54.0,58.0
mean,2.1858336377445813,0.08367391105018857,-0.17914654486326304,0.5856975612761206,20.5
std,3.1214069838218146,0.16993087250387956,0.14362048797023394,0.5049104649449073,27.376036389898605
min,-1.25,-0.25,-0.25,-0.25,0.0
25%,0.10090608281381802,0.03684926512103677,-0.25,0.253400129789107,3.25
50%,0.9149840839066077,0.10900865568654983,-0.25,0.5356710002221431,6.0
75%,3.603171447794401,0.18913836465449152,-0.25,0.9776329164227968,26.0
max,11.052638854430676,0.49269444439904725,0.22499999999999998,1.5597259952437432,106.0
count,58.0,54.0,54.0,54.0,58.0
mean,2.2887507745286007,0.08438711864133817,-0.19217748298193768,0.6001998896599048,20.03448275862069
std,3.355916333294537,0.1752013755456999,0.1324113040352384,0.5193610928969606,26.592417806876586
