,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,2,2022-02-27 01:01:00,6.46664303417623e-10,2,2022-02-27 01:01:00,0.5,1.5
1,2,2022-02-27 01:01:00,6.46664303417623e-10,4,2022-02-27 01:03:00,0.5,6.2044236519444755
2,20,2022-02-27 01:19:00,4.359163792244391e-09,20,2022-02-27 01:19:00,1.0,0.75
3,31,2022-02-27 01:30:00,3.7530099940017036e-09,60,2022-02-27 01:59:00,0.5,1.5
4,31,2022-02-27 01:30:00,3.7530099940017036e-09,69,2022-02-27 02:08:00,0.5,2.0271701022526862
5,105,2022-02-27 02:44:00,5.938001658919263e-09,188,2022-02-27 04:14:00,0.5,1.5
6,105,2022-02-27 02:44:00,5.938001658919263e-09,302,2022-02-27 06:11:00,0.5,1.7950135871761044
7,306,2022-02-27 06:15:00,7.271276717646241e-09,357,2022-02-27 07:11:00,0.5,1.5
8,306,2022-02-27 06:15:00,7.271276717646241e-09,440,2022-02-27 08:45:00,0.5,1.6247900967089282
9,445,2022-02-27 08:50:00,9.885922059445632e-09,635,2022-02-27 13:08:00,1.0,0.75
10,640,2022-02-27 13:13:00,6.646645299439684e-09,1059,2022-02-28 03:05:00,0.5,1.5
11,640,2022-02-27 13:13:00,6.646645299439684e-09,1661,2022-03-01 01:20:00,0.5,2.7086022354678088
