,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,23,2022-02-12 19:05:00,1.77947476707724e-07,61,2022-02-12 19:44:00,0.5,1.5
1,23,2022-02-12 19:05:00,1.77947476707724e-07,78,2022-02-12 20:01:00,0.5,2.857825609794525
2,130,2022-02-12 20:57:00,2.619266600961204e-07,327,2022-02-13 06:22:00,1.0,0.75
3,447,2022-02-13 14:47:00,1.4983385356131713e-07,843,2022-02-16 13:57:00,1.0,0.75
4,964,2022-02-18 10:20:00,7.90170126364101e-08,983,2022-02-18 10:46:00,0.5,1.5
5,964,2022-02-18 10:20:00,7.90170126364101e-08,996,2022-02-18 10:59:00,0.5,1.9706189303245392
6,1001,2022-02-18 11:04:00,1.356581083362772e-07,1012,2022-02-18 11:16:00,0.5,1.5
7,1001,2022-02-18 11:04:00,1.356581083362772e-07,1084,2022-02-18 12:34:00,0.5,1.2594558298858574
8,1088,2022-02-18 12:39:00,1.5537718250504898e-07,1286,2022-02-18 18:08:00,0.5,1.5
9,1088,2022-02-18 12:39:00,1.5537718250504898e-07,1409,2022-02-18 20:40:00,0.5,1.7966757406738902
10,1433,2022-02-18 21:07:00,3.220900463050899e-07,1491,2022-02-18 22:19:00,1.0,0.75
