,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,2,2021-11-29 04:08:00,3.554456797189192e-15,2,2021-11-29 04:08:00,0.5,1.5
1,2,2021-11-29 04:08:00,3.554456797189192e-15,19,2021-11-29 04:25:00,0.5,37.70582192479149
2,78,2021-11-29 05:26:00,8.13617602751169e-14,130,2021-11-29 06:37:00,0.5,1.5
3,78,2021-11-29 05:26:00,8.13617602751169e-14,164,2021-11-29 07:15:00,0.5,2.709576547424784
4,175,2021-11-29 07:28:00,2.2943048282001424e-13,202,2021-11-29 08:01:00,0.5,1.5
5,175,2021-11-29 07:28:00,2.2943048282001424e-13,207,2021-11-29 08:08:00,0.5,1.5819307882254192
6,278,2021-11-29 09:26:00,3.291356631401292e-13,283,2021-11-29 09:31:00,0.5,1.5
7,278,2021-11-29 09:26:00,3.291356631401292e-13,306,2021-11-29 10:04:00,0.5,1.0904182340127577
8,524,2021-11-29 14:58:00,4.275770621628211e-13,555,2021-11-29 15:46:00,1.0,0.75
9,954,2021-11-30 07:29:00,4.1584665275276986e-13,959,2021-11-30 07:34:00,0.5,1.5
10,954,2021-11-30 07:29:00,4.1584665275276986e-13,968,2021-11-30 07:43:00,0.5,1.6122523204990717
11,973,2021-11-30 07:48:00,5.960883956651278e-13,1074,2021-11-30 10:24:00,0.5,1.5
12,973,2021-11-30 07:48:00,5.960883956651278e-13,1161,2021-11-30 13:17:00,0.5,1.0375096911302293
13,2262,2021-12-04 13:04:00,5.769510807419631e-13,2481,2021-12-05 23:01:00,1.0,0.75
14,3166,2021-12-15 23:23:00,5.05639305255203e-13,3182,2021-12-15 23:39:00,0.5,1.5
15,3166,2021-12-15 23:23:00,5.05639305255203e-13,3191,2021-12-15 23:48:00,0.5,1.491827013198507
16,3382,2021-12-16 04:11:00,1.5622702871785405e-12,3422,2021-12-16 05:34:00,1.0,0.75
17,3815,2021-12-16 22:04:00,6.060631762600933e-13,3815,2021-12-16 22:04:00,0.5,1.5
18,3815,2021-12-16 22:04:00,6.060631762600933e-13,3831,2021-12-16 22:20:00,0.5,3.3015066365008146
19,3839,2021-12-16 22:29:00,1.5502779677149052e-12,3845,2021-12-16 22:35:00,0.5,1.5
20,3839,2021-12-16 22:29:00,1.5502779677149052e-12,3860,2021-12-16 22:50:00,0.5,1.9543270750199635
21,3871,2021-12-16 23:01:00,3.342160624639941e-12,3886,2021-12-16 23:16:00,1.0,0.75
22,3891,2021-12-16 23:21:00,2.433863492872847e-12,3929,2021-12-16 23:59:00,0.5,1.5
23,3891,2021-12-16 23:21:00,2.433863492872847e-12,3981,2021-12-17 00:51:00,0.5,2.4329715974470436
24,3988,2021-12-17 00:58:00,5.065372831903863e-12,4000,2021-12-17 01:10:00,0.5,1.5
25,3988,2021-12-17 00:58:00,5.065372831903863e-12,4116,2021-12-17 03:07:00,0.5,1.0518522167390847
26,4123,2021-12-17 03:14:00,4.400459436004376e-12,4124,2021-12-17 03:15:00,0.5,1.5
27,4123,2021-12-17 03:14:00,4.400459436004376e-12,4344,2021-12-17 07:10:00,0.5,1.0103421446837637
28,4364,2021-12-17 07:30:00,3.644377318632959e-12,4472,2021-12-17 09:37:00,0.5,1.5
29,4364,2021-12-17 07:30:00,3.644377318632959e-12,4671,2021-12-17 13:06:00,0.5,1.7761512915550974
30,4703,2021-12-17 13:39:00,5.586730321692836e-12,4986,2021-12-17 19:45:00,1.0,0.75
31,5002,2021-12-17 20:03:00,3.3903506616682e-12,5094,2021-12-17 21:55:00,0.5,1.5
32,5002,2021-12-17 20:03:00,3.3903506616682e-12,5218,2021-12-18 00:27:00,0.5,1.0621240306642412
33,5389,2021-12-18 04:01:00,3.605421333025549e-12,5502,2021-12-18 07:29:00,0.5,1.5
34,5389,2021-12-18 04:01:00,3.605421333025549e-12,5622,2021-12-18 10:12:00,0.5,1.508895358464237
