,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,34,2022-02-08 02:28:00,3.3345980458933e-08,38,2022-02-08 02:32:00,1.0,0.75
1,57,2022-02-08 02:51:00,9.421253109448895e-08,57,2022-02-08 02:51:00,1.0,0.75
2,62,2022-02-08 03:00:00,6.528300545342414e-08,79,2022-02-08 03:36:00,1.0,0.75
3,88,2022-02-08 04:24:00,7.221032884599498e-08,91,2022-02-08 04:28:00,0.5,1.5
4,88,2022-02-08 04:24:00,7.221032884599498e-08,92,2022-02-08 04:30:00,0.5,1.2963528655284262
5,99,2022-02-08 04:37:00,8.127810566760023e-08,102,2022-02-08 04:40:00,0.5,1.5
6,99,2022-02-08 04:37:00,8.127810566760023e-08,105,2022-02-08 04:43:00,0.5,1.811150147706368
7,113,2022-02-08 04:51:00,1.631657255238177e-07,114,2022-02-08 04:52:00,1.0,0.75
8,115,2022-02-08 04:53:00,1.404423200950233e-07,123,2022-02-08 05:01:00,0.5,1.5
9,115,2022-02-08 04:53:00,1.404423200950233e-07,129,2022-02-08 05:07:00,0.5,2.0308030622862754
10,161,2022-02-08 05:39:00,1.796543637853145e-07,170,2022-02-08 05:49:00,1.0,0.75
11,174,2022-02-08 05:53:00,1.6564901776447665e-07,177,2022-02-08 05:56:00,1.0,0.75
12,190,2022-02-08 06:15:00,1.671881993520001e-07,190,2022-02-08 06:15:00,0.5,1.5
13,190,2022-02-08 06:15:00,1.671881993520001e-07,191,2022-02-08 06:16:00,0.5,1.3128546612611471
14,194,2022-02-08 06:19:00,2.1161629294917825e-07,216,2022-02-08 06:41:00,0.5,1.5
15,194,2022-02-08 06:19:00,2.1161629294917825e-07,222,2022-02-08 06:47:00,0.5,1.7457530594782824
16,228,2022-02-08 06:53:00,4.136491559203986e-07,228,2022-02-08 06:53:00,1.0,0.75
17,243,2022-02-08 07:08:00,3.4798602464816625e-07,248,2022-02-08 07:13:00,1.0,0.75
18,276,2022-02-08 07:43:00,3.610165988779718e-07,285,2022-02-08 07:53:00,1.0,0.75
19,331,2022-02-08 08:47:00,3.27519114457058e-07,358,2022-02-08 09:30:00,1.0,0.75
20,370,2022-02-08 09:43:00,2.513330137204491e-07,415,2022-02-08 10:51:00,1.0,0.75
21,549,2022-02-08 14:39:00,2.442445896134804e-07,580,2022-02-08 15:21:00,0.5,1.5
22,549,2022-02-08 14:39:00,2.442445896134804e-07,598,2022-02-08 15:40:00,0.5,1.4157541285324542
23,606,2022-02-08 15:48:00,3.764750013446205e-07,698,2022-02-08 17:23:00,1.0,0.75
24,725,2022-02-08 17:52:00,3.475014709248656e-07,778,2022-02-08 19:06:00,0.5,1.5
25,725,2022-02-08 17:52:00,3.475014709248656e-07,781,2022-02-08 19:09:00,0.5,1.2977161285593204
26,832,2022-02-08 20:13:00,6.401336616830554e-07,907,2022-02-08 21:29:00,0.5,1.5
27,832,2022-02-08 20:13:00,6.401336616830554e-07,909,2022-02-08 21:31:00,0.5,1.5949043877035742
28,930,2022-02-08 21:52:00,1.094921218450507e-06,943,2022-02-08 22:05:00,1.0,0.75
29,949,2022-02-08 22:11:00,8.242963243228715e-07,965,2022-02-08 22:27:00,0.5,1.5
30,949,2022-02-08 22:11:00,8.242963243228715e-07,1020,2022-02-08 23:25:00,0.5,0.7779870503890208
31,1045,2022-02-08 23:52:00,5.570549800266829e-07,1045,2022-02-08 23:52:00,0.5,1.5
32,1045,2022-02-08 23:52:00,5.570549800266829e-07,1068,2022-02-09 00:19:00,0.5,1.7113482766546844
33,1076,2022-02-09 00:27:00,7.574780069264278e-07,1149,2022-02-09 01:45:00,0.5,1.5
34,1076,2022-02-09 00:27:00,7.574780069264278e-07,1176,2022-02-09 02:12:00,0.5,1.694166900413508
35,1183,2022-02-09 02:19:00,1.5077493054539e-06,1335,2022-02-09 04:52:00,0.5,1.5
36,1183,2022-02-09 02:19:00,1.5077493054539e-06,1353,2022-02-09 05:10:00,0.5,2.7257253997658872
37,1366,2022-02-09 05:23:00,2.454539980578253e-06,1376,2022-02-09 05:33:00,0.5,1.5
38,1366,2022-02-09 05:23:00,2.454539980578253e-06,1419,2022-02-09 06:16:00,0.5,1.3041004471304656
39,1421,2022-02-09 06:18:00,3.191107165689244e-06,1424,2022-02-09 06:21:00,0.5,1.5
40,1421,2022-02-09 06:18:00,3.191107165689244e-06,1467,2022-02-09 07:04:00,0.5,1.064337437491121
41,1482,2022-02-09 07:19:00,3.3986854986837384e-06,1586,2022-02-09 09:06:00,1.0,0.75
42,1629,2022-02-09 09:49:00,2.054873389920252e-06,1629,2022-02-09 09:49:00,1.0,0.75
43,1631,2022-02-09 09:51:00,1.06415958815581e-06,1635,2022-02-09 09:55:00,1.0,0.75
44,1677,2022-02-09 10:37:00,1.3904676737585123e-06,1677,2022-02-09 10:37:00,0.5,1.5
45,1677,2022-02-09 10:37:00,1.3904676737585123e-06,1723,2022-02-09 11:23:00,0.5,1.4112003640199466
46,1725,2022-02-09 11:25:00,5.311840981907317e-06,1725,2022-02-09 11:25:00,1.0,0.75
47,1760,2022-02-09 12:00:00,3.1443586552328044e-06,1760,2022-02-09 12:00:00,1.0,0.75
48,1780,2022-02-09 12:20:00,2.976132393111944e-06,1782,2022-02-09 12:22:00,1.0,0.75
49,1797,2022-02-09 12:37:00,3.2629243819780507e-06,1801,2022-02-09 12:41:00,1.0,0.75
50,1802,2022-02-09 12:42:00,3.079202006339672e-06,1808,2022-02-09 12:48:00,1.0,0.75
51,1813,2022-02-09 12:53:00,2.7850175302179385e-06,1828,2022-02-09 13:08:00,1.0,0.75
