,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,2,2021-12-24 14:31:00,4.912461274970048e-05,2,2021-12-24 14:31:00,0.5,1.5
1,2,2021-12-24 14:31:00,4.912461274970048e-05,3,2021-12-24 14:32:00,0.5,1.8205034014979689
2,27,2021-12-24 14:56:00,2.254975642005463e-05,28,2021-12-24 14:57:00,1.0,0.75
3,32,2021-12-24 15:01:00,2.170392262908223e-05,33,2021-12-24 15:02:00,1.0,0.75
4,34,2021-12-24 15:03:00,2.6822018226055425e-05,34,2021-12-24 15:03:00,1.0,0.75
5,52,2021-12-24 15:21:00,1.7140954829791505e-05,70,2021-12-24 15:39:00,0.5,1.5
6,52,2021-12-24 15:21:00,1.7140954829791505e-05,512,2021-12-25 03:35:00,0.5,1.0095352790137966
7,892,2021-12-25 13:22:00,1.995022669361508e-05,2338,2021-12-28 03:07:00,0.5,1.5
8,892,2021-12-25 13:22:00,1.995022669361508e-05,3639,2021-12-30 07:10:00,0.5,1.3441477578933647
9,3662,2021-12-30 07:34:00,2.4482530353902376e-05,3862,2021-12-30 16:28:00,0.5,1.5
10,3662,2021-12-30 07:34:00,2.4482530353902376e-05,3864,2021-12-30 16:30:00,0.5,1.8361894232887956
11,3877,2021-12-30 16:43:00,3.954651554467011e-05,3905,2021-12-30 17:11:00,1.0,0.75
12,3911,2021-12-30 17:17:00,2.779298749576256e-05,4088,2021-12-30 20:18:00,0.5,1.5
13,3911,2021-12-30 17:17:00,2.779298749576256e-05,4222,2021-12-30 22:36:00,0.5,1.2563202809674594
14,4228,2021-12-30 22:42:00,3.135472328475023e-05,4996,2021-12-31 19:35:00,1.0,0.75
15,6825,2022-01-12 12:28:00,1.2225790992366904e-05,7483,2022-01-25 23:51:00,1.0,0.75
