,Open Idx,Open Datetime,Open price,Exit Index,Exit Datetime,Part of position,Result
0,26,2021-11-01 19:48:00,1.5243212767328622e-05,30,2021-11-01 19:52:00,1.0,0.75
1,160,2021-11-03 07:26:00,1.2787319296074186e-05,191,2021-11-03 19:23:00,1.0,0.75
2,232,2021-11-04 15:17:00,1.186105650184448e-05,318,2021-11-06 03:35:00,1.0,0.75
3,752,2021-11-15 21:52:00,9.271702560137443e-06,785,2021-11-16 10:54:00,1.0,0.75
4,915,2021-11-18 02:58:00,9.903882802458624e-06,1054,2021-11-20 14:02:00,1.0,0.75
5,1415,2021-11-26 21:35:00,7.877032440940102e-06,1965,2021-12-03 00:34:00,0.5,1.5
6,1415,2021-11-26 21:35:00,7.877032440940102e-06,2014,2021-12-03 15:30:00,0.5,1.009647216678526
7,2042,2021-12-04 13:10:00,8.742578337425175e-06,2549,2021-12-14 10:04:00,0.5,1.5
8,2042,2021-12-04 13:10:00,8.742578337425175e-06,2551,2021-12-14 10:24:00,0.5,3.1809697428927315
9,2562,2021-12-14 10:35:00,2.049168903136347e-05,2568,2021-12-14 10:41:00,1.0,0.75
10,2578,2021-12-14 10:51:00,1.6133253868324084e-05,2610,2021-12-14 11:27:00,1.0,0.75
11,2679,2021-12-14 13:34:00,1.1235384704159093e-05,2752,2021-12-14 15:49:00,1.0,0.75
